0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
1046,1009,462,462,500,1000,702,195,499,1009,1009,462,461,500,1067,1009,809,1188,307
1009,462,462,500,1000,702,195,499,1009,1009,462,461,500,1067,1009,809,1188,307,971
462,462,500,1000,702,195,499,1009,1009,462,461,500,1067,1009,809,1188,307,971,892
462,500,1000,702,195,499,1009,1009,462,461,500,1067,1009,809,1188,307,971,892,1235
500,1000,702,195,499,1009,1009,462,461,500,1067,1009,809,1188,307,971,892,1235,1046
1000,702,195,499,1009,1009,462,461,500,1067,1009,809,1188,307,971,892,1235,1046,233
702,195,499,1009,1009,462,461,500,1067,1009,809,1188,307,971,892,1235,1046,233,237
195,499,1009,1009,462,461,500,1067,1009,809,1188,307,971,892,1235,1046,233,237,1008
499,1009,1009,462,461,500,1067,1009,809,1188,307,971,892,1235,1046,233,237,1008,1008
1009,1009,462,461,500,1067,1009,809,1188,307,971,892,1235,1046,233,237,1008,1008,701
1009,462,461,500,1067,1009,809,1188,307,971,892,1235,1046,233,237,1008,1008,701,701
462,461,500,1067,1009,809,1188,307,971,892,1235,1046,233,237,1008,1008,701,701,1009
461,500,1067,1009,809,1188,307,971,892,1235,1046,233,237,1008,1008,701,701,1009,971
500,1067,1009,809,1188,307,971,892,1235,1046,233,237,1008,1008,701,701,1009,971,308
1067,1009,809,1188,307,971,892,1235,1046,233,237,1008,1008,701,701,1009,971,308,1205
1009,809,1188,307,971,892,1235,1046,233,237,1008,1008,701,701,1009,971,308,1205,652
809,1188,307,971,892,1235,1046,233,237,1008,1008,701,701,1009,971,308,1205,652,2
1188,307,971,892,1235,1046,233,237,1008,1008,701,701,1009,971,308,1205,652,2,1081
307,971,892,1235,1046,233,237,1008,1008,701,701,1009,971,308,1205,652,2,1081,1353
971,892,1235,1046,233,237,1008,1008,701,701,1009,971,308,1205,652,2,1081,1353,275
892,1235,1046,233,237,1008,1008,701,701,1009,971,308,1205,652,2,1081,1353,275,768
1235,1046,233,237,1008,1008,701,701,1009,971,308,1205,652,2,1081,1353,275,768,654
1046,233,237,1008,1008,701,701,1009,971,308,1205,652,2,1081,1353,275,768,654,1035
233,237,1008,1008,701,701,1009,971,308,1205,652,2,1081,1353,275,768,654,1035,88
237,1008,1008,701,701,1009,971,308,1205,652,2,1081,1353,275,768,654,1035,88,276
1008,1008,701,701,1009,971,308,1205,652,2,1081,1353,275,768,654,1035,88,276,117
1008,701,701,1009,971,308,1205,652,2,1081,1353,275,768,654,1035,88,276,117,1009
701,701,1009,971,308,1205,652,2,1081,1353,275,768,654,1035,88,276,117,1009,1008
701,1009,971,308,1205,652,2,1081,1353,275,768,654,1035,88,276,117,1009,1008,195
1009,971,308,1205,652,2,1081,1353,275,768,654,1035,88,276,117,1009,1008,195,1080
971,308,1205,652,2,1081,1353,275,768,654,1035,88,276,117,1009,1008,195,1080,1008
308,1205,652,2,1081,1353,275,768,654,1035,88,276,117,1009,1008,195,1080,1008,461
1205,652,2,1081,1353,275,768,654,1035,88,276,117,1009,1008,195,1080,1008,461,1039
652,2,1081,1353,275,768,654,1035,88,276,117,1009,1008,195,1080,1008,461,1039,1039
2,1081,1353,275,768,654,1035,88,276,117,1009,1008,195,1080,1008,461,1039,1039,1039
1081,1353,275,768,654,1035,88,276,117,1009,1008,195,1080,1008,461,1039,1039,1039,1039
1353,275,768,654,1035,88,276,117,1009,1008,195,1080,1008,461,1039,1039,1039,1039,1040
275,768,654,1035,88,276,117,1009,1008,195,1080,1008,461,1039,1039,1039,1039,1040,1039
768,654,1035,88,276,117,1009,1008,195,1080,1008,461,1039,1039,1039,1039,1040,1039,1009
654,1035,88,276,117,1009,1008,195,1080,1008,461,1039,1039,1039,1039,1040,1039,1009,200
1035,88,276,117,1009,1008,195,1080,1008,461,1039,1039,1039,1039,1040,1039,1009,200,276
88,276,117,1009,1008,195,1080,1008,461,1039,1039,1039,1039,1040,1039,1009,200,276,389
276,117,1009,1008,195,1080,1008,461,1039,1039,1039,1039,1040,1039,1009,200,276,389,276
117,1009,1008,195,1080,1008,461,1039,1039,1039,1039,1040,1039,1009,200,276,389,276,463
1009,1008,195,1080,1008,461,1039,1039,1039,1039,1040,1039,1009,200,276,389,276,463,1046
1008,195,1080,1008,461,1039,1039,1039,1039,1040,1039,1009,200,276,389,276,463,1046,1009
195,1080,1008,461,1039,1039,1039,1039,1040,1039,1009,200,276,389,276,463,1046,1009,346
1080,1008,461,1039,1039,1039,1039,1040,1039,1009,200,276,389,276,463,1046,1009,346,747
1008,461,1039,1039,1039,1039,1040,1039,1009,200,276,389,276,463,1046,1009,346,747,232
461,1039,1039,1039,1039,1040,1039,1009,200,276,389,276,463,1046,1009,346,747,232,730
1039,1039,1039,1039,1040,1039,1009,200,276,389,276,463,1046,1009,346,747,232,730,1166
1039,1039,1039,1040,1039,1009,200,276,389,276,463,1046,1009,346,747,232,730,1166,1008
1039,1039,1040,1039,1009,200,276,389,276,463,1046,1009,346,747,232,730,1166,1008,389
1039,1040,1039,1009,200,276,389,276,463,1046,1009,346,747,232,730,1166,1008,389,1001
1040,1039,1009,200,276,389,276,463,1046,1009,346,747,232,730,1166,1008,389,1001,844
1039,1009,200,276,389,276,463,1046,1009,346,747,232,730,1166,1008,389,1001,844,1188
1009,200,276,389,276,463,1046,1009,346,747,232,730,1166,1008,389,1001,844,1188,1008
200,276,389,276,463,1046,1009,346,747,232,730,1166,1008,389,1001,844,1188,1008,384
276,389,276,463,1046,1009,346,747,232,730,1166,1008,389,1001,844,1188,1008,384,308
389,276,463,1046,1009,346,747,232,730,1166,1008,389,1001,844,1188,1008,384,308,346
276,463,1046,1009,346,747,232,730,1166,1008,389,1001,844,1188,1008,384,308,346,501
463,1046,1009,346,747,232,730,1166,1008,389,1001,844,1188,1008,384,308,346,501,345
1046,1009,346,747,232,730,1166,1008,389,1001,844,1188,1008,384,308,346,501,345,1204
1009,346,747,232,730,1166,1008,389,1001,844,1188,1008,384,308,346,501,345,1204,499
346,747,232,730,1166,1008,389,1001,844,1188,1008,384,308,346,501,345,1204,499,1008
747,232,730,1166,1008,389,1001,844,1188,1008,384,308,346,501,345,1204,499,1008,855
232,730,1166,1008,389,1001,844,1188,1008,384,308,346,501,345,1204,499,1008,855,462
730,1166,1008,389,1001,844,1188,1008,384,308,346,501,345,1204,499,1008,855,462,462
1166,1008,389,1001,844,1188,1008,384,308,346,501,345,1204,499,1008,855,462,462,462
1008,389,1001,844,1188,1008,384,308,346,501,345,1204,499,1008,855,462,462,462,734
389,1001,844,1188,1008,384,308,346,501,345,1204,499,1008,855,462,462,462,734,385
1001,844,1188,1008,384,308,346,501,345,1204,499,1008,855,462,462,462,734,385,968
844,1188,1008,384,308,346,501,345,1204,499,1008,855,462,462,462,734,385,968,239
1188,1008,384,308,346,501,345,1204,499,1008,855,462,462,462,734,385,968,239,383
1008,384,308,346,501,345,1204,499,1008,855,462,462,462,734,385,968,239,383,383
384,308,346,501,345,1204,499,1008,855,462,462,462,734,385,968,239,383,383,500
308,346,501,345,1204,499,1008,855,462,462,462,734,385,968,239,383,383,500,500
346,501,345,1204,499,1008,855,462,462,462,734,385,968,239,383,383,500,500,500
501,345,1204,499,1008,855,462,462,462,734,385,968,239,383,383,500,500,500,423
345,1204,499,1008,855,462,462,462,734,385,968,239,383,383,500,500,500,423,1008
1204,499,1008,855,462,462,462,734,385,968,239,383,383,500,500,500,423,1008,3
499,1008,855,462,462,462,734,385,968,239,383,383,500,500,500,423,1008,3,1008
1008,855,462,462,462,734,385,968,239,383,383,500,500,500,423,1008,3,1008,120
855,462,462,462,734,385,968,239,383,383,500,500,500,423,1008,3,1008,120,276
462,462,462,734,385,968,239,383,383,500,500,500,423,1008,3,1008,120,276,462
462,462,734,385,968,239,383,383,500,500,500,423,1008,3,1008,120,276,462,1008
462,734,385,968,239,383,383,500,500,500,423,1008,3,1008,120,276,462,1008,1009
734,385,968,239,383,383,500,500,500,423,1008,3,1008,120,276,462,1008,1009,422
385,968,239,383,383,500,500,500,423,1008,3,1008,120,276,462,1008,1009,422,309
968,239,383,383,500,500,500,423,1008,3,1008,120,276,462,1008,1009,422,309,309
239,383,383,500,500,500,423,1008,3,1008,120,276,462,1008,1009,422,309,309,884
383,383,500,500,500,423,1008,3,1008,120,276,462,1008,1009,422,309,309,884,1008
383,500,500,500,423,1008,3,1008,120,276,462,1008,1009,422,309,309,884,1008,50
500,500,500,423,1008,3,1008,120,276,462,1008,1009,422,309,309,884,1008,50,1165
500,500,423,1008,3,1008,120,276,462,1008,1009,422,309,309,884,1008,50,1165,461
500,423,1008,3,1008,120,276,462,1008,1009,422,309,309,884,1008,50,1165,461,1008
423,1008,3,1008,120,276,462,1008,1009,422,309,309,884,1008,50,1165,461,1008,201
1008,3,1008,120,276,462,1008,1009,422,309,309,884,1008,50,1165,461,1008,201,422
3,1008,120,276,462,1008,1009,422,309,309,884,1008,50,1165,461,1008,201,422,422
1008,120,276,462,1008,1009,422,309,309,884,1008,50,1165,461,1008,201,422,422,461
120,276,462,1008,1009,422,309,309,884,1008,50,1165,461,1008,201,422,422,461,1008
276,462,1008,1009,422,309,309,884,1008,50,1165,461,1008,201,422,422,461,1008,1008
462,1008,1009,422,309,309,884,1008,50,1165,461,1008,201,422,422,461,1008,1008,461
1008,1009,422,309,309,884,1008,50,1165,461,1008,201,422,422,461,1008,1008,461,160
1009,422,309,309,884,1008,50,1165,461,1008,201,422,422,461,1008,1008,461,160,1008
422,309,309,884,1008,50,1165,461,1008,201,422,422,461,1008,1008,461,160,1008,1008
309,309,884,1008,50,1165,461,1008,201,422,422,461,1008,1008,461,160,1008,1008,461
309,884,1008,50,1165,461,1008,201,422,422,461,1008,1008,461,160,1008,1008,461,462
884,1008,50,1165,461,1008,201,422,422,461,1008,1008,461,160,1008,1008,461,462,461
1008,50,1165,461,1008,201,422,422,461,1008,1008,461,160,1008,1008,461,462,461,461
50,1165,461,1008,201,422,422,461,1008,1008,461,160,1008,1008,461,462,461,461,1008
1165,461,1008,201,422,422,461,1008,1008,461,160,1008,1008,461,462,461,461,1008,460
461,1008,201,422,422,461,1008,1008,461,160,1008,1008,461,462,461,461,1008,460,1008
1008,201,422,422,461,1008,1008,461,160,1008,1008,461,462,461,461,1008,460,1008,423
201,422,422,461,1008,1008,461,160,1008,1008,461,462,461,461,1008,460,1008,423,1009
422,422,461,1008,1008,461,160,1008,1008,461,462,461,461,1008,460,1008,423,1009,1046
422,461,1008,1008,461,160,1008,1008,461,462,461,461,1008,460,1008,423,1009,1046,383
461,1008,1008,461,160,1008,1008,461,462,461,461,1008,460,1008,423,1009,1046,383,422
1008,1008,461,160,1008,1008,461,462,461,461,1008,460,1008,423,1009,1046,383,422,307
1008,461,160,1008,1008,461,462,461,461,1008,460,1008,423,1009,1046,383,422,307,269
461,160,1008,1008,461,462,461,461,1008,460,1008,423,1009,1046,383,422,307,269,423
160,1008,1008,461,462,461,461,1008,460,1008,423,1009,1046,383,422,307,269,423,383
1008,1008,461,462,461,461,1008,460,1008,423,1009,1046,383,422,307,269,423,383,971
1008,461,462,461,461,1008,460,1008,423,1009,1046,383,422,307,269,423,383,971,461
461,462,461,461,1008,460,1008,423,1009,1046,383,422,307,269,423,383,971,461,269
462,461,461,1008,460,1008,423,1009,1046,383,422,307,269,423,383,971,461,269,355
461,461,1008,460,1008,423,1009,1046,383,422,307,269,423,383,971,461,269,355,307
461,1008,460,1008,423,1009,1046,383,422,307,269,423,383,971,461,269,355,307,307
1008,460,1008,423,1009,1046,383,422,307,269,423,383,971,461,269,355,307,307,422
460,1008,423,1009,1046,383,422,307,269,423,383,971,461,269,355,307,307,422,345
1008,423,1009,1046,383,422,307,269,423,383,971,461,269,355,307,307,422,345,383
423,1009,1046,383,422,307,269,423,383,971,461,269,355,307,307,422,345,383,422
1009,1046,383,422,307,269,423,383,971,461,269,355,307,307,422,345,383,422,1164
1046,383,422,307,269,423,383,971,461,269,355,307,307,422,345,383,422,1164,969
383,422,307,269,423,383,971,461,269,355,307,307,422,345,383,422,1164,969,307
422,307,269,423,383,971,461,269,355,307,307,422,345,383,422,1164,969,307,385
307,269,423,383,971,461,269,355,307,307,422,345,383,422,1164,969,307,385,10
269,423,383,971,461,269,355,307,307,422,345,383,422,1164,969,307,385,10,383
423,383,971,461,269,355,307,307,422,345,383,422,1164,969,307,385,10,383,462
383,971,461,269,355,307,307,422,345,383,422,1164,969,307,385,10,383,462,460
971,461,269,355,307,307,422,345,383,422,1164,969,307,385,10,383,462,460,460
461,269,355,307,307,422,345,383,422,1164,969,307,385,10,383,462,460,460,269
269,355,307,307,422,345,383,422,1164,969,307,385,10,383,462,460,460,269,461
355,307,307,422,345,383,422,1164,969,307,385,10,383,462,460,460,269,461,383
307,307,422,345,383,422,1164,969,307,385,10,383,462,460,460,269,461,383,345
307,422,345,383,422,1164,969,307,385,10,383,462,460,460,269,461,383,345,422
422,345,383,422,1164,969,307,385,10,383,462,460,460,269,461,383,345,422,195
345,383,422,1164,969,307,385,10,383,462,460,460,269,461,383,345,422,195,383
383,422,1164,969,307,385,10,383,462,460,460,269,461,383,345,422,195,383,384
422,1164,969,307,385,10,383,462,460,460,269,461,383,345,422,195,383,384,384
1164,969,307,385,10,383,462,460,460,269,461,383,345,422,195,383,384,384,384
969,307,385,10,383,462,460,460,269,461,383,345,422,195,383,384,384,384,346
307,385,10,383,462,460,460,269,461,383,345,422,195,383,384,384,384,346,384
385,10,383,462,460,460,269,461,383,345,422,195,383,384,384,384,346,384,384
10,383,462,460,460,269,461,383,345,422,195,383,384,384,384,346,384,384,384
383,462,460,460,269,461,383,345,422,195,383,384,384,384,346,384,384,384,384
462,460,460,269,461,383,345,422,195,383,384,384,384,346,384,384,384,384,383
460,460,269,461,383,345,422,195,383,384,384,384,346,384,384,384,384,383,461
460,269,461,383,345,422,195,383,384,384,384,346,384,384,384,384,383,461,384
269,461,383,345,422,195,383,384,384,384,346,384,384,384,384,383,461,384,460
461,383,345,422,195,383,384,384,384,346,384,384,384,384,383,461,384,460,461
383,345,422,195,383,384,384,384,346,384,384,384,384,383,461,384,460,461,384
345,422,195,383,384,384,384,346,384,384,384,384,383,461,384,460,461,384,423
422,195,383,384,384,384,346,384,384,384,384,383,461,384,460,461,384,423,461
195,383,384,384,384,346,384,384,384,384,383,461,384,460,461,384,423,461,461
383,384,384,384,346,384,384,384,384,383,461,384,460,461,384,423,461,461,461
384,384,384,346,384,384,384,384,383,461,384,460,461,384,423,461,461,461,460
384,384,346,384,384,384,384,383,461,384,460,461,384,423,461,461,461,460,460
384,346,384,384,384,384,383,461,384,460,461,384,423,461,461,461,460,460,1009
346,384,384,384,384,383,461,384,460,461,384,423,461,461,461,460,460,1009,461
384,384,384,384,383,461,384,460,461,384,423,461,461,461,460,460,1009,461,461
384,384,384,383,461,384,460,461,384,423,461,461,461,460,460,1009,461,461,461
384,384,383,461,384,460,461,384,423,461,461,461,460,460,1009,461,461,461,461
384,383,461,384,460,461,384,423,461,461,461,460,460,1009,461,461,461,461,461
383,461,384,460,461,384,423,461,461,461,460,460,1009,461,461,461,461,461,307
461,384,460,461,384,423,461,461,461,460,460,1009,461,461,461,461,461,307,422
384,460,461,384,423,461,461,461,460,460,1009,461,461,461,461,461,307,422,421
460,461,384,423,461,461,461,460,460,1009,461,461,461,461,461,307,422,421,383
461,384,423,461,461,461,460,460,1009,461,461,461,461,461,307,422,421,383,383
384,423,461,461,461,460,460,1009,461,461,461,461,461,307,422,421,383,383,383
423,461,461,461,460,460,1009,461,461,461,461,461,307,422,421,383,383,383,307
461,461,461,460,460,1009,461,461,461,461,461,307,422,421,383,383,383,307,307
461,461,460,460,1009,461,461,461,461,461,307,422,421,383,383,383,307,307,384
461,460,460,1009,461,461,461,461,461,307,422,421,383,383,383,307,307,384,384
460,460,1009,461,461,461,461,461,307,422,421,383,383,383,307,307,384,384,384
460,1009,461,461,461,461,461,307,422,421,383,383,383,307,307,384,384,384,385
1009,461,461,461,461,461,307,422,421,383,383,383,307,307,384,384,384,385,276
461,461,461,461,461,307,422,421,383,383,383,307,307,384,384,384,385,276,461
461,461,461,461,307,422,421,383,383,383,307,307,384,384,384,385,276,461,423
461,461,461,307,422,421,383,383,383,307,307,384,384,384,385,276,461,423,308
461,461,307,422,421,383,383,383,307,307,384,384,384,385,276,461,423,308,461
461,307,422,421,383,383,383,307,307,384,384,384,385,276,461,423,308,461,1182
307,422,421,383,383,383,307,307,384,384,384,385,276,461,423,308,461,1182,383
422,421,383,383,383,307,307,384,384,384,385,276,461,423,308,461,1182,383,383
421,383,383,383,307,307,384,384,384,385,276,461,423,308,461,1182,383,383,384
383,383,383,307,307,384,384,384,385,276,461,423,308,461,1182,383,383,384,384
383,383,307,307,384,384,384,385,276,461,423,308,461,1182,383,383,384,384,422
383,307,307,384,384,384,385,276,461,423,308,461,1182,383,383,384,384,422,384
307,307,384,384,384,385,276,461,423,308,461,1182,383,383,384,384,422,384,384
307,384,384,384,385,276,461,423,308,461,1182,383,383,384,384,422,384,384,422
384,384,384,385,276,461,423,308,461,1182,383,383,384,384,422,384,384,422,384
384,384,385,276,461,423,308,461,1182,383,383,384,384,422,384,384,422,384,384
384,385,276,461,423,308,461,1182,383,383,384,384,422,384,384,422,384,384,384
385,276,461,423,308,461,1182,383,383,384,384,422,384,384,422,384,384,384,422
276,461,423,308,461,1182,383,383,384,384,422,384,384,422,384,384,384,422,384
461,423,308,461,1182,383,383,384,384,422,384,384,422,384,384,384,422,384,422
423,308,461,1182,383,383,384,384,422,384,384,422,384,384,384,422,384,422,385
308,461,1182,383,383,384,384,422,384,384,422,384,384,384,422,384,422,385,423
461,1182,383,383,384,384,422,384,384,422,384,384,384,422,384,422,385,423,423
1182,383,383,384,384,422,384,384,422,384,384,384,422,384,422,385,423,423,275
383,383,384,384,422,384,384,422,384,384,384,422,384,422,385,423,423,275,238
383,384,384,422,384,384,422,384,384,384,422,384,422,385,423,423,275,238,275
384,384,422,384,384,422,384,384,384,422,384,422,385,423,423,275,238,275,1008
384,422,384,384,422,384,384,384,422,384,422,385,423,423,275,238,275,1008,1000
422,384,384,422,384,384,384,422,384,422,385,423,423,275,238,275,1008,1000,1001
384,384,422,384,384,384,422,384,422,385,423,423,275,238,275,1008,1000,1001,200
384,422,384,384,384,422,384,422,385,423,423,275,238,275,1008,1000,1001,200,47
422,384,384,384,422,384,422,385,423,423,275,238,275,1008,1000,1001,200,47,1008
384,384,384,422,384,422,385,423,423,275,238,275,1008,1000,1001,200,47,1008,1038
384,384,422,384,422,385,423,423,275,238,275,1008,1000,1001,200,47,1008,1038,1164
384,422,384,422,385,423,423,275,238,275,1008,1000,1001,200,47,1008,1038,1164,1080
422,384,422,385,423,423,275,238,275,1008,1000,1001,200,47,1008,1038,1164,1080,1008
384,422,385,423,423,275,238,275,1008,1000,1001,200,47,1008,1038,1164,1080,1008,690
422,385,423,423,275,238,275,1008,1000,1001,200,47,1008,1038,1164,1080,1008,690,1008
385,423,423,275,238,275,1008,1000,1001,200,47,1008,1038,1164,1080,1008,690,1008,1008
423,423,275,238,275,1008,1000,1001,200,47,1008,1038,1164,1080,1008,690,1008,1008,119
423,275,238,275,1008,1000,1001,200,47,1008,1038,1164,1080,1008,690,1008,1008,119,891
275,238,275,1008,1000,1001,200,47,1008,1038,1164,1080,1008,690,1008,1008,119,891,1008
238,275,1008,1000,1001,200,47,1008,1038,1164,1080,1008,690,1008,1008,119,891,1008,1035
275,1008,1000,1001,200,47,1008,1038,1164,1080,1008,690,1008,1008,119,891,1008,1035,739
1008,1000,1001,200,47,1008,1038,1164,1080,1008,690,1008,1008,119,891,1008,1035,739,1008
1000,1001,200,47,1008,1038,1164,1080,1008,690,1008,1008,119,891,1008,1035,739,1008,1008
1001,200,47,1008,1038,1164,1080,1008,690,1008,1008,119,891,1008,1035,739,1008,1008,1008
200,47,1008,1038,1164,1080,1008,690,1008,1008,119,891,1008,1035,739,1008,1008,1008,270
47,1008,1038,1164,1080,1008,690,1008,1008,119,891,1008,1035,739,1008,1008,1008,270,308
1008,1038,1164,1080,1008,690,1008,1008,119,891,1008,1035,739,1008,1008,1008,270,308,1028
1038,1164,1080,1008,690,1008,1008,119,891,1008,1035,739,1008,1008,1008,270,308,1028,971
1164,1080,1008,690,1008,1008,119,891,1008,1035,739,1008,1008,1008,270,308,1028,971,1009
1080,1008,690,1008,1008,119,891,1008,1035,739,1008,1008,1008,270,308,1028,971,1009,3
1008,690,1008,1008,119,891,1008,1035,739,1008,1008,1008,270,308,1028,971,1009,3,1008
690,1008,1008,119,891,1008,1035,739,1008,1008,1008,270,308,1028,971,1009,3,1008,743
1008,1008,119,891,1008,1035,739,1008,1008,1008,270,308,1028,971,1009,3,1008,743,1204
1008,119,891,1008,1035,739,1008,1008,1008,270,308,1028,971,1009,3,1008,743,1204,1464
119,891,1008,1035,739,1008,1008,1008,270,308,1028,971,1009,3,1008,743,1204,1464,1008
891,1008,1035,739,1008,1008,1008,270,308,1028,971,1009,3,1008,743,1204,1464,1008,1008
1008,1035,739,1008,1008,1008,270,308,1028,971,1009,3,1008,743,1204,1464,1008,1008,1008
1035,739,1008,1008,1008,270,308,1028,971,1009,3,1008,743,1204,1464,1008,1008,1008,276
739,1008,1008,1008,270,308,1028,971,1009,3,1008,743,1204,1464,1008,1008,1008,276,1033
1008,1008,1008,270,308,1028,971,1009,3,1008,743,1204,1464,1008,1008,1008,276,1033,1008
1008,1008,270,308,1028,971,1009,3,1008,743,1204,1464,1008,1008,1008,276,1033,1008,79
1008,270,308,1028,971,1009,3,1008,743,1204,1464,1008,1008,1008,276,1033,1008,79,577
270,308,1028,971,1009,3,1008,743,1204,1464,1008,1008,1008,276,1033,1008,79,577,1008
308,1028,971,1009,3,1008,743,1204,1464,1008,1008,1008,276,1033,1008,79,577,1008,807
1028,971,1009,3,1008,743,1204,1464,1008,1008,1008,276,1033,1008,79,577,1008,807,1001
971,1009,3,1008,743,1204,1464,1008,1008,1008,276,1033,1008,79,577,1008,807,1001,1222
1009,3,1008,743,1204,1464,1008,1008,1008,276,1033,1008,79,577,1008,807,1001,1222,925
3,1008,743,1204,1464,1008,1008,1008,276,1033,1008,79,577,1008,807,1001,1222,925,858
1008,743,1204,1464,1008,1008,1008,276,1033,1008,79,577,1008,807,1001,1222,925,858,916
743,1204,1464,1008,1008,1008,276,1033,1008,79,577,1008,807,1001,1222,925,858,916,660
1204,1464,1008,1008,1008,276,1033,1008,79,577,1008,807,1001,1222,925,858,916,660,1008
1464,1008,1008,1008,276,1033,1008,79,577,1008,807,1001,1222,925,858,916,660,1008,1241
1008,1008,1008,276,1033,1008,79,577,1008,807,1001,1222,925,858,916,660,1008,1241,234
1008,1008,276,1033,1008,79,577,1008,807,1001,1222,925,858,916,660,1008,1241,234,464
1008,276,1033,1008,79,577,1008,807,1001,1222,925,858,916,660,1008,1241,234,464,1008
276,1033,1008,79,577,1008,807,1001,1222,925,858,916,660,1008,1241,234,464,1008,1000
1033,1008,79,577,1008,807,1001,1222,925,858,916,660,1008,1241,234,464,1008,1000,80
1008,79,577,1008,807,1001,1222,925,858,916,660,1008,1241,234,464,1008,1000,80,500
79,577,1008,807,1001,1222,925,858,916,660,1008,1241,234,464,1008,1000,80,500,1028
577,1008,807,1001,1222,925,858,916,660,1008,1241,234,464,1008,1000,80,500,1028,159
1008,807,1001,1222,925,858,916,660,1008,1241,234,464,1008,1000,80,500,1028,159,271
807,1001,1222,925,858,916,660,1008,1241,234,464,1008,1000,80,500,1028,159,271,884
1001,1222,925,858,916,660,1008,1241,234,464,1008,1000,80,500,1028,159,271,884,1008
1222,925,858,916,660,1008,1241,234,464,1008,1000,80,500,1028,159,271,884,1008,1164
925,858,916,660,1008,1241,234,464,1008,1000,80,500,1028,159,271,884,1008,1164,166
858,916,660,1008,1241,234,464,1008,1000,80,500,1028,159,271,884,1008,1164,166,164
916,660,1008,1241,234,464,1008,1000,80,500,1028,159,271,884,1008,1164,166,164,1008
660,1008,1241,234,464,1008,1000,80,500,1028,159,271,884,1008,1164,166,164,1008,970
