0,1,2,3,4,5,6,7,8,9,10,11,12,13
1164,1164,1164,1126,1164,1126,1164,1164,1164,1164,1164,1126,1164,1126
1164,1164,1126,1164,1126,1164,1164,1164,1164,1164,1126,1164,1126,1126
1164,1126,1164,1126,1164,1164,1164,1164,1164,1126,1164,1126,1126,1164
1126,1164,1126,1164,1164,1164,1164,1164,1126,1164,1126,1126,1164,1126
1164,1126,1164,1164,1164,1164,1164,1126,1164,1126,1126,1164,1126,346
1126,1164,1164,1164,1164,1164,1126,1164,1126,1126,1164,1126,346,232
1164,1164,1164,1164,1164,1126,1164,1126,1126,1164,1126,346,232,1008
1164,1164,1164,1164,1126,1164,1126,1126,1164,1126,346,232,1008,1030
1164,1164,1164,1126,1164,1126,1126,1164,1126,346,232,1008,1030,1008
1164,1164,1126,1164,1126,1126,1164,1126,346,232,1008,1030,1008,1008
1164,1126,1164,1126,1126,1164,1126,346,232,1008,1030,1008,1008,1008
1126,1164,1126,1126,1164,1126,346,232,1008,1030,1008,1008,1008,198
1164,1126,1126,1164,1126,346,232,1008,1030,1008,1008,1008,198,1084
1126,1126,1164,1126,346,232,1008,1030,1008,1008,1008,198,1084,1037
1126,1164,1126,346,232,1008,1030,1008,1008,1008,198,1084,1037,196
1164,1126,346,232,1008,1030,1008,1008,1008,198,1084,1037,196,1008
1126,346,232,1008,1030,1008,1008,1008,198,1084,1037,196,1008,81
346,232,1008,1030,1008,1008,1008,198,1084,1037,196,1008,81,124
232,1008,1030,1008,1008,1008,198,1084,1037,196,1008,81,124,118
1008,1030,1008,1008,1008,198,1084,1037,196,1008,81,124,118,969
1030,1008,1008,1008,198,1084,1037,196,1008,81,124,118,969,1008
1008,1008,1008,198,1084,1037,196,1008,81,124,118,969,1008,930
1008,1008,198,1084,1037,196,1008,81,124,118,969,1008,930,774
1008,198,1084,1037,196,1008,81,124,118,969,1008,930,774,1072
198,1084,1037,196,1008,81,124,118,969,1008,930,774,1072,1008
1084,1037,196,1008,81,124,118,969,1008,930,774,1072,1008,1008
1037,196,1008,81,124,118,969,1008,930,774,1072,1008,1008,1150
196,1008,81,124,118,969,1008,930,774,1072,1008,1008,1150,735
1008,81,124,118,969,1008,930,774,1072,1008,1008,1150,735,240
81,124,118,969,1008,930,774,1072,1008,1008,1150,735,240,1008
124,118,969,1008,930,774,1072,1008,1008,1150,735,240,1008,747
118,969,1008,930,774,1072,1008,1008,1150,735,240,1008,747,1008
969,1008,930,774,1072,1008,1008,1150,735,240,1008,747,1008,279
1008,930,774,1072,1008,1008,1150,735,240,1008,747,1008,279,1008
930,774,1072,1008,1008,1150,735,240,1008,747,1008,279,1008,746
774,1072,1008,1008,1150,735,240,1008,747,1008,279,1008,746,922
1072,1008,1008,1150,735,240,1008,747,1008,279,1008,746,922,813
1008,1008,1150,735,240,1008,747,1008,279,1008,746,922,813,308
1008,1150,735,240,1008,747,1008,279,1008,746,922,813,308,385
1150,735,240,1008,747,1008,279,1008,746,922,813,308,385,308
735,240,1008,747,1008,279,1008,746,922,813,308,385,308,1008
240,1008,747,1008,279,1008,746,922,813,308,385,308,1008,1008
1008,747,1008,279,1008,746,922,813,308,385,308,1008,1008,857
747,1008,279,1008,746,922,813,308,385,308,1008,1008,857,1352
1008,279,1008,746,922,813,308,385,308,1008,1008,857,1352,1008
279,1008,746,922,813,308,385,308,1008,1008,857,1352,1008,1113
1008,746,922,813,308,385,308,1008,1008,857,1352,1008,1113,1113
746,922,813,308,385,308,1008,1008,857,1352,1008,1113,1113,1008
922,813,308,385,308,1008,1008,857,1352,1008,1113,1113,1008,1008
813,308,385,308,1008,1008,857,1352,1008,1113,1113,1008,1008,653
308,385,308,1008,1008,857,1352,1008,1113,1113,1008,1008,653,994
385,308,1008,1008,857,1352,1008,1113,1113,1008,1008,653,994,1008
308,1008,1008,857,1352,1008,1113,1113,1008,1008,653,994,1008,167
1008,1008,857,1352,1008,1113,1113,1008,1008,653,994,1008,167,80
1008,857,1352,1008,1113,1113,1008,1008,653,994,1008,167,80,197
857,1352,1008,1113,1113,1008,1008,653,994,1008,167,80,197,1035
1352,1008,1113,1113,1008,1008,653,994,1008,167,80,197,1035,1008
1008,1113,1113,1008,1008,653,994,1008,167,80,197,1035,1008,158
1113,1113,1008,1008,653,994,1008,167,80,197,1035,1008,158,1008
1113,1008,1008,653,994,1008,167,80,197,1035,1008,158,1008,1074
1008,1008,653,994,1008,167,80,197,1035,1008,158,1008,1074,1074
1008,653,994,1008,167,80,197,1035,1008,158,1008,1074,1074,1008
653,994,1008,167,80,197,1035,1008,158,1008,1074,1074,1008,1008
994,1008,167,80,197,1035,1008,158,1008,1074,1074,1008,1008,1008
1008,167,80,197,1035,1008,158,1008,1074,1074,1008,1008,1008,277
167,80,197,1035,1008,158,1008,1074,1074,1008,1008,1008,277,1312
80,197,1035,1008,158,1008,1074,1074,1008,1008,1008,277,1312,1000
197,1035,1008,158,1008,1074,1074,1008,1008,1008,277,1312,1000,90
1035,1008,158,1008,1074,1074,1008,1008,1008,277,1312,1000,90,500
1008,158,1008,1074,1074,1008,1008,1008,277,1312,1000,90,500,238
158,1008,1074,1074,1008,1008,1008,277,1312,1000,90,500,238,156
1008,1074,1074,1008,1008,1008,277,1312,1000,90,500,238,156,115
1074,1074,1008,1008,1008,277,1312,1000,90,500,238,156,115,845
