0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
13,616,615,237,544,1009,1009,1009,661,809,1483,500,500,500,500,500,499,1046,1009,462
616,615,237,544,1009,1009,1009,661,809,1483,500,500,500,500,500,499,1046,1009,462,462
615,237,544,1009,1009,1009,661,809,1483,500,500,500,500,500,499,1046,1009,462,462,500
237,544,1009,1009,1009,661,809,1483,500,500,500,500,500,499,1046,1009,462,462,500,1000
544,1009,1009,1009,661,809,1483,500,500,500,500,500,499,1046,1009,462,462,500,1000,702
1009,1009,1009,661,809,1483,500,500,500,500,500,499,1046,1009,462,462,500,1000,702,195
1009,1009,661,809,1483,500,500,500,500,500,499,1046,1009,462,462,500,1000,702,195,499
1009,661,809,1483,500,500,500,500,500,499,1046,1009,462,462,500,1000,702,195,499,1009
661,809,1483,500,500,500,500,500,499,1046,1009,462,462,500,1000,702,195,499,1009,1009
809,1483,500,500,500,500,500,499,1046,1009,462,462,500,1000,702,195,499,1009,1009,462
1483,500,500,500,500,500,499,1046,1009,462,462,500,1000,702,195,499,1009,1009,462,461
500,500,500,500,500,499,1046,1009,462,462,500,1000,702,195,499,1009,1009,462,461,500
500,500,500,500,499,1046,1009,462,462,500,1000,702,195,499,1009,1009,462,461,500,1067
500,500,500,499,1046,1009,462,462,500,1000,702,195,499,1009,1009,462,461,500,1067,1009
500,500,499,1046,1009,462,462,500,1000,702,195,499,1009,1009,462,461,500,1067,1009,809
500,499,1046,1009,462,462,500,1000,702,195,499,1009,1009,462,461,500,1067,1009,809,1188
499,1046,1009,462,462,500,1000,702,195,499,1009,1009,462,461,500,1067,1009,809,1188,307
1046,1009,462,462,500,1000,702,195,499,1009,1009,462,461,500,1067,1009,809,1188,307,971
1009,462,462,500,1000,702,195,499,1009,1009,462,461,500,1067,1009,809,1188,307,971,892
462,462,500,1000,702,195,499,1009,1009,462,461,500,1067,1009,809,1188,307,971,892,1235
462,500,1000,702,195,499,1009,1009,462,461,500,1067,1009,809,1188,307,971,892,1235,1046
500,1000,702,195,499,1009,1009,462,461,500,1067,1009,809,1188,307,971,892,1235,1046,233
1000,702,195,499,1009,1009,462,461,500,1067,1009,809,1188,307,971,892,1235,1046,233,237
702,195,499,1009,1009,462,461,500,1067,1009,809,1188,307,971,892,1235,1046,233,237,1008
195,499,1009,1009,462,461,500,1067,1009,809,1188,307,971,892,1235,1046,233,237,1008,1008
499,1009,1009,462,461,500,1067,1009,809,1188,307,971,892,1235,1046,233,237,1008,1008,701
1009,1009,462,461,500,1067,1009,809,1188,307,971,892,1235,1046,233,237,1008,1008,701,701
1009,462,461,500,1067,1009,809,1188,307,971,892,1235,1046,233,237,1008,1008,701,701,1009
462,461,500,1067,1009,809,1188,307,971,892,1235,1046,233,237,1008,1008,701,701,1009,971
461,500,1067,1009,809,1188,307,971,892,1235,1046,233,237,1008,1008,701,701,1009,971,308
500,1067,1009,809,1188,307,971,892,1235,1046,233,237,1008,1008,701,701,1009,971,308,1205
1067,1009,809,1188,307,971,892,1235,1046,233,237,1008,1008,701,701,1009,971,308,1205,652
1009,809,1188,307,971,892,1235,1046,233,237,1008,1008,701,701,1009,971,308,1205,652,2
809,1188,307,971,892,1235,1046,233,237,1008,1008,701,701,1009,971,308,1205,652,2,1081
1188,307,971,892,1235,1046,233,237,1008,1008,701,701,1009,971,308,1205,652,2,1081,1353
307,971,892,1235,1046,233,237,1008,1008,701,701,1009,971,308,1205,652,2,1081,1353,275
971,892,1235,1046,233,237,1008,1008,701,701,1009,971,308,1205,652,2,1081,1353,275,768
892,1235,1046,233,237,1008,1008,701,701,1009,971,308,1205,652,2,1081,1353,275,768,654
1235,1046,233,237,1008,1008,701,701,1009,971,308,1205,652,2,1081,1353,275,768,654,1035
1046,233,237,1008,1008,701,701,1009,971,308,1205,652,2,1081,1353,275,768,654,1035,88
233,237,1008,1008,701,701,1009,971,308,1205,652,2,1081,1353,275,768,654,1035,88,276
237,1008,1008,701,701,1009,971,308,1205,652,2,1081,1353,275,768,654,1035,88,276,117
1008,1008,701,701,1009,971,308,1205,652,2,1081,1353,275,768,654,1035,88,276,117,1009
1008,701,701,1009,971,308,1205,652,2,1081,1353,275,768,654,1035,88,276,117,1009,1008
701,701,1009,971,308,1205,652,2,1081,1353,275,768,654,1035,88,276,117,1009,1008,195
701,1009,971,308,1205,652,2,1081,1353,275,768,654,1035,88,276,117,1009,1008,195,1080
1009,971,308,1205,652,2,1081,1353,275,768,654,1035,88,276,117,1009,1008,195,1080,1008
971,308,1205,652,2,1081,1353,275,768,654,1035,88,276,117,1009,1008,195,1080,1008,461
308,1205,652,2,1081,1353,275,768,654,1035,88,276,117,1009,1008,195,1080,1008,461,1039
1205,652,2,1081,1353,275,768,654,1035,88,276,117,1009,1008,195,1080,1008,461,1039,1039
652,2,1081,1353,275,768,654,1035,88,276,117,1009,1008,195,1080,1008,461,1039,1039,1039
2,1081,1353,275,768,654,1035,88,276,117,1009,1008,195,1080,1008,461,1039,1039,1039,1039
1081,1353,275,768,654,1035,88,276,117,1009,1008,195,1080,1008,461,1039,1039,1039,1039,1040
1353,275,768,654,1035,88,276,117,1009,1008,195,1080,1008,461,1039,1039,1039,1039,1040,1039
275,768,654,1035,88,276,117,1009,1008,195,1080,1008,461,1039,1039,1039,1039,1040,1039,1009
768,654,1035,88,276,117,1009,1008,195,1080,1008,461,1039,1039,1039,1039,1040,1039,1009,200
654,1035,88,276,117,1009,1008,195,1080,1008,461,1039,1039,1039,1039,1040,1039,1009,200,276
1035,88,276,117,1009,1008,195,1080,1008,461,1039,1039,1039,1039,1040,1039,1009,200,276,389
88,276,117,1009,1008,195,1080,1008,461,1039,1039,1039,1039,1040,1039,1009,200,276,389,276
276,117,1009,1008,195,1080,1008,461,1039,1039,1039,1039,1040,1039,1009,200,276,389,276,463
117,1009,1008,195,1080,1008,461,1039,1039,1039,1039,1040,1039,1009,200,276,389,276,463,1046
1009,1008,195,1080,1008,461,1039,1039,1039,1039,1040,1039,1009,200,276,389,276,463,1046,1009
1008,195,1080,1008,461,1039,1039,1039,1039,1040,1039,1009,200,276,389,276,463,1046,1009,346
195,1080,1008,461,1039,1039,1039,1039,1040,1039,1009,200,276,389,276,463,1046,1009,346,747
1080,1008,461,1039,1039,1039,1039,1040,1039,1009,200,276,389,276,463,1046,1009,346,747,232
1008,461,1039,1039,1039,1039,1040,1039,1009,200,276,389,276,463,1046,1009,346,747,232,730
461,1039,1039,1039,1039,1040,1039,1009,200,276,389,276,463,1046,1009,346,747,232,730,1166
1039,1039,1039,1039,1040,1039,1009,200,276,389,276,463,1046,1009,346,747,232,730,1166,1008
1039,1039,1039,1040,1039,1009,200,276,389,276,463,1046,1009,346,747,232,730,1166,1008,389
1039,1039,1040,1039,1009,200,276,389,276,463,1046,1009,346,747,232,730,1166,1008,389,1001
1039,1040,1039,1009,200,276,389,276,463,1046,1009,346,747,232,730,1166,1008,389,1001,844
1040,1039,1009,200,276,389,276,463,1046,1009,346,747,232,730,1166,1008,389,1001,844,1188
1039,1009,200,276,389,276,463,1046,1009,346,747,232,730,1166,1008,389,1001,844,1188,1008
1009,200,276,389,276,463,1046,1009,346,747,232,730,1166,1008,389,1001,844,1188,1008,384
200,276,389,276,463,1046,1009,346,747,232,730,1166,1008,389,1001,844,1188,1008,384,308
276,389,276,463,1046,1009,346,747,232,730,1166,1008,389,1001,844,1188,1008,384,308,346
389,276,463,1046,1009,346,747,232,730,1166,1008,389,1001,844,1188,1008,384,308,346,501
276,463,1046,1009,346,747,232,730,1166,1008,389,1001,844,1188,1008,384,308,346,501,345
463,1046,1009,346,747,232,730,1166,1008,389,1001,844,1188,1008,384,308,346,501,345,1204
1046,1009,346,747,232,730,1166,1008,389,1001,844,1188,1008,384,308,346,501,345,1204,499
1009,346,747,232,730,1166,1008,389,1001,844,1188,1008,384,308,346,501,345,1204,499,1008
346,747,232,730,1166,1008,389,1001,844,1188,1008,384,308,346,501,345,1204,499,1008,855
747,232,730,1166,1008,389,1001,844,1188,1008,384,308,346,501,345,1204,499,1008,855,462
232,730,1166,1008,389,1001,844,1188,1008,384,308,346,501,345,1204,499,1008,855,462,462
730,1166,1008,389,1001,844,1188,1008,384,308,346,501,345,1204,499,1008,855,462,462,462
1166,1008,389,1001,844,1188,1008,384,308,346,501,345,1204,499,1008,855,462,462,462,734
1008,389,1001,844,1188,1008,384,308,346,501,345,1204,499,1008,855,462,462,462,734,385
389,1001,844,1188,1008,384,308,346,501,345,1204,499,1008,855,462,462,462,734,385,968
1001,844,1188,1008,384,308,346,501,345,1204,499,1008,855,462,462,462,734,385,968,239
844,1188,1008,384,308,346,501,345,1204,499,1008,855,462,462,462,734,385,968,239,383
1188,1008,384,308,346,501,345,1204,499,1008,855,462,462,462,734,385,968,239,383,383
1008,384,308,346,501,345,1204,499,1008,855,462,462,462,734,385,968,239,383,383,500
384,308,346,501,345,1204,499,1008,855,462,462,462,734,385,968,239,383,383,500,500
308,346,501,345,1204,499,1008,855,462,462,462,734,385,968,239,383,383,500,500,500
346,501,345,1204,499,1008,855,462,462,462,734,385,968,239,383,383,500,500,500,423
501,345,1204,499,1008,855,462,462,462,734,385,968,239,383,383,500,500,500,423,1008
345,1204,499,1008,855,462,462,462,734,385,968,239,383,383,500,500,500,423,1008,3
1204,499,1008,855,462,462,462,734,385,968,239,383,383,500,500,500,423,1008,3,1008
499,1008,855,462,462,462,734,385,968,239,383,383,500,500,500,423,1008,3,1008,120
1008,855,462,462,462,734,385,968,239,383,383,500,500,500,423,1008,3,1008,120,276
855,462,462,462,734,385,968,239,383,383,500,500,500,423,1008,3,1008,120,276,462
462,462,462,734,385,968,239,383,383,500,500,500,423,1008,3,1008,120,276,462,1008
462,462,734,385,968,239,383,383,500,500,500,423,1008,3,1008,120,276,462,1008,1009
462,734,385,968,239,383,383,500,500,500,423,1008,3,1008,120,276,462,1008,1009,422
734,385,968,239,383,383,500,500,500,423,1008,3,1008,120,276,462,1008,1009,422,309
385,968,239,383,383,500,500,500,423,1008,3,1008,120,276,462,1008,1009,422,309,309
968,239,383,383,500,500,500,423,1008,3,1008,120,276,462,1008,1009,422,309,309,884
239,383,383,500,500,500,423,1008,3,1008,120,276,462,1008,1009,422,309,309,884,1008
383,383,500,500,500,423,1008,3,1008,120,276,462,1008,1009,422,309,309,884,1008,50
383,500,500,500,423,1008,3,1008,120,276,462,1008,1009,422,309,309,884,1008,50,1165
500,500,500,423,1008,3,1008,120,276,462,1008,1009,422,309,309,884,1008,50,1165,461
500,500,423,1008,3,1008,120,276,462,1008,1009,422,309,309,884,1008,50,1165,461,1008
500,423,1008,3,1008,120,276,462,1008,1009,422,309,309,884,1008,50,1165,461,1008,201
423,1008,3,1008,120,276,462,1008,1009,422,309,309,884,1008,50,1165,461,1008,201,422
1008,3,1008,120,276,462,1008,1009,422,309,309,884,1008,50,1165,461,1008,201,422,422
3,1008,120,276,462,1008,1009,422,309,309,884,1008,50,1165,461,1008,201,422,422,461
1008,120,276,462,1008,1009,422,309,309,884,1008,50,1165,461,1008,201,422,422,461,1008
120,276,462,1008,1009,422,309,309,884,1008,50,1165,461,1008,201,422,422,461,1008,1008
276,462,1008,1009,422,309,309,884,1008,50,1165,461,1008,201,422,422,461,1008,1008,461
462,1008,1009,422,309,309,884,1008,50,1165,461,1008,201,422,422,461,1008,1008,461,160
1008,1009,422,309,309,884,1008,50,1165,461,1008,201,422,422,461,1008,1008,461,160,1008
1009,422,309,309,884,1008,50,1165,461,1008,201,422,422,461,1008,1008,461,160,1008,1008
422,309,309,884,1008,50,1165,461,1008,201,422,422,461,1008,1008,461,160,1008,1008,461
309,309,884,1008,50,1165,461,1008,201,422,422,461,1008,1008,461,160,1008,1008,461,462
309,884,1008,50,1165,461,1008,201,422,422,461,1008,1008,461,160,1008,1008,461,462,461
884,1008,50,1165,461,1008,201,422,422,461,1008,1008,461,160,1008,1008,461,462,461,461
1008,50,1165,461,1008,201,422,422,461,1008,1008,461,160,1008,1008,461,462,461,461,1008
50,1165,461,1008,201,422,422,461,1008,1008,461,160,1008,1008,461,462,461,461,1008,460
1165,461,1008,201,422,422,461,1008,1008,461,160,1008,1008,461,462,461,461,1008,460,1008
461,1008,201,422,422,461,1008,1008,461,160,1008,1008,461,462,461,461,1008,460,1008,423
1008,201,422,422,461,1008,1008,461,160,1008,1008,461,462,461,461,1008,460,1008,423,1009
201,422,422,461,1008,1008,461,160,1008,1008,461,462,461,461,1008,460,1008,423,1009,1046
422,422,461,1008,1008,461,160,1008,1008,461,462,461,461,1008,460,1008,423,1009,1046,383
422,461,1008,1008,461,160,1008,1008,461,462,461,461,1008,460,1008,423,1009,1046,383,422
461,1008,1008,461,160,1008,1008,461,462,461,461,1008,460,1008,423,1009,1046,383,422,307
1008,1008,461,160,1008,1008,461,462,461,461,1008,460,1008,423,1009,1046,383,422,307,269
1008,461,160,1008,1008,461,462,461,461,1008,460,1008,423,1009,1046,383,422,307,269,423
461,160,1008,1008,461,462,461,461,1008,460,1008,423,1009,1046,383,422,307,269,423,383
160,1008,1008,461,462,461,461,1008,460,1008,423,1009,1046,383,422,307,269,423,383,971
1008,1008,461,462,461,461,1008,460,1008,423,1009,1046,383,422,307,269,423,383,971,461
1008,461,462,461,461,1008,460,1008,423,1009,1046,383,422,307,269,423,383,971,461,269
461,462,461,461,1008,460,1008,423,1009,1046,383,422,307,269,423,383,971,461,269,355
462,461,461,1008,460,1008,423,1009,1046,383,422,307,269,423,383,971,461,269,355,307
461,461,1008,460,1008,423,1009,1046,383,422,307,269,423,383,971,461,269,355,307,307
461,1008,460,1008,423,1009,1046,383,422,307,269,423,383,971,461,269,355,307,307,422
1008,460,1008,423,1009,1046,383,422,307,269,423,383,971,461,269,355,307,307,422,345
460,1008,423,1009,1046,383,422,307,269,423,383,971,461,269,355,307,307,422,345,383
1008,423,1009,1046,383,422,307,269,423,383,971,461,269,355,307,307,422,345,383,422
423,1009,1046,383,422,307,269,423,383,971,461,269,355,307,307,422,345,383,422,1164
1009,1046,383,422,307,269,423,383,971,461,269,355,307,307,422,345,383,422,1164,969
1046,383,422,307,269,423,383,971,461,269,355,307,307,422,345,383,422,1164,969,307
383,422,307,269,423,383,971,461,269,355,307,307,422,345,383,422,1164,969,307,385
422,307,269,423,383,971,461,269,355,307,307,422,345,383,422,1164,969,307,385,10
307,269,423,383,971,461,269,355,307,307,422,345,383,422,1164,969,307,385,10,383
269,423,383,971,461,269,355,307,307,422,345,383,422,1164,969,307,385,10,383,462
423,383,971,461,269,355,307,307,422,345,383,422,1164,969,307,385,10,383,462,460
383,971,461,269,355,307,307,422,345,383,422,1164,969,307,385,10,383,462,460,460
971,461,269,355,307,307,422,345,383,422,1164,969,307,385,10,383,462,460,460,269
461,269,355,307,307,422,345,383,422,1164,969,307,385,10,383,462,460,460,269,461
269,355,307,307,422,345,383,422,1164,969,307,385,10,383,462,460,460,269,461,383
355,307,307,422,345,383,422,1164,969,307,385,10,383,462,460,460,269,461,383,345
307,307,422,345,383,422,1164,969,307,385,10,383,462,460,460,269,461,383,345,422
307,422,345,383,422,1164,969,307,385,10,383,462,460,460,269,461,383,345,422,195
422,345,383,422,1164,969,307,385,10,383,462,460,460,269,461,383,345,422,195,383
345,383,422,1164,969,307,385,10,383,462,460,460,269,461,383,345,422,195,383,384
383,422,1164,969,307,385,10,383,462,460,460,269,461,383,345,422,195,383,384,384
422,1164,969,307,385,10,383,462,460,460,269,461,383,345,422,195,383,384,384,384
1164,969,307,385,10,383,462,460,460,269,461,383,345,422,195,383,384,384,384,346
969,307,385,10,383,462,460,460,269,461,383,345,422,195,383,384,384,384,346,384
307,385,10,383,462,460,460,269,461,383,345,422,195,383,384,384,384,346,384,384
385,10,383,462,460,460,269,461,383,345,422,195,383,384,384,384,346,384,384,384
10,383,462,460,460,269,461,383,345,422,195,383,384,384,384,346,384,384,384,384
383,462,460,460,269,461,383,345,422,195,383,384,384,384,346,384,384,384,384,383
462,460,460,269,461,383,345,422,195,383,384,384,384,346,384,384,384,384,383,461
460,460,269,461,383,345,422,195,383,384,384,384,346,384,384,384,384,383,461,384
460,269,461,383,345,422,195,383,384,384,384,346,384,384,384,384,383,461,384,460
269,461,383,345,422,195,383,384,384,384,346,384,384,384,384,383,461,384,460,461
461,383,345,422,195,383,384,384,384,346,384,384,384,384,383,461,384,460,461,384
383,345,422,195,383,384,384,384,346,384,384,384,384,383,461,384,460,461,384,423
345,422,195,383,384,384,384,346,384,384,384,384,383,461,384,460,461,384,423,461
422,195,383,384,384,384,346,384,384,384,384,383,461,384,460,461,384,423,461,461
195,383,384,384,384,346,384,384,384,384,383,461,384,460,461,384,423,461,461,461
383,384,384,384,346,384,384,384,384,383,461,384,460,461,384,423,461,461,461,460
384,384,384,346,384,384,384,384,383,461,384,460,461,384,423,461,461,461,460,460
384,384,346,384,384,384,384,383,461,384,460,461,384,423,461,461,461,460,460,1009
384,346,384,384,384,384,383,461,384,460,461,384,423,461,461,461,460,460,1009,461
346,384,384,384,384,383,461,384,460,461,384,423,461,461,461,460,460,1009,461,461
384,384,384,384,383,461,384,460,461,384,423,461,461,461,460,460,1009,461,461,461
384,384,384,383,461,384,460,461,384,423,461,461,461,460,460,1009,461,461,461,461
384,384,383,461,384,460,461,384,423,461,461,461,460,460,1009,461,461,461,461,461
384,383,461,384,460,461,384,423,461,461,461,460,460,1009,461,461,461,461,461,307
383,461,384,460,461,384,423,461,461,461,460,460,1009,461,461,461,461,461,307,422
461,384,460,461,384,423,461,461,461,460,460,1009,461,461,461,461,461,307,422,421
384,460,461,384,423,461,461,461,460,460,1009,461,461,461,461,461,307,422,421,383
460,461,384,423,461,461,461,460,460,1009,461,461,461,461,461,307,422,421,383,383
461,384,423,461,461,461,460,460,1009,461,461,461,461,461,307,422,421,383,383,383
384,423,461,461,461,460,460,1009,461,461,461,461,461,307,422,421,383,383,383,307
423,461,461,461,460,460,1009,461,461,461,461,461,307,422,421,383,383,383,307,307
461,461,461,460,460,1009,461,461,461,461,461,307,422,421,383,383,383,307,307,384
461,461,460,460,1009,461,461,461,461,461,307,422,421,383,383,383,307,307,384,384
461,460,460,1009,461,461,461,461,461,307,422,421,383,383,383,307,307,384,384,384
460,460,1009,461,461,461,461,461,307,422,421,383,383,383,307,307,384,384,384,385
460,1009,461,461,461,461,461,307,422,421,383,383,383,307,307,384,384,384,385,276
1009,461,461,461,461,461,307,422,421,383,383,383,307,307,384,384,384,385,276,461
461,461,461,461,461,307,422,421,383,383,383,307,307,384,384,384,385,276,461,423
461,461,461,461,307,422,421,383,383,383,307,307,384,384,384,385,276,461,423,308
461,461,461,307,422,421,383,383,383,307,307,384,384,384,385,276,461,423,308,461
461,461,307,422,421,383,383,383,307,307,384,384,384,385,276,461,423,308,461,1182
461,307,422,421,383,383,383,307,307,384,384,384,385,276,461,423,308,461,1182,383
307,422,421,383,383,383,307,307,384,384,384,385,276,461,423,308,461,1182,383,383
422,421,383,383,383,307,307,384,384,384,385,276,461,423,308,461,1182,383,383,384
421,383,383,383,307,307,384,384,384,385,276,461,423,308,461,1182,383,383,384,384
383,383,383,307,307,384,384,384,385,276,461,423,308,461,1182,383,383,384,384,422
383,383,307,307,384,384,384,385,276,461,423,308,461,1182,383,383,384,384,422,384
383,307,307,384,384,384,385,276,461,423,308,461,1182,383,383,384,384,422,384,384
307,307,384,384,384,385,276,461,423,308,461,1182,383,383,384,384,422,384,384,422
307,384,384,384,385,276,461,423,308,461,1182,383,383,384,384,422,384,384,422,384
384,384,384,385,276,461,423,308,461,1182,383,383,384,384,422,384,384,422,384,384
384,384,385,276,461,423,308,461,1182,383,383,384,384,422,384,384,422,384,384,384
384,385,276,461,423,308,461,1182,383,383,384,384,422,384,384,422,384,384,384,422
385,276,461,423,308,461,1182,383,383,384,384,422,384,384,422,384,384,384,422,384
276,461,423,308,461,1182,383,383,384,384,422,384,384,422,384,384,384,422,384,422
461,423,308,461,1182,383,383,384,384,422,384,384,422,384,384,384,422,384,422,385
423,308,461,1182,383,383,384,384,422,384,384,422,384,384,384,422,384,422,385,423
308,461,1182,383,383,384,384,422,384,384,422,384,384,384,422,384,422,385,423,423
461,1182,383,383,384,384,422,384,384,422,384,384,384,422,384,422,385,423,423,275
1182,383,383,384,384,422,384,384,422,384,384,384,422,384,422,385,423,423,275,238
383,383,384,384,422,384,384,422,384,384,384,422,384,422,385,423,423,275,238,275
383,384,384,422,384,384,422,384,384,384,422,384,422,385,423,423,275,238,275,1008
384,384,422,384,384,422,384,384,384,422,384,422,385,423,423,275,238,275,1008,1000
384,422,384,384,422,384,384,384,422,384,422,385,423,423,275,238,275,1008,1000,1001
422,384,384,422,384,384,384,422,384,422,385,423,423,275,238,275,1008,1000,1001,200
384,384,422,384,384,384,422,384,422,385,423,423,275,238,275,1008,1000,1001,200,47
384,422,384,384,384,422,384,422,385,423,423,275,238,275,1008,1000,1001,200,47,1008
422,384,384,384,422,384,422,385,423,423,275,238,275,1008,1000,1001,200,47,1008,1038
384,384,384,422,384,422,385,423,423,275,238,275,1008,1000,1001,200,47,1008,1038,1164
384,384,422,384,422,385,423,423,275,238,275,1008,1000,1001,200,47,1008,1038,1164,1080
384,422,384,422,385,423,423,275,238,275,1008,1000,1001,200,47,1008,1038,1164,1080,1008
422,384,422,385,423,423,275,238,275,1008,1000,1001,200,47,1008,1038,1164,1080,1008,690
384,422,385,423,423,275,238,275,1008,1000,1001,200,47,1008,1038,1164,1080,1008,690,1008
422,385,423,423,275,238,275,1008,1000,1001,200,47,1008,1038,1164,1080,1008,690,1008,1008
385,423,423,275,238,275,1008,1000,1001,200,47,1008,1038,1164,1080,1008,690,1008,1008,119
423,423,275,238,275,1008,1000,1001,200,47,1008,1038,1164,1080,1008,690,1008,1008,119,891
423,275,238,275,1008,1000,1001,200,47,1008,1038,1164,1080,1008,690,1008,1008,119,891,1008
275,238,275,1008,1000,1001,200,47,1008,1038,1164,1080,1008,690,1008,1008,119,891,1008,1035
238,275,1008,1000,1001,200,47,1008,1038,1164,1080,1008,690,1008,1008,119,891,1008,1035,739
275,1008,1000,1001,200,47,1008,1038,1164,1080,1008,690,1008,1008,119,891,1008,1035,739,1008
1008,1000,1001,200,47,1008,1038,1164,1080,1008,690,1008,1008,119,891,1008,1035,739,1008,1008
1000,1001,200,47,1008,1038,1164,1080,1008,690,1008,1008,119,891,1008,1035,739,1008,1008,1008
1001,200,47,1008,1038,1164,1080,1008,690,1008,1008,119,891,1008,1035,739,1008,1008,1008,270
200,47,1008,1038,1164,1080,1008,690,1008,1008,119,891,1008,1035,739,1008,1008,1008,270,308
47,1008,1038,1164,1080,1008,690,1008,1008,119,891,1008,1035,739,1008,1008,1008,270,308,1028
1008,1038,1164,1080,1008,690,1008,1008,119,891,1008,1035,739,1008,1008,1008,270,308,1028,971
1038,1164,1080,1008,690,1008,1008,119,891,1008,1035,739,1008,1008,1008,270,308,1028,971,1009
1164,1080,1008,690,1008,1008,119,891,1008,1035,739,1008,1008,1008,270,308,1028,971,1009,3
1080,1008,690,1008,1008,119,891,1008,1035,739,1008,1008,1008,270,308,1028,971,1009,3,1008
1008,690,1008,1008,119,891,1008,1035,739,1008,1008,1008,270,308,1028,971,1009,3,1008,743
690,1008,1008,119,891,1008,1035,739,1008,1008,1008,270,308,1028,971,1009,3,1008,743,1204
1008,1008,119,891,1008,1035,739,1008,1008,1008,270,308,1028,971,1009,3,1008,743,1204,1464
1008,119,891,1008,1035,739,1008,1008,1008,270,308,1028,971,1009,3,1008,743,1204,1464,1008
119,891,1008,1035,739,1008,1008,1008,270,308,1028,971,1009,3,1008,743,1204,1464,1008,1008
891,1008,1035,739,1008,1008,1008,270,308,1028,971,1009,3,1008,743,1204,1464,1008,1008,1008
1008,1035,739,1008,1008,1008,270,308,1028,971,1009,3,1008,743,1204,1464,1008,1008,1008,276
1035,739,1008,1008,1008,270,308,1028,971,1009,3,1008,743,1204,1464,1008,1008,1008,276,1033
739,1008,1008,1008,270,308,1028,971,1009,3,1008,743,1204,1464,1008,1008,1008,276,1033,1008
1008,1008,1008,270,308,1028,971,1009,3,1008,743,1204,1464,1008,1008,1008,276,1033,1008,79
1008,1008,270,308,1028,971,1009,3,1008,743,1204,1464,1008,1008,1008,276,1033,1008,79,577
1008,270,308,1028,971,1009,3,1008,743,1204,1464,1008,1008,1008,276,1033,1008,79,577,1008
270,308,1028,971,1009,3,1008,743,1204,1464,1008,1008,1008,276,1033,1008,79,577,1008,807
308,1028,971,1009,3,1008,743,1204,1464,1008,1008,1008,276,1033,1008,79,577,1008,807,1001
1028,971,1009,3,1008,743,1204,1464,1008,1008,1008,276,1033,1008,79,577,1008,807,1001,1222
971,1009,3,1008,743,1204,1464,1008,1008,1008,276,1033,1008,79,577,1008,807,1001,1222,925
1009,3,1008,743,1204,1464,1008,1008,1008,276,1033,1008,79,577,1008,807,1001,1222,925,858
3,1008,743,1204,1464,1008,1008,1008,276,1033,1008,79,577,1008,807,1001,1222,925,858,916
1008,743,1204,1464,1008,1008,1008,276,1033,1008,79,577,1008,807,1001,1222,925,858,916,660
743,1204,1464,1008,1008,1008,276,1033,1008,79,577,1008,807,1001,1222,925,858,916,660,1008
1204,1464,1008,1008,1008,276,1033,1008,79,577,1008,807,1001,1222,925,858,916,660,1008,1241
1464,1008,1008,1008,276,1033,1008,79,577,1008,807,1001,1222,925,858,916,660,1008,1241,234
1008,1008,1008,276,1033,1008,79,577,1008,807,1001,1222,925,858,916,660,1008,1241,234,464
