0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
962,772,1008,816,925,277,383,922,461,1008,1009,156,13,616,615,237,544,1009,1009,1009,661,809,1483,500,500,500,500,500,499,1046,1009,462,462,500
772,1008,816,925,277,383,922,461,1008,1009,156,13,616,615,237,544,1009,1009,1009,661,809,1483,500,500,500,500,500,499,1046,1009,462,462,500,1000
1008,816,925,277,383,922,461,1008,1009,156,13,616,615,237,544,1009,1009,1009,661,809,1483,500,500,500,500,500,499,1046,1009,462,462,500,1000,702
816,925,277,383,922,461,1008,1009,156,13,616,615,237,544,1009,1009,1009,661,809,1483,500,500,500,500,500,499,1046,1009,462,462,500,1000,702,195
925,277,383,922,461,1008,1009,156,13,616,615,237,544,1009,1009,1009,661,809,1483,500,500,500,500,500,499,1046,1009,462,462,500,1000,702,195,499
277,383,922,461,1008,1009,156,13,616,615,237,544,1009,1009,1009,661,809,1483,500,500,500,500,500,499,1046,1009,462,462,500,1000,702,195,499,1009
383,922,461,1008,1009,156,13,616,615,237,544,1009,1009,1009,661,809,1483,500,500,500,500,500,499,1046,1009,462,462,500,1000,702,195,499,1009,1009
922,461,1008,1009,156,13,616,615,237,544,1009,1009,1009,661,809,1483,500,500,500,500,500,499,1046,1009,462,462,500,1000,702,195,499,1009,1009,462
461,1008,1009,156,13,616,615,237,544,1009,1009,1009,661,809,1483,500,500,500,500,500,499,1046,1009,462,462,500,1000,702,195,499,1009,1009,462,461
1008,1009,156,13,616,615,237,544,1009,1009,1009,661,809,1483,500,500,500,500,500,499,1046,1009,462,462,500,1000,702,195,499,1009,1009,462,461,500
1009,156,13,616,615,237,544,1009,1009,1009,661,809,1483,500,500,500,500,500,499,1046,1009,462,462,500,1000,702,195,499,1009,1009,462,461,500,1067
156,13,616,615,237,544,1009,1009,1009,661,809,1483,500,500,500,500,500,499,1046,1009,462,462,500,1000,702,195,499,1009,1009,462,461,500,1067,1009
13,616,615,237,544,1009,1009,1009,661,809,1483,500,500,500,500,500,499,1046,1009,462,462,500,1000,702,195,499,1009,1009,462,461,500,1067,1009,809
616,615,237,544,1009,1009,1009,661,809,1483,500,500,500,500,500,499,1046,1009,462,462,500,1000,702,195,499,1009,1009,462,461,500,1067,1009,809,1188
615,237,544,1009,1009,1009,661,809,1483,500,500,500,500,500,499,1046,1009,462,462,500,1000,702,195,499,1009,1009,462,461,500,1067,1009,809,1188,307
237,544,1009,1009,1009,661,809,1483,500,500,500,500,500,499,1046,1009,462,462,500,1000,702,195,499,1009,1009,462,461,500,1067,1009,809,1188,307,971
544,1009,1009,1009,661,809,1483,500,500,500,500,500,499,1046,1009,462,462,500,1000,702,195,499,1009,1009,462,461,500,1067,1009,809,1188,307,971,892
1009,1009,1009,661,809,1483,500,500,500,500,500,499,1046,1009,462,462,500,1000,702,195,499,1009,1009,462,461,500,1067,1009,809,1188,307,971,892,1235
1009,1009,661,809,1483,500,500,500,500,500,499,1046,1009,462,462,500,1000,702,195,499,1009,1009,462,461,500,1067,1009,809,1188,307,971,892,1235,1046
1009,661,809,1483,500,500,500,500,500,499,1046,1009,462,462,500,1000,702,195,499,1009,1009,462,461,500,1067,1009,809,1188,307,971,892,1235,1046,233
661,809,1483,500,500,500,500,500,499,1046,1009,462,462,500,1000,702,195,499,1009,1009,462,461,500,1067,1009,809,1188,307,971,892,1235,1046,233,237
809,1483,500,500,500,500,500,499,1046,1009,462,462,500,1000,702,195,499,1009,1009,462,461,500,1067,1009,809,1188,307,971,892,1235,1046,233,237,1008
1483,500,500,500,500,500,499,1046,1009,462,462,500,1000,702,195,499,1009,1009,462,461,500,1067,1009,809,1188,307,971,892,1235,1046,233,237,1008,1008
500,500,500,500,500,499,1046,1009,462,462,500,1000,702,195,499,1009,1009,462,461,500,1067,1009,809,1188,307,971,892,1235,1046,233,237,1008,1008,701
500,500,500,500,499,1046,1009,462,462,500,1000,702,195,499,1009,1009,462,461,500,1067,1009,809,1188,307,971,892,1235,1046,233,237,1008,1008,701,701
500,500,500,499,1046,1009,462,462,500,1000,702,195,499,1009,1009,462,461,500,1067,1009,809,1188,307,971,892,1235,1046,233,237,1008,1008,701,701,1009
500,500,499,1046,1009,462,462,500,1000,702,195,499,1009,1009,462,461,500,1067,1009,809,1188,307,971,892,1235,1046,233,237,1008,1008,701,701,1009,971
500,499,1046,1009,462,462,500,1000,702,195,499,1009,1009,462,461,500,1067,1009,809,1188,307,971,892,1235,1046,233,237,1008,1008,701,701,1009,971,308
499,1046,1009,462,462,500,1000,702,195,499,1009,1009,462,461,500,1067,1009,809,1188,307,971,892,1235,1046,233,237,1008,1008,701,701,1009,971,308,1205
1046,1009,462,462,500,1000,702,195,499,1009,1009,462,461,500,1067,1009,809,1188,307,971,892,1235,1046,233,237,1008,1008,701,701,1009,971,308,1205,652
1009,462,462,500,1000,702,195,499,1009,1009,462,461,500,1067,1009,809,1188,307,971,892,1235,1046,233,237,1008,1008,701,701,1009,971,308,1205,652,2
462,462,500,1000,702,195,499,1009,1009,462,461,500,1067,1009,809,1188,307,971,892,1235,1046,233,237,1008,1008,701,701,1009,971,308,1205,652,2,1081
462,500,1000,702,195,499,1009,1009,462,461,500,1067,1009,809,1188,307,971,892,1235,1046,233,237,1008,1008,701,701,1009,971,308,1205,652,2,1081,1353
500,1000,702,195,499,1009,1009,462,461,500,1067,1009,809,1188,307,971,892,1235,1046,233,237,1008,1008,701,701,1009,971,308,1205,652,2,1081,1353,275
1000,702,195,499,1009,1009,462,461,500,1067,1009,809,1188,307,971,892,1235,1046,233,237,1008,1008,701,701,1009,971,308,1205,652,2,1081,1353,275,768
702,195,499,1009,1009,462,461,500,1067,1009,809,1188,307,971,892,1235,1046,233,237,1008,1008,701,701,1009,971,308,1205,652,2,1081,1353,275,768,654
195,499,1009,1009,462,461,500,1067,1009,809,1188,307,971,892,1235,1046,233,237,1008,1008,701,701,1009,971,308,1205,652,2,1081,1353,275,768,654,1035
499,1009,1009,462,461,500,1067,1009,809,1188,307,971,892,1235,1046,233,237,1008,1008,701,701,1009,971,308,1205,652,2,1081,1353,275,768,654,1035,88
1009,1009,462,461,500,1067,1009,809,1188,307,971,892,1235,1046,233,237,1008,1008,701,701,1009,971,308,1205,652,2,1081,1353,275,768,654,1035,88,276
1009,462,461,500,1067,1009,809,1188,307,971,892,1235,1046,233,237,1008,1008,701,701,1009,971,308,1205,652,2,1081,1353,275,768,654,1035,88,276,117
462,461,500,1067,1009,809,1188,307,971,892,1235,1046,233,237,1008,1008,701,701,1009,971,308,1205,652,2,1081,1353,275,768,654,1035,88,276,117,1009
461,500,1067,1009,809,1188,307,971,892,1235,1046,233,237,1008,1008,701,701,1009,971,308,1205,652,2,1081,1353,275,768,654,1035,88,276,117,1009,1008
500,1067,1009,809,1188,307,971,892,1235,1046,233,237,1008,1008,701,701,1009,971,308,1205,652,2,1081,1353,275,768,654,1035,88,276,117,1009,1008,195
1067,1009,809,1188,307,971,892,1235,1046,233,237,1008,1008,701,701,1009,971,308,1205,652,2,1081,1353,275,768,654,1035,88,276,117,1009,1008,195,1080
1009,809,1188,307,971,892,1235,1046,233,237,1008,1008,701,701,1009,971,308,1205,652,2,1081,1353,275,768,654,1035,88,276,117,1009,1008,195,1080,1008
809,1188,307,971,892,1235,1046,233,237,1008,1008,701,701,1009,971,308,1205,652,2,1081,1353,275,768,654,1035,88,276,117,1009,1008,195,1080,1008,461
1188,307,971,892,1235,1046,233,237,1008,1008,701,701,1009,971,308,1205,652,2,1081,1353,275,768,654,1035,88,276,117,1009,1008,195,1080,1008,461,1039
307,971,892,1235,1046,233,237,1008,1008,701,701,1009,971,308,1205,652,2,1081,1353,275,768,654,1035,88,276,117,1009,1008,195,1080,1008,461,1039,1039
971,892,1235,1046,233,237,1008,1008,701,701,1009,971,308,1205,652,2,1081,1353,275,768,654,1035,88,276,117,1009,1008,195,1080,1008,461,1039,1039,1039
892,1235,1046,233,237,1008,1008,701,701,1009,971,308,1205,652,2,1081,1353,275,768,654,1035,88,276,117,1009,1008,195,1080,1008,461,1039,1039,1039,1039
1235,1046,233,237,1008,1008,701,701,1009,971,308,1205,652,2,1081,1353,275,768,654,1035,88,276,117,1009,1008,195,1080,1008,461,1039,1039,1039,1039,1040
1046,233,237,1008,1008,701,701,1009,971,308,1205,652,2,1081,1353,275,768,654,1035,88,276,117,1009,1008,195,1080,1008,461,1039,1039,1039,1039,1040,1039
233,237,1008,1008,701,701,1009,971,308,1205,652,2,1081,1353,275,768,654,1035,88,276,117,1009,1008,195,1080,1008,461,1039,1039,1039,1039,1040,1039,1009
237,1008,1008,701,701,1009,971,308,1205,652,2,1081,1353,275,768,654,1035,88,276,117,1009,1008,195,1080,1008,461,1039,1039,1039,1039,1040,1039,1009,200
1008,1008,701,701,1009,971,308,1205,652,2,1081,1353,275,768,654,1035,88,276,117,1009,1008,195,1080,1008,461,1039,1039,1039,1039,1040,1039,1009,200,276
1008,701,701,1009,971,308,1205,652,2,1081,1353,275,768,654,1035,88,276,117,1009,1008,195,1080,1008,461,1039,1039,1039,1039,1040,1039,1009,200,276,389
701,701,1009,971,308,1205,652,2,1081,1353,275,768,654,1035,88,276,117,1009,1008,195,1080,1008,461,1039,1039,1039,1039,1040,1039,1009,200,276,389,276
701,1009,971,308,1205,652,2,1081,1353,275,768,654,1035,88,276,117,1009,1008,195,1080,1008,461,1039,1039,1039,1039,1040,1039,1009,200,276,389,276,463
1009,971,308,1205,652,2,1081,1353,275,768,654,1035,88,276,117,1009,1008,195,1080,1008,461,1039,1039,1039,1039,1040,1039,1009,200,276,389,276,463,1046
971,308,1205,652,2,1081,1353,275,768,654,1035,88,276,117,1009,1008,195,1080,1008,461,1039,1039,1039,1039,1040,1039,1009,200,276,389,276,463,1046,1009
308,1205,652,2,1081,1353,275,768,654,1035,88,276,117,1009,1008,195,1080,1008,461,1039,1039,1039,1039,1040,1039,1009,200,276,389,276,463,1046,1009,346
1205,652,2,1081,1353,275,768,654,1035,88,276,117,1009,1008,195,1080,1008,461,1039,1039,1039,1039,1040,1039,1009,200,276,389,276,463,1046,1009,346,747
652,2,1081,1353,275,768,654,1035,88,276,117,1009,1008,195,1080,1008,461,1039,1039,1039,1039,1040,1039,1009,200,276,389,276,463,1046,1009,346,747,232
2,1081,1353,275,768,654,1035,88,276,117,1009,1008,195,1080,1008,461,1039,1039,1039,1039,1040,1039,1009,200,276,389,276,463,1046,1009,346,747,232,730
1081,1353,275,768,654,1035,88,276,117,1009,1008,195,1080,1008,461,1039,1039,1039,1039,1040,1039,1009,200,276,389,276,463,1046,1009,346,747,232,730,1166
1353,275,768,654,1035,88,276,117,1009,1008,195,1080,1008,461,1039,1039,1039,1039,1040,1039,1009,200,276,389,276,463,1046,1009,346,747,232,730,1166,1008
275,768,654,1035,88,276,117,1009,1008,195,1080,1008,461,1039,1039,1039,1039,1040,1039,1009,200,276,389,276,463,1046,1009,346,747,232,730,1166,1008,389
768,654,1035,88,276,117,1009,1008,195,1080,1008,461,1039,1039,1039,1039,1040,1039,1009,200,276,389,276,463,1046,1009,346,747,232,730,1166,1008,389,1001
654,1035,88,276,117,1009,1008,195,1080,1008,461,1039,1039,1039,1039,1040,1039,1009,200,276,389,276,463,1046,1009,346,747,232,730,1166,1008,389,1001,844
1035,88,276,117,1009,1008,195,1080,1008,461,1039,1039,1039,1039,1040,1039,1009,200,276,389,276,463,1046,1009,346,747,232,730,1166,1008,389,1001,844,1188
88,276,117,1009,1008,195,1080,1008,461,1039,1039,1039,1039,1040,1039,1009,200,276,389,276,463,1046,1009,346,747,232,730,1166,1008,389,1001,844,1188,1008
276,117,1009,1008,195,1080,1008,461,1039,1039,1039,1039,1040,1039,1009,200,276,389,276,463,1046,1009,346,747,232,730,1166,1008,389,1001,844,1188,1008,384
117,1009,1008,195,1080,1008,461,1039,1039,1039,1039,1040,1039,1009,200,276,389,276,463,1046,1009,346,747,232,730,1166,1008,389,1001,844,1188,1008,384,308
1009,1008,195,1080,1008,461,1039,1039,1039,1039,1040,1039,1009,200,276,389,276,463,1046,1009,346,747,232,730,1166,1008,389,1001,844,1188,1008,384,308,346
1008,195,1080,1008,461,1039,1039,1039,1039,1040,1039,1009,200,276,389,276,463,1046,1009,346,747,232,730,1166,1008,389,1001,844,1188,1008,384,308,346,501
195,1080,1008,461,1039,1039,1039,1039,1040,1039,1009,200,276,389,276,463,1046,1009,346,747,232,730,1166,1008,389,1001,844,1188,1008,384,308,346,501,345
1080,1008,461,1039,1039,1039,1039,1040,1039,1009,200,276,389,276,463,1046,1009,346,747,232,730,1166,1008,389,1001,844,1188,1008,384,308,346,501,345,1204
1008,461,1039,1039,1039,1039,1040,1039,1009,200,276,389,276,463,1046,1009,346,747,232,730,1166,1008,389,1001,844,1188,1008,384,308,346,501,345,1204,499
461,1039,1039,1039,1039,1040,1039,1009,200,276,389,276,463,1046,1009,346,747,232,730,1166,1008,389,1001,844,1188,1008,384,308,346,501,345,1204,499,1008
1039,1039,1039,1039,1040,1039,1009,200,276,389,276,463,1046,1009,346,747,232,730,1166,1008,389,1001,844,1188,1008,384,308,346,501,345,1204,499,1008,855
1039,1039,1039,1040,1039,1009,200,276,389,276,463,1046,1009,346,747,232,730,1166,1008,389,1001,844,1188,1008,384,308,346,501,345,1204,499,1008,855,462
1039,1039,1040,1039,1009,200,276,389,276,463,1046,1009,346,747,232,730,1166,1008,389,1001,844,1188,1008,384,308,346,501,345,1204,499,1008,855,462,462
1039,1040,1039,1009,200,276,389,276,463,1046,1009,346,747,232,730,1166,1008,389,1001,844,1188,1008,384,308,346,501,345,1204,499,1008,855,462,462,462
1040,1039,1009,200,276,389,276,463,1046,1009,346,747,232,730,1166,1008,389,1001,844,1188,1008,384,308,346,501,345,1204,499,1008,855,462,462,462,734
1039,1009,200,276,389,276,463,1046,1009,346,747,232,730,1166,1008,389,1001,844,1188,1008,384,308,346,501,345,1204,499,1008,855,462,462,462,734,385
1009,200,276,389,276,463,1046,1009,346,747,232,730,1166,1008,389,1001,844,1188,1008,384,308,346,501,345,1204,499,1008,855,462,462,462,734,385,968
200,276,389,276,463,1046,1009,346,747,232,730,1166,1008,389,1001,844,1188,1008,384,308,346,501,345,1204,499,1008,855,462,462,462,734,385,968,239
276,389,276,463,1046,1009,346,747,232,730,1166,1008,389,1001,844,1188,1008,384,308,346,501,345,1204,499,1008,855,462,462,462,734,385,968,239,383
389,276,463,1046,1009,346,747,232,730,1166,1008,389,1001,844,1188,1008,384,308,346,501,345,1204,499,1008,855,462,462,462,734,385,968,239,383,383
276,463,1046,1009,346,747,232,730,1166,1008,389,1001,844,1188,1008,384,308,346,501,345,1204,499,1008,855,462,462,462,734,385,968,239,383,383,500
463,1046,1009,346,747,232,730,1166,1008,389,1001,844,1188,1008,384,308,346,501,345,1204,499,1008,855,462,462,462,734,385,968,239,383,383,500,500
1046,1009,346,747,232,730,1166,1008,389,1001,844,1188,1008,384,308,346,501,345,1204,499,1008,855,462,462,462,734,385,968,239,383,383,500,500,500
1009,346,747,232,730,1166,1008,389,1001,844,1188,1008,384,308,346,501,345,1204,499,1008,855,462,462,462,734,385,968,239,383,383,500,500,500,423
346,747,232,730,1166,1008,389,1001,844,1188,1008,384,308,346,501,345,1204,499,1008,855,462,462,462,734,385,968,239,383,383,500,500,500,423,1008
747,232,730,1166,1008,389,1001,844,1188,1008,384,308,346,501,345,1204,499,1008,855,462,462,462,734,385,968,239,383,383,500,500,500,423,1008,3
232,730,1166,1008,389,1001,844,1188,1008,384,308,346,501,345,1204,499,1008,855,462,462,462,734,385,968,239,383,383,500,500,500,423,1008,3,1008
730,1166,1008,389,1001,844,1188,1008,384,308,346,501,345,1204,499,1008,855,462,462,462,734,385,968,239,383,383,500,500,500,423,1008,3,1008,120
1166,1008,389,1001,844,1188,1008,384,308,346,501,345,1204,499,1008,855,462,462,462,734,385,968,239,383,383,500,500,500,423,1008,3,1008,120,276
1008,389,1001,844,1188,1008,384,308,346,501,345,1204,499,1008,855,462,462,462,734,385,968,239,383,383,500,500,500,423,1008,3,1008,120,276,462
389,1001,844,1188,1008,384,308,346,501,345,1204,499,1008,855,462,462,462,734,385,968,239,383,383,500,500,500,423,1008,3,1008,120,276,462,1008
1001,844,1188,1008,384,308,346,501,345,1204,499,1008,855,462,462,462,734,385,968,239,383,383,500,500,500,423,1008,3,1008,120,276,462,1008,1009
844,1188,1008,384,308,346,501,345,1204,499,1008,855,462,462,462,734,385,968,239,383,383,500,500,500,423,1008,3,1008,120,276,462,1008,1009,422
1188,1008,384,308,346,501,345,1204,499,1008,855,462,462,462,734,385,968,239,383,383,500,500,500,423,1008,3,1008,120,276,462,1008,1009,422,309
1008,384,308,346,501,345,1204,499,1008,855,462,462,462,734,385,968,239,383,383,500,500,500,423,1008,3,1008,120,276,462,1008,1009,422,309,309
384,308,346,501,345,1204,499,1008,855,462,462,462,734,385,968,239,383,383,500,500,500,423,1008,3,1008,120,276,462,1008,1009,422,309,309,884
308,346,501,345,1204,499,1008,855,462,462,462,734,385,968,239,383,383,500,500,500,423,1008,3,1008,120,276,462,1008,1009,422,309,309,884,1008
346,501,345,1204,499,1008,855,462,462,462,734,385,968,239,383,383,500,500,500,423,1008,3,1008,120,276,462,1008,1009,422,309,309,884,1008,50
501,345,1204,499,1008,855,462,462,462,734,385,968,239,383,383,500,500,500,423,1008,3,1008,120,276,462,1008,1009,422,309,309,884,1008,50,1165
345,1204,499,1008,855,462,462,462,734,385,968,239,383,383,500,500,500,423,1008,3,1008,120,276,462,1008,1009,422,309,309,884,1008,50,1165,461
1204,499,1008,855,462,462,462,734,385,968,239,383,383,500,500,500,423,1008,3,1008,120,276,462,1008,1009,422,309,309,884,1008,50,1165,461,1008
499,1008,855,462,462,462,734,385,968,239,383,383,500,500,500,423,1008,3,1008,120,276,462,1008,1009,422,309,309,884,1008,50,1165,461,1008,201
1008,855,462,462,462,734,385,968,239,383,383,500,500,500,423,1008,3,1008,120,276,462,1008,1009,422,309,309,884,1008,50,1165,461,1008,201,422
855,462,462,462,734,385,968,239,383,383,500,500,500,423,1008,3,1008,120,276,462,1008,1009,422,309,309,884,1008,50,1165,461,1008,201,422,422
462,462,462,734,385,968,239,383,383,500,500,500,423,1008,3,1008,120,276,462,1008,1009,422,309,309,884,1008,50,1165,461,1008,201,422,422,461
462,462,734,385,968,239,383,383,500,500,500,423,1008,3,1008,120,276,462,1008,1009,422,309,309,884,1008,50,1165,461,1008,201,422,422,461,1008
462,734,385,968,239,383,383,500,500,500,423,1008,3,1008,120,276,462,1008,1009,422,309,309,884,1008,50,1165,461,1008,201,422,422,461,1008,1008
734,385,968,239,383,383,500,500,500,423,1008,3,1008,120,276,462,1008,1009,422,309,309,884,1008,50,1165,461,1008,201,422,422,461,1008,1008,461
385,968,239,383,383,500,500,500,423,1008,3,1008,120,276,462,1008,1009,422,309,309,884,1008,50,1165,461,1008,201,422,422,461,1008,1008,461,160
968,239,383,383,500,500,500,423,1008,3,1008,120,276,462,1008,1009,422,309,309,884,1008,50,1165,461,1008,201,422,422,461,1008,1008,461,160,1008
239,383,383,500,500,500,423,1008,3,1008,120,276,462,1008,1009,422,309,309,884,1008,50,1165,461,1008,201,422,422,461,1008,1008,461,160,1008,1008
383,383,500,500,500,423,1008,3,1008,120,276,462,1008,1009,422,309,309,884,1008,50,1165,461,1008,201,422,422,461,1008,1008,461,160,1008,1008,461
383,500,500,500,423,1008,3,1008,120,276,462,1008,1009,422,309,309,884,1008,50,1165,461,1008,201,422,422,461,1008,1008,461,160,1008,1008,461,462
500,500,500,423,1008,3,1008,120,276,462,1008,1009,422,309,309,884,1008,50,1165,461,1008,201,422,422,461,1008,1008,461,160,1008,1008,461,462,461
500,500,423,1008,3,1008,120,276,462,1008,1009,422,309,309,884,1008,50,1165,461,1008,201,422,422,461,1008,1008,461,160,1008,1008,461,462,461,461
500,423,1008,3,1008,120,276,462,1008,1009,422,309,309,884,1008,50,1165,461,1008,201,422,422,461,1008,1008,461,160,1008,1008,461,462,461,461,1008
423,1008,3,1008,120,276,462,1008,1009,422,309,309,884,1008,50,1165,461,1008,201,422,422,461,1008,1008,461,160,1008,1008,461,462,461,461,1008,460
1008,3,1008,120,276,462,1008,1009,422,309,309,884,1008,50,1165,461,1008,201,422,422,461,1008,1008,461,160,1008,1008,461,462,461,461,1008,460,1008
3,1008,120,276,462,1008,1009,422,309,309,884,1008,50,1165,461,1008,201,422,422,461,1008,1008,461,160,1008,1008,461,462,461,461,1008,460,1008,423
1008,120,276,462,1008,1009,422,309,309,884,1008,50,1165,461,1008,201,422,422,461,1008,1008,461,160,1008,1008,461,462,461,461,1008,460,1008,423,1009
120,276,462,1008,1009,422,309,309,884,1008,50,1165,461,1008,201,422,422,461,1008,1008,461,160,1008,1008,461,462,461,461,1008,460,1008,423,1009,1046
276,462,1008,1009,422,309,309,884,1008,50,1165,461,1008,201,422,422,461,1008,1008,461,160,1008,1008,461,462,461,461,1008,460,1008,423,1009,1046,383
462,1008,1009,422,309,309,884,1008,50,1165,461,1008,201,422,422,461,1008,1008,461,160,1008,1008,461,462,461,461,1008,460,1008,423,1009,1046,383,422
1008,1009,422,309,309,884,1008,50,1165,461,1008,201,422,422,461,1008,1008,461,160,1008,1008,461,462,461,461,1008,460,1008,423,1009,1046,383,422,307
1009,422,309,309,884,1008,50,1165,461,1008,201,422,422,461,1008,1008,461,160,1008,1008,461,462,461,461,1008,460,1008,423,1009,1046,383,422,307,269
422,309,309,884,1008,50,1165,461,1008,201,422,422,461,1008,1008,461,160,1008,1008,461,462,461,461,1008,460,1008,423,1009,1046,383,422,307,269,423
309,309,884,1008,50,1165,461,1008,201,422,422,461,1008,1008,461,160,1008,1008,461,462,461,461,1008,460,1008,423,1009,1046,383,422,307,269,423,383
309,884,1008,50,1165,461,1008,201,422,422,461,1008,1008,461,160,1008,1008,461,462,461,461,1008,460,1008,423,1009,1046,383,422,307,269,423,383,971
884,1008,50,1165,461,1008,201,422,422,461,1008,1008,461,160,1008,1008,461,462,461,461,1008,460,1008,423,1009,1046,383,422,307,269,423,383,971,461
1008,50,1165,461,1008,201,422,422,461,1008,1008,461,160,1008,1008,461,462,461,461,1008,460,1008,423,1009,1046,383,422,307,269,423,383,971,461,269
50,1165,461,1008,201,422,422,461,1008,1008,461,160,1008,1008,461,462,461,461,1008,460,1008,423,1009,1046,383,422,307,269,423,383,971,461,269,355
1165,461,1008,201,422,422,461,1008,1008,461,160,1008,1008,461,462,461,461,1008,460,1008,423,1009,1046,383,422,307,269,423,383,971,461,269,355,307
461,1008,201,422,422,461,1008,1008,461,160,1008,1008,461,462,461,461,1008,460,1008,423,1009,1046,383,422,307,269,423,383,971,461,269,355,307,307
1008,201,422,422,461,1008,1008,461,160,1008,1008,461,462,461,461,1008,460,1008,423,1009,1046,383,422,307,269,423,383,971,461,269,355,307,307,422
201,422,422,461,1008,1008,461,160,1008,1008,461,462,461,461,1008,460,1008,423,1009,1046,383,422,307,269,423,383,971,461,269,355,307,307,422,345
422,422,461,1008,1008,461,160,1008,1008,461,462,461,461,1008,460,1008,423,1009,1046,383,422,307,269,423,383,971,461,269,355,307,307,422,345,383
422,461,1008,1008,461,160,1008,1008,461,462,461,461,1008,460,1008,423,1009,1046,383,422,307,269,423,383,971,461,269,355,307,307,422,345,383,422
461,1008,1008,461,160,1008,1008,461,462,461,461,1008,460,1008,423,1009,1046,383,422,307,269,423,383,971,461,269,355,307,307,422,345,383,422,1164
1008,1008,461,160,1008,1008,461,462,461,461,1008,460,1008,423,1009,1046,383,422,307,269,423,383,971,461,269,355,307,307,422,345,383,422,1164,969
1008,461,160,1008,1008,461,462,461,461,1008,460,1008,423,1009,1046,383,422,307,269,423,383,971,461,269,355,307,307,422,345,383,422,1164,969,307
461,160,1008,1008,461,462,461,461,1008,460,1008,423,1009,1046,383,422,307,269,423,383,971,461,269,355,307,307,422,345,383,422,1164,969,307,385
160,1008,1008,461,462,461,461,1008,460,1008,423,1009,1046,383,422,307,269,423,383,971,461,269,355,307,307,422,345,383,422,1164,969,307,385,10
1008,1008,461,462,461,461,1008,460,1008,423,1009,1046,383,422,307,269,423,383,971,461,269,355,307,307,422,345,383,422,1164,969,307,385,10,383
1008,461,462,461,461,1008,460,1008,423,1009,1046,383,422,307,269,423,383,971,461,269,355,307,307,422,345,383,422,1164,969,307,385,10,383,462
461,462,461,461,1008,460,1008,423,1009,1046,383,422,307,269,423,383,971,461,269,355,307,307,422,345,383,422,1164,969,307,385,10,383,462,460
462,461,461,1008,460,1008,423,1009,1046,383,422,307,269,423,383,971,461,269,355,307,307,422,345,383,422,1164,969,307,385,10,383,462,460,460
461,461,1008,460,1008,423,1009,1046,383,422,307,269,423,383,971,461,269,355,307,307,422,345,383,422,1164,969,307,385,10,383,462,460,460,269
461,1008,460,1008,423,1009,1046,383,422,307,269,423,383,971,461,269,355,307,307,422,345,383,422,1164,969,307,385,10,383,462,460,460,269,461
1008,460,1008,423,1009,1046,383,422,307,269,423,383,971,461,269,355,307,307,422,345,383,422,1164,969,307,385,10,383,462,460,460,269,461,383
460,1008,423,1009,1046,383,422,307,269,423,383,971,461,269,355,307,307,422,345,383,422,1164,969,307,385,10,383,462,460,460,269,461,383,345
1008,423,1009,1046,383,422,307,269,423,383,971,461,269,355,307,307,422,345,383,422,1164,969,307,385,10,383,462,460,460,269,461,383,345,422
423,1009,1046,383,422,307,269,423,383,971,461,269,355,307,307,422,345,383,422,1164,969,307,385,10,383,462,460,460,269,461,383,345,422,195
1009,1046,383,422,307,269,423,383,971,461,269,355,307,307,422,345,383,422,1164,969,307,385,10,383,462,460,460,269,461,383,345,422,195,383
