0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
1009,462,462,500,1000,702,195,499,1009,1009,462,461,500,1067,1009,809,1188,307,971,892,1235,1046,233,237,1008,1008,701,701,1009,971,308,1205
462,462,500,1000,702,195,499,1009,1009,462,461,500,1067,1009,809,1188,307,971,892,1235,1046,233,237,1008,1008,701,701,1009,971,308,1205,652
462,500,1000,702,195,499,1009,1009,462,461,500,1067,1009,809,1188,307,971,892,1235,1046,233,237,1008,1008,701,701,1009,971,308,1205,652,2
500,1000,702,195,499,1009,1009,462,461,500,1067,1009,809,1188,307,971,892,1235,1046,233,237,1008,1008,701,701,1009,971,308,1205,652,2,1081
1000,702,195,499,1009,1009,462,461,500,1067,1009,809,1188,307,971,892,1235,1046,233,237,1008,1008,701,701,1009,971,308,1205,652,2,1081,1353
702,195,499,1009,1009,462,461,500,1067,1009,809,1188,307,971,892,1235,1046,233,237,1008,1008,701,701,1009,971,308,1205,652,2,1081,1353,275
195,499,1009,1009,462,461,500,1067,1009,809,1188,307,971,892,1235,1046,233,237,1008,1008,701,701,1009,971,308,1205,652,2,1081,1353,275,768
499,1009,1009,462,461,500,1067,1009,809,1188,307,971,892,1235,1046,233,237,1008,1008,701,701,1009,971,308,1205,652,2,1081,1353,275,768,654
1009,1009,462,461,500,1067,1009,809,1188,307,971,892,1235,1046,233,237,1008,1008,701,701,1009,971,308,1205,652,2,1081,1353,275,768,654,1035
1009,462,461,500,1067,1009,809,1188,307,971,892,1235,1046,233,237,1008,1008,701,701,1009,971,308,1205,652,2,1081,1353,275,768,654,1035,88
462,461,500,1067,1009,809,1188,307,971,892,1235,1046,233,237,1008,1008,701,701,1009,971,308,1205,652,2,1081,1353,275,768,654,1035,88,276
461,500,1067,1009,809,1188,307,971,892,1235,1046,233,237,1008,1008,701,701,1009,971,308,1205,652,2,1081,1353,275,768,654,1035,88,276,117
500,1067,1009,809,1188,307,971,892,1235,1046,233,237,1008,1008,701,701,1009,971,308,1205,652,2,1081,1353,275,768,654,1035,88,276,117,1009
1067,1009,809,1188,307,971,892,1235,1046,233,237,1008,1008,701,701,1009,971,308,1205,652,2,1081,1353,275,768,654,1035,88,276,117,1009,1008
1009,809,1188,307,971,892,1235,1046,233,237,1008,1008,701,701,1009,971,308,1205,652,2,1081,1353,275,768,654,1035,88,276,117,1009,1008,195
809,1188,307,971,892,1235,1046,233,237,1008,1008,701,701,1009,971,308,1205,652,2,1081,1353,275,768,654,1035,88,276,117,1009,1008,195,1080
1188,307,971,892,1235,1046,233,237,1008,1008,701,701,1009,971,308,1205,652,2,1081,1353,275,768,654,1035,88,276,117,1009,1008,195,1080,1008
307,971,892,1235,1046,233,237,1008,1008,701,701,1009,971,308,1205,652,2,1081,1353,275,768,654,1035,88,276,117,1009,1008,195,1080,1008,461
971,892,1235,1046,233,237,1008,1008,701,701,1009,971,308,1205,652,2,1081,1353,275,768,654,1035,88,276,117,1009,1008,195,1080,1008,461,1039
892,1235,1046,233,237,1008,1008,701,701,1009,971,308,1205,652,2,1081,1353,275,768,654,1035,88,276,117,1009,1008,195,1080,1008,461,1039,1039
1235,1046,233,237,1008,1008,701,701,1009,971,308,1205,652,2,1081,1353,275,768,654,1035,88,276,117,1009,1008,195,1080,1008,461,1039,1039,1039
1046,233,237,1008,1008,701,701,1009,971,308,1205,652,2,1081,1353,275,768,654,1035,88,276,117,1009,1008,195,1080,1008,461,1039,1039,1039,1039
233,237,1008,1008,701,701,1009,971,308,1205,652,2,1081,1353,275,768,654,1035,88,276,117,1009,1008,195,1080,1008,461,1039,1039,1039,1039,1040
237,1008,1008,701,701,1009,971,308,1205,652,2,1081,1353,275,768,654,1035,88,276,117,1009,1008,195,1080,1008,461,1039,1039,1039,1039,1040,1039
1008,1008,701,701,1009,971,308,1205,652,2,1081,1353,275,768,654,1035,88,276,117,1009,1008,195,1080,1008,461,1039,1039,1039,1039,1040,1039,1009
1008,701,701,1009,971,308,1205,652,2,1081,1353,275,768,654,1035,88,276,117,1009,1008,195,1080,1008,461,1039,1039,1039,1039,1040,1039,1009,200
701,701,1009,971,308,1205,652,2,1081,1353,275,768,654,1035,88,276,117,1009,1008,195,1080,1008,461,1039,1039,1039,1039,1040,1039,1009,200,276
701,1009,971,308,1205,652,2,1081,1353,275,768,654,1035,88,276,117,1009,1008,195,1080,1008,461,1039,1039,1039,1039,1040,1039,1009,200,276,389
1009,971,308,1205,652,2,1081,1353,275,768,654,1035,88,276,117,1009,1008,195,1080,1008,461,1039,1039,1039,1039,1040,1039,1009,200,276,389,276
971,308,1205,652,2,1081,1353,275,768,654,1035,88,276,117,1009,1008,195,1080,1008,461,1039,1039,1039,1039,1040,1039,1009,200,276,389,276,463
308,1205,652,2,1081,1353,275,768,654,1035,88,276,117,1009,1008,195,1080,1008,461,1039,1039,1039,1039,1040,1039,1009,200,276,389,276,463,1046
1205,652,2,1081,1353,275,768,654,1035,88,276,117,1009,1008,195,1080,1008,461,1039,1039,1039,1039,1040,1039,1009,200,276,389,276,463,1046,1009
652,2,1081,1353,275,768,654,1035,88,276,117,1009,1008,195,1080,1008,461,1039,1039,1039,1039,1040,1039,1009,200,276,389,276,463,1046,1009,346
2,1081,1353,275,768,654,1035,88,276,117,1009,1008,195,1080,1008,461,1039,1039,1039,1039,1040,1039,1009,200,276,389,276,463,1046,1009,346,747
1081,1353,275,768,654,1035,88,276,117,1009,1008,195,1080,1008,461,1039,1039,1039,1039,1040,1039,1009,200,276,389,276,463,1046,1009,346,747,232
1353,275,768,654,1035,88,276,117,1009,1008,195,1080,1008,461,1039,1039,1039,1039,1040,1039,1009,200,276,389,276,463,1046,1009,346,747,232,730
275,768,654,1035,88,276,117,1009,1008,195,1080,1008,461,1039,1039,1039,1039,1040,1039,1009,200,276,389,276,463,1046,1009,346,747,232,730,1166
768,654,1035,88,276,117,1009,1008,195,1080,1008,461,1039,1039,1039,1039,1040,1039,1009,200,276,389,276,463,1046,1009,346,747,232,730,1166,1008
654,1035,88,276,117,1009,1008,195,1080,1008,461,1039,1039,1039,1039,1040,1039,1009,200,276,389,276,463,1046,1009,346,747,232,730,1166,1008,389
1035,88,276,117,1009,1008,195,1080,1008,461,1039,1039,1039,1039,1040,1039,1009,200,276,389,276,463,1046,1009,346,747,232,730,1166,1008,389,1001
88,276,117,1009,1008,195,1080,1008,461,1039,1039,1039,1039,1040,1039,1009,200,276,389,276,463,1046,1009,346,747,232,730,1166,1008,389,1001,844
276,117,1009,1008,195,1080,1008,461,1039,1039,1039,1039,1040,1039,1009,200,276,389,276,463,1046,1009,346,747,232,730,1166,1008,389,1001,844,1188
117,1009,1008,195,1080,1008,461,1039,1039,1039,1039,1040,1039,1009,200,276,389,276,463,1046,1009,346,747,232,730,1166,1008,389,1001,844,1188,1008
1009,1008,195,1080,1008,461,1039,1039,1039,1039,1040,1039,1009,200,276,389,276,463,1046,1009,346,747,232,730,1166,1008,389,1001,844,1188,1008,384
1008,195,1080,1008,461,1039,1039,1039,1039,1040,1039,1009,200,276,389,276,463,1046,1009,346,747,232,730,1166,1008,389,1001,844,1188,1008,384,308
195,1080,1008,461,1039,1039,1039,1039,1040,1039,1009,200,276,389,276,463,1046,1009,346,747,232,730,1166,1008,389,1001,844,1188,1008,384,308,346
1080,1008,461,1039,1039,1039,1039,1040,1039,1009,200,276,389,276,463,1046,1009,346,747,232,730,1166,1008,389,1001,844,1188,1008,384,308,346,501
1008,461,1039,1039,1039,1039,1040,1039,1009,200,276,389,276,463,1046,1009,346,747,232,730,1166,1008,389,1001,844,1188,1008,384,308,346,501,345
461,1039,1039,1039,1039,1040,1039,1009,200,276,389,276,463,1046,1009,346,747,232,730,1166,1008,389,1001,844,1188,1008,384,308,346,501,345,1204
1039,1039,1039,1039,1040,1039,1009,200,276,389,276,463,1046,1009,346,747,232,730,1166,1008,389,1001,844,1188,1008,384,308,346,501,345,1204,499
1039,1039,1039,1040,1039,1009,200,276,389,276,463,1046,1009,346,747,232,730,1166,1008,389,1001,844,1188,1008,384,308,346,501,345,1204,499,1008
1039,1039,1040,1039,1009,200,276,389,276,463,1046,1009,346,747,232,730,1166,1008,389,1001,844,1188,1008,384,308,346,501,345,1204,499,1008,855
1039,1040,1039,1009,200,276,389,276,463,1046,1009,346,747,232,730,1166,1008,389,1001,844,1188,1008,384,308,346,501,345,1204,499,1008,855,462
1040,1039,1009,200,276,389,276,463,1046,1009,346,747,232,730,1166,1008,389,1001,844,1188,1008,384,308,346,501,345,1204,499,1008,855,462,462
1039,1009,200,276,389,276,463,1046,1009,346,747,232,730,1166,1008,389,1001,844,1188,1008,384,308,346,501,345,1204,499,1008,855,462,462,462
1009,200,276,389,276,463,1046,1009,346,747,232,730,1166,1008,389,1001,844,1188,1008,384,308,346,501,345,1204,499,1008,855,462,462,462,734
200,276,389,276,463,1046,1009,346,747,232,730,1166,1008,389,1001,844,1188,1008,384,308,346,501,345,1204,499,1008,855,462,462,462,734,385
276,389,276,463,1046,1009,346,747,232,730,1166,1008,389,1001,844,1188,1008,384,308,346,501,345,1204,499,1008,855,462,462,462,734,385,968
389,276,463,1046,1009,346,747,232,730,1166,1008,389,1001,844,1188,1008,384,308,346,501,345,1204,499,1008,855,462,462,462,734,385,968,239
276,463,1046,1009,346,747,232,730,1166,1008,389,1001,844,1188,1008,384,308,346,501,345,1204,499,1008,855,462,462,462,734,385,968,239,383
463,1046,1009,346,747,232,730,1166,1008,389,1001,844,1188,1008,384,308,346,501,345,1204,499,1008,855,462,462,462,734,385,968,239,383,383
1046,1009,346,747,232,730,1166,1008,389,1001,844,1188,1008,384,308,346,501,345,1204,499,1008,855,462,462,462,734,385,968,239,383,383,500
1009,346,747,232,730,1166,1008,389,1001,844,1188,1008,384,308,346,501,345,1204,499,1008,855,462,462,462,734,385,968,239,383,383,500,500
346,747,232,730,1166,1008,389,1001,844,1188,1008,384,308,346,501,345,1204,499,1008,855,462,462,462,734,385,968,239,383,383,500,500,500
747,232,730,1166,1008,389,1001,844,1188,1008,384,308,346,501,345,1204,499,1008,855,462,462,462,734,385,968,239,383,383,500,500,500,423
232,730,1166,1008,389,1001,844,1188,1008,384,308,346,501,345,1204,499,1008,855,462,462,462,734,385,968,239,383,383,500,500,500,423,1008
730,1166,1008,389,1001,844,1188,1008,384,308,346,501,345,1204,499,1008,855,462,462,462,734,385,968,239,383,383,500,500,500,423,1008,3
1166,1008,389,1001,844,1188,1008,384,308,346,501,345,1204,499,1008,855,462,462,462,734,385,968,239,383,383,500,500,500,423,1008,3,1008
1008,389,1001,844,1188,1008,384,308,346,501,345,1204,499,1008,855,462,462,462,734,385,968,239,383,383,500,500,500,423,1008,3,1008,120
389,1001,844,1188,1008,384,308,346,501,345,1204,499,1008,855,462,462,462,734,385,968,239,383,383,500,500,500,423,1008,3,1008,120,276
1001,844,1188,1008,384,308,346,501,345,1204,499,1008,855,462,462,462,734,385,968,239,383,383,500,500,500,423,1008,3,1008,120,276,462
844,1188,1008,384,308,346,501,345,1204,499,1008,855,462,462,462,734,385,968,239,383,383,500,500,500,423,1008,3,1008,120,276,462,1008
1188,1008,384,308,346,501,345,1204,499,1008,855,462,462,462,734,385,968,239,383,383,500,500,500,423,1008,3,1008,120,276,462,1008,1009
1008,384,308,346,501,345,1204,499,1008,855,462,462,462,734,385,968,239,383,383,500,500,500,423,1008,3,1008,120,276,462,1008,1009,422
384,308,346,501,345,1204,499,1008,855,462,462,462,734,385,968,239,383,383,500,500,500,423,1008,3,1008,120,276,462,1008,1009,422,309
308,346,501,345,1204,499,1008,855,462,462,462,734,385,968,239,383,383,500,500,500,423,1008,3,1008,120,276,462,1008,1009,422,309,309
346,501,345,1204,499,1008,855,462,462,462,734,385,968,239,383,383,500,500,500,423,1008,3,1008,120,276,462,1008,1009,422,309,309,884
501,345,1204,499,1008,855,462,462,462,734,385,968,239,383,383,500,500,500,423,1008,3,1008,120,276,462,1008,1009,422,309,309,884,1008
345,1204,499,1008,855,462,462,462,734,385,968,239,383,383,500,500,500,423,1008,3,1008,120,276,462,1008,1009,422,309,309,884,1008,50
1204,499,1008,855,462,462,462,734,385,968,239,383,383,500,500,500,423,1008,3,1008,120,276,462,1008,1009,422,309,309,884,1008,50,1165
499,1008,855,462,462,462,734,385,968,239,383,383,500,500,500,423,1008,3,1008,120,276,462,1008,1009,422,309,309,884,1008,50,1165,461
1008,855,462,462,462,734,385,968,239,383,383,500,500,500,423,1008,3,1008,120,276,462,1008,1009,422,309,309,884,1008,50,1165,461,1008
855,462,462,462,734,385,968,239,383,383,500,500,500,423,1008,3,1008,120,276,462,1008,1009,422,309,309,884,1008,50,1165,461,1008,201
462,462,462,734,385,968,239,383,383,500,500,500,423,1008,3,1008,120,276,462,1008,1009,422,309,309,884,1008,50,1165,461,1008,201,422
462,462,734,385,968,239,383,383,500,500,500,423,1008,3,1008,120,276,462,1008,1009,422,309,309,884,1008,50,1165,461,1008,201,422,422
462,734,385,968,239,383,383,500,500,500,423,1008,3,1008,120,276,462,1008,1009,422,309,309,884,1008,50,1165,461,1008,201,422,422,461
734,385,968,239,383,383,500,500,500,423,1008,3,1008,120,276,462,1008,1009,422,309,309,884,1008,50,1165,461,1008,201,422,422,461,1008
385,968,239,383,383,500,500,500,423,1008,3,1008,120,276,462,1008,1009,422,309,309,884,1008,50,1165,461,1008,201,422,422,461,1008,1008
968,239,383,383,500,500,500,423,1008,3,1008,120,276,462,1008,1009,422,309,309,884,1008,50,1165,461,1008,201,422,422,461,1008,1008,461
239,383,383,500,500,500,423,1008,3,1008,120,276,462,1008,1009,422,309,309,884,1008,50,1165,461,1008,201,422,422,461,1008,1008,461,160
383,383,500,500,500,423,1008,3,1008,120,276,462,1008,1009,422,309,309,884,1008,50,1165,461,1008,201,422,422,461,1008,1008,461,160,1008
383,500,500,500,423,1008,3,1008,120,276,462,1008,1009,422,309,309,884,1008,50,1165,461,1008,201,422,422,461,1008,1008,461,160,1008,1008
500,500,500,423,1008,3,1008,120,276,462,1008,1009,422,309,309,884,1008,50,1165,461,1008,201,422,422,461,1008,1008,461,160,1008,1008,461
500,500,423,1008,3,1008,120,276,462,1008,1009,422,309,309,884,1008,50,1165,461,1008,201,422,422,461,1008,1008,461,160,1008,1008,461,462
500,423,1008,3,1008,120,276,462,1008,1009,422,309,309,884,1008,50,1165,461,1008,201,422,422,461,1008,1008,461,160,1008,1008,461,462,461
423,1008,3,1008,120,276,462,1008,1009,422,309,309,884,1008,50,1165,461,1008,201,422,422,461,1008,1008,461,160,1008,1008,461,462,461,461
1008,3,1008,120,276,462,1008,1009,422,309,309,884,1008,50,1165,461,1008,201,422,422,461,1008,1008,461,160,1008,1008,461,462,461,461,1008
3,1008,120,276,462,1008,1009,422,309,309,884,1008,50,1165,461,1008,201,422,422,461,1008,1008,461,160,1008,1008,461,462,461,461,1008,460
1008,120,276,462,1008,1009,422,309,309,884,1008,50,1165,461,1008,201,422,422,461,1008,1008,461,160,1008,1008,461,462,461,461,1008,460,1008
120,276,462,1008,1009,422,309,309,884,1008,50,1165,461,1008,201,422,422,461,1008,1008,461,160,1008,1008,461,462,461,461,1008,460,1008,423
276,462,1008,1009,422,309,309,884,1008,50,1165,461,1008,201,422,422,461,1008,1008,461,160,1008,1008,461,462,461,461,1008,460,1008,423,1009
462,1008,1009,422,309,309,884,1008,50,1165,461,1008,201,422,422,461,1008,1008,461,160,1008,1008,461,462,461,461,1008,460,1008,423,1009,1046
1008,1009,422,309,309,884,1008,50,1165,461,1008,201,422,422,461,1008,1008,461,160,1008,1008,461,462,461,461,1008,460,1008,423,1009,1046,383
1009,422,309,309,884,1008,50,1165,461,1008,201,422,422,461,1008,1008,461,160,1008,1008,461,462,461,461,1008,460,1008,423,1009,1046,383,422
422,309,309,884,1008,50,1165,461,1008,201,422,422,461,1008,1008,461,160,1008,1008,461,462,461,461,1008,460,1008,423,1009,1046,383,422,307
309,309,884,1008,50,1165,461,1008,201,422,422,461,1008,1008,461,160,1008,1008,461,462,461,461,1008,460,1008,423,1009,1046,383,422,307,269
309,884,1008,50,1165,461,1008,201,422,422,461,1008,1008,461,160,1008,1008,461,462,461,461,1008,460,1008,423,1009,1046,383,422,307,269,423
884,1008,50,1165,461,1008,201,422,422,461,1008,1008,461,160,1008,1008,461,462,461,461,1008,460,1008,423,1009,1046,383,422,307,269,423,383
1008,50,1165,461,1008,201,422,422,461,1008,1008,461,160,1008,1008,461,462,461,461,1008,460,1008,423,1009,1046,383,422,307,269,423,383,971
50,1165,461,1008,201,422,422,461,1008,1008,461,160,1008,1008,461,462,461,461,1008,460,1008,423,1009,1046,383,422,307,269,423,383,971,461
1165,461,1008,201,422,422,461,1008,1008,461,160,1008,1008,461,462,461,461,1008,460,1008,423,1009,1046,383,422,307,269,423,383,971,461,269
461,1008,201,422,422,461,1008,1008,461,160,1008,1008,461,462,461,461,1008,460,1008,423,1009,1046,383,422,307,269,423,383,971,461,269,355
1008,201,422,422,461,1008,1008,461,160,1008,1008,461,462,461,461,1008,460,1008,423,1009,1046,383,422,307,269,423,383,971,461,269,355,307
201,422,422,461,1008,1008,461,160,1008,1008,461,462,461,461,1008,460,1008,423,1009,1046,383,422,307,269,423,383,971,461,269,355,307,307
422,422,461,1008,1008,461,160,1008,1008,461,462,461,461,1008,460,1008,423,1009,1046,383,422,307,269,423,383,971,461,269,355,307,307,422
422,461,1008,1008,461,160,1008,1008,461,462,461,461,1008,460,1008,423,1009,1046,383,422,307,269,423,383,971,461,269,355,307,307,422,345
461,1008,1008,461,160,1008,1008,461,462,461,461,1008,460,1008,423,1009,1046,383,422,307,269,423,383,971,461,269,355,307,307,422,345,383
1008,1008,461,160,1008,1008,461,462,461,461,1008,460,1008,423,1009,1046,383,422,307,269,423,383,971,461,269,355,307,307,422,345,383,422
1008,461,160,1008,1008,461,462,461,461,1008,460,1008,423,1009,1046,383,422,307,269,423,383,971,461,269,355,307,307,422,345,383,422,1164
461,160,1008,1008,461,462,461,461,1008,460,1008,423,1009,1046,383,422,307,269,423,383,971,461,269,355,307,307,422,345,383,422,1164,969
160,1008,1008,461,462,461,461,1008,460,1008,423,1009,1046,383,422,307,269,423,383,971,461,269,355,307,307,422,345,383,422,1164,969,307
1008,1008,461,462,461,461,1008,460,1008,423,1009,1046,383,422,307,269,423,383,971,461,269,355,307,307,422,345,383,422,1164,969,307,385
1008,461,462,461,461,1008,460,1008,423,1009,1046,383,422,307,269,423,383,971,461,269,355,307,307,422,345,383,422,1164,969,307,385,10
461,462,461,461,1008,460,1008,423,1009,1046,383,422,307,269,423,383,971,461,269,355,307,307,422,345,383,422,1164,969,307,385,10,383
462,461,461,1008,460,1008,423,1009,1046,383,422,307,269,423,383,971,461,269,355,307,307,422,345,383,422,1164,969,307,385,10,383,462
461,461,1008,460,1008,423,1009,1046,383,422,307,269,423,383,971,461,269,355,307,307,422,345,383,422,1164,969,307,385,10,383,462,460
461,1008,460,1008,423,1009,1046,383,422,307,269,423,383,971,461,269,355,307,307,422,345,383,422,1164,969,307,385,10,383,462,460,460
1008,460,1008,423,1009,1046,383,422,307,269,423,383,971,461,269,355,307,307,422,345,383,422,1164,969,307,385,10,383,462,460,460,269
460,1008,423,1009,1046,383,422,307,269,423,383,971,461,269,355,307,307,422,345,383,422,1164,969,307,385,10,383,462,460,460,269,461
1008,423,1009,1046,383,422,307,269,423,383,971,461,269,355,307,307,422,345,383,422,1164,969,307,385,10,383,462,460,460,269,461,383
423,1009,1046,383,422,307,269,423,383,971,461,269,355,307,307,422,345,383,422,1164,969,307,385,10,383,462,460,460,269,461,383,345
1009,1046,383,422,307,269,423,383,971,461,269,355,307,307,422,345,383,422,1164,969,307,385,10,383,462,460,460,269,461,383,345,422
1046,383,422,307,269,423,383,971,461,269,355,307,307,422,345,383,422,1164,969,307,385,10,383,462,460,460,269,461,383,345,422,195
383,422,307,269,423,383,971,461,269,355,307,307,422,345,383,422,1164,969,307,385,10,383,462,460,460,269,461,383,345,422,195,383
422,307,269,423,383,971,461,269,355,307,307,422,345,383,422,1164,969,307,385,10,383,462,460,460,269,461,383,345,422,195,383,384
307,269,423,383,971,461,269,355,307,307,422,345,383,422,1164,969,307,385,10,383,462,460,460,269,461,383,345,422,195,383,384,384
269,423,383,971,461,269,355,307,307,422,345,383,422,1164,969,307,385,10,383,462,460,460,269,461,383,345,422,195,383,384,384,384
423,383,971,461,269,355,307,307,422,345,383,422,1164,969,307,385,10,383,462,460,460,269,461,383,345,422,195,383,384,384,384,346
383,971,461,269,355,307,307,422,345,383,422,1164,969,307,385,10,383,462,460,460,269,461,383,345,422,195,383,384,384,384,346,384
971,461,269,355,307,307,422,345,383,422,1164,969,307,385,10,383,462,460,460,269,461,383,345,422,195,383,384,384,384,346,384,384
461,269,355,307,307,422,345,383,422,1164,969,307,385,10,383,462,460,460,269,461,383,345,422,195,383,384,384,384,346,384,384,384
269,355,307,307,422,345,383,422,1164,969,307,385,10,383,462,460,460,269,461,383,345,422,195,383,384,384,384,346,384,384,384,384
355,307,307,422,345,383,422,1164,969,307,385,10,383,462,460,460,269,461,383,345,422,195,383,384,384,384,346,384,384,384,384,383
307,307,422,345,383,422,1164,969,307,385,10,383,462,460,460,269,461,383,345,422,195,383,384,384,384,346,384,384,384,384,383,461
307,422,345,383,422,1164,969,307,385,10,383,462,460,460,269,461,383,345,422,195,383,384,384,384,346,384,384,384,384,383,461,384
