0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
500,499,1046,1009,462,462,500,1000,702,195,499,1009,1009,462,461,500,1067,1009,809,1188,307
499,1046,1009,462,462,500,1000,702,195,499,1009,1009,462,461,500,1067,1009,809,1188,307,971
1046,1009,462,462,500,1000,702,195,499,1009,1009,462,461,500,1067,1009,809,1188,307,971,892
1009,462,462,500,1000,702,195,499,1009,1009,462,461,500,1067,1009,809,1188,307,971,892,1235
462,462,500,1000,702,195,499,1009,1009,462,461,500,1067,1009,809,1188,307,971,892,1235,1046
462,500,1000,702,195,499,1009,1009,462,461,500,1067,1009,809,1188,307,971,892,1235,1046,233
500,1000,702,195,499,1009,1009,462,461,500,1067,1009,809,1188,307,971,892,1235,1046,233,237
1000,702,195,499,1009,1009,462,461,500,1067,1009,809,1188,307,971,892,1235,1046,233,237,1008
702,195,499,1009,1009,462,461,500,1067,1009,809,1188,307,971,892,1235,1046,233,237,1008,1008
195,499,1009,1009,462,461,500,1067,1009,809,1188,307,971,892,1235,1046,233,237,1008,1008,701
499,1009,1009,462,461,500,1067,1009,809,1188,307,971,892,1235,1046,233,237,1008,1008,701,701
1009,1009,462,461,500,1067,1009,809,1188,307,971,892,1235,1046,233,237,1008,1008,701,701,1009
1009,462,461,500,1067,1009,809,1188,307,971,892,1235,1046,233,237,1008,1008,701,701,1009,971
462,461,500,1067,1009,809,1188,307,971,892,1235,1046,233,237,1008,1008,701,701,1009,971,308
461,500,1067,1009,809,1188,307,971,892,1235,1046,233,237,1008,1008,701,701,1009,971,308,1205
500,1067,1009,809,1188,307,971,892,1235,1046,233,237,1008,1008,701,701,1009,971,308,1205,652
1067,1009,809,1188,307,971,892,1235,1046,233,237,1008,1008,701,701,1009,971,308,1205,652,2
1009,809,1188,307,971,892,1235,1046,233,237,1008,1008,701,701,1009,971,308,1205,652,2,1081
809,1188,307,971,892,1235,1046,233,237,1008,1008,701,701,1009,971,308,1205,652,2,1081,1353
1188,307,971,892,1235,1046,233,237,1008,1008,701,701,1009,971,308,1205,652,2,1081,1353,275
307,971,892,1235,1046,233,237,1008,1008,701,701,1009,971,308,1205,652,2,1081,1353,275,768
971,892,1235,1046,233,237,1008,1008,701,701,1009,971,308,1205,652,2,1081,1353,275,768,654
892,1235,1046,233,237,1008,1008,701,701,1009,971,308,1205,652,2,1081,1353,275,768,654,1035
1235,1046,233,237,1008,1008,701,701,1009,971,308,1205,652,2,1081,1353,275,768,654,1035,88
1046,233,237,1008,1008,701,701,1009,971,308,1205,652,2,1081,1353,275,768,654,1035,88,276
233,237,1008,1008,701,701,1009,971,308,1205,652,2,1081,1353,275,768,654,1035,88,276,117
237,1008,1008,701,701,1009,971,308,1205,652,2,1081,1353,275,768,654,1035,88,276,117,1009
1008,1008,701,701,1009,971,308,1205,652,2,1081,1353,275,768,654,1035,88,276,117,1009,1008
1008,701,701,1009,971,308,1205,652,2,1081,1353,275,768,654,1035,88,276,117,1009,1008,195
701,701,1009,971,308,1205,652,2,1081,1353,275,768,654,1035,88,276,117,1009,1008,195,1080
701,1009,971,308,1205,652,2,1081,1353,275,768,654,1035,88,276,117,1009,1008,195,1080,1008
1009,971,308,1205,652,2,1081,1353,275,768,654,1035,88,276,117,1009,1008,195,1080,1008,461
971,308,1205,652,2,1081,1353,275,768,654,1035,88,276,117,1009,1008,195,1080,1008,461,1039
308,1205,652,2,1081,1353,275,768,654,1035,88,276,117,1009,1008,195,1080,1008,461,1039,1039
1205,652,2,1081,1353,275,768,654,1035,88,276,117,1009,1008,195,1080,1008,461,1039,1039,1039
652,2,1081,1353,275,768,654,1035,88,276,117,1009,1008,195,1080,1008,461,1039,1039,1039,1039
2,1081,1353,275,768,654,1035,88,276,117,1009,1008,195,1080,1008,461,1039,1039,1039,1039,1040
1081,1353,275,768,654,1035,88,276,117,1009,1008,195,1080,1008,461,1039,1039,1039,1039,1040,1039
1353,275,768,654,1035,88,276,117,1009,1008,195,1080,1008,461,1039,1039,1039,1039,1040,1039,1009
275,768,654,1035,88,276,117,1009,1008,195,1080,1008,461,1039,1039,1039,1039,1040,1039,1009,200
768,654,1035,88,276,117,1009,1008,195,1080,1008,461,1039,1039,1039,1039,1040,1039,1009,200,276
654,1035,88,276,117,1009,1008,195,1080,1008,461,1039,1039,1039,1039,1040,1039,1009,200,276,389
1035,88,276,117,1009,1008,195,1080,1008,461,1039,1039,1039,1039,1040,1039,1009,200,276,389,276
88,276,117,1009,1008,195,1080,1008,461,1039,1039,1039,1039,1040,1039,1009,200,276,389,276,463
276,117,1009,1008,195,1080,1008,461,1039,1039,1039,1039,1040,1039,1009,200,276,389,276,463,1046
117,1009,1008,195,1080,1008,461,1039,1039,1039,1039,1040,1039,1009,200,276,389,276,463,1046,1009
1009,1008,195,1080,1008,461,1039,1039,1039,1039,1040,1039,1009,200,276,389,276,463,1046,1009,346
1008,195,1080,1008,461,1039,1039,1039,1039,1040,1039,1009,200,276,389,276,463,1046,1009,346,747
195,1080,1008,461,1039,1039,1039,1039,1040,1039,1009,200,276,389,276,463,1046,1009,346,747,232
1080,1008,461,1039,1039,1039,1039,1040,1039,1009,200,276,389,276,463,1046,1009,346,747,232,730
1008,461,1039,1039,1039,1039,1040,1039,1009,200,276,389,276,463,1046,1009,346,747,232,730,1166
461,1039,1039,1039,1039,1040,1039,1009,200,276,389,276,463,1046,1009,346,747,232,730,1166,1008
1039,1039,1039,1039,1040,1039,1009,200,276,389,276,463,1046,1009,346,747,232,730,1166,1008,389
1039,1039,1039,1040,1039,1009,200,276,389,276,463,1046,1009,346,747,232,730,1166,1008,389,1001
1039,1039,1040,1039,1009,200,276,389,276,463,1046,1009,346,747,232,730,1166,1008,389,1001,844
1039,1040,1039,1009,200,276,389,276,463,1046,1009,346,747,232,730,1166,1008,389,1001,844,1188
1040,1039,1009,200,276,389,276,463,1046,1009,346,747,232,730,1166,1008,389,1001,844,1188,1008
1039,1009,200,276,389,276,463,1046,1009,346,747,232,730,1166,1008,389,1001,844,1188,1008,384
1009,200,276,389,276,463,1046,1009,346,747,232,730,1166,1008,389,1001,844,1188,1008,384,308
200,276,389,276,463,1046,1009,346,747,232,730,1166,1008,389,1001,844,1188,1008,384,308,346
276,389,276,463,1046,1009,346,747,232,730,1166,1008,389,1001,844,1188,1008,384,308,346,501
389,276,463,1046,1009,346,747,232,730,1166,1008,389,1001,844,1188,1008,384,308,346,501,345
276,463,1046,1009,346,747,232,730,1166,1008,389,1001,844,1188,1008,384,308,346,501,345,1204
463,1046,1009,346,747,232,730,1166,1008,389,1001,844,1188,1008,384,308,346,501,345,1204,499
1046,1009,346,747,232,730,1166,1008,389,1001,844,1188,1008,384,308,346,501,345,1204,499,1008
1009,346,747,232,730,1166,1008,389,1001,844,1188,1008,384,308,346,501,345,1204,499,1008,855
346,747,232,730,1166,1008,389,1001,844,1188,1008,384,308,346,501,345,1204,499,1008,855,462
747,232,730,1166,1008,389,1001,844,1188,1008,384,308,346,501,345,1204,499,1008,855,462,462
232,730,1166,1008,389,1001,844,1188,1008,384,308,346,501,345,1204,499,1008,855,462,462,462
730,1166,1008,389,1001,844,1188,1008,384,308,346,501,345,1204,499,1008,855,462,462,462,734
1166,1008,389,1001,844,1188,1008,384,308,346,501,345,1204,499,1008,855,462,462,462,734,385
1008,389,1001,844,1188,1008,384,308,346,501,345,1204,499,1008,855,462,462,462,734,385,968
389,1001,844,1188,1008,384,308,346,501,345,1204,499,1008,855,462,462,462,734,385,968,239
1001,844,1188,1008,384,308,346,501,345,1204,499,1008,855,462,462,462,734,385,968,239,383
844,1188,1008,384,308,346,501,345,1204,499,1008,855,462,462,462,734,385,968,239,383,383
1188,1008,384,308,346,501,345,1204,499,1008,855,462,462,462,734,385,968,239,383,383,500
1008,384,308,346,501,345,1204,499,1008,855,462,462,462,734,385,968,239,383,383,500,500
384,308,346,501,345,1204,499,1008,855,462,462,462,734,385,968,239,383,383,500,500,500
308,346,501,345,1204,499,1008,855,462,462,462,734,385,968,239,383,383,500,500,500,423
346,501,345,1204,499,1008,855,462,462,462,734,385,968,239,383,383,500,500,500,423,1008
501,345,1204,499,1008,855,462,462,462,734,385,968,239,383,383,500,500,500,423,1008,3
345,1204,499,1008,855,462,462,462,734,385,968,239,383,383,500,500,500,423,1008,3,1008
1204,499,1008,855,462,462,462,734,385,968,239,383,383,500,500,500,423,1008,3,1008,120
499,1008,855,462,462,462,734,385,968,239,383,383,500,500,500,423,1008,3,1008,120,276
1008,855,462,462,462,734,385,968,239,383,383,500,500,500,423,1008,3,1008,120,276,462
855,462,462,462,734,385,968,239,383,383,500,500,500,423,1008,3,1008,120,276,462,1008
462,462,462,734,385,968,239,383,383,500,500,500,423,1008,3,1008,120,276,462,1008,1009
462,462,734,385,968,239,383,383,500,500,500,423,1008,3,1008,120,276,462,1008,1009,422
462,734,385,968,239,383,383,500,500,500,423,1008,3,1008,120,276,462,1008,1009,422,309
734,385,968,239,383,383,500,500,500,423,1008,3,1008,120,276,462,1008,1009,422,309,309
385,968,239,383,383,500,500,500,423,1008,3,1008,120,276,462,1008,1009,422,309,309,884
968,239,383,383,500,500,500,423,1008,3,1008,120,276,462,1008,1009,422,309,309,884,1008
239,383,383,500,500,500,423,1008,3,1008,120,276,462,1008,1009,422,309,309,884,1008,50
383,383,500,500,500,423,1008,3,1008,120,276,462,1008,1009,422,309,309,884,1008,50,1165
383,500,500,500,423,1008,3,1008,120,276,462,1008,1009,422,309,309,884,1008,50,1165,461
500,500,500,423,1008,3,1008,120,276,462,1008,1009,422,309,309,884,1008,50,1165,461,1008
500,500,423,1008,3,1008,120,276,462,1008,1009,422,309,309,884,1008,50,1165,461,1008,201
500,423,1008,3,1008,120,276,462,1008,1009,422,309,309,884,1008,50,1165,461,1008,201,422
423,1008,3,1008,120,276,462,1008,1009,422,309,309,884,1008,50,1165,461,1008,201,422,422
1008,3,1008,120,276,462,1008,1009,422,309,309,884,1008,50,1165,461,1008,201,422,422,461
3,1008,120,276,462,1008,1009,422,309,309,884,1008,50,1165,461,1008,201,422,422,461,1008
1008,120,276,462,1008,1009,422,309,309,884,1008,50,1165,461,1008,201,422,422,461,1008,1008
120,276,462,1008,1009,422,309,309,884,1008,50,1165,461,1008,201,422,422,461,1008,1008,461
276,462,1008,1009,422,309,309,884,1008,50,1165,461,1008,201,422,422,461,1008,1008,461,160
462,1008,1009,422,309,309,884,1008,50,1165,461,1008,201,422,422,461,1008,1008,461,160,1008
1008,1009,422,309,309,884,1008,50,1165,461,1008,201,422,422,461,1008,1008,461,160,1008,1008
1009,422,309,309,884,1008,50,1165,461,1008,201,422,422,461,1008,1008,461,160,1008,1008,461
422,309,309,884,1008,50,1165,461,1008,201,422,422,461,1008,1008,461,160,1008,1008,461,462
309,309,884,1008,50,1165,461,1008,201,422,422,461,1008,1008,461,160,1008,1008,461,462,461
309,884,1008,50,1165,461,1008,201,422,422,461,1008,1008,461,160,1008,1008,461,462,461,461
884,1008,50,1165,461,1008,201,422,422,461,1008,1008,461,160,1008,1008,461,462,461,461,1008
1008,50,1165,461,1008,201,422,422,461,1008,1008,461,160,1008,1008,461,462,461,461,1008,460
50,1165,461,1008,201,422,422,461,1008,1008,461,160,1008,1008,461,462,461,461,1008,460,1008
1165,461,1008,201,422,422,461,1008,1008,461,160,1008,1008,461,462,461,461,1008,460,1008,423
461,1008,201,422,422,461,1008,1008,461,160,1008,1008,461,462,461,461,1008,460,1008,423,1009
1008,201,422,422,461,1008,1008,461,160,1008,1008,461,462,461,461,1008,460,1008,423,1009,1046
201,422,422,461,1008,1008,461,160,1008,1008,461,462,461,461,1008,460,1008,423,1009,1046,383
422,422,461,1008,1008,461,160,1008,1008,461,462,461,461,1008,460,1008,423,1009,1046,383,422
422,461,1008,1008,461,160,1008,1008,461,462,461,461,1008,460,1008,423,1009,1046,383,422,307
461,1008,1008,461,160,1008,1008,461,462,461,461,1008,460,1008,423,1009,1046,383,422,307,269
1008,1008,461,160,1008,1008,461,462,461,461,1008,460,1008,423,1009,1046,383,422,307,269,423
1008,461,160,1008,1008,461,462,461,461,1008,460,1008,423,1009,1046,383,422,307,269,423,383
461,160,1008,1008,461,462,461,461,1008,460,1008,423,1009,1046,383,422,307,269,423,383,971
160,1008,1008,461,462,461,461,1008,460,1008,423,1009,1046,383,422,307,269,423,383,971,461
1008,1008,461,462,461,461,1008,460,1008,423,1009,1046,383,422,307,269,423,383,971,461,269
1008,461,462,461,461,1008,460,1008,423,1009,1046,383,422,307,269,423,383,971,461,269,355
461,462,461,461,1008,460,1008,423,1009,1046,383,422,307,269,423,383,971,461,269,355,307
462,461,461,1008,460,1008,423,1009,1046,383,422,307,269,423,383,971,461,269,355,307,307
461,461,1008,460,1008,423,1009,1046,383,422,307,269,423,383,971,461,269,355,307,307,422
461,1008,460,1008,423,1009,1046,383,422,307,269,423,383,971,461,269,355,307,307,422,345
1008,460,1008,423,1009,1046,383,422,307,269,423,383,971,461,269,355,307,307,422,345,383
460,1008,423,1009,1046,383,422,307,269,423,383,971,461,269,355,307,307,422,345,383,422
1008,423,1009,1046,383,422,307,269,423,383,971,461,269,355,307,307,422,345,383,422,1164
423,1009,1046,383,422,307,269,423,383,971,461,269,355,307,307,422,345,383,422,1164,969
1009,1046,383,422,307,269,423,383,971,461,269,355,307,307,422,345,383,422,1164,969,307
1046,383,422,307,269,423,383,971,461,269,355,307,307,422,345,383,422,1164,969,307,385
383,422,307,269,423,383,971,461,269,355,307,307,422,345,383,422,1164,969,307,385,10
422,307,269,423,383,971,461,269,355,307,307,422,345,383,422,1164,969,307,385,10,383
307,269,423,383,971,461,269,355,307,307,422,345,383,422,1164,969,307,385,10,383,462
269,423,383,971,461,269,355,307,307,422,345,383,422,1164,969,307,385,10,383,462,460
423,383,971,461,269,355,307,307,422,345,383,422,1164,969,307,385,10,383,462,460,460
383,971,461,269,355,307,307,422,345,383,422,1164,969,307,385,10,383,462,460,460,269
971,461,269,355,307,307,422,345,383,422,1164,969,307,385,10,383,462,460,460,269,461
461,269,355,307,307,422,345,383,422,1164,969,307,385,10,383,462,460,460,269,461,383
269,355,307,307,422,345,383,422,1164,969,307,385,10,383,462,460,460,269,461,383,345
355,307,307,422,345,383,422,1164,969,307,385,10,383,462,460,460,269,461,383,345,422
307,307,422,345,383,422,1164,969,307,385,10,383,462,460,460,269,461,383,345,422,195
307,422,345,383,422,1164,969,307,385,10,383,462,460,460,269,461,383,345,422,195,383
422,345,383,422,1164,969,307,385,10,383,462,460,460,269,461,383,345,422,195,383,384
345,383,422,1164,969,307,385,10,383,462,460,460,269,461,383,345,422,195,383,384,384
383,422,1164,969,307,385,10,383,462,460,460,269,461,383,345,422,195,383,384,384,384
422,1164,969,307,385,10,383,462,460,460,269,461,383,345,422,195,383,384,384,384,346
1164,969,307,385,10,383,462,460,460,269,461,383,345,422,195,383,384,384,384,346,384
969,307,385,10,383,462,460,460,269,461,383,345,422,195,383,384,384,384,346,384,384
307,385,10,383,462,460,460,269,461,383,345,422,195,383,384,384,384,346,384,384,384
385,10,383,462,460,460,269,461,383,345,422,195,383,384,384,384,346,384,384,384,384
10,383,462,460,460,269,461,383,345,422,195,383,384,384,384,346,384,384,384,384,383
383,462,460,460,269,461,383,345,422,195,383,384,384,384,346,384,384,384,384,383,461
462,460,460,269,461,383,345,422,195,383,384,384,384,346,384,384,384,384,383,461,384
460,460,269,461,383,345,422,195,383,384,384,384,346,384,384,384,384,383,461,384,460
460,269,461,383,345,422,195,383,384,384,384,346,384,384,384,384,383,461,384,460,461
269,461,383,345,422,195,383,384,384,384,346,384,384,384,384,383,461,384,460,461,384
461,383,345,422,195,383,384,384,384,346,384,384,384,384,383,461,384,460,461,384,423
383,345,422,195,383,384,384,384,346,384,384,384,384,383,461,384,460,461,384,423,461
345,422,195,383,384,384,384,346,384,384,384,384,383,461,384,460,461,384,423,461,461
422,195,383,384,384,384,346,384,384,384,384,383,461,384,460,461,384,423,461,461,461
195,383,384,384,384,346,384,384,384,384,383,461,384,460,461,384,423,461,461,461,460
383,384,384,384,346,384,384,384,384,383,461,384,460,461,384,423,461,461,461,460,460
384,384,384,346,384,384,384,384,383,461,384,460,461,384,423,461,461,461,460,460,1009
384,384,346,384,384,384,384,383,461,384,460,461,384,423,461,461,461,460,460,1009,461
384,346,384,384,384,384,383,461,384,460,461,384,423,461,461,461,460,460,1009,461,461
346,384,384,384,384,383,461,384,460,461,384,423,461,461,461,460,460,1009,461,461,461
384,384,384,384,383,461,384,460,461,384,423,461,461,461,460,460,1009,461,461,461,461
384,384,384,383,461,384,460,461,384,423,461,461,461,460,460,1009,461,461,461,461,461
384,384,383,461,384,460,461,384,423,461,461,461,460,460,1009,461,461,461,461,461,307
384,383,461,384,460,461,384,423,461,461,461,460,460,1009,461,461,461,461,461,307,422
383,461,384,460,461,384,423,461,461,461,460,460,1009,461,461,461,461,461,307,422,421
461,384,460,461,384,423,461,461,461,460,460,1009,461,461,461,461,461,307,422,421,383
384,460,461,384,423,461,461,461,460,460,1009,461,461,461,461,461,307,422,421,383,383
460,461,384,423,461,461,461,460,460,1009,461,461,461,461,461,307,422,421,383,383,383
461,384,423,461,461,461,460,460,1009,461,461,461,461,461,307,422,421,383,383,383,307
384,423,461,461,461,460,460,1009,461,461,461,461,461,307,422,421,383,383,383,307,307
423,461,461,461,460,460,1009,461,461,461,461,461,307,422,421,383,383,383,307,307,384
461,461,461,460,460,1009,461,461,461,461,461,307,422,421,383,383,383,307,307,384,384
461,461,460,460,1009,461,461,461,461,461,307,422,421,383,383,383,307,307,384,384,384
461,460,460,1009,461,461,461,461,461,307,422,421,383,383,383,307,307,384,384,384,385
460,460,1009,461,461,461,461,461,307,422,421,383,383,383,307,307,384,384,384,385,276
460,1009,461,461,461,461,461,307,422,421,383,383,383,307,307,384,384,384,385,276,461
1009,461,461,461,461,461,307,422,421,383,383,383,307,307,384,384,384,385,276,461,423
461,461,461,461,461,307,422,421,383,383,383,307,307,384,384,384,385,276,461,423,308
461,461,461,461,307,422,421,383,383,383,307,307,384,384,384,385,276,461,423,308,461
461,461,461,307,422,421,383,383,383,307,307,384,384,384,385,276,461,423,308,461,1182
461,461,307,422,421,383,383,383,307,307,384,384,384,385,276,461,423,308,461,1182,383
461,307,422,421,383,383,383,307,307,384,384,384,385,276,461,423,308,461,1182,383,383
307,422,421,383,383,383,307,307,384,384,384,385,276,461,423,308,461,1182,383,383,384
422,421,383,383,383,307,307,384,384,384,385,276,461,423,308,461,1182,383,383,384,384
421,383,383,383,307,307,384,384,384,385,276,461,423,308,461,1182,383,383,384,384,422
383,383,383,307,307,384,384,384,385,276,461,423,308,461,1182,383,383,384,384,422,384
383,383,307,307,384,384,384,385,276,461,423,308,461,1182,383,383,384,384,422,384,384
383,307,307,384,384,384,385,276,461,423,308,461,1182,383,383,384,384,422,384,384,422
307,307,384,384,384,385,276,461,423,308,461,1182,383,383,384,384,422,384,384,422,384
307,384,384,384,385,276,461,423,308,461,1182,383,383,384,384,422,384,384,422,384,384
384,384,384,385,276,461,423,308,461,1182,383,383,384,384,422,384,384,422,384,384,384
384,384,385,276,461,423,308,461,1182,383,383,384,384,422,384,384,422,384,384,384,422
384,385,276,461,423,308,461,1182,383,383,384,384,422,384,384,422,384,384,384,422,384
385,276,461,423,308,461,1182,383,383,384,384,422,384,384,422,384,384,384,422,384,422
276,461,423,308,461,1182,383,383,384,384,422,384,384,422,384,384,384,422,384,422,385
461,423,308,461,1182,383,383,384,384,422,384,384,422,384,384,384,422,384,422,385,423
423,308,461,1182,383,383,384,384,422,384,384,422,384,384,384,422,384,422,385,423,423
308,461,1182,383,383,384,384,422,384,384,422,384,384,384,422,384,422,385,423,423,275
461,1182,383,383,384,384,422,384,384,422,384,384,384,422,384,422,385,423,423,275,238
1182,383,383,384,384,422,384,384,422,384,384,384,422,384,422,385,423,423,275,238,275
383,383,384,384,422,384,384,422,384,384,384,422,384,422,385,423,423,275,238,275,1008
383,384,384,422,384,384,422,384,384,384,422,384,422,385,423,423,275,238,275,1008,1000
384,384,422,384,384,422,384,384,384,422,384,422,385,423,423,275,238,275,1008,1000,1001
384,422,384,384,422,384,384,384,422,384,422,385,423,423,275,238,275,1008,1000,1001,200
422,384,384,422,384,384,384,422,384,422,385,423,423,275,238,275,1008,1000,1001,200,47
384,384,422,384,384,384,422,384,422,385,423,423,275,238,275,1008,1000,1001,200,47,1008
384,422,384,384,384,422,384,422,385,423,423,275,238,275,1008,1000,1001,200,47,1008,1038
422,384,384,384,422,384,422,385,423,423,275,238,275,1008,1000,1001,200,47,1008,1038,1164
384,384,384,422,384,422,385,423,423,275,238,275,1008,1000,1001,200,47,1008,1038,1164,1080
384,384,422,384,422,385,423,423,275,238,275,1008,1000,1001,200,47,1008,1038,1164,1080,1008
384,422,384,422,385,423,423,275,238,275,1008,1000,1001,200,47,1008,1038,1164,1080,1008,690
422,384,422,385,423,423,275,238,275,1008,1000,1001,200,47,1008,1038,1164,1080,1008,690,1008
384,422,385,423,423,275,238,275,1008,1000,1001,200,47,1008,1038,1164,1080,1008,690,1008,1008
422,385,423,423,275,238,275,1008,1000,1001,200,47,1008,1038,1164,1080,1008,690,1008,1008,119
385,423,423,275,238,275,1008,1000,1001,200,47,1008,1038,1164,1080,1008,690,1008,1008,119,891
423,423,275,238,275,1008,1000,1001,200,47,1008,1038,1164,1080,1008,690,1008,1008,119,891,1008
423,275,238,275,1008,1000,1001,200,47,1008,1038,1164,1080,1008,690,1008,1008,119,891,1008,1035
275,238,275,1008,1000,1001,200,47,1008,1038,1164,1080,1008,690,1008,1008,119,891,1008,1035,739
238,275,1008,1000,1001,200,47,1008,1038,1164,1080,1008,690,1008,1008,119,891,1008,1035,739,1008
275,1008,1000,1001,200,47,1008,1038,1164,1080,1008,690,1008,1008,119,891,1008,1035,739,1008,1008
1008,1000,1001,200,47,1008,1038,1164,1080,1008,690,1008,1008,119,891,1008,1035,739,1008,1008,1008
1000,1001,200,47,1008,1038,1164,1080,1008,690,1008,1008,119,891,1008,1035,739,1008,1008,1008,270
1001,200,47,1008,1038,1164,1080,1008,690,1008,1008,119,891,1008,1035,739,1008,1008,1008,270,308
200,47,1008,1038,1164,1080,1008,690,1008,1008,119,891,1008,1035,739,1008,1008,1008,270,308,1028
47,1008,1038,1164,1080,1008,690,1008,1008,119,891,1008,1035,739,1008,1008,1008,270,308,1028,971
1008,1038,1164,1080,1008,690,1008,1008,119,891,1008,1035,739,1008,1008,1008,270,308,1028,971,1009
1038,1164,1080,1008,690,1008,1008,119,891,1008,1035,739,1008,1008,1008,270,308,1028,971,1009,3
1164,1080,1008,690,1008,1008,119,891,1008,1035,739,1008,1008,1008,270,308,1028,971,1009,3,1008
1080,1008,690,1008,1008,119,891,1008,1035,739,1008,1008,1008,270,308,1028,971,1009,3,1008,743
1008,690,1008,1008,119,891,1008,1035,739,1008,1008,1008,270,308,1028,971,1009,3,1008,743,1204
690,1008,1008,119,891,1008,1035,739,1008,1008,1008,270,308,1028,971,1009,3,1008,743,1204,1464
1008,1008,119,891,1008,1035,739,1008,1008,1008,270,308,1028,971,1009,3,1008,743,1204,1464,1008
1008,119,891,1008,1035,739,1008,1008,1008,270,308,1028,971,1009,3,1008,743,1204,1464,1008,1008
119,891,1008,1035,739,1008,1008,1008,270,308,1028,971,1009,3,1008,743,1204,1464,1008,1008,1008
891,1008,1035,739,1008,1008,1008,270,308,1028,971,1009,3,1008,743,1204,1464,1008,1008,1008,276
1008,1035,739,1008,1008,1008,270,308,1028,971,1009,3,1008,743,1204,1464,1008,1008,1008,276,1033
1035,739,1008,1008,1008,270,308,1028,971,1009,3,1008,743,1204,1464,1008,1008,1008,276,1033,1008
739,1008,1008,1008,270,308,1028,971,1009,3,1008,743,1204,1464,1008,1008,1008,276,1033,1008,79
1008,1008,1008,270,308,1028,971,1009,3,1008,743,1204,1464,1008,1008,1008,276,1033,1008,79,577
