0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
1009,462,462,500,1000,702,195,499,1009,1009,462,461,500,1067,1009,809
462,462,500,1000,702,195,499,1009,1009,462,461,500,1067,1009,809,1188
462,500,1000,702,195,499,1009,1009,462,461,500,1067,1009,809,1188,307
500,1000,702,195,499,1009,1009,462,461,500,1067,1009,809,1188,307,971
1000,702,195,499,1009,1009,462,461,500,1067,1009,809,1188,307,971,892
702,195,499,1009,1009,462,461,500,1067,1009,809,1188,307,971,892,1235
195,499,1009,1009,462,461,500,1067,1009,809,1188,307,971,892,1235,1046
499,1009,1009,462,461,500,1067,1009,809,1188,307,971,892,1235,1046,233
1009,1009,462,461,500,1067,1009,809,1188,307,971,892,1235,1046,233,237
1009,462,461,500,1067,1009,809,1188,307,971,892,1235,1046,233,237,1008
462,461,500,1067,1009,809,1188,307,971,892,1235,1046,233,237,1008,1008
461,500,1067,1009,809,1188,307,971,892,1235,1046,233,237,1008,1008,701
500,1067,1009,809,1188,307,971,892,1235,1046,233,237,1008,1008,701,701
1067,1009,809,1188,307,971,892,1235,1046,233,237,1008,1008,701,701,1009
1009,809,1188,307,971,892,1235,1046,233,237,1008,1008,701,701,1009,971
809,1188,307,971,892,1235,1046,233,237,1008,1008,701,701,1009,971,308
1188,307,971,892,1235,1046,233,237,1008,1008,701,701,1009,971,308,1205
307,971,892,1235,1046,233,237,1008,1008,701,701,1009,971,308,1205,652
971,892,1235,1046,233,237,1008,1008,701,701,1009,971,308,1205,652,2
892,1235,1046,233,237,1008,1008,701,701,1009,971,308,1205,652,2,1081
1235,1046,233,237,1008,1008,701,701,1009,971,308,1205,652,2,1081,1353
1046,233,237,1008,1008,701,701,1009,971,308,1205,652,2,1081,1353,275
233,237,1008,1008,701,701,1009,971,308,1205,652,2,1081,1353,275,768
237,1008,1008,701,701,1009,971,308,1205,652,2,1081,1353,275,768,654
1008,1008,701,701,1009,971,308,1205,652,2,1081,1353,275,768,654,1035
1008,701,701,1009,971,308,1205,652,2,1081,1353,275,768,654,1035,88
701,701,1009,971,308,1205,652,2,1081,1353,275,768,654,1035,88,276
701,1009,971,308,1205,652,2,1081,1353,275,768,654,1035,88,276,117
1009,971,308,1205,652,2,1081,1353,275,768,654,1035,88,276,117,1009
971,308,1205,652,2,1081,1353,275,768,654,1035,88,276,117,1009,1008
308,1205,652,2,1081,1353,275,768,654,1035,88,276,117,1009,1008,195
1205,652,2,1081,1353,275,768,654,1035,88,276,117,1009,1008,195,1080
652,2,1081,1353,275,768,654,1035,88,276,117,1009,1008,195,1080,1008
2,1081,1353,275,768,654,1035,88,276,117,1009,1008,195,1080,1008,461
1081,1353,275,768,654,1035,88,276,117,1009,1008,195,1080,1008,461,1039
1353,275,768,654,1035,88,276,117,1009,1008,195,1080,1008,461,1039,1039
275,768,654,1035,88,276,117,1009,1008,195,1080,1008,461,1039,1039,1039
768,654,1035,88,276,117,1009,1008,195,1080,1008,461,1039,1039,1039,1039
654,1035,88,276,117,1009,1008,195,1080,1008,461,1039,1039,1039,1039,1040
1035,88,276,117,1009,1008,195,1080,1008,461,1039,1039,1039,1039,1040,1039
88,276,117,1009,1008,195,1080,1008,461,1039,1039,1039,1039,1040,1039,1009
276,117,1009,1008,195,1080,1008,461,1039,1039,1039,1039,1040,1039,1009,200
117,1009,1008,195,1080,1008,461,1039,1039,1039,1039,1040,1039,1009,200,276
1009,1008,195,1080,1008,461,1039,1039,1039,1039,1040,1039,1009,200,276,389
1008,195,1080,1008,461,1039,1039,1039,1039,1040,1039,1009,200,276,389,276
195,1080,1008,461,1039,1039,1039,1039,1040,1039,1009,200,276,389,276,463
1080,1008,461,1039,1039,1039,1039,1040,1039,1009,200,276,389,276,463,1046
1008,461,1039,1039,1039,1039,1040,1039,1009,200,276,389,276,463,1046,1009
461,1039,1039,1039,1039,1040,1039,1009,200,276,389,276,463,1046,1009,346
1039,1039,1039,1039,1040,1039,1009,200,276,389,276,463,1046,1009,346,747
1039,1039,1039,1040,1039,1009,200,276,389,276,463,1046,1009,346,747,232
1039,1039,1040,1039,1009,200,276,389,276,463,1046,1009,346,747,232,730
1039,1040,1039,1009,200,276,389,276,463,1046,1009,346,747,232,730,1166
1040,1039,1009,200,276,389,276,463,1046,1009,346,747,232,730,1166,1008
1039,1009,200,276,389,276,463,1046,1009,346,747,232,730,1166,1008,389
1009,200,276,389,276,463,1046,1009,346,747,232,730,1166,1008,389,1001
200,276,389,276,463,1046,1009,346,747,232,730,1166,1008,389,1001,844
276,389,276,463,1046,1009,346,747,232,730,1166,1008,389,1001,844,1188
389,276,463,1046,1009,346,747,232,730,1166,1008,389,1001,844,1188,1008
276,463,1046,1009,346,747,232,730,1166,1008,389,1001,844,1188,1008,384
463,1046,1009,346,747,232,730,1166,1008,389,1001,844,1188,1008,384,308
1046,1009,346,747,232,730,1166,1008,389,1001,844,1188,1008,384,308,346
1009,346,747,232,730,1166,1008,389,1001,844,1188,1008,384,308,346,501
346,747,232,730,1166,1008,389,1001,844,1188,1008,384,308,346,501,345
747,232,730,1166,1008,389,1001,844,1188,1008,384,308,346,501,345,1204
232,730,1166,1008,389,1001,844,1188,1008,384,308,346,501,345,1204,499
730,1166,1008,389,1001,844,1188,1008,384,308,346,501,345,1204,499,1008
1166,1008,389,1001,844,1188,1008,384,308,346,501,345,1204,499,1008,855
1008,389,1001,844,1188,1008,384,308,346,501,345,1204,499,1008,855,462
389,1001,844,1188,1008,384,308,346,501,345,1204,499,1008,855,462,462
1001,844,1188,1008,384,308,346,501,345,1204,499,1008,855,462,462,462
844,1188,1008,384,308,346,501,345,1204,499,1008,855,462,462,462,734
1188,1008,384,308,346,501,345,1204,499,1008,855,462,462,462,734,385
1008,384,308,346,501,345,1204,499,1008,855,462,462,462,734,385,968
384,308,346,501,345,1204,499,1008,855,462,462,462,734,385,968,239
308,346,501,345,1204,499,1008,855,462,462,462,734,385,968,239,383
346,501,345,1204,499,1008,855,462,462,462,734,385,968,239,383,383
501,345,1204,499,1008,855,462,462,462,734,385,968,239,383,383,500
345,1204,499,1008,855,462,462,462,734,385,968,239,383,383,500,500
1204,499,1008,855,462,462,462,734,385,968,239,383,383,500,500,500
499,1008,855,462,462,462,734,385,968,239,383,383,500,500,500,423
1008,855,462,462,462,734,385,968,239,383,383,500,500,500,423,1008
855,462,462,462,734,385,968,239,383,383,500,500,500,423,1008,3
462,462,462,734,385,968,239,383,383,500,500,500,423,1008,3,1008
462,462,734,385,968,239,383,383,500,500,500,423,1008,3,1008,120
462,734,385,968,239,383,383,500,500,500,423,1008,3,1008,120,276
734,385,968,239,383,383,500,500,500,423,1008,3,1008,120,276,462
385,968,239,383,383,500,500,500,423,1008,3,1008,120,276,462,1008
968,239,383,383,500,500,500,423,1008,3,1008,120,276,462,1008,1009
239,383,383,500,500,500,423,1008,3,1008,120,276,462,1008,1009,422
383,383,500,500,500,423,1008,3,1008,120,276,462,1008,1009,422,309
383,500,500,500,423,1008,3,1008,120,276,462,1008,1009,422,309,309
500,500,500,423,1008,3,1008,120,276,462,1008,1009,422,309,309,884
500,500,423,1008,3,1008,120,276,462,1008,1009,422,309,309,884,1008
500,423,1008,3,1008,120,276,462,1008,1009,422,309,309,884,1008,50
423,1008,3,1008,120,276,462,1008,1009,422,309,309,884,1008,50,1165
1008,3,1008,120,276,462,1008,1009,422,309,309,884,1008,50,1165,461
3,1008,120,276,462,1008,1009,422,309,309,884,1008,50,1165,461,1008
1008,120,276,462,1008,1009,422,309,309,884,1008,50,1165,461,1008,201
120,276,462,1008,1009,422,309,309,884,1008,50,1165,461,1008,201,422
276,462,1008,1009,422,309,309,884,1008,50,1165,461,1008,201,422,422
462,1008,1009,422,309,309,884,1008,50,1165,461,1008,201,422,422,461
1008,1009,422,309,309,884,1008,50,1165,461,1008,201,422,422,461,1008
1009,422,309,309,884,1008,50,1165,461,1008,201,422,422,461,1008,1008
422,309,309,884,1008,50,1165,461,1008,201,422,422,461,1008,1008,461
309,309,884,1008,50,1165,461,1008,201,422,422,461,1008,1008,461,160
309,884,1008,50,1165,461,1008,201,422,422,461,1008,1008,461,160,1008
884,1008,50,1165,461,1008,201,422,422,461,1008,1008,461,160,1008,1008
1008,50,1165,461,1008,201,422,422,461,1008,1008,461,160,1008,1008,461
50,1165,461,1008,201,422,422,461,1008,1008,461,160,1008,1008,461,462
1165,461,1008,201,422,422,461,1008,1008,461,160,1008,1008,461,462,461
461,1008,201,422,422,461,1008,1008,461,160,1008,1008,461,462,461,461
1008,201,422,422,461,1008,1008,461,160,1008,1008,461,462,461,461,1008
201,422,422,461,1008,1008,461,160,1008,1008,461,462,461,461,1008,460
422,422,461,1008,1008,461,160,1008,1008,461,462,461,461,1008,460,1008
422,461,1008,1008,461,160,1008,1008,461,462,461,461,1008,460,1008,423
461,1008,1008,461,160,1008,1008,461,462,461,461,1008,460,1008,423,1009
1008,1008,461,160,1008,1008,461,462,461,461,1008,460,1008,423,1009,1046
1008,461,160,1008,1008,461,462,461,461,1008,460,1008,423,1009,1046,383
461,160,1008,1008,461,462,461,461,1008,460,1008,423,1009,1046,383,422
160,1008,1008,461,462,461,461,1008,460,1008,423,1009,1046,383,422,307
1008,1008,461,462,461,461,1008,460,1008,423,1009,1046,383,422,307,269
1008,461,462,461,461,1008,460,1008,423,1009,1046,383,422,307,269,423
461,462,461,461,1008,460,1008,423,1009,1046,383,422,307,269,423,383
462,461,461,1008,460,1008,423,1009,1046,383,422,307,269,423,383,971
461,461,1008,460,1008,423,1009,1046,383,422,307,269,423,383,971,461
461,1008,460,1008,423,1009,1046,383,422,307,269,423,383,971,461,269
1008,460,1008,423,1009,1046,383,422,307,269,423,383,971,461,269,355
460,1008,423,1009,1046,383,422,307,269,423,383,971,461,269,355,307
1008,423,1009,1046,383,422,307,269,423,383,971,461,269,355,307,307
423,1009,1046,383,422,307,269,423,383,971,461,269,355,307,307,422
1009,1046,383,422,307,269,423,383,971,461,269,355,307,307,422,345
1046,383,422,307,269,423,383,971,461,269,355,307,307,422,345,383
383,422,307,269,423,383,971,461,269,355,307,307,422,345,383,422
422,307,269,423,383,971,461,269,355,307,307,422,345,383,422,1164
307,269,423,383,971,461,269,355,307,307,422,345,383,422,1164,969
269,423,383,971,461,269,355,307,307,422,345,383,422,1164,969,307
423,383,971,461,269,355,307,307,422,345,383,422,1164,969,307,385
383,971,461,269,355,307,307,422,345,383,422,1164,969,307,385,10
971,461,269,355,307,307,422,345,383,422,1164,969,307,385,10,383
461,269,355,307,307,422,345,383,422,1164,969,307,385,10,383,462
269,355,307,307,422,345,383,422,1164,969,307,385,10,383,462,460
355,307,307,422,345,383,422,1164,969,307,385,10,383,462,460,460
307,307,422,345,383,422,1164,969,307,385,10,383,462,460,460,269
307,422,345,383,422,1164,969,307,385,10,383,462,460,460,269,461
422,345,383,422,1164,969,307,385,10,383,462,460,460,269,461,383
345,383,422,1164,969,307,385,10,383,462,460,460,269,461,383,345
383,422,1164,969,307,385,10,383,462,460,460,269,461,383,345,422
422,1164,969,307,385,10,383,462,460,460,269,461,383,345,422,195
1164,969,307,385,10,383,462,460,460,269,461,383,345,422,195,383
969,307,385,10,383,462,460,460,269,461,383,345,422,195,383,384
307,385,10,383,462,460,460,269,461,383,345,422,195,383,384,384
385,10,383,462,460,460,269,461,383,345,422,195,383,384,384,384
10,383,462,460,460,269,461,383,345,422,195,383,384,384,384,346
383,462,460,460,269,461,383,345,422,195,383,384,384,384,346,384
462,460,460,269,461,383,345,422,195,383,384,384,384,346,384,384
460,460,269,461,383,345,422,195,383,384,384,384,346,384,384,384
460,269,461,383,345,422,195,383,384,384,384,346,384,384,384,384
269,461,383,345,422,195,383,384,384,384,346,384,384,384,384,383
461,383,345,422,195,383,384,384,384,346,384,384,384,384,383,461
383,345,422,195,383,384,384,384,346,384,384,384,384,383,461,384
345,422,195,383,384,384,384,346,384,384,384,384,383,461,384,460
422,195,383,384,384,384,346,384,384,384,384,383,461,384,460,461
195,383,384,384,384,346,384,384,384,384,383,461,384,460,461,384
383,384,384,384,346,384,384,384,384,383,461,384,460,461,384,423
384,384,384,346,384,384,384,384,383,461,384,460,461,384,423,461
384,384,346,384,384,384,384,383,461,384,460,461,384,423,461,461
384,346,384,384,384,384,383,461,384,460,461,384,423,461,461,461
346,384,384,384,384,383,461,384,460,461,384,423,461,461,461,460
384,384,384,384,383,461,384,460,461,384,423,461,461,461,460,460
384,384,384,383,461,384,460,461,384,423,461,461,461,460,460,1009
384,384,383,461,384,460,461,384,423,461,461,461,460,460,1009,461
384,383,461,384,460,461,384,423,461,461,461,460,460,1009,461,461
383,461,384,460,461,384,423,461,461,461,460,460,1009,461,461,461
461,384,460,461,384,423,461,461,461,460,460,1009,461,461,461,461
384,460,461,384,423,461,461,461,460,460,1009,461,461,461,461,461
460,461,384,423,461,461,461,460,460,1009,461,461,461,461,461,307
461,384,423,461,461,461,460,460,1009,461,461,461,461,461,307,422
384,423,461,461,461,460,460,1009,461,461,461,461,461,307,422,421
423,461,461,461,460,460,1009,461,461,461,461,461,307,422,421,383
461,461,461,460,460,1009,461,461,461,461,461,307,422,421,383,383
461,461,460,460,1009,461,461,461,461,461,307,422,421,383,383,383
461,460,460,1009,461,461,461,461,461,307,422,421,383,383,383,307
460,460,1009,461,461,461,461,461,307,422,421,383,383,383,307,307
460,1009,461,461,461,461,461,307,422,421,383,383,383,307,307,384
1009,461,461,461,461,461,307,422,421,383,383,383,307,307,384,384
461,461,461,461,461,307,422,421,383,383,383,307,307,384,384,384
461,461,461,461,307,422,421,383,383,383,307,307,384,384,384,385
461,461,461,307,422,421,383,383,383,307,307,384,384,384,385,276
461,461,307,422,421,383,383,383,307,307,384,384,384,385,276,461
461,307,422,421,383,383,383,307,307,384,384,384,385,276,461,423
307,422,421,383,383,383,307,307,384,384,384,385,276,461,423,308
422,421,383,383,383,307,307,384,384,384,385,276,461,423,308,461
421,383,383,383,307,307,384,384,384,385,276,461,423,308,461,1182
383,383,383,307,307,384,384,384,385,276,461,423,308,461,1182,383
383,383,307,307,384,384,384,385,276,461,423,308,461,1182,383,383
383,307,307,384,384,384,385,276,461,423,308,461,1182,383,383,384
307,307,384,384,384,385,276,461,423,308,461,1182,383,383,384,384
307,384,384,384,385,276,461,423,308,461,1182,383,383,384,384,422
384,384,384,385,276,461,423,308,461,1182,383,383,384,384,422,384
384,384,385,276,461,423,308,461,1182,383,383,384,384,422,384,384
384,385,276,461,423,308,461,1182,383,383,384,384,422,384,384,422
385,276,461,423,308,461,1182,383,383,384,384,422,384,384,422,384
276,461,423,308,461,1182,383,383,384,384,422,384,384,422,384,384
461,423,308,461,1182,383,383,384,384,422,384,384,422,384,384,384
423,308,461,1182,383,383,384,384,422,384,384,422,384,384,384,422
308,461,1182,383,383,384,384,422,384,384,422,384,384,384,422,384
461,1182,383,383,384,384,422,384,384,422,384,384,384,422,384,422
1182,383,383,384,384,422,384,384,422,384,384,384,422,384,422,385
383,383,384,384,422,384,384,422,384,384,384,422,384,422,385,423
383,384,384,422,384,384,422,384,384,384,422,384,422,385,423,423
384,384,422,384,384,422,384,384,384,422,384,422,385,423,423,275
384,422,384,384,422,384,384,384,422,384,422,385,423,423,275,238
422,384,384,422,384,384,384,422,384,422,385,423,423,275,238,275
384,384,422,384,384,384,422,384,422,385,423,423,275,238,275,1008
384,422,384,384,384,422,384,422,385,423,423,275,238,275,1008,1000
422,384,384,384,422,384,422,385,423,423,275,238,275,1008,1000,1001
384,384,384,422,384,422,385,423,423,275,238,275,1008,1000,1001,200
384,384,422,384,422,385,423,423,275,238,275,1008,1000,1001,200,47
384,422,384,422,385,423,423,275,238,275,1008,1000,1001,200,47,1008
422,384,422,385,423,423,275,238,275,1008,1000,1001,200,47,1008,1038
384,422,385,423,423,275,238,275,1008,1000,1001,200,47,1008,1038,1164
422,385,423,423,275,238,275,1008,1000,1001,200,47,1008,1038,1164,1080
385,423,423,275,238,275,1008,1000,1001,200,47,1008,1038,1164,1080,1008
423,423,275,238,275,1008,1000,1001,200,47,1008,1038,1164,1080,1008,690
423,275,238,275,1008,1000,1001,200,47,1008,1038,1164,1080,1008,690,1008
275,238,275,1008,1000,1001,200,47,1008,1038,1164,1080,1008,690,1008,1008
238,275,1008,1000,1001,200,47,1008,1038,1164,1080,1008,690,1008,1008,119
275,1008,1000,1001,200,47,1008,1038,1164,1080,1008,690,1008,1008,119,891
1008,1000,1001,200,47,1008,1038,1164,1080,1008,690,1008,1008,119,891,1008
1000,1001,200,47,1008,1038,1164,1080,1008,690,1008,1008,119,891,1008,1035
1001,200,47,1008,1038,1164,1080,1008,690,1008,1008,119,891,1008,1035,739
200,47,1008,1038,1164,1080,1008,690,1008,1008,119,891,1008,1035,739,1008
47,1008,1038,1164,1080,1008,690,1008,1008,119,891,1008,1035,739,1008,1008
1008,1038,1164,1080,1008,690,1008,1008,119,891,1008,1035,739,1008,1008,1008
1038,1164,1080,1008,690,1008,1008,119,891,1008,1035,739,1008,1008,1008,270
1164,1080,1008,690,1008,1008,119,891,1008,1035,739,1008,1008,1008,270,308
1080,1008,690,1008,1008,119,891,1008,1035,739,1008,1008,1008,270,308,1028
1008,690,1008,1008,119,891,1008,1035,739,1008,1008,1008,270,308,1028,971
690,1008,1008,119,891,1008,1035,739,1008,1008,1008,270,308,1028,971,1009
1008,1008,119,891,1008,1035,739,1008,1008,1008,270,308,1028,971,1009,3
1008,119,891,1008,1035,739,1008,1008,1008,270,308,1028,971,1009,3,1008
119,891,1008,1035,739,1008,1008,1008,270,308,1028,971,1009,3,1008,743
891,1008,1035,739,1008,1008,1008,270,308,1028,971,1009,3,1008,743,1204
1008,1035,739,1008,1008,1008,270,308,1028,971,1009,3,1008,743,1204,1464
1035,739,1008,1008,1008,270,308,1028,971,1009,3,1008,743,1204,1464,1008
739,1008,1008,1008,270,308,1028,971,1009,3,1008,743,1204,1464,1008,1008
1008,1008,1008,270,308,1028,971,1009,3,1008,743,1204,1464,1008,1008,1008
1008,1008,270,308,1028,971,1009,3,1008,743,1204,1464,1008,1008,1008,276
1008,270,308,1028,971,1009,3,1008,743,1204,1464,1008,1008,1008,276,1033
270,308,1028,971,1009,3,1008,743,1204,1464,1008,1008,1008,276,1033,1008
308,1028,971,1009,3,1008,743,1204,1464,1008,1008,1008,276,1033,1008,79
1028,971,1009,3,1008,743,1204,1464,1008,1008,1008,276,1033,1008,79,577
971,1009,3,1008,743,1204,1464,1008,1008,1008,276,1033,1008,79,577,1008
1009,3,1008,743,1204,1464,1008,1008,1008,276,1033,1008,79,577,1008,807
3,1008,743,1204,1464,1008,1008,1008,276,1033,1008,79,577,1008,807,1001
1008,743,1204,1464,1008,1008,1008,276,1033,1008,79,577,1008,807,1001,1222
743,1204,1464,1008,1008,1008,276,1033,1008,79,577,1008,807,1001,1222,925
1204,1464,1008,1008,1008,276,1033,1008,79,577,1008,807,1001,1222,925,858
1464,1008,1008,1008,276,1033,1008,79,577,1008,807,1001,1222,925,858,916
1008,1008,1008,276,1033,1008,79,577,1008,807,1001,1222,925,858,916,660
1008,1008,276,1033,1008,79,577,1008,807,1001,1222,925,858,916,660,1008
1008,276,1033,1008,79,577,1008,807,1001,1222,925,858,916,660,1008,1241
276,1033,1008,79,577,1008,807,1001,1222,925,858,916,660,1008,1241,234
1033,1008,79,577,1008,807,1001,1222,925,858,916,660,1008,1241,234,464
1008,79,577,1008,807,1001,1222,925,858,916,660,1008,1241,234,464,1008
79,577,1008,807,1001,1222,925,858,916,660,1008,1241,234,464,1008,1000
577,1008,807,1001,1222,925,858,916,660,1008,1241,234,464,1008,1000,80
1008,807,1001,1222,925,858,916,660,1008,1241,234,464,1008,1000,80,500
807,1001,1222,925,858,916,660,1008,1241,234,464,1008,1000,80,500,1028
1001,1222,925,858,916,660,1008,1241,234,464,1008,1000,80,500,1028,159
1222,925,858,916,660,1008,1241,234,464,1008,1000,80,500,1028,159,271
925,858,916,660,1008,1241,234,464,1008,1000,80,500,1028,159,271,884
858,916,660,1008,1241,234,464,1008,1000,80,500,1028,159,271,884,1008
916,660,1008,1241,234,464,1008,1000,80,500,1028,159,271,884,1008,1164
660,1008,1241,234,464,1008,1000,80,500,1028,159,271,884,1008,1164,166
1008,1241,234,464,1008,1000,80,500,1028,159,271,884,1008,1164,166,164
1241,234,464,1008,1000,80,500,1028,159,271,884,1008,1164,166,164,1008
234,464,1008,1000,80,500,1028,159,271,884,1008,1164,166,164,1008,970
464,1008,1000,80,500,1028,159,271,884,1008,1164,166,164,1008,970,784
1008,1000,80,500,1028,159,271,884,1008,1164,166,164,1008,970,784,747
1000,80,500,1028,159,271,884,1008,1164,166,164,1008,970,784,747,1164
80,500,1028,159,271,884,1008,1164,166,164,1008,970,784,747,1164,1164
500,1028,159,271,884,1008,1164,166,164,1008,970,784,747,1164,1164,1164
1028,159,271,884,1008,1164,166,164,1008,970,784,747,1164,1164,1164,1126
159,271,884,1008,1164,166,164,1008,970,784,747,1164,1164,1164,1126,235
271,884,1008,1164,166,164,1008,970,784,747,1164,1164,1164,1126,235,1113
884,1008,1164,166,164,1008,970,784,747,1164,1164,1164,1126,235,1113,461
1008,1164,166,164,1008,970,784,747,1164,1164,1164,1126,235,1113,461,1164
1164,166,164,1008,970,784,747,1164,1164,1164,1126,235,1113,461,1164,1164
166,164,1008,970,784,747,1164,1164,1164,1126,235,1113,461,1164,1164,1164
164,1008,970,784,747,1164,1164,1164,1126,235,1113,461,1164,1164,1164,1164
1008,970,784,747,1164,1164,1164,1126,235,1113,461,1164,1164,1164,1164,1126
970,784,747,1164,1164,1164,1126,235,1113,461,1164,1164,1164,1164,1126,1164
784,747,1164,1164,1164,1126,235,1113,461,1164,1164,1164,1164,1126,1164,1126
747,1164,1164,1164,1126,235,1113,461,1164,1164,1164,1164,1126,1164,1126,1164
1164,1164,1164,1126,235,1113,461,1164,1164,1164,1164,1126,1164,1126,1164,1164
1164,1164,1126,235,1113,461,1164,1164,1164,1164,1126,1164,1126,1164,1164,1164
1164,1126,235,1113,461,1164,1164,1164,1164,1126,1164,1126,1164,1164,1164,1164
1126,235,1113,461,1164,1164,1164,1164,1126,1164,1126,1164,1164,1164,1164,1164
235,1113,461,1164,1164,1164,1164,1126,1164,1126,1164,1164,1164,1164,1164,1126
1113,461,1164,1164,1164,1164,1126,1164,1126,1164,1164,1164,1164,1164,1126,1164
461,1164,1164,1164,1164,1126,1164,1126,1164,1164,1164,1164,1164,1126,1164,1126
1164,1164,1164,1164,1126,1164,1126,1164,1164,1164,1164,1164,1126,1164,1126,1126
1164,1164,1164,1126,1164,1126,1164,1164,1164,1164,1164,1126,1164,1126,1126,1164
1164,1164,1126,1164,1126,1164,1164,1164,1164,1164,1126,1164,1126,1126,1164,1126
1164,1126,1164,1126,1164,1164,1164,1164,1164,1126,1164,1126,1126,1164,1126,346
1126,1164,1126,1164,1164,1164,1164,1164,1126,1164,1126,1126,1164,1126,346,232
1164,1126,1164,1164,1164,1164,1164,1126,1164,1126,1126,1164,1126,346,232,1008
1126,1164,1164,1164,1164,1164,1126,1164,1126,1126,1164,1126,346,232,1008,1030
1164,1164,1164,1164,1164,1126,1164,1126,1126,1164,1126,346,232,1008,1030,1008
1164,1164,1164,1164,1126,1164,1126,1126,1164,1126,346,232,1008,1030,1008,1008
1164,1164,1164,1126,1164,1126,1126,1164,1126,346,232,1008,1030,1008,1008,1008
1164,1164,1126,1164,1126,1126,1164,1126,346,232,1008,1030,1008,1008,1008,198
1164,1126,1164,1126,1126,1164,1126,346,232,1008,1030,1008,1008,1008,198,1084
1126,1164,1126,1126,1164,1126,346,232,1008,1030,1008,1008,1008,198,1084,1037
1164,1126,1126,1164,1126,346,232,1008,1030,1008,1008,1008,198,1084,1037,196
1126,1126,1164,1126,346,232,1008,1030,1008,1008,1008,198,1084,1037,196,1008
1126,1164,1126,346,232,1008,1030,1008,1008,1008,198,1084,1037,196,1008,81
1164,1126,346,232,1008,1030,1008,1008,1008,198,1084,1037,196,1008,81,124
1126,346,232,1008,1030,1008,1008,1008,198,1084,1037,196,1008,81,124,118
346,232,1008,1030,1008,1008,1008,198,1084,1037,196,1008,81,124,118,969
232,1008,1030,1008,1008,1008,198,1084,1037,196,1008,81,124,118,969,1008
1008,1030,1008,1008,1008,198,1084,1037,196,1008,81,124,118,969,1008,930
1030,1008,1008,1008,198,1084,1037,196,1008,81,124,118,969,1008,930,774
1008,1008,1008,198,1084,1037,196,1008,81,124,118,969,1008,930,774,1072
1008,1008,198,1084,1037,196,1008,81,124,118,969,1008,930,774,1072,1008
1008,198,1084,1037,196,1008,81,124,118,969,1008,930,774,1072,1008,1008
