0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
1009,661,809,1483,500,500,500,500,500,499,1046,1009,462,462,500,1000,702,195
661,809,1483,500,500,500,500,500,499,1046,1009,462,462,500,1000,702,195,499
809,1483,500,500,500,500,500,499,1046,1009,462,462,500,1000,702,195,499,1009
1483,500,500,500,500,500,499,1046,1009,462,462,500,1000,702,195,499,1009,1009
500,500,500,500,500,499,1046,1009,462,462,500,1000,702,195,499,1009,1009,462
500,500,500,500,499,1046,1009,462,462,500,1000,702,195,499,1009,1009,462,461
500,500,500,499,1046,1009,462,462,500,1000,702,195,499,1009,1009,462,461,500
500,500,499,1046,1009,462,462,500,1000,702,195,499,1009,1009,462,461,500,1067
500,499,1046,1009,462,462,500,1000,702,195,499,1009,1009,462,461,500,1067,1009
499,1046,1009,462,462,500,1000,702,195,499,1009,1009,462,461,500,1067,1009,809
1046,1009,462,462,500,1000,702,195,499,1009,1009,462,461,500,1067,1009,809,1188
1009,462,462,500,1000,702,195,499,1009,1009,462,461,500,1067,1009,809,1188,307
462,462,500,1000,702,195,499,1009,1009,462,461,500,1067,1009,809,1188,307,971
462,500,1000,702,195,499,1009,1009,462,461,500,1067,1009,809,1188,307,971,892
500,1000,702,195,499,1009,1009,462,461,500,1067,1009,809,1188,307,971,892,1235
1000,702,195,499,1009,1009,462,461,500,1067,1009,809,1188,307,971,892,1235,1046
702,195,499,1009,1009,462,461,500,1067,1009,809,1188,307,971,892,1235,1046,233
195,499,1009,1009,462,461,500,1067,1009,809,1188,307,971,892,1235,1046,233,237
499,1009,1009,462,461,500,1067,1009,809,1188,307,971,892,1235,1046,233,237,1008
1009,1009,462,461,500,1067,1009,809,1188,307,971,892,1235,1046,233,237,1008,1008
1009,462,461,500,1067,1009,809,1188,307,971,892,1235,1046,233,237,1008,1008,701
462,461,500,1067,1009,809,1188,307,971,892,1235,1046,233,237,1008,1008,701,701
461,500,1067,1009,809,1188,307,971,892,1235,1046,233,237,1008,1008,701,701,1009
500,1067,1009,809,1188,307,971,892,1235,1046,233,237,1008,1008,701,701,1009,971
1067,1009,809,1188,307,971,892,1235,1046,233,237,1008,1008,701,701,1009,971,308
1009,809,1188,307,971,892,1235,1046,233,237,1008,1008,701,701,1009,971,308,1205
809,1188,307,971,892,1235,1046,233,237,1008,1008,701,701,1009,971,308,1205,652
1188,307,971,892,1235,1046,233,237,1008,1008,701,701,1009,971,308,1205,652,2
307,971,892,1235,1046,233,237,1008,1008,701,701,1009,971,308,1205,652,2,1081
971,892,1235,1046,233,237,1008,1008,701,701,1009,971,308,1205,652,2,1081,1353
892,1235,1046,233,237,1008,1008,701,701,1009,971,308,1205,652,2,1081,1353,275
1235,1046,233,237,1008,1008,701,701,1009,971,308,1205,652,2,1081,1353,275,768
1046,233,237,1008,1008,701,701,1009,971,308,1205,652,2,1081,1353,275,768,654
233,237,1008,1008,701,701,1009,971,308,1205,652,2,1081,1353,275,768,654,1035
237,1008,1008,701,701,1009,971,308,1205,652,2,1081,1353,275,768,654,1035,88
1008,1008,701,701,1009,971,308,1205,652,2,1081,1353,275,768,654,1035,88,276
1008,701,701,1009,971,308,1205,652,2,1081,1353,275,768,654,1035,88,276,117
701,701,1009,971,308,1205,652,2,1081,1353,275,768,654,1035,88,276,117,1009
701,1009,971,308,1205,652,2,1081,1353,275,768,654,1035,88,276,117,1009,1008
1009,971,308,1205,652,2,1081,1353,275,768,654,1035,88,276,117,1009,1008,195
971,308,1205,652,2,1081,1353,275,768,654,1035,88,276,117,1009,1008,195,1080
308,1205,652,2,1081,1353,275,768,654,1035,88,276,117,1009,1008,195,1080,1008
1205,652,2,1081,1353,275,768,654,1035,88,276,117,1009,1008,195,1080,1008,461
652,2,1081,1353,275,768,654,1035,88,276,117,1009,1008,195,1080,1008,461,1039
2,1081,1353,275,768,654,1035,88,276,117,1009,1008,195,1080,1008,461,1039,1039
1081,1353,275,768,654,1035,88,276,117,1009,1008,195,1080,1008,461,1039,1039,1039
1353,275,768,654,1035,88,276,117,1009,1008,195,1080,1008,461,1039,1039,1039,1039
275,768,654,1035,88,276,117,1009,1008,195,1080,1008,461,1039,1039,1039,1039,1040
768,654,1035,88,276,117,1009,1008,195,1080,1008,461,1039,1039,1039,1039,1040,1039
654,1035,88,276,117,1009,1008,195,1080,1008,461,1039,1039,1039,1039,1040,1039,1009
1035,88,276,117,1009,1008,195,1080,1008,461,1039,1039,1039,1039,1040,1039,1009,200
88,276,117,1009,1008,195,1080,1008,461,1039,1039,1039,1039,1040,1039,1009,200,276
276,117,1009,1008,195,1080,1008,461,1039,1039,1039,1039,1040,1039,1009,200,276,389
117,1009,1008,195,1080,1008,461,1039,1039,1039,1039,1040,1039,1009,200,276,389,276
1009,1008,195,1080,1008,461,1039,1039,1039,1039,1040,1039,1009,200,276,389,276,463
1008,195,1080,1008,461,1039,1039,1039,1039,1040,1039,1009,200,276,389,276,463,1046
195,1080,1008,461,1039,1039,1039,1039,1040,1039,1009,200,276,389,276,463,1046,1009
1080,1008,461,1039,1039,1039,1039,1040,1039,1009,200,276,389,276,463,1046,1009,346
1008,461,1039,1039,1039,1039,1040,1039,1009,200,276,389,276,463,1046,1009,346,747
461,1039,1039,1039,1039,1040,1039,1009,200,276,389,276,463,1046,1009,346,747,232
1039,1039,1039,1039,1040,1039,1009,200,276,389,276,463,1046,1009,346,747,232,730
1039,1039,1039,1040,1039,1009,200,276,389,276,463,1046,1009,346,747,232,730,1166
1039,1039,1040,1039,1009,200,276,389,276,463,1046,1009,346,747,232,730,1166,1008
1039,1040,1039,1009,200,276,389,276,463,1046,1009,346,747,232,730,1166,1008,389
1040,1039,1009,200,276,389,276,463,1046,1009,346,747,232,730,1166,1008,389,1001
1039,1009,200,276,389,276,463,1046,1009,346,747,232,730,1166,1008,389,1001,844
1009,200,276,389,276,463,1046,1009,346,747,232,730,1166,1008,389,1001,844,1188
200,276,389,276,463,1046,1009,346,747,232,730,1166,1008,389,1001,844,1188,1008
276,389,276,463,1046,1009,346,747,232,730,1166,1008,389,1001,844,1188,1008,384
389,276,463,1046,1009,346,747,232,730,1166,1008,389,1001,844,1188,1008,384,308
276,463,1046,1009,346,747,232,730,1166,1008,389,1001,844,1188,1008,384,308,346
463,1046,1009,346,747,232,730,1166,1008,389,1001,844,1188,1008,384,308,346,501
1046,1009,346,747,232,730,1166,1008,389,1001,844,1188,1008,384,308,346,501,345
1009,346,747,232,730,1166,1008,389,1001,844,1188,1008,384,308,346,501,345,1204
346,747,232,730,1166,1008,389,1001,844,1188,1008,384,308,346,501,345,1204,499
747,232,730,1166,1008,389,1001,844,1188,1008,384,308,346,501,345,1204,499,1008
232,730,1166,1008,389,1001,844,1188,1008,384,308,346,501,345,1204,499,1008,855
730,1166,1008,389,1001,844,1188,1008,384,308,346,501,345,1204,499,1008,855,462
1166,1008,389,1001,844,1188,1008,384,308,346,501,345,1204,499,1008,855,462,462
1008,389,1001,844,1188,1008,384,308,346,501,345,1204,499,1008,855,462,462,462
389,1001,844,1188,1008,384,308,346,501,345,1204,499,1008,855,462,462,462,734
1001,844,1188,1008,384,308,346,501,345,1204,499,1008,855,462,462,462,734,385
844,1188,1008,384,308,346,501,345,1204,499,1008,855,462,462,462,734,385,968
1188,1008,384,308,346,501,345,1204,499,1008,855,462,462,462,734,385,968,239
1008,384,308,346,501,345,1204,499,1008,855,462,462,462,734,385,968,239,383
384,308,346,501,345,1204,499,1008,855,462,462,462,734,385,968,239,383,383
308,346,501,345,1204,499,1008,855,462,462,462,734,385,968,239,383,383,500
346,501,345,1204,499,1008,855,462,462,462,734,385,968,239,383,383,500,500
501,345,1204,499,1008,855,462,462,462,734,385,968,239,383,383,500,500,500
345,1204,499,1008,855,462,462,462,734,385,968,239,383,383,500,500,500,423
1204,499,1008,855,462,462,462,734,385,968,239,383,383,500,500,500,423,1008
499,1008,855,462,462,462,734,385,968,239,383,383,500,500,500,423,1008,3
1008,855,462,462,462,734,385,968,239,383,383,500,500,500,423,1008,3,1008
855,462,462,462,734,385,968,239,383,383,500,500,500,423,1008,3,1008,120
462,462,462,734,385,968,239,383,383,500,500,500,423,1008,3,1008,120,276
462,462,734,385,968,239,383,383,500,500,500,423,1008,3,1008,120,276,462
462,734,385,968,239,383,383,500,500,500,423,1008,3,1008,120,276,462,1008
734,385,968,239,383,383,500,500,500,423,1008,3,1008,120,276,462,1008,1009
385,968,239,383,383,500,500,500,423,1008,3,1008,120,276,462,1008,1009,422
968,239,383,383,500,500,500,423,1008,3,1008,120,276,462,1008,1009,422,309
239,383,383,500,500,500,423,1008,3,1008,120,276,462,1008,1009,422,309,309
383,383,500,500,500,423,1008,3,1008,120,276,462,1008,1009,422,309,309,884
383,500,500,500,423,1008,3,1008,120,276,462,1008,1009,422,309,309,884,1008
500,500,500,423,1008,3,1008,120,276,462,1008,1009,422,309,309,884,1008,50
500,500,423,1008,3,1008,120,276,462,1008,1009,422,309,309,884,1008,50,1165
500,423,1008,3,1008,120,276,462,1008,1009,422,309,309,884,1008,50,1165,461
423,1008,3,1008,120,276,462,1008,1009,422,309,309,884,1008,50,1165,461,1008
1008,3,1008,120,276,462,1008,1009,422,309,309,884,1008,50,1165,461,1008,201
3,1008,120,276,462,1008,1009,422,309,309,884,1008,50,1165,461,1008,201,422
1008,120,276,462,1008,1009,422,309,309,884,1008,50,1165,461,1008,201,422,422
120,276,462,1008,1009,422,309,309,884,1008,50,1165,461,1008,201,422,422,461
276,462,1008,1009,422,309,309,884,1008,50,1165,461,1008,201,422,422,461,1008
462,1008,1009,422,309,309,884,1008,50,1165,461,1008,201,422,422,461,1008,1008
1008,1009,422,309,309,884,1008,50,1165,461,1008,201,422,422,461,1008,1008,461
1009,422,309,309,884,1008,50,1165,461,1008,201,422,422,461,1008,1008,461,160
422,309,309,884,1008,50,1165,461,1008,201,422,422,461,1008,1008,461,160,1008
309,309,884,1008,50,1165,461,1008,201,422,422,461,1008,1008,461,160,1008,1008
309,884,1008,50,1165,461,1008,201,422,422,461,1008,1008,461,160,1008,1008,461
884,1008,50,1165,461,1008,201,422,422,461,1008,1008,461,160,1008,1008,461,462
1008,50,1165,461,1008,201,422,422,461,1008,1008,461,160,1008,1008,461,462,461
50,1165,461,1008,201,422,422,461,1008,1008,461,160,1008,1008,461,462,461,461
1165,461,1008,201,422,422,461,1008,1008,461,160,1008,1008,461,462,461,461,1008
461,1008,201,422,422,461,1008,1008,461,160,1008,1008,461,462,461,461,1008,460
1008,201,422,422,461,1008,1008,461,160,1008,1008,461,462,461,461,1008,460,1008
201,422,422,461,1008,1008,461,160,1008,1008,461,462,461,461,1008,460,1008,423
422,422,461,1008,1008,461,160,1008,1008,461,462,461,461,1008,460,1008,423,1009
422,461,1008,1008,461,160,1008,1008,461,462,461,461,1008,460,1008,423,1009,1046
461,1008,1008,461,160,1008,1008,461,462,461,461,1008,460,1008,423,1009,1046,383
1008,1008,461,160,1008,1008,461,462,461,461,1008,460,1008,423,1009,1046,383,422
1008,461,160,1008,1008,461,462,461,461,1008,460,1008,423,1009,1046,383,422,307
461,160,1008,1008,461,462,461,461,1008,460,1008,423,1009,1046,383,422,307,269
160,1008,1008,461,462,461,461,1008,460,1008,423,1009,1046,383,422,307,269,423
1008,1008,461,462,461,461,1008,460,1008,423,1009,1046,383,422,307,269,423,383
1008,461,462,461,461,1008,460,1008,423,1009,1046,383,422,307,269,423,383,971
461,462,461,461,1008,460,1008,423,1009,1046,383,422,307,269,423,383,971,461
462,461,461,1008,460,1008,423,1009,1046,383,422,307,269,423,383,971,461,269
461,461,1008,460,1008,423,1009,1046,383,422,307,269,423,383,971,461,269,355
461,1008,460,1008,423,1009,1046,383,422,307,269,423,383,971,461,269,355,307
1008,460,1008,423,1009,1046,383,422,307,269,423,383,971,461,269,355,307,307
460,1008,423,1009,1046,383,422,307,269,423,383,971,461,269,355,307,307,422
1008,423,1009,1046,383,422,307,269,423,383,971,461,269,355,307,307,422,345
423,1009,1046,383,422,307,269,423,383,971,461,269,355,307,307,422,345,383
1009,1046,383,422,307,269,423,383,971,461,269,355,307,307,422,345,383,422
1046,383,422,307,269,423,383,971,461,269,355,307,307,422,345,383,422,1164
383,422,307,269,423,383,971,461,269,355,307,307,422,345,383,422,1164,969
422,307,269,423,383,971,461,269,355,307,307,422,345,383,422,1164,969,307
307,269,423,383,971,461,269,355,307,307,422,345,383,422,1164,969,307,385
269,423,383,971,461,269,355,307,307,422,345,383,422,1164,969,307,385,10
423,383,971,461,269,355,307,307,422,345,383,422,1164,969,307,385,10,383
383,971,461,269,355,307,307,422,345,383,422,1164,969,307,385,10,383,462
971,461,269,355,307,307,422,345,383,422,1164,969,307,385,10,383,462,460
461,269,355,307,307,422,345,383,422,1164,969,307,385,10,383,462,460,460
269,355,307,307,422,345,383,422,1164,969,307,385,10,383,462,460,460,269
355,307,307,422,345,383,422,1164,969,307,385,10,383,462,460,460,269,461
307,307,422,345,383,422,1164,969,307,385,10,383,462,460,460,269,461,383
307,422,345,383,422,1164,969,307,385,10,383,462,460,460,269,461,383,345
422,345,383,422,1164,969,307,385,10,383,462,460,460,269,461,383,345,422
345,383,422,1164,969,307,385,10,383,462,460,460,269,461,383,345,422,195
383,422,1164,969,307,385,10,383,462,460,460,269,461,383,345,422,195,383
422,1164,969,307,385,10,383,462,460,460,269,461,383,345,422,195,383,384
1164,969,307,385,10,383,462,460,460,269,461,383,345,422,195,383,384,384
969,307,385,10,383,462,460,460,269,461,383,345,422,195,383,384,384,384
307,385,10,383,462,460,460,269,461,383,345,422,195,383,384,384,384,346
385,10,383,462,460,460,269,461,383,345,422,195,383,384,384,384,346,384
10,383,462,460,460,269,461,383,345,422,195,383,384,384,384,346,384,384
383,462,460,460,269,461,383,345,422,195,383,384,384,384,346,384,384,384
462,460,460,269,461,383,345,422,195,383,384,384,384,346,384,384,384,384
460,460,269,461,383,345,422,195,383,384,384,384,346,384,384,384,384,383
460,269,461,383,345,422,195,383,384,384,384,346,384,384,384,384,383,461
269,461,383,345,422,195,383,384,384,384,346,384,384,384,384,383,461,384
461,383,345,422,195,383,384,384,384,346,384,384,384,384,383,461,384,460
383,345,422,195,383,384,384,384,346,384,384,384,384,383,461,384,460,461
345,422,195,383,384,384,384,346,384,384,384,384,383,461,384,460,461,384
422,195,383,384,384,384,346,384,384,384,384,383,461,384,460,461,384,423
195,383,384,384,384,346,384,384,384,384,383,461,384,460,461,384,423,461
383,384,384,384,346,384,384,384,384,383,461,384,460,461,384,423,461,461
384,384,384,346,384,384,384,384,383,461,384,460,461,384,423,461,461,461
384,384,346,384,384,384,384,383,461,384,460,461,384,423,461,461,461,460
384,346,384,384,384,384,383,461,384,460,461,384,423,461,461,461,460,460
346,384,384,384,384,383,461,384,460,461,384,423,461,461,461,460,460,1009
384,384,384,384,383,461,384,460,461,384,423,461,461,461,460,460,1009,461
384,384,384,383,461,384,460,461,384,423,461,461,461,460,460,1009,461,461
384,384,383,461,384,460,461,384,423,461,461,461,460,460,1009,461,461,461
384,383,461,384,460,461,384,423,461,461,461,460,460,1009,461,461,461,461
383,461,384,460,461,384,423,461,461,461,460,460,1009,461,461,461,461,461
461,384,460,461,384,423,461,461,461,460,460,1009,461,461,461,461,461,307
384,460,461,384,423,461,461,461,460,460,1009,461,461,461,461,461,307,422
460,461,384,423,461,461,461,460,460,1009,461,461,461,461,461,307,422,421
461,384,423,461,461,461,460,460,1009,461,461,461,461,461,307,422,421,383
384,423,461,461,461,460,460,1009,461,461,461,461,461,307,422,421,383,383
423,461,461,461,460,460,1009,461,461,461,461,461,307,422,421,383,383,383
461,461,461,460,460,1009,461,461,461,461,461,307,422,421,383,383,383,307
461,461,460,460,1009,461,461,461,461,461,307,422,421,383,383,383,307,307
461,460,460,1009,461,461,461,461,461,307,422,421,383,383,383,307,307,384
460,460,1009,461,461,461,461,461,307,422,421,383,383,383,307,307,384,384
460,1009,461,461,461,461,461,307,422,421,383,383,383,307,307,384,384,384
1009,461,461,461,461,461,307,422,421,383,383,383,307,307,384,384,384,385
461,461,461,461,461,307,422,421,383,383,383,307,307,384,384,384,385,276
461,461,461,461,307,422,421,383,383,383,307,307,384,384,384,385,276,461
461,461,461,307,422,421,383,383,383,307,307,384,384,384,385,276,461,423
461,461,307,422,421,383,383,383,307,307,384,384,384,385,276,461,423,308
461,307,422,421,383,383,383,307,307,384,384,384,385,276,461,423,308,461
307,422,421,383,383,383,307,307,384,384,384,385,276,461,423,308,461,1182
422,421,383,383,383,307,307,384,384,384,385,276,461,423,308,461,1182,383
421,383,383,383,307,307,384,384,384,385,276,461,423,308,461,1182,383,383
383,383,383,307,307,384,384,384,385,276,461,423,308,461,1182,383,383,384
383,383,307,307,384,384,384,385,276,461,423,308,461,1182,383,383,384,384
383,307,307,384,384,384,385,276,461,423,308,461,1182,383,383,384,384,422
307,307,384,384,384,385,276,461,423,308,461,1182,383,383,384,384,422,384
307,384,384,384,385,276,461,423,308,461,1182,383,383,384,384,422,384,384
384,384,384,385,276,461,423,308,461,1182,383,383,384,384,422,384,384,422
384,384,385,276,461,423,308,461,1182,383,383,384,384,422,384,384,422,384
384,385,276,461,423,308,461,1182,383,383,384,384,422,384,384,422,384,384
385,276,461,423,308,461,1182,383,383,384,384,422,384,384,422,384,384,384
276,461,423,308,461,1182,383,383,384,384,422,384,384,422,384,384,384,422
461,423,308,461,1182,383,383,384,384,422,384,384,422,384,384,384,422,384
423,308,461,1182,383,383,384,384,422,384,384,422,384,384,384,422,384,422
308,461,1182,383,383,384,384,422,384,384,422,384,384,384,422,384,422,385
461,1182,383,383,384,384,422,384,384,422,384,384,384,422,384,422,385,423
1182,383,383,384,384,422,384,384,422,384,384,384,422,384,422,385,423,423
383,383,384,384,422,384,384,422,384,384,384,422,384,422,385,423,423,275
383,384,384,422,384,384,422,384,384,384,422,384,422,385,423,423,275,238
384,384,422,384,384,422,384,384,384,422,384,422,385,423,423,275,238,275
384,422,384,384,422,384,384,384,422,384,422,385,423,423,275,238,275,1008
422,384,384,422,384,384,384,422,384,422,385,423,423,275,238,275,1008,1000
384,384,422,384,384,384,422,384,422,385,423,423,275,238,275,1008,1000,1001
384,422,384,384,384,422,384,422,385,423,423,275,238,275,1008,1000,1001,200
422,384,384,384,422,384,422,385,423,423,275,238,275,1008,1000,1001,200,47
384,384,384,422,384,422,385,423,423,275,238,275,1008,1000,1001,200,47,1008
384,384,422,384,422,385,423,423,275,238,275,1008,1000,1001,200,47,1008,1038
384,422,384,422,385,423,423,275,238,275,1008,1000,1001,200,47,1008,1038,1164
422,384,422,385,423,423,275,238,275,1008,1000,1001,200,47,1008,1038,1164,1080
384,422,385,423,423,275,238,275,1008,1000,1001,200,47,1008,1038,1164,1080,1008
422,385,423,423,275,238,275,1008,1000,1001,200,47,1008,1038,1164,1080,1008,690
385,423,423,275,238,275,1008,1000,1001,200,47,1008,1038,1164,1080,1008,690,1008
423,423,275,238,275,1008,1000,1001,200,47,1008,1038,1164,1080,1008,690,1008,1008
423,275,238,275,1008,1000,1001,200,47,1008,1038,1164,1080,1008,690,1008,1008,119
275,238,275,1008,1000,1001,200,47,1008,1038,1164,1080,1008,690,1008,1008,119,891
238,275,1008,1000,1001,200,47,1008,1038,1164,1080,1008,690,1008,1008,119,891,1008
275,1008,1000,1001,200,47,1008,1038,1164,1080,1008,690,1008,1008,119,891,1008,1035
1008,1000,1001,200,47,1008,1038,1164,1080,1008,690,1008,1008,119,891,1008,1035,739
1000,1001,200,47,1008,1038,1164,1080,1008,690,1008,1008,119,891,1008,1035,739,1008
1001,200,47,1008,1038,1164,1080,1008,690,1008,1008,119,891,1008,1035,739,1008,1008
200,47,1008,1038,1164,1080,1008,690,1008,1008,119,891,1008,1035,739,1008,1008,1008
47,1008,1038,1164,1080,1008,690,1008,1008,119,891,1008,1035,739,1008,1008,1008,270
1008,1038,1164,1080,1008,690,1008,1008,119,891,1008,1035,739,1008,1008,1008,270,308
1038,1164,1080,1008,690,1008,1008,119,891,1008,1035,739,1008,1008,1008,270,308,1028
1164,1080,1008,690,1008,1008,119,891,1008,1035,739,1008,1008,1008,270,308,1028,971
1080,1008,690,1008,1008,119,891,1008,1035,739,1008,1008,1008,270,308,1028,971,1009
1008,690,1008,1008,119,891,1008,1035,739,1008,1008,1008,270,308,1028,971,1009,3
690,1008,1008,119,891,1008,1035,739,1008,1008,1008,270,308,1028,971,1009,3,1008
1008,1008,119,891,1008,1035,739,1008,1008,1008,270,308,1028,971,1009,3,1008,743
1008,119,891,1008,1035,739,1008,1008,1008,270,308,1028,971,1009,3,1008,743,1204
119,891,1008,1035,739,1008,1008,1008,270,308,1028,971,1009,3,1008,743,1204,1464
891,1008,1035,739,1008,1008,1008,270,308,1028,971,1009,3,1008,743,1204,1464,1008
1008,1035,739,1008,1008,1008,270,308,1028,971,1009,3,1008,743,1204,1464,1008,1008
1035,739,1008,1008,1008,270,308,1028,971,1009,3,1008,743,1204,1464,1008,1008,1008
739,1008,1008,1008,270,308,1028,971,1009,3,1008,743,1204,1464,1008,1008,1008,276
1008,1008,1008,270,308,1028,971,1009,3,1008,743,1204,1464,1008,1008,1008,276,1033
1008,1008,270,308,1028,971,1009,3,1008,743,1204,1464,1008,1008,1008,276,1033,1008
1008,270,308,1028,971,1009,3,1008,743,1204,1464,1008,1008,1008,276,1033,1008,79
270,308,1028,971,1009,3,1008,743,1204,1464,1008,1008,1008,276,1033,1008,79,577
308,1028,971,1009,3,1008,743,1204,1464,1008,1008,1008,276,1033,1008,79,577,1008
1028,971,1009,3,1008,743,1204,1464,1008,1008,1008,276,1033,1008,79,577,1008,807
971,1009,3,1008,743,1204,1464,1008,1008,1008,276,1033,1008,79,577,1008,807,1001
1009,3,1008,743,1204,1464,1008,1008,1008,276,1033,1008,79,577,1008,807,1001,1222
3,1008,743,1204,1464,1008,1008,1008,276,1033,1008,79,577,1008,807,1001,1222,925
1008,743,1204,1464,1008,1008,1008,276,1033,1008,79,577,1008,807,1001,1222,925,858
743,1204,1464,1008,1008,1008,276,1033,1008,79,577,1008,807,1001,1222,925,858,916
1204,1464,1008,1008,1008,276,1033,1008,79,577,1008,807,1001,1222,925,858,916,660
1464,1008,1008,1008,276,1033,1008,79,577,1008,807,1001,1222,925,858,916,660,1008
1008,1008,1008,276,1033,1008,79,577,1008,807,1001,1222,925,858,916,660,1008,1241
1008,1008,276,1033,1008,79,577,1008,807,1001,1222,925,858,916,660,1008,1241,234
1008,276,1033,1008,79,577,1008,807,1001,1222,925,858,916,660,1008,1241,234,464
276,1033,1008,79,577,1008,807,1001,1222,925,858,916,660,1008,1241,234,464,1008
1033,1008,79,577,1008,807,1001,1222,925,858,916,660,1008,1241,234,464,1008,1000
1008,79,577,1008,807,1001,1222,925,858,916,660,1008,1241,234,464,1008,1000,80
79,577,1008,807,1001,1222,925,858,916,660,1008,1241,234,464,1008,1000,80,500
577,1008,807,1001,1222,925,858,916,660,1008,1241,234,464,1008,1000,80,500,1028
1008,807,1001,1222,925,858,916,660,1008,1241,234,464,1008,1000,80,500,1028,159
807,1001,1222,925,858,916,660,1008,1241,234,464,1008,1000,80,500,1028,159,271
1001,1222,925,858,916,660,1008,1241,234,464,1008,1000,80,500,1028,159,271,884
1222,925,858,916,660,1008,1241,234,464,1008,1000,80,500,1028,159,271,884,1008
925,858,916,660,1008,1241,234,464,1008,1000,80,500,1028,159,271,884,1008,1164
858,916,660,1008,1241,234,464,1008,1000,80,500,1028,159,271,884,1008,1164,166
916,660,1008,1241,234,464,1008,1000,80,500,1028,159,271,884,1008,1164,166,164
660,1008,1241,234,464,1008,1000,80,500,1028,159,271,884,1008,1164,166,164,1008
1008,1241,234,464,1008,1000,80,500,1028,159,271,884,1008,1164,166,164,1008,970
1241,234,464,1008,1000,80,500,1028,159,271,884,1008,1164,166,164,1008,970,784
234,464,1008,1000,80,500,1028,159,271,884,1008,1164,166,164,1008,970,784,747
464,1008,1000,80,500,1028,159,271,884,1008,1164,166,164,1008,970,784,747,1164
1008,1000,80,500,1028,159,271,884,1008,1164,166,164,1008,970,784,747,1164,1164
1000,80,500,1028,159,271,884,1008,1164,166,164,1008,970,784,747,1164,1164,1164
80,500,1028,159,271,884,1008,1164,166,164,1008,970,784,747,1164,1164,1164,1126
500,1028,159,271,884,1008,1164,166,164,1008,970,784,747,1164,1164,1164,1126,235
1028,159,271,884,1008,1164,166,164,1008,970,784,747,1164,1164,1164,1126,235,1113
159,271,884,1008,1164,166,164,1008,970,784,747,1164,1164,1164,1126,235,1113,461
271,884,1008,1164,166,164,1008,970,784,747,1164,1164,1164,1126,235,1113,461,1164
884,1008,1164,166,164,1008,970,784,747,1164,1164,1164,1126,235,1113,461,1164,1164
1008,1164,166,164,1008,970,784,747,1164,1164,1164,1126,235,1113,461,1164,1164,1164
1164,166,164,1008,970,784,747,1164,1164,1164,1126,235,1113,461,1164,1164,1164,1164
166,164,1008,970,784,747,1164,1164,1164,1126,235,1113,461,1164,1164,1164,1164,1126
164,1008,970,784,747,1164,1164,1164,1126,235,1113,461,1164,1164,1164,1164,1126,1164
