0,1,2,3,4,5,6,7,8,9,10,11,12
702,195,499,1009,1009,462,461,500,1067,1009,809,1188,307
195,499,1009,1009,462,461,500,1067,1009,809,1188,307,971
499,1009,1009,462,461,500,1067,1009,809,1188,307,971,892
1009,1009,462,461,500,1067,1009,809,1188,307,971,892,1235
1009,462,461,500,1067,1009,809,1188,307,971,892,1235,1046
462,461,500,1067,1009,809,1188,307,971,892,1235,1046,233
461,500,1067,1009,809,1188,307,971,892,1235,1046,233,237
500,1067,1009,809,1188,307,971,892,1235,1046,233,237,1008
1067,1009,809,1188,307,971,892,1235,1046,233,237,1008,1008
1009,809,1188,307,971,892,1235,1046,233,237,1008,1008,701
809,1188,307,971,892,1235,1046,233,237,1008,1008,701,701
1188,307,971,892,1235,1046,233,237,1008,1008,701,701,1009
307,971,892,1235,1046,233,237,1008,1008,701,701,1009,971
971,892,1235,1046,233,237,1008,1008,701,701,1009,971,308
892,1235,1046,233,237,1008,1008,701,701,1009,971,308,1205
1235,1046,233,237,1008,1008,701,701,1009,971,308,1205,652
1046,233,237,1008,1008,701,701,1009,971,308,1205,652,2
233,237,1008,1008,701,701,1009,971,308,1205,652,2,1081
237,1008,1008,701,701,1009,971,308,1205,652,2,1081,1353
1008,1008,701,701,1009,971,308,1205,652,2,1081,1353,275
1008,701,701,1009,971,308,1205,652,2,1081,1353,275,768
701,701,1009,971,308,1205,652,2,1081,1353,275,768,654
701,1009,971,308,1205,652,2,1081,1353,275,768,654,1035
1009,971,308,1205,652,2,1081,1353,275,768,654,1035,88
971,308,1205,652,2,1081,1353,275,768,654,1035,88,276
308,1205,652,2,1081,1353,275,768,654,1035,88,276,117
1205,652,2,1081,1353,275,768,654,1035,88,276,117,1009
652,2,1081,1353,275,768,654,1035,88,276,117,1009,1008
2,1081,1353,275,768,654,1035,88,276,117,1009,1008,195
1081,1353,275,768,654,1035,88,276,117,1009,1008,195,1080
1353,275,768,654,1035,88,276,117,1009,1008,195,1080,1008
275,768,654,1035,88,276,117,1009,1008,195,1080,1008,461
768,654,1035,88,276,117,1009,1008,195,1080,1008,461,1039
654,1035,88,276,117,1009,1008,195,1080,1008,461,1039,1039
1035,88,276,117,1009,1008,195,1080,1008,461,1039,1039,1039
88,276,117,1009,1008,195,1080,1008,461,1039,1039,1039,1039
276,117,1009,1008,195,1080,1008,461,1039,1039,1039,1039,1040
117,1009,1008,195,1080,1008,461,1039,1039,1039,1039,1040,1039
1009,1008,195,1080,1008,461,1039,1039,1039,1039,1040,1039,1009
1008,195,1080,1008,461,1039,1039,1039,1039,1040,1039,1009,200
195,1080,1008,461,1039,1039,1039,1039,1040,1039,1009,200,276
1080,1008,461,1039,1039,1039,1039,1040,1039,1009,200,276,389
1008,461,1039,1039,1039,1039,1040,1039,1009,200,276,389,276
461,1039,1039,1039,1039,1040,1039,1009,200,276,389,276,463
1039,1039,1039,1039,1040,1039,1009,200,276,389,276,463,1046
1039,1039,1039,1040,1039,1009,200,276,389,276,463,1046,1009
1039,1039,1040,1039,1009,200,276,389,276,463,1046,1009,346
1039,1040,1039,1009,200,276,389,276,463,1046,1009,346,747
1040,1039,1009,200,276,389,276,463,1046,1009,346,747,232
1039,1009,200,276,389,276,463,1046,1009,346,747,232,730
1009,200,276,389,276,463,1046,1009,346,747,232,730,1166
200,276,389,276,463,1046,1009,346,747,232,730,1166,1008
276,389,276,463,1046,1009,346,747,232,730,1166,1008,389
389,276,463,1046,1009,346,747,232,730,1166,1008,389,1001
276,463,1046,1009,346,747,232,730,1166,1008,389,1001,844
463,1046,1009,346,747,232,730,1166,1008,389,1001,844,1188
1046,1009,346,747,232,730,1166,1008,389,1001,844,1188,1008
1009,346,747,232,730,1166,1008,389,1001,844,1188,1008,384
346,747,232,730,1166,1008,389,1001,844,1188,1008,384,308
747,232,730,1166,1008,389,1001,844,1188,1008,384,308,346
232,730,1166,1008,389,1001,844,1188,1008,384,308,346,501
730,1166,1008,389,1001,844,1188,1008,384,308,346,501,345
1166,1008,389,1001,844,1188,1008,384,308,346,501,345,1204
1008,389,1001,844,1188,1008,384,308,346,501,345,1204,499
389,1001,844,1188,1008,384,308,346,501,345,1204,499,1008
1001,844,1188,1008,384,308,346,501,345,1204,499,1008,855
844,1188,1008,384,308,346,501,345,1204,499,1008,855,462
1188,1008,384,308,346,501,345,1204,499,1008,855,462,462
1008,384,308,346,501,345,1204,499,1008,855,462,462,462
384,308,346,501,345,1204,499,1008,855,462,462,462,734
308,346,501,345,1204,499,1008,855,462,462,462,734,385
346,501,345,1204,499,1008,855,462,462,462,734,385,968
501,345,1204,499,1008,855,462,462,462,734,385,968,239
345,1204,499,1008,855,462,462,462,734,385,968,239,383
1204,499,1008,855,462,462,462,734,385,968,239,383,383
499,1008,855,462,462,462,734,385,968,239,383,383,500
1008,855,462,462,462,734,385,968,239,383,383,500,500
855,462,462,462,734,385,968,239,383,383,500,500,500
462,462,462,734,385,968,239,383,383,500,500,500,423
462,462,734,385,968,239,383,383,500,500,500,423,1008
462,734,385,968,239,383,383,500,500,500,423,1008,3
734,385,968,239,383,383,500,500,500,423,1008,3,1008
385,968,239,383,383,500,500,500,423,1008,3,1008,120
968,239,383,383,500,500,500,423,1008,3,1008,120,276
239,383,383,500,500,500,423,1008,3,1008,120,276,462
383,383,500,500,500,423,1008,3,1008,120,276,462,1008
383,500,500,500,423,1008,3,1008,120,276,462,1008,1009
500,500,500,423,1008,3,1008,120,276,462,1008,1009,422
500,500,423,1008,3,1008,120,276,462,1008,1009,422,309
500,423,1008,3,1008,120,276,462,1008,1009,422,309,309
423,1008,3,1008,120,276,462,1008,1009,422,309,309,884
1008,3,1008,120,276,462,1008,1009,422,309,309,884,1008
3,1008,120,276,462,1008,1009,422,309,309,884,1008,50
1008,120,276,462,1008,1009,422,309,309,884,1008,50,1165
120,276,462,1008,1009,422,309,309,884,1008,50,1165,461
276,462,1008,1009,422,309,309,884,1008,50,1165,461,1008
462,1008,1009,422,309,309,884,1008,50,1165,461,1008,201
1008,1009,422,309,309,884,1008,50,1165,461,1008,201,422
1009,422,309,309,884,1008,50,1165,461,1008,201,422,422
422,309,309,884,1008,50,1165,461,1008,201,422,422,461
309,309,884,1008,50,1165,461,1008,201,422,422,461,1008
309,884,1008,50,1165,461,1008,201,422,422,461,1008,1008
884,1008,50,1165,461,1008,201,422,422,461,1008,1008,461
1008,50,1165,461,1008,201,422,422,461,1008,1008,461,160
50,1165,461,1008,201,422,422,461,1008,1008,461,160,1008
1165,461,1008,201,422,422,461,1008,1008,461,160,1008,1008
461,1008,201,422,422,461,1008,1008,461,160,1008,1008,461
1008,201,422,422,461,1008,1008,461,160,1008,1008,461,462
201,422,422,461,1008,1008,461,160,1008,1008,461,462,461
422,422,461,1008,1008,461,160,1008,1008,461,462,461,461
422,461,1008,1008,461,160,1008,1008,461,462,461,461,1008
461,1008,1008,461,160,1008,1008,461,462,461,461,1008,460
1008,1008,461,160,1008,1008,461,462,461,461,1008,460,1008
1008,461,160,1008,1008,461,462,461,461,1008,460,1008,423
461,160,1008,1008,461,462,461,461,1008,460,1008,423,1009
160,1008,1008,461,462,461,461,1008,460,1008,423,1009,1046
1008,1008,461,462,461,461,1008,460,1008,423,1009,1046,383
1008,461,462,461,461,1008,460,1008,423,1009,1046,383,422
461,462,461,461,1008,460,1008,423,1009,1046,383,422,307
462,461,461,1008,460,1008,423,1009,1046,383,422,307,269
461,461,1008,460,1008,423,1009,1046,383,422,307,269,423
461,1008,460,1008,423,1009,1046,383,422,307,269,423,383
1008,460,1008,423,1009,1046,383,422,307,269,423,383,971
460,1008,423,1009,1046,383,422,307,269,423,383,971,461
1008,423,1009,1046,383,422,307,269,423,383,971,461,269
423,1009,1046,383,422,307,269,423,383,971,461,269,355
1009,1046,383,422,307,269,423,383,971,461,269,355,307
1046,383,422,307,269,423,383,971,461,269,355,307,307
383,422,307,269,423,383,971,461,269,355,307,307,422
422,307,269,423,383,971,461,269,355,307,307,422,345
307,269,423,383,971,461,269,355,307,307,422,345,383
269,423,383,971,461,269,355,307,307,422,345,383,422
423,383,971,461,269,355,307,307,422,345,383,422,1164
383,971,461,269,355,307,307,422,345,383,422,1164,969
971,461,269,355,307,307,422,345,383,422,1164,969,307
461,269,355,307,307,422,345,383,422,1164,969,307,385
269,355,307,307,422,345,383,422,1164,969,307,385,10
355,307,307,422,345,383,422,1164,969,307,385,10,383
307,307,422,345,383,422,1164,969,307,385,10,383,462
307,422,345,383,422,1164,969,307,385,10,383,462,460
422,345,383,422,1164,969,307,385,10,383,462,460,460
345,383,422,1164,969,307,385,10,383,462,460,460,269
383,422,1164,969,307,385,10,383,462,460,460,269,461
422,1164,969,307,385,10,383,462,460,460,269,461,383
1164,969,307,385,10,383,462,460,460,269,461,383,345
969,307,385,10,383,462,460,460,269,461,383,345,422
307,385,10,383,462,460,460,269,461,383,345,422,195
385,10,383,462,460,460,269,461,383,345,422,195,383
10,383,462,460,460,269,461,383,345,422,195,383,384
383,462,460,460,269,461,383,345,422,195,383,384,384
462,460,460,269,461,383,345,422,195,383,384,384,384
460,460,269,461,383,345,422,195,383,384,384,384,346
460,269,461,383,345,422,195,383,384,384,384,346,384
269,461,383,345,422,195,383,384,384,384,346,384,384
461,383,345,422,195,383,384,384,384,346,384,384,384
383,345,422,195,383,384,384,384,346,384,384,384,384
345,422,195,383,384,384,384,346,384,384,384,384,383
422,195,383,384,384,384,346,384,384,384,384,383,461
195,383,384,384,384,346,384,384,384,384,383,461,384
383,384,384,384,346,384,384,384,384,383,461,384,460
384,384,384,346,384,384,384,384,383,461,384,460,461
384,384,346,384,384,384,384,383,461,384,460,461,384
384,346,384,384,384,384,383,461,384,460,461,384,423
346,384,384,384,384,383,461,384,460,461,384,423,461
384,384,384,384,383,461,384,460,461,384,423,461,461
384,384,384,383,461,384,460,461,384,423,461,461,461
384,384,383,461,384,460,461,384,423,461,461,461,460
384,383,461,384,460,461,384,423,461,461,461,460,460
383,461,384,460,461,384,423,461,461,461,460,460,1009
461,384,460,461,384,423,461,461,461,460,460,1009,461
384,460,461,384,423,461,461,461,460,460,1009,461,461
460,461,384,423,461,461,461,460,460,1009,461,461,461
461,384,423,461,461,461,460,460,1009,461,461,461,461
384,423,461,461,461,460,460,1009,461,461,461,461,461
423,461,461,461,460,460,1009,461,461,461,461,461,307
461,461,461,460,460,1009,461,461,461,461,461,307,422
461,461,460,460,1009,461,461,461,461,461,307,422,421
461,460,460,1009,461,461,461,461,461,307,422,421,383
460,460,1009,461,461,461,461,461,307,422,421,383,383
460,1009,461,461,461,461,461,307,422,421,383,383,383
1009,461,461,461,461,461,307,422,421,383,383,383,307
461,461,461,461,461,307,422,421,383,383,383,307,307
461,461,461,461,307,422,421,383,383,383,307,307,384
461,461,461,307,422,421,383,383,383,307,307,384,384
461,461,307,422,421,383,383,383,307,307,384,384,384
461,307,422,421,383,383,383,307,307,384,384,384,385
307,422,421,383,383,383,307,307,384,384,384,385,276
422,421,383,383,383,307,307,384,384,384,385,276,461
421,383,383,383,307,307,384,384,384,385,276,461,423
383,383,383,307,307,384,384,384,385,276,461,423,308
383,383,307,307,384,384,384,385,276,461,423,308,461
383,307,307,384,384,384,385,276,461,423,308,461,1182
307,307,384,384,384,385,276,461,423,308,461,1182,383
307,384,384,384,385,276,461,423,308,461,1182,383,383
384,384,384,385,276,461,423,308,461,1182,383,383,384
384,384,385,276,461,423,308,461,1182,383,383,384,384
384,385,276,461,423,308,461,1182,383,383,384,384,422
385,276,461,423,308,461,1182,383,383,384,384,422,384
276,461,423,308,461,1182,383,383,384,384,422,384,384
461,423,308,461,1182,383,383,384,384,422,384,384,422
423,308,461,1182,383,383,384,384,422,384,384,422,384
308,461,1182,383,383,384,384,422,384,384,422,384,384
461,1182,383,383,384,384,422,384,384,422,384,384,384
1182,383,383,384,384,422,384,384,422,384,384,384,422
383,383,384,384,422,384,384,422,384,384,384,422,384
383,384,384,422,384,384,422,384,384,384,422,384,422
384,384,422,384,384,422,384,384,384,422,384,422,385
384,422,384,384,422,384,384,384,422,384,422,385,423
422,384,384,422,384,384,384,422,384,422,385,423,423
384,384,422,384,384,384,422,384,422,385,423,423,275
384,422,384,384,384,422,384,422,385,423,423,275,238
422,384,384,384,422,384,422,385,423,423,275,238,275
384,384,384,422,384,422,385,423,423,275,238,275,1008
384,384,422,384,422,385,423,423,275,238,275,1008,1000
384,422,384,422,385,423,423,275,238,275,1008,1000,1001
422,384,422,385,423,423,275,238,275,1008,1000,1001,200
384,422,385,423,423,275,238,275,1008,1000,1001,200,47
422,385,423,423,275,238,275,1008,1000,1001,200,47,1008
385,423,423,275,238,275,1008,1000,1001,200,47,1008,1038
423,423,275,238,275,1008,1000,1001,200,47,1008,1038,1164
423,275,238,275,1008,1000,1001,200,47,1008,1038,1164,1080
275,238,275,1008,1000,1001,200,47,1008,1038,1164,1080,1008
238,275,1008,1000,1001,200,47,1008,1038,1164,1080,1008,690
275,1008,1000,1001,200,47,1008,1038,1164,1080,1008,690,1008
1008,1000,1001,200,47,1008,1038,1164,1080,1008,690,1008,1008
1000,1001,200,47,1008,1038,1164,1080,1008,690,1008,1008,119
1001,200,47,1008,1038,1164,1080,1008,690,1008,1008,119,891
200,47,1008,1038,1164,1080,1008,690,1008,1008,119,891,1008
47,1008,1038,1164,1080,1008,690,1008,1008,119,891,1008,1035
1008,1038,1164,1080,1008,690,1008,1008,119,891,1008,1035,739
1038,1164,1080,1008,690,1008,1008,119,891,1008,1035,739,1008
1164,1080,1008,690,1008,1008,119,891,1008,1035,739,1008,1008
1080,1008,690,1008,1008,119,891,1008,1035,739,1008,1008,1008
1008,690,1008,1008,119,891,1008,1035,739,1008,1008,1008,270
690,1008,1008,119,891,1008,1035,739,1008,1008,1008,270,308
1008,1008,119,891,1008,1035,739,1008,1008,1008,270,308,1028
1008,119,891,1008,1035,739,1008,1008,1008,270,308,1028,971
119,891,1008,1035,739,1008,1008,1008,270,308,1028,971,1009
891,1008,1035,739,1008,1008,1008,270,308,1028,971,1009,3
1008,1035,739,1008,1008,1008,270,308,1028,971,1009,3,1008
1035,739,1008,1008,1008,270,308,1028,971,1009,3,1008,743
739,1008,1008,1008,270,308,1028,971,1009,3,1008,743,1204
1008,1008,1008,270,308,1028,971,1009,3,1008,743,1204,1464
1008,1008,270,308,1028,971,1009,3,1008,743,1204,1464,1008
1008,270,308,1028,971,1009,3,1008,743,1204,1464,1008,1008
270,308,1028,971,1009,3,1008,743,1204,1464,1008,1008,1008
308,1028,971,1009,3,1008,743,1204,1464,1008,1008,1008,276
1028,971,1009,3,1008,743,1204,1464,1008,1008,1008,276,1033
971,1009,3,1008,743,1204,1464,1008,1008,1008,276,1033,1008
1009,3,1008,743,1204,1464,1008,1008,1008,276,1033,1008,79
3,1008,743,1204,1464,1008,1008,1008,276,1033,1008,79,577
1008,743,1204,1464,1008,1008,1008,276,1033,1008,79,577,1008
743,1204,1464,1008,1008,1008,276,1033,1008,79,577,1008,807
1204,1464,1008,1008,1008,276,1033,1008,79,577,1008,807,1001
1464,1008,1008,1008,276,1033,1008,79,577,1008,807,1001,1222
1008,1008,1008,276,1033,1008,79,577,1008,807,1001,1222,925
1008,1008,276,1033,1008,79,577,1008,807,1001,1222,925,858
1008,276,1033,1008,79,577,1008,807,1001,1222,925,858,916
276,1033,1008,79,577,1008,807,1001,1222,925,858,916,660
1033,1008,79,577,1008,807,1001,1222,925,858,916,660,1008
1008,79,577,1008,807,1001,1222,925,858,916,660,1008,1241
79,577,1008,807,1001,1222,925,858,916,660,1008,1241,234
577,1008,807,1001,1222,925,858,916,660,1008,1241,234,464
1008,807,1001,1222,925,858,916,660,1008,1241,234,464,1008
807,1001,1222,925,858,916,660,1008,1241,234,464,1008,1000
1001,1222,925,858,916,660,1008,1241,234,464,1008,1000,80
1222,925,858,916,660,1008,1241,234,464,1008,1000,80,500
925,858,916,660,1008,1241,234,464,1008,1000,80,500,1028
858,916,660,1008,1241,234,464,1008,1000,80,500,1028,159
916,660,1008,1241,234,464,1008,1000,80,500,1028,159,271
660,1008,1241,234,464,1008,1000,80,500,1028,159,271,884
1008,1241,234,464,1008,1000,80,500,1028,159,271,884,1008
1241,234,464,1008,1000,80,500,1028,159,271,884,1008,1164
234,464,1008,1000,80,500,1028,159,271,884,1008,1164,166
464,1008,1000,80,500,1028,159,271,884,1008,1164,166,164
1008,1000,80,500,1028,159,271,884,1008,1164,166,164,1008
1000,80,500,1028,159,271,884,1008,1164,166,164,1008,970
80,500,1028,159,271,884,1008,1164,166,164,1008,970,784
500,1028,159,271,884,1008,1164,166,164,1008,970,784,747
1028,159,271,884,1008,1164,166,164,1008,970,784,747,1164
159,271,884,1008,1164,166,164,1008,970,784,747,1164,1164
271,884,1008,1164,166,164,1008,970,784,747,1164,1164,1164
884,1008,1164,166,164,1008,970,784,747,1164,1164,1164,1126
1008,1164,166,164,1008,970,784,747,1164,1164,1164,1126,235
1164,166,164,1008,970,784,747,1164,1164,1164,1126,235,1113
166,164,1008,970,784,747,1164,1164,1164,1126,235,1113,461
164,1008,970,784,747,1164,1164,1164,1126,235,1113,461,1164
1008,970,784,747,1164,1164,1164,1126,235,1113,461,1164,1164
970,784,747,1164,1164,1164,1126,235,1113,461,1164,1164,1164
784,747,1164,1164,1164,1126,235,1113,461,1164,1164,1164,1164
747,1164,1164,1164,1126,235,1113,461,1164,1164,1164,1164,1126
1164,1164,1164,1126,235,1113,461,1164,1164,1164,1164,1126,1164
1164,1164,1126,235,1113,461,1164,1164,1164,1164,1126,1164,1126
1164,1126,235,1113,461,1164,1164,1164,1164,1126,1164,1126,1164
1126,235,1113,461,1164,1164,1164,1164,1126,1164,1126,1164,1164
235,1113,461,1164,1164,1164,1164,1126,1164,1126,1164,1164,1164
1113,461,1164,1164,1164,1164,1126,1164,1126,1164,1164,1164,1164
461,1164,1164,1164,1164,1126,1164,1126,1164,1164,1164,1164,1164
1164,1164,1164,1164,1126,1164,1126,1164,1164,1164,1164,1164,1126
1164,1164,1164,1126,1164,1126,1164,1164,1164,1164,1164,1126,1164
1164,1164,1126,1164,1126,1164,1164,1164,1164,1164,1126,1164,1126
1164,1126,1164,1126,1164,1164,1164,1164,1164,1126,1164,1126,1126
1126,1164,1126,1164,1164,1164,1164,1164,1126,1164,1126,1126,1164
1164,1126,1164,1164,1164,1164,1164,1126,1164,1126,1126,1164,1126
1126,1164,1164,1164,1164,1164,1126,1164,1126,1126,1164,1126,346
1164,1164,1164,1164,1164,1126,1164,1126,1126,1164,1126,346,232
1164,1164,1164,1164,1126,1164,1126,1126,1164,1126,346,232,1008
1164,1164,1164,1126,1164,1126,1126,1164,1126,346,232,1008,1030
1164,1164,1126,1164,1126,1126,1164,1126,346,232,1008,1030,1008
1164,1126,1164,1126,1126,1164,1126,346,232,1008,1030,1008,1008
1126,1164,1126,1126,1164,1126,346,232,1008,1030,1008,1008,1008
1164,1126,1126,1164,1126,346,232,1008,1030,1008,1008,1008,198
1126,1126,1164,1126,346,232,1008,1030,1008,1008,1008,198,1084
1126,1164,1126,346,232,1008,1030,1008,1008,1008,198,1084,1037
1164,1126,346,232,1008,1030,1008,1008,1008,198,1084,1037,196
1126,346,232,1008,1030,1008,1008,1008,198,1084,1037,196,1008
346,232,1008,1030,1008,1008,1008,198,1084,1037,196,1008,81
232,1008,1030,1008,1008,1008,198,1084,1037,196,1008,81,124
1008,1030,1008,1008,1008,198,1084,1037,196,1008,81,124,118
1030,1008,1008,1008,198,1084,1037,196,1008,81,124,118,969
1008,1008,1008,198,1084,1037,196,1008,81,124,118,969,1008
1008,1008,198,1084,1037,196,1008,81,124,118,969,1008,930
1008,198,1084,1037,196,1008,81,124,118,969,1008,930,774
198,1084,1037,196,1008,81,124,118,969,1008,930,774,1072
1084,1037,196,1008,81,124,118,969,1008,930,774,1072,1008
1037,196,1008,81,124,118,969,1008,930,774,1072,1008,1008
196,1008,81,124,118,969,1008,930,774,1072,1008,1008,1150
1008,81,124,118,969,1008,930,774,1072,1008,1008,1150,735
81,124,118,969,1008,930,774,1072,1008,1008,1150,735,240
124,118,969,1008,930,774,1072,1008,1008,1150,735,240,1008
118,969,1008,930,774,1072,1008,1008,1150,735,240,1008,747
969,1008,930,774,1072,1008,1008,1150,735,240,1008,747,1008
1008,930,774,1072,1008,1008,1150,735,240,1008,747,1008,279
930,774,1072,1008,1008,1150,735,240,1008,747,1008,279,1008
774,1072,1008,1008,1150,735,240,1008,747,1008,279,1008,746
1072,1008,1008,1150,735,240,1008,747,1008,279,1008,746,922
1008,1008,1150,735,240,1008,747,1008,279,1008,746,922,813
1008,1150,735,240,1008,747,1008,279,1008,746,922,813,308
1150,735,240,1008,747,1008,279,1008,746,922,813,308,385
735,240,1008,747,1008,279,1008,746,922,813,308,385,308
240,1008,747,1008,279,1008,746,922,813,308,385,308,1008
1008,747,1008,279,1008,746,922,813,308,385,308,1008,1008
747,1008,279,1008,746,922,813,308,385,308,1008,1008,857
1008,279,1008,746,922,813,308,385,308,1008,1008,857,1352
279,1008,746,922,813,308,385,308,1008,1008,857,1352,1008
1008,746,922,813,308,385,308,1008,1008,857,1352,1008,1113
746,922,813,308,385,308,1008,1008,857,1352,1008,1113,1113
922,813,308,385,308,1008,1008,857,1352,1008,1113,1113,1008
813,308,385,308,1008,1008,857,1352,1008,1113,1113,1008,1008
308,385,308,1008,1008,857,1352,1008,1113,1113,1008,1008,653
385,308,1008,1008,857,1352,1008,1113,1113,1008,1008,653,994
308,1008,1008,857,1352,1008,1113,1113,1008,1008,653,994,1008
1008,1008,857,1352,1008,1113,1113,1008,1008,653,994,1008,167
1008,857,1352,1008,1113,1113,1008,1008,653,994,1008,167,80
857,1352,1008,1113,1113,1008,1008,653,994,1008,167,80,197
1352,1008,1113,1113,1008,1008,653,994,1008,167,80,197,1035
1008,1113,1113,1008,1008,653,994,1008,167,80,197,1035,1008
1113,1113,1008,1008,653,994,1008,167,80,197,1035,1008,158
1113,1008,1008,653,994,1008,167,80,197,1035,1008,158,1008
1008,1008,653,994,1008,167,80,197,1035,1008,158,1008,1074
1008,653,994,1008,167,80,197,1035,1008,158,1008,1074,1074
653,994,1008,167,80,197,1035,1008,158,1008,1074,1074,1008
994,1008,167,80,197,1035,1008,158,1008,1074,1074,1008,1008
1008,167,80,197,1035,1008,158,1008,1074,1074,1008,1008,1008
167,80,197,1035,1008,158,1008,1074,1074,1008,1008,1008,277
80,197,1035,1008,158,1008,1074,1074,1008,1008,1008,277,1312
197,1035,1008,158,1008,1074,1074,1008,1008,1008,277,1312,1000
1035,1008,158,1008,1074,1074,1008,1008,1008,277,1312,1000,90
1008,158,1008,1074,1074,1008,1008,1008,277,1312,1000,90,500
158,1008,1074,1074,1008,1008,1008,277,1312,1000,90,500,238
1008,1074,1074,1008,1008,1008,277,1312,1000,90,500,238,156
1074,1074,1008,1008,1008,277,1312,1000,90,500,238,156,115
1074,1008,1008,1008,277,1312,1000,90,500,238,156,115,845
1008,1008,1008,277,1312,1000,90,500,238,156,115,845,269
1008,1008,277,1312,1000,90,500,238,156,115,845,269,162
1008,277,1312,1000,90,500,238,156,115,845,269,162,895
277,1312,1000,90,500,238,156,115,845,269,162,895,276
1312,1000,90,500,238,156,115,845,269,162,895,276,1390
1000,90,500,238,156,115,845,269,162,895,276,1390,1008
90,500,238,156,115,845,269,162,895,276,1390,1008,1008
500,238,156,115,845,269,162,895,276,1390,1008,1008,1008
238,156,115,845,269,162,895,276,1390,1008,1008,1008,156
156,115,845,269,162,895,276,1390,1008,1008,1008,156,1223
115,845,269,162,895,276,1390,1008,1008,1008,156,1223,234
845,269,162,895,276,1390,1008,1008,1008,156,1223,234,1009
269,162,895,276,1390,1008,1008,1008,156,1223,234,1009,1009
162,895,276,1390,1008,1008,1008,156,1223,234,1009,1009,1011
895,276,1390,1008,1008,1008,156,1223,234,1009,1009,1011,970
276,1390,1008,1008,1008,156,1223,234,1009,1009,1011,970,887
1390,1008,1008,1008,156,1223,234,1009,1009,1011,970,887,971
1008,1008,1008,156,1223,234,1009,1009,1011,970,887,971,276
1008,1008,156,1223,234,1009,1009,1011,970,887,971,276,314
1008,156,1223,234,1009,1009,1011,970,887,971,276,314,1009
156,1223,234,1009,1009,1011,970,887,971,276,314,1009,1008
1223,234,1009,1009,1011,970,887,971,276,314,1009,1008,1065
234,1009,1009,1011,970,887,971,276,314,1009,1008,1065,1008
1009,1009,1011,970,887,971,276,314,1009,1008,1065,1008,118
1009,1011,970,887,971,276,314,1009,1008,1065,1008,118,1087
1011,970,887,971,276,314,1009,1008,1065,1008,118,1087,1008
970,887,971,276,314,1009,1008,1065,1008,118,1087,1008,1009
887,971,276,314,1009,1008,1065,1008,118,1087,1008,1009,1009
971,276,314,1009,1008,1065,1008,118,1087,1008,1009,1009,9
276,314,1009,1008,1065,1008,118,1087,1008,1009,1009,9,504
