0,1,2,3,4,5,6,7,8,9,10,11
50,1165,461,1008,201,422,422,461,1008,1008,461,160
1165,461,1008,201,422,422,461,1008,1008,461,160,1008
461,1008,201,422,422,461,1008,1008,461,160,1008,1008
1008,201,422,422,461,1008,1008,461,160,1008,1008,461
201,422,422,461,1008,1008,461,160,1008,1008,461,462
422,422,461,1008,1008,461,160,1008,1008,461,462,461
422,461,1008,1008,461,160,1008,1008,461,462,461,461
461,1008,1008,461,160,1008,1008,461,462,461,461,1008
1008,1008,461,160,1008,1008,461,462,461,461,1008,460
1008,461,160,1008,1008,461,462,461,461,1008,460,1008
461,160,1008,1008,461,462,461,461,1008,460,1008,423
160,1008,1008,461,462,461,461,1008,460,1008,423,1009
1008,1008,461,462,461,461,1008,460,1008,423,1009,1046
1008,461,462,461,461,1008,460,1008,423,1009,1046,383
461,462,461,461,1008,460,1008,423,1009,1046,383,422
462,461,461,1008,460,1008,423,1009,1046,383,422,307
461,461,1008,460,1008,423,1009,1046,383,422,307,269
461,1008,460,1008,423,1009,1046,383,422,307,269,423
1008,460,1008,423,1009,1046,383,422,307,269,423,383
460,1008,423,1009,1046,383,422,307,269,423,383,971
1008,423,1009,1046,383,422,307,269,423,383,971,461
423,1009,1046,383,422,307,269,423,383,971,461,269
1009,1046,383,422,307,269,423,383,971,461,269,355
1046,383,422,307,269,423,383,971,461,269,355,307
383,422,307,269,423,383,971,461,269,355,307,307
422,307,269,423,383,971,461,269,355,307,307,422
307,269,423,383,971,461,269,355,307,307,422,345
269,423,383,971,461,269,355,307,307,422,345,383
423,383,971,461,269,355,307,307,422,345,383,422
383,971,461,269,355,307,307,422,345,383,422,1164
971,461,269,355,307,307,422,345,383,422,1164,969
461,269,355,307,307,422,345,383,422,1164,969,307
269,355,307,307,422,345,383,422,1164,969,307,385
355,307,307,422,345,383,422,1164,969,307,385,10
307,307,422,345,383,422,1164,969,307,385,10,383
307,422,345,383,422,1164,969,307,385,10,383,462
422,345,383,422,1164,969,307,385,10,383,462,460
345,383,422,1164,969,307,385,10,383,462,460,460
383,422,1164,969,307,385,10,383,462,460,460,269
422,1164,969,307,385,10,383,462,460,460,269,461
1164,969,307,385,10,383,462,460,460,269,461,383
969,307,385,10,383,462,460,460,269,461,383,345
307,385,10,383,462,460,460,269,461,383,345,422
385,10,383,462,460,460,269,461,383,345,422,195
10,383,462,460,460,269,461,383,345,422,195,383
383,462,460,460,269,461,383,345,422,195,383,384
462,460,460,269,461,383,345,422,195,383,384,384
460,460,269,461,383,345,422,195,383,384,384,384
460,269,461,383,345,422,195,383,384,384,384,346
269,461,383,345,422,195,383,384,384,384,346,384
461,383,345,422,195,383,384,384,384,346,384,384
383,345,422,195,383,384,384,384,346,384,384,384
345,422,195,383,384,384,384,346,384,384,384,384
422,195,383,384,384,384,346,384,384,384,384,383
195,383,384,384,384,346,384,384,384,384,383,461
383,384,384,384,346,384,384,384,384,383,461,384
384,384,384,346,384,384,384,384,383,461,384,460
384,384,346,384,384,384,384,383,461,384,460,461
384,346,384,384,384,384,383,461,384,460,461,384
346,384,384,384,384,383,461,384,460,461,384,423
384,384,384,384,383,461,384,460,461,384,423,461
384,384,384,383,461,384,460,461,384,423,461,461
384,384,383,461,384,460,461,384,423,461,461,461
384,383,461,384,460,461,384,423,461,461,461,460
383,461,384,460,461,384,423,461,461,461,460,460
461,384,460,461,384,423,461,461,461,460,460,1009
384,460,461,384,423,461,461,461,460,460,1009,461
460,461,384,423,461,461,461,460,460,1009,461,461
461,384,423,461,461,461,460,460,1009,461,461,461
384,423,461,461,461,460,460,1009,461,461,461,461
423,461,461,461,460,460,1009,461,461,461,461,461
461,461,461,460,460,1009,461,461,461,461,461,307
461,461,460,460,1009,461,461,461,461,461,307,422
461,460,460,1009,461,461,461,461,461,307,422,421
460,460,1009,461,461,461,461,461,307,422,421,383
460,1009,461,461,461,461,461,307,422,421,383,383
1009,461,461,461,461,461,307,422,421,383,383,383
461,461,461,461,461,307,422,421,383,383,383,307
461,461,461,461,307,422,421,383,383,383,307,307
461,461,461,307,422,421,383,383,383,307,307,384
461,461,307,422,421,383,383,383,307,307,384,384
461,307,422,421,383,383,383,307,307,384,384,384
307,422,421,383,383,383,307,307,384,384,384,385
422,421,383,383,383,307,307,384,384,384,385,276
421,383,383,383,307,307,384,384,384,385,276,461
383,383,383,307,307,384,384,384,385,276,461,423
383,383,307,307,384,384,384,385,276,461,423,308
383,307,307,384,384,384,385,276,461,423,308,461
307,307,384,384,384,385,276,461,423,308,461,1182
307,384,384,384,385,276,461,423,308,461,1182,383
384,384,384,385,276,461,423,308,461,1182,383,383
384,384,385,276,461,423,308,461,1182,383,383,384
384,385,276,461,423,308,461,1182,383,383,384,384
385,276,461,423,308,461,1182,383,383,384,384,422
276,461,423,308,461,1182,383,383,384,384,422,384
461,423,308,461,1182,383,383,384,384,422,384,384
423,308,461,1182,383,383,384,384,422,384,384,422
308,461,1182,383,383,384,384,422,384,384,422,384
461,1182,383,383,384,384,422,384,384,422,384,384
1182,383,383,384,384,422,384,384,422,384,384,384
383,383,384,384,422,384,384,422,384,384,384,422
383,384,384,422,384,384,422,384,384,384,422,384
384,384,422,384,384,422,384,384,384,422,384,422
384,422,384,384,422,384,384,384,422,384,422,385
422,384,384,422,384,384,384,422,384,422,385,423
384,384,422,384,384,384,422,384,422,385,423,423
384,422,384,384,384,422,384,422,385,423,423,275
422,384,384,384,422,384,422,385,423,423,275,238
384,384,384,422,384,422,385,423,423,275,238,275
384,384,422,384,422,385,423,423,275,238,275,1008
384,422,384,422,385,423,423,275,238,275,1008,1000
422,384,422,385,423,423,275,238,275,1008,1000,1001
384,422,385,423,423,275,238,275,1008,1000,1001,200
422,385,423,423,275,238,275,1008,1000,1001,200,47
385,423,423,275,238,275,1008,1000,1001,200,47,1008
423,423,275,238,275,1008,1000,1001,200,47,1008,1038
423,275,238,275,1008,1000,1001,200,47,1008,1038,1164
275,238,275,1008,1000,1001,200,47,1008,1038,1164,1080
238,275,1008,1000,1001,200,47,1008,1038,1164,1080,1008
275,1008,1000,1001,200,47,1008,1038,1164,1080,1008,690
1008,1000,1001,200,47,1008,1038,1164,1080,1008,690,1008
1000,1001,200,47,1008,1038,1164,1080,1008,690,1008,1008
1001,200,47,1008,1038,1164,1080,1008,690,1008,1008,119
200,47,1008,1038,1164,1080,1008,690,1008,1008,119,891
47,1008,1038,1164,1080,1008,690,1008,1008,119,891,1008
1008,1038,1164,1080,1008,690,1008,1008,119,891,1008,1035
1038,1164,1080,1008,690,1008,1008,119,891,1008,1035,739
1164,1080,1008,690,1008,1008,119,891,1008,1035,739,1008
1080,1008,690,1008,1008,119,891,1008,1035,739,1008,1008
1008,690,1008,1008,119,891,1008,1035,739,1008,1008,1008
690,1008,1008,119,891,1008,1035,739,1008,1008,1008,270
1008,1008,119,891,1008,1035,739,1008,1008,1008,270,308
1008,119,891,1008,1035,739,1008,1008,1008,270,308,1028
119,891,1008,1035,739,1008,1008,1008,270,308,1028,971
891,1008,1035,739,1008,1008,1008,270,308,1028,971,1009
1008,1035,739,1008,1008,1008,270,308,1028,971,1009,3
1035,739,1008,1008,1008,270,308,1028,971,1009,3,1008
739,1008,1008,1008,270,308,1028,971,1009,3,1008,743
1008,1008,1008,270,308,1028,971,1009,3,1008,743,1204
1008,1008,270,308,1028,971,1009,3,1008,743,1204,1464
1008,270,308,1028,971,1009,3,1008,743,1204,1464,1008
270,308,1028,971,1009,3,1008,743,1204,1464,1008,1008
308,1028,971,1009,3,1008,743,1204,1464,1008,1008,1008
1028,971,1009,3,1008,743,1204,1464,1008,1008,1008,276
971,1009,3,1008,743,1204,1464,1008,1008,1008,276,1033
1009,3,1008,743,1204,1464,1008,1008,1008,276,1033,1008
3,1008,743,1204,1464,1008,1008,1008,276,1033,1008,79
1008,743,1204,1464,1008,1008,1008,276,1033,1008,79,577
743,1204,1464,1008,1008,1008,276,1033,1008,79,577,1008
1204,1464,1008,1008,1008,276,1033,1008,79,577,1008,807
1464,1008,1008,1008,276,1033,1008,79,577,1008,807,1001
1008,1008,1008,276,1033,1008,79,577,1008,807,1001,1222
1008,1008,276,1033,1008,79,577,1008,807,1001,1222,925
1008,276,1033,1008,79,577,1008,807,1001,1222,925,858
276,1033,1008,79,577,1008,807,1001,1222,925,858,916
1033,1008,79,577,1008,807,1001,1222,925,858,916,660
1008,79,577,1008,807,1001,1222,925,858,916,660,1008
79,577,1008,807,1001,1222,925,858,916,660,1008,1241
577,1008,807,1001,1222,925,858,916,660,1008,1241,234
1008,807,1001,1222,925,858,916,660,1008,1241,234,464
807,1001,1222,925,858,916,660,1008,1241,234,464,1008
1001,1222,925,858,916,660,1008,1241,234,464,1008,1000
1222,925,858,916,660,1008,1241,234,464,1008,1000,80
925,858,916,660,1008,1241,234,464,1008,1000,80,500
858,916,660,1008,1241,234,464,1008,1000,80,500,1028
916,660,1008,1241,234,464,1008,1000,80,500,1028,159
660,1008,1241,234,464,1008,1000,80,500,1028,159,271
1008,1241,234,464,1008,1000,80,500,1028,159,271,884
1241,234,464,1008,1000,80,500,1028,159,271,884,1008
234,464,1008,1000,80,500,1028,159,271,884,1008,1164
464,1008,1000,80,500,1028,159,271,884,1008,1164,166
1008,1000,80,500,1028,159,271,884,1008,1164,166,164
1000,80,500,1028,159,271,884,1008,1164,166,164,1008
80,500,1028,159,271,884,1008,1164,166,164,1008,970
500,1028,159,271,884,1008,1164,166,164,1008,970,784
1028,159,271,884,1008,1164,166,164,1008,970,784,747
159,271,884,1008,1164,166,164,1008,970,784,747,1164
271,884,1008,1164,166,164,1008,970,784,747,1164,1164
884,1008,1164,166,164,1008,970,784,747,1164,1164,1164
1008,1164,166,164,1008,970,784,747,1164,1164,1164,1126
1164,166,164,1008,970,784,747,1164,1164,1164,1126,235
166,164,1008,970,784,747,1164,1164,1164,1126,235,1113
164,1008,970,784,747,1164,1164,1164,1126,235,1113,461
1008,970,784,747,1164,1164,1164,1126,235,1113,461,1164
970,784,747,1164,1164,1164,1126,235,1113,461,1164,1164
784,747,1164,1164,1164,1126,235,1113,461,1164,1164,1164
747,1164,1164,1164,1126,235,1113,461,1164,1164,1164,1164
1164,1164,1164,1126,235,1113,461,1164,1164,1164,1164,1126
1164,1164,1126,235,1113,461,1164,1164,1164,1164,1126,1164
1164,1126,235,1113,461,1164,1164,1164,1164,1126,1164,1126
1126,235,1113,461,1164,1164,1164,1164,1126,1164,1126,1164
235,1113,461,1164,1164,1164,1164,1126,1164,1126,1164,1164
1113,461,1164,1164,1164,1164,1126,1164,1126,1164,1164,1164
461,1164,1164,1164,1164,1126,1164,1126,1164,1164,1164,1164
1164,1164,1164,1164,1126,1164,1126,1164,1164,1164,1164,1164
1164,1164,1164,1126,1164,1126,1164,1164,1164,1164,1164,1126
1164,1164,1126,1164,1126,1164,1164,1164,1164,1164,1126,1164
1164,1126,1164,1126,1164,1164,1164,1164,1164,1126,1164,1126
1126,1164,1126,1164,1164,1164,1164,1164,1126,1164,1126,1126
1164,1126,1164,1164,1164,1164,1164,1126,1164,1126,1126,1164
1126,1164,1164,1164,1164,1164,1126,1164,1126,1126,1164,1126
1164,1164,1164,1164,1164,1126,1164,1126,1126,1164,1126,346
1164,1164,1164,1164,1126,1164,1126,1126,1164,1126,346,232
1164,1164,1164,1126,1164,1126,1126,1164,1126,346,232,1008
1164,1164,1126,1164,1126,1126,1164,1126,346,232,1008,1030
1164,1126,1164,1126,1126,1164,1126,346,232,1008,1030,1008
1126,1164,1126,1126,1164,1126,346,232,1008,1030,1008,1008
1164,1126,1126,1164,1126,346,232,1008,1030,1008,1008,1008
1126,1126,1164,1126,346,232,1008,1030,1008,1008,1008,198
1126,1164,1126,346,232,1008,1030,1008,1008,1008,198,1084
1164,1126,346,232,1008,1030,1008,1008,1008,198,1084,1037
1126,346,232,1008,1030,1008,1008,1008,198,1084,1037,196
346,232,1008,1030,1008,1008,1008,198,1084,1037,196,1008
232,1008,1030,1008,1008,1008,198,1084,1037,196,1008,81
1008,1030,1008,1008,1008,198,1084,1037,196,1008,81,124
1030,1008,1008,1008,198,1084,1037,196,1008,81,124,118
1008,1008,1008,198,1084,1037,196,1008,81,124,118,969
1008,1008,198,1084,1037,196,1008,81,124,118,969,1008
1008,198,1084,1037,196,1008,81,124,118,969,1008,930
198,1084,1037,196,1008,81,124,118,969,1008,930,774
1084,1037,196,1008,81,124,118,969,1008,930,774,1072
1037,196,1008,81,124,118,969,1008,930,774,1072,1008
196,1008,81,124,118,969,1008,930,774,1072,1008,1008
1008,81,124,118,969,1008,930,774,1072,1008,1008,1150
81,124,118,969,1008,930,774,1072,1008,1008,1150,735
124,118,969,1008,930,774,1072,1008,1008,1150,735,240
118,969,1008,930,774,1072,1008,1008,1150,735,240,1008
969,1008,930,774,1072,1008,1008,1150,735,240,1008,747
1008,930,774,1072,1008,1008,1150,735,240,1008,747,1008
930,774,1072,1008,1008,1150,735,240,1008,747,1008,279
774,1072,1008,1008,1150,735,240,1008,747,1008,279,1008
1072,1008,1008,1150,735,240,1008,747,1008,279,1008,746
1008,1008,1150,735,240,1008,747,1008,279,1008,746,922
1008,1150,735,240,1008,747,1008,279,1008,746,922,813
1150,735,240,1008,747,1008,279,1008,746,922,813,308
735,240,1008,747,1008,279,1008,746,922,813,308,385
240,1008,747,1008,279,1008,746,922,813,308,385,308
1008,747,1008,279,1008,746,922,813,308,385,308,1008
747,1008,279,1008,746,922,813,308,385,308,1008,1008
1008,279,1008,746,922,813,308,385,308,1008,1008,857
279,1008,746,922,813,308,385,308,1008,1008,857,1352
1008,746,922,813,308,385,308,1008,1008,857,1352,1008
746,922,813,308,385,308,1008,1008,857,1352,1008,1113
922,813,308,385,308,1008,1008,857,1352,1008,1113,1113
813,308,385,308,1008,1008,857,1352,1008,1113,1113,1008
308,385,308,1008,1008,857,1352,1008,1113,1113,1008,1008
385,308,1008,1008,857,1352,1008,1113,1113,1008,1008,653
308,1008,1008,857,1352,1008,1113,1113,1008,1008,653,994
1008,1008,857,1352,1008,1113,1113,1008,1008,653,994,1008
1008,857,1352,1008,1113,1113,1008,1008,653,994,1008,167
857,1352,1008,1113,1113,1008,1008,653,994,1008,167,80
1352,1008,1113,1113,1008,1008,653,994,1008,167,80,197
1008,1113,1113,1008,1008,653,994,1008,167,80,197,1035
1113,1113,1008,1008,653,994,1008,167,80,197,1035,1008
1113,1008,1008,653,994,1008,167,80,197,1035,1008,158
1008,1008,653,994,1008,167,80,197,1035,1008,158,1008
1008,653,994,1008,167,80,197,1035,1008,158,1008,1074
653,994,1008,167,80,197,1035,1008,158,1008,1074,1074
994,1008,167,80,197,1035,1008,158,1008,1074,1074,1008
1008,167,80,197,1035,1008,158,1008,1074,1074,1008,1008
167,80,197,1035,1008,158,1008,1074,1074,1008,1008,1008
80,197,1035,1008,158,1008,1074,1074,1008,1008,1008,277
197,1035,1008,158,1008,1074,1074,1008,1008,1008,277,1312
1035,1008,158,1008,1074,1074,1008,1008,1008,277,1312,1000
1008,158,1008,1074,1074,1008,1008,1008,277,1312,1000,90
158,1008,1074,1074,1008,1008,1008,277,1312,1000,90,500
1008,1074,1074,1008,1008,1008,277,1312,1000,90,500,238
1074,1074,1008,1008,1008,277,1312,1000,90,500,238,156
1074,1008,1008,1008,277,1312,1000,90,500,238,156,115
1008,1008,1008,277,1312,1000,90,500,238,156,115,845
1008,1008,277,1312,1000,90,500,238,156,115,845,269
1008,277,1312,1000,90,500,238,156,115,845,269,162
277,1312,1000,90,500,238,156,115,845,269,162,895
1312,1000,90,500,238,156,115,845,269,162,895,276
1000,90,500,238,156,115,845,269,162,895,276,1390
90,500,238,156,115,845,269,162,895,276,1390,1008
500,238,156,115,845,269,162,895,276,1390,1008,1008
238,156,115,845,269,162,895,276,1390,1008,1008,1008
156,115,845,269,162,895,276,1390,1008,1008,1008,156
115,845,269,162,895,276,1390,1008,1008,1008,156,1223
845,269,162,895,276,1390,1008,1008,1008,156,1223,234
269,162,895,276,1390,1008,1008,1008,156,1223,234,1009
162,895,276,1390,1008,1008,1008,156,1223,234,1009,1009
895,276,1390,1008,1008,1008,156,1223,234,1009,1009,1011
276,1390,1008,1008,1008,156,1223,234,1009,1009,1011,970
1390,1008,1008,1008,156,1223,234,1009,1009,1011,970,887
1008,1008,1008,156,1223,234,1009,1009,1011,970,887,971
1008,1008,156,1223,234,1009,1009,1011,970,887,971,276
1008,156,1223,234,1009,1009,1011,970,887,971,276,314
156,1223,234,1009,1009,1011,970,887,971,276,314,1009
1223,234,1009,1009,1011,970,887,971,276,314,1009,1008
234,1009,1009,1011,970,887,971,276,314,1009,1008,1065
1009,1009,1011,970,887,971,276,314,1009,1008,1065,1008
1009,1011,970,887,971,276,314,1009,1008,1065,1008,118
1011,970,887,971,276,314,1009,1008,1065,1008,118,1087
970,887,971,276,314,1009,1008,1065,1008,118,1087,1008
887,971,276,314,1009,1008,1065,1008,118,1087,1008,1009
971,276,314,1009,1008,1065,1008,118,1087,1008,1009,1009
276,314,1009,1008,1065,1008,118,1087,1008,1009,1009,9
314,1009,1008,1065,1008,118,1087,1008,1009,1009,9,504
1009,1008,1065,1008,118,1087,1008,1009,1009,9,504,1124
1008,1065,1008,118,1087,1008,1009,1009,9,504,1124,1008
1065,1008,118,1087,1008,1009,1009,9,504,1124,1008,845
1008,118,1087,1008,1009,1009,9,504,1124,1008,845,659
118,1087,1008,1009,1009,9,504,1124,1008,845,659,811
1087,1008,1009,1009,9,504,1124,1008,845,659,811,1009
1008,1009,1009,9,504,1124,1008,845,659,811,1009,1008
1009,1009,9,504,1124,1008,845,659,811,1009,1008,160
1009,9,504,1124,1008,845,659,811,1009,1008,160,276
9,504,1124,1008,845,659,811,1009,1008,160,276,1008
504,1124,1008,845,659,811,1009,1008,160,276,1008,1027
1124,1008,845,659,811,1009,1008,160,276,1008,1027,1065
1008,845,659,811,1009,1008,160,276,1008,1027,1065,345
845,659,811,1009,1008,160,276,1008,1027,1065,345,970
659,811,1009,1008,160,276,1008,1027,1065,345,970,1186
811,1009,1008,160,276,1008,1027,1065,345,970,1186,845
1009,1008,160,276,1008,1027,1065,345,970,1186,845,1124
1008,160,276,1008,1027,1065,345,970,1186,845,1124,1124
160,276,1008,1027,1065,345,970,1186,845,1124,1124,1124
276,1008,1027,1065,345,970,1186,845,1124,1124,1124,88
1008,1027,1065,345,970,1186,845,1124,1124,1124,88,1008
1027,1065,345,970,1186,845,1124,1124,1124,88,1008,465
1065,345,970,1186,845,1124,1124,1124,88,1008,465,119
345,970,1186,845,1124,1124,1124,88,1008,465,119,1009
970,1186,845,1124,1124,1124,88,1008,465,119,1009,1113
1186,845,1124,1124,1124,88,1008,465,119,1009,1113,126
845,1124,1124,1124,88,1008,465,119,1009,1113,126,276
1124,1124,1124,88,1008,465,119,1009,1113,126,276,158
1124,1124,88,1008,465,119,1009,1113,126,276,158,465
1124,88,1008,465,119,1009,1113,126,276,158,465,1009
88,1008,465,119,1009,1113,126,276,158,465,1009,922
1008,465,119,1009,1113,126,276,158,465,1009,922,390
465,119,1009,1113,126,276,158,465,1009,922,390,893
119,1009,1113,126,276,158,465,1009,922,390,893,235
1009,1113,126,276,158,465,1009,922,390,893,235,1276
