0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
1008,701,701,1009,971,308,1205,652,2,1081,1353,275,768,654,1035,88,276
701,701,1009,971,308,1205,652,2,1081,1353,275,768,654,1035,88,276,117
701,1009,971,308,1205,652,2,1081,1353,275,768,654,1035,88,276,117,1009
1009,971,308,1205,652,2,1081,1353,275,768,654,1035,88,276,117,1009,1008
971,308,1205,652,2,1081,1353,275,768,654,1035,88,276,117,1009,1008,195
308,1205,652,2,1081,1353,275,768,654,1035,88,276,117,1009,1008,195,1080
1205,652,2,1081,1353,275,768,654,1035,88,276,117,1009,1008,195,1080,1008
652,2,1081,1353,275,768,654,1035,88,276,117,1009,1008,195,1080,1008,461
2,1081,1353,275,768,654,1035,88,276,117,1009,1008,195,1080,1008,461,1039
1081,1353,275,768,654,1035,88,276,117,1009,1008,195,1080,1008,461,1039,1039
1353,275,768,654,1035,88,276,117,1009,1008,195,1080,1008,461,1039,1039,1039
275,768,654,1035,88,276,117,1009,1008,195,1080,1008,461,1039,1039,1039,1039
768,654,1035,88,276,117,1009,1008,195,1080,1008,461,1039,1039,1039,1039,1040
654,1035,88,276,117,1009,1008,195,1080,1008,461,1039,1039,1039,1039,1040,1039
1035,88,276,117,1009,1008,195,1080,1008,461,1039,1039,1039,1039,1040,1039,1009
88,276,117,1009,1008,195,1080,1008,461,1039,1039,1039,1039,1040,1039,1009,200
276,117,1009,1008,195,1080,1008,461,1039,1039,1039,1039,1040,1039,1009,200,276
117,1009,1008,195,1080,1008,461,1039,1039,1039,1039,1040,1039,1009,200,276,389
1009,1008,195,1080,1008,461,1039,1039,1039,1039,1040,1039,1009,200,276,389,276
1008,195,1080,1008,461,1039,1039,1039,1039,1040,1039,1009,200,276,389,276,463
195,1080,1008,461,1039,1039,1039,1039,1040,1039,1009,200,276,389,276,463,1046
1080,1008,461,1039,1039,1039,1039,1040,1039,1009,200,276,389,276,463,1046,1009
1008,461,1039,1039,1039,1039,1040,1039,1009,200,276,389,276,463,1046,1009,346
461,1039,1039,1039,1039,1040,1039,1009,200,276,389,276,463,1046,1009,346,747
1039,1039,1039,1039,1040,1039,1009,200,276,389,276,463,1046,1009,346,747,232
1039,1039,1039,1040,1039,1009,200,276,389,276,463,1046,1009,346,747,232,730
1039,1039,1040,1039,1009,200,276,389,276,463,1046,1009,346,747,232,730,1166
1039,1040,1039,1009,200,276,389,276,463,1046,1009,346,747,232,730,1166,1008
1040,1039,1009,200,276,389,276,463,1046,1009,346,747,232,730,1166,1008,389
1039,1009,200,276,389,276,463,1046,1009,346,747,232,730,1166,1008,389,1001
1009,200,276,389,276,463,1046,1009,346,747,232,730,1166,1008,389,1001,844
200,276,389,276,463,1046,1009,346,747,232,730,1166,1008,389,1001,844,1188
276,389,276,463,1046,1009,346,747,232,730,1166,1008,389,1001,844,1188,1008
389,276,463,1046,1009,346,747,232,730,1166,1008,389,1001,844,1188,1008,384
276,463,1046,1009,346,747,232,730,1166,1008,389,1001,844,1188,1008,384,308
463,1046,1009,346,747,232,730,1166,1008,389,1001,844,1188,1008,384,308,346
1046,1009,346,747,232,730,1166,1008,389,1001,844,1188,1008,384,308,346,501
1009,346,747,232,730,1166,1008,389,1001,844,1188,1008,384,308,346,501,345
346,747,232,730,1166,1008,389,1001,844,1188,1008,384,308,346,501,345,1204
747,232,730,1166,1008,389,1001,844,1188,1008,384,308,346,501,345,1204,499
232,730,1166,1008,389,1001,844,1188,1008,384,308,346,501,345,1204,499,1008
730,1166,1008,389,1001,844,1188,1008,384,308,346,501,345,1204,499,1008,855
1166,1008,389,1001,844,1188,1008,384,308,346,501,345,1204,499,1008,855,462
1008,389,1001,844,1188,1008,384,308,346,501,345,1204,499,1008,855,462,462
389,1001,844,1188,1008,384,308,346,501,345,1204,499,1008,855,462,462,462
1001,844,1188,1008,384,308,346,501,345,1204,499,1008,855,462,462,462,734
844,1188,1008,384,308,346,501,345,1204,499,1008,855,462,462,462,734,385
1188,1008,384,308,346,501,345,1204,499,1008,855,462,462,462,734,385,968
1008,384,308,346,501,345,1204,499,1008,855,462,462,462,734,385,968,239
384,308,346,501,345,1204,499,1008,855,462,462,462,734,385,968,239,383
308,346,501,345,1204,499,1008,855,462,462,462,734,385,968,239,383,383
346,501,345,1204,499,1008,855,462,462,462,734,385,968,239,383,383,500
501,345,1204,499,1008,855,462,462,462,734,385,968,239,383,383,500,500
345,1204,499,1008,855,462,462,462,734,385,968,239,383,383,500,500,500
1204,499,1008,855,462,462,462,734,385,968,239,383,383,500,500,500,423
499,1008,855,462,462,462,734,385,968,239,383,383,500,500,500,423,1008
1008,855,462,462,462,734,385,968,239,383,383,500,500,500,423,1008,3
855,462,462,462,734,385,968,239,383,383,500,500,500,423,1008,3,1008
462,462,462,734,385,968,239,383,383,500,500,500,423,1008,3,1008,120
462,462,734,385,968,239,383,383,500,500,500,423,1008,3,1008,120,276
462,734,385,968,239,383,383,500,500,500,423,1008,3,1008,120,276,462
734,385,968,239,383,383,500,500,500,423,1008,3,1008,120,276,462,1008
385,968,239,383,383,500,500,500,423,1008,3,1008,120,276,462,1008,1009
968,239,383,383,500,500,500,423,1008,3,1008,120,276,462,1008,1009,422
239,383,383,500,500,500,423,1008,3,1008,120,276,462,1008,1009,422,309
383,383,500,500,500,423,1008,3,1008,120,276,462,1008,1009,422,309,309
383,500,500,500,423,1008,3,1008,120,276,462,1008,1009,422,309,309,884
500,500,500,423,1008,3,1008,120,276,462,1008,1009,422,309,309,884,1008
500,500,423,1008,3,1008,120,276,462,1008,1009,422,309,309,884,1008,50
500,423,1008,3,1008,120,276,462,1008,1009,422,309,309,884,1008,50,1165
423,1008,3,1008,120,276,462,1008,1009,422,309,309,884,1008,50,1165,461
1008,3,1008,120,276,462,1008,1009,422,309,309,884,1008,50,1165,461,1008
3,1008,120,276,462,1008,1009,422,309,309,884,1008,50,1165,461,1008,201
1008,120,276,462,1008,1009,422,309,309,884,1008,50,1165,461,1008,201,422
120,276,462,1008,1009,422,309,309,884,1008,50,1165,461,1008,201,422,422
276,462,1008,1009,422,309,309,884,1008,50,1165,461,1008,201,422,422,461
462,1008,1009,422,309,309,884,1008,50,1165,461,1008,201,422,422,461,1008
1008,1009,422,309,309,884,1008,50,1165,461,1008,201,422,422,461,1008,1008
1009,422,309,309,884,1008,50,1165,461,1008,201,422,422,461,1008,1008,461
422,309,309,884,1008,50,1165,461,1008,201,422,422,461,1008,1008,461,160
309,309,884,1008,50,1165,461,1008,201,422,422,461,1008,1008,461,160,1008
309,884,1008,50,1165,461,1008,201,422,422,461,1008,1008,461,160,1008,1008
884,1008,50,1165,461,1008,201,422,422,461,1008,1008,461,160,1008,1008,461
1008,50,1165,461,1008,201,422,422,461,1008,1008,461,160,1008,1008,461,462
50,1165,461,1008,201,422,422,461,1008,1008,461,160,1008,1008,461,462,461
1165,461,1008,201,422,422,461,1008,1008,461,160,1008,1008,461,462,461,461
461,1008,201,422,422,461,1008,1008,461,160,1008,1008,461,462,461,461,1008
1008,201,422,422,461,1008,1008,461,160,1008,1008,461,462,461,461,1008,460
201,422,422,461,1008,1008,461,160,1008,1008,461,462,461,461,1008,460,1008
422,422,461,1008,1008,461,160,1008,1008,461,462,461,461,1008,460,1008,423
422,461,1008,1008,461,160,1008,1008,461,462,461,461,1008,460,1008,423,1009
461,1008,1008,461,160,1008,1008,461,462,461,461,1008,460,1008,423,1009,1046
1008,1008,461,160,1008,1008,461,462,461,461,1008,460,1008,423,1009,1046,383
1008,461,160,1008,1008,461,462,461,461,1008,460,1008,423,1009,1046,383,422
461,160,1008,1008,461,462,461,461,1008,460,1008,423,1009,1046,383,422,307
160,1008,1008,461,462,461,461,1008,460,1008,423,1009,1046,383,422,307,269
1008,1008,461,462,461,461,1008,460,1008,423,1009,1046,383,422,307,269,423
1008,461,462,461,461,1008,460,1008,423,1009,1046,383,422,307,269,423,383
461,462,461,461,1008,460,1008,423,1009,1046,383,422,307,269,423,383,971
462,461,461,1008,460,1008,423,1009,1046,383,422,307,269,423,383,971,461
461,461,1008,460,1008,423,1009,1046,383,422,307,269,423,383,971,461,269
461,1008,460,1008,423,1009,1046,383,422,307,269,423,383,971,461,269,355
1008,460,1008,423,1009,1046,383,422,307,269,423,383,971,461,269,355,307
460,1008,423,1009,1046,383,422,307,269,423,383,971,461,269,355,307,307
1008,423,1009,1046,383,422,307,269,423,383,971,461,269,355,307,307,422
423,1009,1046,383,422,307,269,423,383,971,461,269,355,307,307,422,345
1009,1046,383,422,307,269,423,383,971,461,269,355,307,307,422,345,383
1046,383,422,307,269,423,383,971,461,269,355,307,307,422,345,383,422
383,422,307,269,423,383,971,461,269,355,307,307,422,345,383,422,1164
422,307,269,423,383,971,461,269,355,307,307,422,345,383,422,1164,969
307,269,423,383,971,461,269,355,307,307,422,345,383,422,1164,969,307
269,423,383,971,461,269,355,307,307,422,345,383,422,1164,969,307,385
423,383,971,461,269,355,307,307,422,345,383,422,1164,969,307,385,10
383,971,461,269,355,307,307,422,345,383,422,1164,969,307,385,10,383
971,461,269,355,307,307,422,345,383,422,1164,969,307,385,10,383,462
461,269,355,307,307,422,345,383,422,1164,969,307,385,10,383,462,460
269,355,307,307,422,345,383,422,1164,969,307,385,10,383,462,460,460
355,307,307,422,345,383,422,1164,969,307,385,10,383,462,460,460,269
307,307,422,345,383,422,1164,969,307,385,10,383,462,460,460,269,461
307,422,345,383,422,1164,969,307,385,10,383,462,460,460,269,461,383
422,345,383,422,1164,969,307,385,10,383,462,460,460,269,461,383,345
345,383,422,1164,969,307,385,10,383,462,460,460,269,461,383,345,422
383,422,1164,969,307,385,10,383,462,460,460,269,461,383,345,422,195
422,1164,969,307,385,10,383,462,460,460,269,461,383,345,422,195,383
1164,969,307,385,10,383,462,460,460,269,461,383,345,422,195,383,384
969,307,385,10,383,462,460,460,269,461,383,345,422,195,383,384,384
307,385,10,383,462,460,460,269,461,383,345,422,195,383,384,384,384
385,10,383,462,460,460,269,461,383,345,422,195,383,384,384,384,346
10,383,462,460,460,269,461,383,345,422,195,383,384,384,384,346,384
383,462,460,460,269,461,383,345,422,195,383,384,384,384,346,384,384
462,460,460,269,461,383,345,422,195,383,384,384,384,346,384,384,384
460,460,269,461,383,345,422,195,383,384,384,384,346,384,384,384,384
460,269,461,383,345,422,195,383,384,384,384,346,384,384,384,384,383
269,461,383,345,422,195,383,384,384,384,346,384,384,384,384,383,461
461,383,345,422,195,383,384,384,384,346,384,384,384,384,383,461,384
383,345,422,195,383,384,384,384,346,384,384,384,384,383,461,384,460
345,422,195,383,384,384,384,346,384,384,384,384,383,461,384,460,461
422,195,383,384,384,384,346,384,384,384,384,383,461,384,460,461,384
195,383,384,384,384,346,384,384,384,384,383,461,384,460,461,384,423
383,384,384,384,346,384,384,384,384,383,461,384,460,461,384,423,461
384,384,384,346,384,384,384,384,383,461,384,460,461,384,423,461,461
384,384,346,384,384,384,384,383,461,384,460,461,384,423,461,461,461
384,346,384,384,384,384,383,461,384,460,461,384,423,461,461,461,460
346,384,384,384,384,383,461,384,460,461,384,423,461,461,461,460,460
384,384,384,384,383,461,384,460,461,384,423,461,461,461,460,460,1009
384,384,384,383,461,384,460,461,384,423,461,461,461,460,460,1009,461
384,384,383,461,384,460,461,384,423,461,461,461,460,460,1009,461,461
384,383,461,384,460,461,384,423,461,461,461,460,460,1009,461,461,461
383,461,384,460,461,384,423,461,461,461,460,460,1009,461,461,461,461
461,384,460,461,384,423,461,461,461,460,460,1009,461,461,461,461,461
384,460,461,384,423,461,461,461,460,460,1009,461,461,461,461,461,307
460,461,384,423,461,461,461,460,460,1009,461,461,461,461,461,307,422
461,384,423,461,461,461,460,460,1009,461,461,461,461,461,307,422,421
384,423,461,461,461,460,460,1009,461,461,461,461,461,307,422,421,383
423,461,461,461,460,460,1009,461,461,461,461,461,307,422,421,383,383
461,461,461,460,460,1009,461,461,461,461,461,307,422,421,383,383,383
461,461,460,460,1009,461,461,461,461,461,307,422,421,383,383,383,307
461,460,460,1009,461,461,461,461,461,307,422,421,383,383,383,307,307
460,460,1009,461,461,461,461,461,307,422,421,383,383,383,307,307,384
460,1009,461,461,461,461,461,307,422,421,383,383,383,307,307,384,384
1009,461,461,461,461,461,307,422,421,383,383,383,307,307,384,384,384
461,461,461,461,461,307,422,421,383,383,383,307,307,384,384,384,385
461,461,461,461,307,422,421,383,383,383,307,307,384,384,384,385,276
461,461,461,307,422,421,383,383,383,307,307,384,384,384,385,276,461
461,461,307,422,421,383,383,383,307,307,384,384,384,385,276,461,423
461,307,422,421,383,383,383,307,307,384,384,384,385,276,461,423,308
307,422,421,383,383,383,307,307,384,384,384,385,276,461,423,308,461
422,421,383,383,383,307,307,384,384,384,385,276,461,423,308,461,1182
421,383,383,383,307,307,384,384,384,385,276,461,423,308,461,1182,383
383,383,383,307,307,384,384,384,385,276,461,423,308,461,1182,383,383
383,383,307,307,384,384,384,385,276,461,423,308,461,1182,383,383,384
383,307,307,384,384,384,385,276,461,423,308,461,1182,383,383,384,384
307,307,384,384,384,385,276,461,423,308,461,1182,383,383,384,384,422
307,384,384,384,385,276,461,423,308,461,1182,383,383,384,384,422,384
384,384,384,385,276,461,423,308,461,1182,383,383,384,384,422,384,384
384,384,385,276,461,423,308,461,1182,383,383,384,384,422,384,384,422
384,385,276,461,423,308,461,1182,383,383,384,384,422,384,384,422,384
385,276,461,423,308,461,1182,383,383,384,384,422,384,384,422,384,384
276,461,423,308,461,1182,383,383,384,384,422,384,384,422,384,384,384
461,423,308,461,1182,383,383,384,384,422,384,384,422,384,384,384,422
423,308,461,1182,383,383,384,384,422,384,384,422,384,384,384,422,384
308,461,1182,383,383,384,384,422,384,384,422,384,384,384,422,384,422
461,1182,383,383,384,384,422,384,384,422,384,384,384,422,384,422,385
1182,383,383,384,384,422,384,384,422,384,384,384,422,384,422,385,423
383,383,384,384,422,384,384,422,384,384,384,422,384,422,385,423,423
383,384,384,422,384,384,422,384,384,384,422,384,422,385,423,423,275
384,384,422,384,384,422,384,384,384,422,384,422,385,423,423,275,238
384,422,384,384,422,384,384,384,422,384,422,385,423,423,275,238,275
422,384,384,422,384,384,384,422,384,422,385,423,423,275,238,275,1008
384,384,422,384,384,384,422,384,422,385,423,423,275,238,275,1008,1000
384,422,384,384,384,422,384,422,385,423,423,275,238,275,1008,1000,1001
422,384,384,384,422,384,422,385,423,423,275,238,275,1008,1000,1001,200
384,384,384,422,384,422,385,423,423,275,238,275,1008,1000,1001,200,47
384,384,422,384,422,385,423,423,275,238,275,1008,1000,1001,200,47,1008
384,422,384,422,385,423,423,275,238,275,1008,1000,1001,200,47,1008,1038
422,384,422,385,423,423,275,238,275,1008,1000,1001,200,47,1008,1038,1164
384,422,385,423,423,275,238,275,1008,1000,1001,200,47,1008,1038,1164,1080
422,385,423,423,275,238,275,1008,1000,1001,200,47,1008,1038,1164,1080,1008
385,423,423,275,238,275,1008,1000,1001,200,47,1008,1038,1164,1080,1008,690
423,423,275,238,275,1008,1000,1001,200,47,1008,1038,1164,1080,1008,690,1008
423,275,238,275,1008,1000,1001,200,47,1008,1038,1164,1080,1008,690,1008,1008
275,238,275,1008,1000,1001,200,47,1008,1038,1164,1080,1008,690,1008,1008,119
238,275,1008,1000,1001,200,47,1008,1038,1164,1080,1008,690,1008,1008,119,891
275,1008,1000,1001,200,47,1008,1038,1164,1080,1008,690,1008,1008,119,891,1008
1008,1000,1001,200,47,1008,1038,1164,1080,1008,690,1008,1008,119,891,1008,1035
1000,1001,200,47,1008,1038,1164,1080,1008,690,1008,1008,119,891,1008,1035,739
1001,200,47,1008,1038,1164,1080,1008,690,1008,1008,119,891,1008,1035,739,1008
200,47,1008,1038,1164,1080,1008,690,1008,1008,119,891,1008,1035,739,1008,1008
47,1008,1038,1164,1080,1008,690,1008,1008,119,891,1008,1035,739,1008,1008,1008
1008,1038,1164,1080,1008,690,1008,1008,119,891,1008,1035,739,1008,1008,1008,270
1038,1164,1080,1008,690,1008,1008,119,891,1008,1035,739,1008,1008,1008,270,308
1164,1080,1008,690,1008,1008,119,891,1008,1035,739,1008,1008,1008,270,308,1028
1080,1008,690,1008,1008,119,891,1008,1035,739,1008,1008,1008,270,308,1028,971
1008,690,1008,1008,119,891,1008,1035,739,1008,1008,1008,270,308,1028,971,1009
690,1008,1008,119,891,1008,1035,739,1008,1008,1008,270,308,1028,971,1009,3
1008,1008,119,891,1008,1035,739,1008,1008,1008,270,308,1028,971,1009,3,1008
1008,119,891,1008,1035,739,1008,1008,1008,270,308,1028,971,1009,3,1008,743
119,891,1008,1035,739,1008,1008,1008,270,308,1028,971,1009,3,1008,743,1204
891,1008,1035,739,1008,1008,1008,270,308,1028,971,1009,3,1008,743,1204,1464
1008,1035,739,1008,1008,1008,270,308,1028,971,1009,3,1008,743,1204,1464,1008
1035,739,1008,1008,1008,270,308,1028,971,1009,3,1008,743,1204,1464,1008,1008
739,1008,1008,1008,270,308,1028,971,1009,3,1008,743,1204,1464,1008,1008,1008
1008,1008,1008,270,308,1028,971,1009,3,1008,743,1204,1464,1008,1008,1008,276
1008,1008,270,308,1028,971,1009,3,1008,743,1204,1464,1008,1008,1008,276,1033
1008,270,308,1028,971,1009,3,1008,743,1204,1464,1008,1008,1008,276,1033,1008
270,308,1028,971,1009,3,1008,743,1204,1464,1008,1008,1008,276,1033,1008,79
308,1028,971,1009,3,1008,743,1204,1464,1008,1008,1008,276,1033,1008,79,577
1028,971,1009,3,1008,743,1204,1464,1008,1008,1008,276,1033,1008,79,577,1008
971,1009,3,1008,743,1204,1464,1008,1008,1008,276,1033,1008,79,577,1008,807
1009,3,1008,743,1204,1464,1008,1008,1008,276,1033,1008,79,577,1008,807,1001
3,1008,743,1204,1464,1008,1008,1008,276,1033,1008,79,577,1008,807,1001,1222
1008,743,1204,1464,1008,1008,1008,276,1033,1008,79,577,1008,807,1001,1222,925
743,1204,1464,1008,1008,1008,276,1033,1008,79,577,1008,807,1001,1222,925,858
1204,1464,1008,1008,1008,276,1033,1008,79,577,1008,807,1001,1222,925,858,916
1464,1008,1008,1008,276,1033,1008,79,577,1008,807,1001,1222,925,858,916,660
1008,1008,1008,276,1033,1008,79,577,1008,807,1001,1222,925,858,916,660,1008
1008,1008,276,1033,1008,79,577,1008,807,1001,1222,925,858,916,660,1008,1241
1008,276,1033,1008,79,577,1008,807,1001,1222,925,858,916,660,1008,1241,234
276,1033,1008,79,577,1008,807,1001,1222,925,858,916,660,1008,1241,234,464
1033,1008,79,577,1008,807,1001,1222,925,858,916,660,1008,1241,234,464,1008
1008,79,577,1008,807,1001,1222,925,858,916,660,1008,1241,234,464,1008,1000
79,577,1008,807,1001,1222,925,858,916,660,1008,1241,234,464,1008,1000,80
577,1008,807,1001,1222,925,858,916,660,1008,1241,234,464,1008,1000,80,500
1008,807,1001,1222,925,858,916,660,1008,1241,234,464,1008,1000,80,500,1028
807,1001,1222,925,858,916,660,1008,1241,234,464,1008,1000,80,500,1028,159
1001,1222,925,858,916,660,1008,1241,234,464,1008,1000,80,500,1028,159,271
1222,925,858,916,660,1008,1241,234,464,1008,1000,80,500,1028,159,271,884
925,858,916,660,1008,1241,234,464,1008,1000,80,500,1028,159,271,884,1008
858,916,660,1008,1241,234,464,1008,1000,80,500,1028,159,271,884,1008,1164
916,660,1008,1241,234,464,1008,1000,80,500,1028,159,271,884,1008,1164,166
660,1008,1241,234,464,1008,1000,80,500,1028,159,271,884,1008,1164,166,164
1008,1241,234,464,1008,1000,80,500,1028,159,271,884,1008,1164,166,164,1008
1241,234,464,1008,1000,80,500,1028,159,271,884,1008,1164,166,164,1008,970
234,464,1008,1000,80,500,1028,159,271,884,1008,1164,166,164,1008,970,784
464,1008,1000,80,500,1028,159,271,884,1008,1164,166,164,1008,970,784,747
1008,1000,80,500,1028,159,271,884,1008,1164,166,164,1008,970,784,747,1164
1000,80,500,1028,159,271,884,1008,1164,166,164,1008,970,784,747,1164,1164
80,500,1028,159,271,884,1008,1164,166,164,1008,970,784,747,1164,1164,1164
500,1028,159,271,884,1008,1164,166,164,1008,970,784,747,1164,1164,1164,1126
1028,159,271,884,1008,1164,166,164,1008,970,784,747,1164,1164,1164,1126,235
159,271,884,1008,1164,166,164,1008,970,784,747,1164,1164,1164,1126,235,1113
271,884,1008,1164,166,164,1008,970,784,747,1164,1164,1164,1126,235,1113,461
884,1008,1164,166,164,1008,970,784,747,1164,1164,1164,1126,235,1113,461,1164
1008,1164,166,164,1008,970,784,747,1164,1164,1164,1126,235,1113,461,1164,1164
1164,166,164,1008,970,784,747,1164,1164,1164,1126,235,1113,461,1164,1164,1164
166,164,1008,970,784,747,1164,1164,1164,1126,235,1113,461,1164,1164,1164,1164
164,1008,970,784,747,1164,1164,1164,1126,235,1113,461,1164,1164,1164,1164,1126
1008,970,784,747,1164,1164,1164,1126,235,1113,461,1164,1164,1164,1164,1126,1164
970,784,747,1164,1164,1164,1126,235,1113,461,1164,1164,1164,1164,1126,1164,1126
784,747,1164,1164,1164,1126,235,1113,461,1164,1164,1164,1164,1126,1164,1126,1164
747,1164,1164,1164,1126,235,1113,461,1164,1164,1164,1164,1126,1164,1126,1164,1164
1164,1164,1164,1126,235,1113,461,1164,1164,1164,1164,1126,1164,1126,1164,1164,1164
1164,1164,1126,235,1113,461,1164,1164,1164,1164,1126,1164,1126,1164,1164,1164,1164
1164,1126,235,1113,461,1164,1164,1164,1164,1126,1164,1126,1164,1164,1164,1164,1164
1126,235,1113,461,1164,1164,1164,1164,1126,1164,1126,1164,1164,1164,1164,1164,1126
235,1113,461,1164,1164,1164,1164,1126,1164,1126,1164,1164,1164,1164,1164,1126,1164
1113,461,1164,1164,1164,1164,1126,1164,1126,1164,1164,1164,1164,1164,1126,1164,1126
461,1164,1164,1164,1164,1126,1164,1126,1164,1164,1164,1164,1164,1126,1164,1126,1126
1164,1164,1164,1164,1126,1164,1126,1164,1164,1164,1164,1164,1126,1164,1126,1126,1164
1164,1164,1164,1126,1164,1126,1164,1164,1164,1164,1164,1126,1164,1126,1126,1164,1126
1164,1164,1126,1164,1126,1164,1164,1164,1164,1164,1126,1164,1126,1126,1164,1126,346
1164,1126,1164,1126,1164,1164,1164,1164,1164,1126,1164,1126,1126,1164,1126,346,232
1126,1164,1126,1164,1164,1164,1164,1164,1126,1164,1126,1126,1164,1126,346,232,1008
