0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
276,389,276,463,1046,1009,346,747,232,730,1166,1008,389,1001,844
389,276,463,1046,1009,346,747,232,730,1166,1008,389,1001,844,1188
276,463,1046,1009,346,747,232,730,1166,1008,389,1001,844,1188,1008
463,1046,1009,346,747,232,730,1166,1008,389,1001,844,1188,1008,384
1046,1009,346,747,232,730,1166,1008,389,1001,844,1188,1008,384,308
1009,346,747,232,730,1166,1008,389,1001,844,1188,1008,384,308,346
346,747,232,730,1166,1008,389,1001,844,1188,1008,384,308,346,501
747,232,730,1166,1008,389,1001,844,1188,1008,384,308,346,501,345
232,730,1166,1008,389,1001,844,1188,1008,384,308,346,501,345,1204
730,1166,1008,389,1001,844,1188,1008,384,308,346,501,345,1204,499
1166,1008,389,1001,844,1188,1008,384,308,346,501,345,1204,499,1008
1008,389,1001,844,1188,1008,384,308,346,501,345,1204,499,1008,855
389,1001,844,1188,1008,384,308,346,501,345,1204,499,1008,855,462
1001,844,1188,1008,384,308,346,501,345,1204,499,1008,855,462,462
844,1188,1008,384,308,346,501,345,1204,499,1008,855,462,462,462
1188,1008,384,308,346,501,345,1204,499,1008,855,462,462,462,734
1008,384,308,346,501,345,1204,499,1008,855,462,462,462,734,385
384,308,346,501,345,1204,499,1008,855,462,462,462,734,385,968
308,346,501,345,1204,499,1008,855,462,462,462,734,385,968,239
346,501,345,1204,499,1008,855,462,462,462,734,385,968,239,383
501,345,1204,499,1008,855,462,462,462,734,385,968,239,383,383
345,1204,499,1008,855,462,462,462,734,385,968,239,383,383,500
1204,499,1008,855,462,462,462,734,385,968,239,383,383,500,500
499,1008,855,462,462,462,734,385,968,239,383,383,500,500,500
1008,855,462,462,462,734,385,968,239,383,383,500,500,500,423
855,462,462,462,734,385,968,239,383,383,500,500,500,423,1008
462,462,462,734,385,968,239,383,383,500,500,500,423,1008,3
462,462,734,385,968,239,383,383,500,500,500,423,1008,3,1008
462,734,385,968,239,383,383,500,500,500,423,1008,3,1008,120
734,385,968,239,383,383,500,500,500,423,1008,3,1008,120,276
385,968,239,383,383,500,500,500,423,1008,3,1008,120,276,462
968,239,383,383,500,500,500,423,1008,3,1008,120,276,462,1008
239,383,383,500,500,500,423,1008,3,1008,120,276,462,1008,1009
383,383,500,500,500,423,1008,3,1008,120,276,462,1008,1009,422
383,500,500,500,423,1008,3,1008,120,276,462,1008,1009,422,309
500,500,500,423,1008,3,1008,120,276,462,1008,1009,422,309,309
500,500,423,1008,3,1008,120,276,462,1008,1009,422,309,309,884
500,423,1008,3,1008,120,276,462,1008,1009,422,309,309,884,1008
423,1008,3,1008,120,276,462,1008,1009,422,309,309,884,1008,50
1008,3,1008,120,276,462,1008,1009,422,309,309,884,1008,50,1165
3,1008,120,276,462,1008,1009,422,309,309,884,1008,50,1165,461
1008,120,276,462,1008,1009,422,309,309,884,1008,50,1165,461,1008
120,276,462,1008,1009,422,309,309,884,1008,50,1165,461,1008,201
276,462,1008,1009,422,309,309,884,1008,50,1165,461,1008,201,422
462,1008,1009,422,309,309,884,1008,50,1165,461,1008,201,422,422
1008,1009,422,309,309,884,1008,50,1165,461,1008,201,422,422,461
1009,422,309,309,884,1008,50,1165,461,1008,201,422,422,461,1008
422,309,309,884,1008,50,1165,461,1008,201,422,422,461,1008,1008
309,309,884,1008,50,1165,461,1008,201,422,422,461,1008,1008,461
309,884,1008,50,1165,461,1008,201,422,422,461,1008,1008,461,160
884,1008,50,1165,461,1008,201,422,422,461,1008,1008,461,160,1008
1008,50,1165,461,1008,201,422,422,461,1008,1008,461,160,1008,1008
50,1165,461,1008,201,422,422,461,1008,1008,461,160,1008,1008,461
1165,461,1008,201,422,422,461,1008,1008,461,160,1008,1008,461,462
461,1008,201,422,422,461,1008,1008,461,160,1008,1008,461,462,461
1008,201,422,422,461,1008,1008,461,160,1008,1008,461,462,461,461
201,422,422,461,1008,1008,461,160,1008,1008,461,462,461,461,1008
422,422,461,1008,1008,461,160,1008,1008,461,462,461,461,1008,460
422,461,1008,1008,461,160,1008,1008,461,462,461,461,1008,460,1008
461,1008,1008,461,160,1008,1008,461,462,461,461,1008,460,1008,423
1008,1008,461,160,1008,1008,461,462,461,461,1008,460,1008,423,1009
1008,461,160,1008,1008,461,462,461,461,1008,460,1008,423,1009,1046
461,160,1008,1008,461,462,461,461,1008,460,1008,423,1009,1046,383
160,1008,1008,461,462,461,461,1008,460,1008,423,1009,1046,383,422
1008,1008,461,462,461,461,1008,460,1008,423,1009,1046,383,422,307
1008,461,462,461,461,1008,460,1008,423,1009,1046,383,422,307,269
461,462,461,461,1008,460,1008,423,1009,1046,383,422,307,269,423
462,461,461,1008,460,1008,423,1009,1046,383,422,307,269,423,383
461,461,1008,460,1008,423,1009,1046,383,422,307,269,423,383,971
461,1008,460,1008,423,1009,1046,383,422,307,269,423,383,971,461
1008,460,1008,423,1009,1046,383,422,307,269,423,383,971,461,269
460,1008,423,1009,1046,383,422,307,269,423,383,971,461,269,355
1008,423,1009,1046,383,422,307,269,423,383,971,461,269,355,307
423,1009,1046,383,422,307,269,423,383,971,461,269,355,307,307
1009,1046,383,422,307,269,423,383,971,461,269,355,307,307,422
1046,383,422,307,269,423,383,971,461,269,355,307,307,422,345
383,422,307,269,423,383,971,461,269,355,307,307,422,345,383
422,307,269,423,383,971,461,269,355,307,307,422,345,383,422
307,269,423,383,971,461,269,355,307,307,422,345,383,422,1164
269,423,383,971,461,269,355,307,307,422,345,383,422,1164,969
423,383,971,461,269,355,307,307,422,345,383,422,1164,969,307
383,971,461,269,355,307,307,422,345,383,422,1164,969,307,385
971,461,269,355,307,307,422,345,383,422,1164,969,307,385,10
461,269,355,307,307,422,345,383,422,1164,969,307,385,10,383
269,355,307,307,422,345,383,422,1164,969,307,385,10,383,462
355,307,307,422,345,383,422,1164,969,307,385,10,383,462,460
307,307,422,345,383,422,1164,969,307,385,10,383,462,460,460
307,422,345,383,422,1164,969,307,385,10,383,462,460,460,269
422,345,383,422,1164,969,307,385,10,383,462,460,460,269,461
345,383,422,1164,969,307,385,10,383,462,460,460,269,461,383
383,422,1164,969,307,385,10,383,462,460,460,269,461,383,345
422,1164,969,307,385,10,383,462,460,460,269,461,383,345,422
1164,969,307,385,10,383,462,460,460,269,461,383,345,422,195
969,307,385,10,383,462,460,460,269,461,383,345,422,195,383
307,385,10,383,462,460,460,269,461,383,345,422,195,383,384
385,10,383,462,460,460,269,461,383,345,422,195,383,384,384
10,383,462,460,460,269,461,383,345,422,195,383,384,384,384
383,462,460,460,269,461,383,345,422,195,383,384,384,384,346
462,460,460,269,461,383,345,422,195,383,384,384,384,346,384
460,460,269,461,383,345,422,195,383,384,384,384,346,384,384
460,269,461,383,345,422,195,383,384,384,384,346,384,384,384
269,461,383,345,422,195,383,384,384,384,346,384,384,384,384
461,383,345,422,195,383,384,384,384,346,384,384,384,384,383
383,345,422,195,383,384,384,384,346,384,384,384,384,383,461
345,422,195,383,384,384,384,346,384,384,384,384,383,461,384
422,195,383,384,384,384,346,384,384,384,384,383,461,384,460
195,383,384,384,384,346,384,384,384,384,383,461,384,460,461
383,384,384,384,346,384,384,384,384,383,461,384,460,461,384
384,384,384,346,384,384,384,384,383,461,384,460,461,384,423
384,384,346,384,384,384,384,383,461,384,460,461,384,423,461
384,346,384,384,384,384,383,461,384,460,461,384,423,461,461
346,384,384,384,384,383,461,384,460,461,384,423,461,461,461
384,384,384,384,383,461,384,460,461,384,423,461,461,461,460
384,384,384,383,461,384,460,461,384,423,461,461,461,460,460
384,384,383,461,384,460,461,384,423,461,461,461,460,460,1009
384,383,461,384,460,461,384,423,461,461,461,460,460,1009,461
383,461,384,460,461,384,423,461,461,461,460,460,1009,461,461
461,384,460,461,384,423,461,461,461,460,460,1009,461,461,461
384,460,461,384,423,461,461,461,460,460,1009,461,461,461,461
460,461,384,423,461,461,461,460,460,1009,461,461,461,461,461
461,384,423,461,461,461,460,460,1009,461,461,461,461,461,307
384,423,461,461,461,460,460,1009,461,461,461,461,461,307,422
423,461,461,461,460,460,1009,461,461,461,461,461,307,422,421
461,461,461,460,460,1009,461,461,461,461,461,307,422,421,383
461,461,460,460,1009,461,461,461,461,461,307,422,421,383,383
461,460,460,1009,461,461,461,461,461,307,422,421,383,383,383
460,460,1009,461,461,461,461,461,307,422,421,383,383,383,307
460,1009,461,461,461,461,461,307,422,421,383,383,383,307,307
1009,461,461,461,461,461,307,422,421,383,383,383,307,307,384
461,461,461,461,461,307,422,421,383,383,383,307,307,384,384
461,461,461,461,307,422,421,383,383,383,307,307,384,384,384
461,461,461,307,422,421,383,383,383,307,307,384,384,384,385
461,461,307,422,421,383,383,383,307,307,384,384,384,385,276
461,307,422,421,383,383,383,307,307,384,384,384,385,276,461
307,422,421,383,383,383,307,307,384,384,384,385,276,461,423
422,421,383,383,383,307,307,384,384,384,385,276,461,423,308
421,383,383,383,307,307,384,384,384,385,276,461,423,308,461
383,383,383,307,307,384,384,384,385,276,461,423,308,461,1182
383,383,307,307,384,384,384,385,276,461,423,308,461,1182,383
383,307,307,384,384,384,385,276,461,423,308,461,1182,383,383
307,307,384,384,384,385,276,461,423,308,461,1182,383,383,384
307,384,384,384,385,276,461,423,308,461,1182,383,383,384,384
384,384,384,385,276,461,423,308,461,1182,383,383,384,384,422
384,384,385,276,461,423,308,461,1182,383,383,384,384,422,384
384,385,276,461,423,308,461,1182,383,383,384,384,422,384,384
385,276,461,423,308,461,1182,383,383,384,384,422,384,384,422
276,461,423,308,461,1182,383,383,384,384,422,384,384,422,384
461,423,308,461,1182,383,383,384,384,422,384,384,422,384,384
423,308,461,1182,383,383,384,384,422,384,384,422,384,384,384
308,461,1182,383,383,384,384,422,384,384,422,384,384,384,422
461,1182,383,383,384,384,422,384,384,422,384,384,384,422,384
1182,383,383,384,384,422,384,384,422,384,384,384,422,384,422
383,383,384,384,422,384,384,422,384,384,384,422,384,422,385
383,384,384,422,384,384,422,384,384,384,422,384,422,385,423
384,384,422,384,384,422,384,384,384,422,384,422,385,423,423
384,422,384,384,422,384,384,384,422,384,422,385,423,423,275
422,384,384,422,384,384,384,422,384,422,385,423,423,275,238
384,384,422,384,384,384,422,384,422,385,423,423,275,238,275
384,422,384,384,384,422,384,422,385,423,423,275,238,275,1008
422,384,384,384,422,384,422,385,423,423,275,238,275,1008,1000
384,384,384,422,384,422,385,423,423,275,238,275,1008,1000,1001
384,384,422,384,422,385,423,423,275,238,275,1008,1000,1001,200
384,422,384,422,385,423,423,275,238,275,1008,1000,1001,200,47
422,384,422,385,423,423,275,238,275,1008,1000,1001,200,47,1008
384,422,385,423,423,275,238,275,1008,1000,1001,200,47,1008,1038
422,385,423,423,275,238,275,1008,1000,1001,200,47,1008,1038,1164
385,423,423,275,238,275,1008,1000,1001,200,47,1008,1038,1164,1080
423,423,275,238,275,1008,1000,1001,200,47,1008,1038,1164,1080,1008
423,275,238,275,1008,1000,1001,200,47,1008,1038,1164,1080,1008,690
275,238,275,1008,1000,1001,200,47,1008,1038,1164,1080,1008,690,1008
238,275,1008,1000,1001,200,47,1008,1038,1164,1080,1008,690,1008,1008
275,1008,1000,1001,200,47,1008,1038,1164,1080,1008,690,1008,1008,119
1008,1000,1001,200,47,1008,1038,1164,1080,1008,690,1008,1008,119,891
1000,1001,200,47,1008,1038,1164,1080,1008,690,1008,1008,119,891,1008
1001,200,47,1008,1038,1164,1080,1008,690,1008,1008,119,891,1008,1035
200,47,1008,1038,1164,1080,1008,690,1008,1008,119,891,1008,1035,739
47,1008,1038,1164,1080,1008,690,1008,1008,119,891,1008,1035,739,1008
1008,1038,1164,1080,1008,690,1008,1008,119,891,1008,1035,739,1008,1008
1038,1164,1080,1008,690,1008,1008,119,891,1008,1035,739,1008,1008,1008
1164,1080,1008,690,1008,1008,119,891,1008,1035,739,1008,1008,1008,270
1080,1008,690,1008,1008,119,891,1008,1035,739,1008,1008,1008,270,308
1008,690,1008,1008,119,891,1008,1035,739,1008,1008,1008,270,308,1028
690,1008,1008,119,891,1008,1035,739,1008,1008,1008,270,308,1028,971
1008,1008,119,891,1008,1035,739,1008,1008,1008,270,308,1028,971,1009
1008,119,891,1008,1035,739,1008,1008,1008,270,308,1028,971,1009,3
119,891,1008,1035,739,1008,1008,1008,270,308,1028,971,1009,3,1008
891,1008,1035,739,1008,1008,1008,270,308,1028,971,1009,3,1008,743
1008,1035,739,1008,1008,1008,270,308,1028,971,1009,3,1008,743,1204
1035,739,1008,1008,1008,270,308,1028,971,1009,3,1008,743,1204,1464
739,1008,1008,1008,270,308,1028,971,1009,3,1008,743,1204,1464,1008
1008,1008,1008,270,308,1028,971,1009,3,1008,743,1204,1464,1008,1008
1008,1008,270,308,1028,971,1009,3,1008,743,1204,1464,1008,1008,1008
1008,270,308,1028,971,1009,3,1008,743,1204,1464,1008,1008,1008,276
270,308,1028,971,1009,3,1008,743,1204,1464,1008,1008,1008,276,1033
308,1028,971,1009,3,1008,743,1204,1464,1008,1008,1008,276,1033,1008
1028,971,1009,3,1008,743,1204,1464,1008,1008,1008,276,1033,1008,79
971,1009,3,1008,743,1204,1464,1008,1008,1008,276,1033,1008,79,577
1009,3,1008,743,1204,1464,1008,1008,1008,276,1033,1008,79,577,1008
3,1008,743,1204,1464,1008,1008,1008,276,1033,1008,79,577,1008,807
1008,743,1204,1464,1008,1008,1008,276,1033,1008,79,577,1008,807,1001
743,1204,1464,1008,1008,1008,276,1033,1008,79,577,1008,807,1001,1222
1204,1464,1008,1008,1008,276,1033,1008,79,577,1008,807,1001,1222,925
1464,1008,1008,1008,276,1033,1008,79,577,1008,807,1001,1222,925,858
1008,1008,1008,276,1033,1008,79,577,1008,807,1001,1222,925,858,916
1008,1008,276,1033,1008,79,577,1008,807,1001,1222,925,858,916,660
1008,276,1033,1008,79,577,1008,807,1001,1222,925,858,916,660,1008
276,1033,1008,79,577,1008,807,1001,1222,925,858,916,660,1008,1241
1033,1008,79,577,1008,807,1001,1222,925,858,916,660,1008,1241,234
1008,79,577,1008,807,1001,1222,925,858,916,660,1008,1241,234,464
79,577,1008,807,1001,1222,925,858,916,660,1008,1241,234,464,1008
577,1008,807,1001,1222,925,858,916,660,1008,1241,234,464,1008,1000
1008,807,1001,1222,925,858,916,660,1008,1241,234,464,1008,1000,80
807,1001,1222,925,858,916,660,1008,1241,234,464,1008,1000,80,500
1001,1222,925,858,916,660,1008,1241,234,464,1008,1000,80,500,1028
1222,925,858,916,660,1008,1241,234,464,1008,1000,80,500,1028,159
925,858,916,660,1008,1241,234,464,1008,1000,80,500,1028,159,271
858,916,660,1008,1241,234,464,1008,1000,80,500,1028,159,271,884
916,660,1008,1241,234,464,1008,1000,80,500,1028,159,271,884,1008
660,1008,1241,234,464,1008,1000,80,500,1028,159,271,884,1008,1164
1008,1241,234,464,1008,1000,80,500,1028,159,271,884,1008,1164,166
1241,234,464,1008,1000,80,500,1028,159,271,884,1008,1164,166,164
234,464,1008,1000,80,500,1028,159,271,884,1008,1164,166,164,1008
464,1008,1000,80,500,1028,159,271,884,1008,1164,166,164,1008,970
1008,1000,80,500,1028,159,271,884,1008,1164,166,164,1008,970,784
1000,80,500,1028,159,271,884,1008,1164,166,164,1008,970,784,747
80,500,1028,159,271,884,1008,1164,166,164,1008,970,784,747,1164
500,1028,159,271,884,1008,1164,166,164,1008,970,784,747,1164,1164
1028,159,271,884,1008,1164,166,164,1008,970,784,747,1164,1164,1164
159,271,884,1008,1164,166,164,1008,970,784,747,1164,1164,1164,1126
271,884,1008,1164,166,164,1008,970,784,747,1164,1164,1164,1126,235
884,1008,1164,166,164,1008,970,784,747,1164,1164,1164,1126,235,1113
1008,1164,166,164,1008,970,784,747,1164,1164,1164,1126,235,1113,461
1164,166,164,1008,970,784,747,1164,1164,1164,1126,235,1113,461,1164
166,164,1008,970,784,747,1164,1164,1164,1126,235,1113,461,1164,1164
164,1008,970,784,747,1164,1164,1164,1126,235,1113,461,1164,1164,1164
1008,970,784,747,1164,1164,1164,1126,235,1113,461,1164,1164,1164,1164
970,784,747,1164,1164,1164,1126,235,1113,461,1164,1164,1164,1164,1126
784,747,1164,1164,1164,1126,235,1113,461,1164,1164,1164,1164,1126,1164
747,1164,1164,1164,1126,235,1113,461,1164,1164,1164,1164,1126,1164,1126
1164,1164,1164,1126,235,1113,461,1164,1164,1164,1164,1126,1164,1126,1164
1164,1164,1126,235,1113,461,1164,1164,1164,1164,1126,1164,1126,1164,1164
1164,1126,235,1113,461,1164,1164,1164,1164,1126,1164,1126,1164,1164,1164
1126,235,1113,461,1164,1164,1164,1164,1126,1164,1126,1164,1164,1164,1164
235,1113,461,1164,1164,1164,1164,1126,1164,1126,1164,1164,1164,1164,1164
1113,461,1164,1164,1164,1164,1126,1164,1126,1164,1164,1164,1164,1164,1126
461,1164,1164,1164,1164,1126,1164,1126,1164,1164,1164,1164,1164,1126,1164
1164,1164,1164,1164,1126,1164,1126,1164,1164,1164,1164,1164,1126,1164,1126
1164,1164,1164,1126,1164,1126,1164,1164,1164,1164,1164,1126,1164,1126,1126
1164,1164,1126,1164,1126,1164,1164,1164,1164,1164,1126,1164,1126,1126,1164
1164,1126,1164,1126,1164,1164,1164,1164,1164,1126,1164,1126,1126,1164,1126
1126,1164,1126,1164,1164,1164,1164,1164,1126,1164,1126,1126,1164,1126,346
1164,1126,1164,1164,1164,1164,1164,1126,1164,1126,1126,1164,1126,346,232
1126,1164,1164,1164,1164,1164,1126,1164,1126,1126,1164,1126,346,232,1008
1164,1164,1164,1164,1164,1126,1164,1126,1126,1164,1126,346,232,1008,1030
1164,1164,1164,1164,1126,1164,1126,1126,1164,1126,346,232,1008,1030,1008
1164,1164,1164,1126,1164,1126,1126,1164,1126,346,232,1008,1030,1008,1008
1164,1164,1126,1164,1126,1126,1164,1126,346,232,1008,1030,1008,1008,1008
1164,1126,1164,1126,1126,1164,1126,346,232,1008,1030,1008,1008,1008,198
1126,1164,1126,1126,1164,1126,346,232,1008,1030,1008,1008,1008,198,1084
1164,1126,1126,1164,1126,346,232,1008,1030,1008,1008,1008,198,1084,1037
1126,1126,1164,1126,346,232,1008,1030,1008,1008,1008,198,1084,1037,196
1126,1164,1126,346,232,1008,1030,1008,1008,1008,198,1084,1037,196,1008
1164,1126,346,232,1008,1030,1008,1008,1008,198,1084,1037,196,1008,81
1126,346,232,1008,1030,1008,1008,1008,198,1084,1037,196,1008,81,124
346,232,1008,1030,1008,1008,1008,198,1084,1037,196,1008,81,124,118
232,1008,1030,1008,1008,1008,198,1084,1037,196,1008,81,124,118,969
1008,1030,1008,1008,1008,198,1084,1037,196,1008,81,124,118,969,1008
1030,1008,1008,1008,198,1084,1037,196,1008,81,124,118,969,1008,930
1008,1008,1008,198,1084,1037,196,1008,81,124,118,969,1008,930,774
1008,1008,198,1084,1037,196,1008,81,124,118,969,1008,930,774,1072
1008,198,1084,1037,196,1008,81,124,118,969,1008,930,774,1072,1008
198,1084,1037,196,1008,81,124,118,969,1008,930,774,1072,1008,1008
1084,1037,196,1008,81,124,118,969,1008,930,774,1072,1008,1008,1150
1037,196,1008,81,124,118,969,1008,930,774,1072,1008,1008,1150,735
196,1008,81,124,118,969,1008,930,774,1072,1008,1008,1150,735,240
1008,81,124,118,969,1008,930,774,1072,1008,1008,1150,735,240,1008
81,124,118,969,1008,930,774,1072,1008,1008,1150,735,240,1008,747
124,118,969,1008,930,774,1072,1008,1008,1150,735,240,1008,747,1008
118,969,1008,930,774,1072,1008,1008,1150,735,240,1008,747,1008,279
969,1008,930,774,1072,1008,1008,1150,735,240,1008,747,1008,279,1008
1008,930,774,1072,1008,1008,1150,735,240,1008,747,1008,279,1008,746
930,774,1072,1008,1008,1150,735,240,1008,747,1008,279,1008,746,922
774,1072,1008,1008,1150,735,240,1008,747,1008,279,1008,746,922,813
1072,1008,1008,1150,735,240,1008,747,1008,279,1008,746,922,813,308
1008,1008,1150,735,240,1008,747,1008,279,1008,746,922,813,308,385
1008,1150,735,240,1008,747,1008,279,1008,746,922,813,308,385,308
1150,735,240,1008,747,1008,279,1008,746,922,813,308,385,308,1008
735,240,1008,747,1008,279,1008,746,922,813,308,385,308,1008,1008
240,1008,747,1008,279,1008,746,922,813,308,385,308,1008,1008,857
1008,747,1008,279,1008,746,922,813,308,385,308,1008,1008,857,1352
747,1008,279,1008,746,922,813,308,385,308,1008,1008,857,1352,1008
1008,279,1008,746,922,813,308,385,308,1008,1008,857,1352,1008,1113
279,1008,746,922,813,308,385,308,1008,1008,857,1352,1008,1113,1113
1008,746,922,813,308,385,308,1008,1008,857,1352,1008,1113,1113,1008
746,922,813,308,385,308,1008,1008,857,1352,1008,1113,1113,1008,1008
