0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
816,925,277,383,922,461,1008,1009,156,13,616,615,237,544,1009,1009,1009,661,809,1483,500,500,500,500,500,499,1046,1009,462,462,500,1000,702,195,499,1009,1009,462,461,500
925,277,383,922,461,1008,1009,156,13,616,615,237,544,1009,1009,1009,661,809,1483,500,500,500,500,500,499,1046,1009,462,462,500,1000,702,195,499,1009,1009,462,461,500,1067
277,383,922,461,1008,1009,156,13,616,615,237,544,1009,1009,1009,661,809,1483,500,500,500,500,500,499,1046,1009,462,462,500,1000,702,195,499,1009,1009,462,461,500,1067,1009
383,922,461,1008,1009,156,13,616,615,237,544,1009,1009,1009,661,809,1483,500,500,500,500,500,499,1046,1009,462,462,500,1000,702,195,499,1009,1009,462,461,500,1067,1009,809
922,461,1008,1009,156,13,616,615,237,544,1009,1009,1009,661,809,1483,500,500,500,500,500,499,1046,1009,462,462,500,1000,702,195,499,1009,1009,462,461,500,1067,1009,809,1188
461,1008,1009,156,13,616,615,237,544,1009,1009,1009,661,809,1483,500,500,500,500,500,499,1046,1009,462,462,500,1000,702,195,499,1009,1009,462,461,500,1067,1009,809,1188,307
1008,1009,156,13,616,615,237,544,1009,1009,1009,661,809,1483,500,500,500,500,500,499,1046,1009,462,462,500,1000,702,195,499,1009,1009,462,461,500,1067,1009,809,1188,307,971
1009,156,13,616,615,237,544,1009,1009,1009,661,809,1483,500,500,500,500,500,499,1046,1009,462,462,500,1000,702,195,499,1009,1009,462,461,500,1067,1009,809,1188,307,971,892
156,13,616,615,237,544,1009,1009,1009,661,809,1483,500,500,500,500,500,499,1046,1009,462,462,500,1000,702,195,499,1009,1009,462,461,500,1067,1009,809,1188,307,971,892,1235
13,616,615,237,544,1009,1009,1009,661,809,1483,500,500,500,500,500,499,1046,1009,462,462,500,1000,702,195,499,1009,1009,462,461,500,1067,1009,809,1188,307,971,892,1235,1046
616,615,237,544,1009,1009,1009,661,809,1483,500,500,500,500,500,499,1046,1009,462,462,500,1000,702,195,499,1009,1009,462,461,500,1067,1009,809,1188,307,971,892,1235,1046,233
615,237,544,1009,1009,1009,661,809,1483,500,500,500,500,500,499,1046,1009,462,462,500,1000,702,195,499,1009,1009,462,461,500,1067,1009,809,1188,307,971,892,1235,1046,233,237
237,544,1009,1009,1009,661,809,1483,500,500,500,500,500,499,1046,1009,462,462,500,1000,702,195,499,1009,1009,462,461,500,1067,1009,809,1188,307,971,892,1235,1046,233,237,1008
544,1009,1009,1009,661,809,1483,500,500,500,500,500,499,1046,1009,462,462,500,1000,702,195,499,1009,1009,462,461,500,1067,1009,809,1188,307,971,892,1235,1046,233,237,1008,1008
1009,1009,1009,661,809,1483,500,500,500,500,500,499,1046,1009,462,462,500,1000,702,195,499,1009,1009,462,461,500,1067,1009,809,1188,307,971,892,1235,1046,233,237,1008,1008,701
1009,1009,661,809,1483,500,500,500,500,500,499,1046,1009,462,462,500,1000,702,195,499,1009,1009,462,461,500,1067,1009,809,1188,307,971,892,1235,1046,233,237,1008,1008,701,701
1009,661,809,1483,500,500,500,500,500,499,1046,1009,462,462,500,1000,702,195,499,1009,1009,462,461,500,1067,1009,809,1188,307,971,892,1235,1046,233,237,1008,1008,701,701,1009
661,809,1483,500,500,500,500,500,499,1046,1009,462,462,500,1000,702,195,499,1009,1009,462,461,500,1067,1009,809,1188,307,971,892,1235,1046,233,237,1008,1008,701,701,1009,971
809,1483,500,500,500,500,500,499,1046,1009,462,462,500,1000,702,195,499,1009,1009,462,461,500,1067,1009,809,1188,307,971,892,1235,1046,233,237,1008,1008,701,701,1009,971,308
1483,500,500,500,500,500,499,1046,1009,462,462,500,1000,702,195,499,1009,1009,462,461,500,1067,1009,809,1188,307,971,892,1235,1046,233,237,1008,1008,701,701,1009,971,308,1205
500,500,500,500,500,499,1046,1009,462,462,500,1000,702,195,499,1009,1009,462,461,500,1067,1009,809,1188,307,971,892,1235,1046,233,237,1008,1008,701,701,1009,971,308,1205,652
500,500,500,500,499,1046,1009,462,462,500,1000,702,195,499,1009,1009,462,461,500,1067,1009,809,1188,307,971,892,1235,1046,233,237,1008,1008,701,701,1009,971,308,1205,652,2
500,500,500,499,1046,1009,462,462,500,1000,702,195,499,1009,1009,462,461,500,1067,1009,809,1188,307,971,892,1235,1046,233,237,1008,1008,701,701,1009,971,308,1205,652,2,1081
500,500,499,1046,1009,462,462,500,1000,702,195,499,1009,1009,462,461,500,1067,1009,809,1188,307,971,892,1235,1046,233,237,1008,1008,701,701,1009,971,308,1205,652,2,1081,1353
500,499,1046,1009,462,462,500,1000,702,195,499,1009,1009,462,461,500,1067,1009,809,1188,307,971,892,1235,1046,233,237,1008,1008,701,701,1009,971,308,1205,652,2,1081,1353,275
499,1046,1009,462,462,500,1000,702,195,499,1009,1009,462,461,500,1067,1009,809,1188,307,971,892,1235,1046,233,237,1008,1008,701,701,1009,971,308,1205,652,2,1081,1353,275,768
1046,1009,462,462,500,1000,702,195,499,1009,1009,462,461,500,1067,1009,809,1188,307,971,892,1235,1046,233,237,1008,1008,701,701,1009,971,308,1205,652,2,1081,1353,275,768,654
1009,462,462,500,1000,702,195,499,1009,1009,462,461,500,1067,1009,809,1188,307,971,892,1235,1046,233,237,1008,1008,701,701,1009,971,308,1205,652,2,1081,1353,275,768,654,1035
462,462,500,1000,702,195,499,1009,1009,462,461,500,1067,1009,809,1188,307,971,892,1235,1046,233,237,1008,1008,701,701,1009,971,308,1205,652,2,1081,1353,275,768,654,1035,88
462,500,1000,702,195,499,1009,1009,462,461,500,1067,1009,809,1188,307,971,892,1235,1046,233,237,1008,1008,701,701,1009,971,308,1205,652,2,1081,1353,275,768,654,1035,88,276
500,1000,702,195,499,1009,1009,462,461,500,1067,1009,809,1188,307,971,892,1235,1046,233,237,1008,1008,701,701,1009,971,308,1205,652,2,1081,1353,275,768,654,1035,88,276,117
1000,702,195,499,1009,1009,462,461,500,1067,1009,809,1188,307,971,892,1235,1046,233,237,1008,1008,701,701,1009,971,308,1205,652,2,1081,1353,275,768,654,1035,88,276,117,1009
702,195,499,1009,1009,462,461,500,1067,1009,809,1188,307,971,892,1235,1046,233,237,1008,1008,701,701,1009,971,308,1205,652,2,1081,1353,275,768,654,1035,88,276,117,1009,1008
195,499,1009,1009,462,461,500,1067,1009,809,1188,307,971,892,1235,1046,233,237,1008,1008,701,701,1009,971,308,1205,652,2,1081,1353,275,768,654,1035,88,276,117,1009,1008,195
499,1009,1009,462,461,500,1067,1009,809,1188,307,971,892,1235,1046,233,237,1008,1008,701,701,1009,971,308,1205,652,2,1081,1353,275,768,654,1035,88,276,117,1009,1008,195,1080
1009,1009,462,461,500,1067,1009,809,1188,307,971,892,1235,1046,233,237,1008,1008,701,701,1009,971,308,1205,652,2,1081,1353,275,768,654,1035,88,276,117,1009,1008,195,1080,1008
1009,462,461,500,1067,1009,809,1188,307,971,892,1235,1046,233,237,1008,1008,701,701,1009,971,308,1205,652,2,1081,1353,275,768,654,1035,88,276,117,1009,1008,195,1080,1008,461
462,461,500,1067,1009,809,1188,307,971,892,1235,1046,233,237,1008,1008,701,701,1009,971,308,1205,652,2,1081,1353,275,768,654,1035,88,276,117,1009,1008,195,1080,1008,461,1039
461,500,1067,1009,809,1188,307,971,892,1235,1046,233,237,1008,1008,701,701,1009,971,308,1205,652,2,1081,1353,275,768,654,1035,88,276,117,1009,1008,195,1080,1008,461,1039,1039
500,1067,1009,809,1188,307,971,892,1235,1046,233,237,1008,1008,701,701,1009,971,308,1205,652,2,1081,1353,275,768,654,1035,88,276,117,1009,1008,195,1080,1008,461,1039,1039,1039
1067,1009,809,1188,307,971,892,1235,1046,233,237,1008,1008,701,701,1009,971,308,1205,652,2,1081,1353,275,768,654,1035,88,276,117,1009,1008,195,1080,1008,461,1039,1039,1039,1039
1009,809,1188,307,971,892,1235,1046,233,237,1008,1008,701,701,1009,971,308,1205,652,2,1081,1353,275,768,654,1035,88,276,117,1009,1008,195,1080,1008,461,1039,1039,1039,1039,1040
809,1188,307,971,892,1235,1046,233,237,1008,1008,701,701,1009,971,308,1205,652,2,1081,1353,275,768,654,1035,88,276,117,1009,1008,195,1080,1008,461,1039,1039,1039,1039,1040,1039
1188,307,971,892,1235,1046,233,237,1008,1008,701,701,1009,971,308,1205,652,2,1081,1353,275,768,654,1035,88,276,117,1009,1008,195,1080,1008,461,1039,1039,1039,1039,1040,1039,1009
307,971,892,1235,1046,233,237,1008,1008,701,701,1009,971,308,1205,652,2,1081,1353,275,768,654,1035,88,276,117,1009,1008,195,1080,1008,461,1039,1039,1039,1039,1040,1039,1009,200
971,892,1235,1046,233,237,1008,1008,701,701,1009,971,308,1205,652,2,1081,1353,275,768,654,1035,88,276,117,1009,1008,195,1080,1008,461,1039,1039,1039,1039,1040,1039,1009,200,276
892,1235,1046,233,237,1008,1008,701,701,1009,971,308,1205,652,2,1081,1353,275,768,654,1035,88,276,117,1009,1008,195,1080,1008,461,1039,1039,1039,1039,1040,1039,1009,200,276,389
1235,1046,233,237,1008,1008,701,701,1009,971,308,1205,652,2,1081,1353,275,768,654,1035,88,276,117,1009,1008,195,1080,1008,461,1039,1039,1039,1039,1040,1039,1009,200,276,389,276
1046,233,237,1008,1008,701,701,1009,971,308,1205,652,2,1081,1353,275,768,654,1035,88,276,117,1009,1008,195,1080,1008,461,1039,1039,1039,1039,1040,1039,1009,200,276,389,276,463
233,237,1008,1008,701,701,1009,971,308,1205,652,2,1081,1353,275,768,654,1035,88,276,117,1009,1008,195,1080,1008,461,1039,1039,1039,1039,1040,1039,1009,200,276,389,276,463,1046
237,1008,1008,701,701,1009,971,308,1205,652,2,1081,1353,275,768,654,1035,88,276,117,1009,1008,195,1080,1008,461,1039,1039,1039,1039,1040,1039,1009,200,276,389,276,463,1046,1009
1008,1008,701,701,1009,971,308,1205,652,2,1081,1353,275,768,654,1035,88,276,117,1009,1008,195,1080,1008,461,1039,1039,1039,1039,1040,1039,1009,200,276,389,276,463,1046,1009,346
1008,701,701,1009,971,308,1205,652,2,1081,1353,275,768,654,1035,88,276,117,1009,1008,195,1080,1008,461,1039,1039,1039,1039,1040,1039,1009,200,276,389,276,463,1046,1009,346,747
701,701,1009,971,308,1205,652,2,1081,1353,275,768,654,1035,88,276,117,1009,1008,195,1080,1008,461,1039,1039,1039,1039,1040,1039,1009,200,276,389,276,463,1046,1009,346,747,232
701,1009,971,308,1205,652,2,1081,1353,275,768,654,1035,88,276,117,1009,1008,195,1080,1008,461,1039,1039,1039,1039,1040,1039,1009,200,276,389,276,463,1046,1009,346,747,232,730
1009,971,308,1205,652,2,1081,1353,275,768,654,1035,88,276,117,1009,1008,195,1080,1008,461,1039,1039,1039,1039,1040,1039,1009,200,276,389,276,463,1046,1009,346,747,232,730,1166
971,308,1205,652,2,1081,1353,275,768,654,1035,88,276,117,1009,1008,195,1080,1008,461,1039,1039,1039,1039,1040,1039,1009,200,276,389,276,463,1046,1009,346,747,232,730,1166,1008
308,1205,652,2,1081,1353,275,768,654,1035,88,276,117,1009,1008,195,1080,1008,461,1039,1039,1039,1039,1040,1039,1009,200,276,389,276,463,1046,1009,346,747,232,730,1166,1008,389
1205,652,2,1081,1353,275,768,654,1035,88,276,117,1009,1008,195,1080,1008,461,1039,1039,1039,1039,1040,1039,1009,200,276,389,276,463,1046,1009,346,747,232,730,1166,1008,389,1001
652,2,1081,1353,275,768,654,1035,88,276,117,1009,1008,195,1080,1008,461,1039,1039,1039,1039,1040,1039,1009,200,276,389,276,463,1046,1009,346,747,232,730,1166,1008,389,1001,844
2,1081,1353,275,768,654,1035,88,276,117,1009,1008,195,1080,1008,461,1039,1039,1039,1039,1040,1039,1009,200,276,389,276,463,1046,1009,346,747,232,730,1166,1008,389,1001,844,1188
1081,1353,275,768,654,1035,88,276,117,1009,1008,195,1080,1008,461,1039,1039,1039,1039,1040,1039,1009,200,276,389,276,463,1046,1009,346,747,232,730,1166,1008,389,1001,844,1188,1008
1353,275,768,654,1035,88,276,117,1009,1008,195,1080,1008,461,1039,1039,1039,1039,1040,1039,1009,200,276,389,276,463,1046,1009,346,747,232,730,1166,1008,389,1001,844,1188,1008,384
275,768,654,1035,88,276,117,1009,1008,195,1080,1008,461,1039,1039,1039,1039,1040,1039,1009,200,276,389,276,463,1046,1009,346,747,232,730,1166,1008,389,1001,844,1188,1008,384,308
768,654,1035,88,276,117,1009,1008,195,1080,1008,461,1039,1039,1039,1039,1040,1039,1009,200,276,389,276,463,1046,1009,346,747,232,730,1166,1008,389,1001,844,1188,1008,384,308,346
654,1035,88,276,117,1009,1008,195,1080,1008,461,1039,1039,1039,1039,1040,1039,1009,200,276,389,276,463,1046,1009,346,747,232,730,1166,1008,389,1001,844,1188,1008,384,308,346,501
1035,88,276,117,1009,1008,195,1080,1008,461,1039,1039,1039,1039,1040,1039,1009,200,276,389,276,463,1046,1009,346,747,232,730,1166,1008,389,1001,844,1188,1008,384,308,346,501,345
88,276,117,1009,1008,195,1080,1008,461,1039,1039,1039,1039,1040,1039,1009,200,276,389,276,463,1046,1009,346,747,232,730,1166,1008,389,1001,844,1188,1008,384,308,346,501,345,1204
276,117,1009,1008,195,1080,1008,461,1039,1039,1039,1039,1040,1039,1009,200,276,389,276,463,1046,1009,346,747,232,730,1166,1008,389,1001,844,1188,1008,384,308,346,501,345,1204,499
117,1009,1008,195,1080,1008,461,1039,1039,1039,1039,1040,1039,1009,200,276,389,276,463,1046,1009,346,747,232,730,1166,1008,389,1001,844,1188,1008,384,308,346,501,345,1204,499,1008
1009,1008,195,1080,1008,461,1039,1039,1039,1039,1040,1039,1009,200,276,389,276,463,1046,1009,346,747,232,730,1166,1008,389,1001,844,1188,1008,384,308,346,501,345,1204,499,1008,855
1008,195,1080,1008,461,1039,1039,1039,1039,1040,1039,1009,200,276,389,276,463,1046,1009,346,747,232,730,1166,1008,389,1001,844,1188,1008,384,308,346,501,345,1204,499,1008,855,462
195,1080,1008,461,1039,1039,1039,1039,1040,1039,1009,200,276,389,276,463,1046,1009,346,747,232,730,1166,1008,389,1001,844,1188,1008,384,308,346,501,345,1204,499,1008,855,462,462
1080,1008,461,1039,1039,1039,1039,1040,1039,1009,200,276,389,276,463,1046,1009,346,747,232,730,1166,1008,389,1001,844,1188,1008,384,308,346,501,345,1204,499,1008,855,462,462,462
1008,461,1039,1039,1039,1039,1040,1039,1009,200,276,389,276,463,1046,1009,346,747,232,730,1166,1008,389,1001,844,1188,1008,384,308,346,501,345,1204,499,1008,855,462,462,462,734
461,1039,1039,1039,1039,1040,1039,1009,200,276,389,276,463,1046,1009,346,747,232,730,1166,1008,389,1001,844,1188,1008,384,308,346,501,345,1204,499,1008,855,462,462,462,734,385
1039,1039,1039,1039,1040,1039,1009,200,276,389,276,463,1046,1009,346,747,232,730,1166,1008,389,1001,844,1188,1008,384,308,346,501,345,1204,499,1008,855,462,462,462,734,385,968
1039,1039,1039,1040,1039,1009,200,276,389,276,463,1046,1009,346,747,232,730,1166,1008,389,1001,844,1188,1008,384,308,346,501,345,1204,499,1008,855,462,462,462,734,385,968,239
1039,1039,1040,1039,1009,200,276,389,276,463,1046,1009,346,747,232,730,1166,1008,389,1001,844,1188,1008,384,308,346,501,345,1204,499,1008,855,462,462,462,734,385,968,239,383
1039,1040,1039,1009,200,276,389,276,463,1046,1009,346,747,232,730,1166,1008,389,1001,844,1188,1008,384,308,346,501,345,1204,499,1008,855,462,462,462,734,385,968,239,383,383
1040,1039,1009,200,276,389,276,463,1046,1009,346,747,232,730,1166,1008,389,1001,844,1188,1008,384,308,346,501,345,1204,499,1008,855,462,462,462,734,385,968,239,383,383,500
1039,1009,200,276,389,276,463,1046,1009,346,747,232,730,1166,1008,389,1001,844,1188,1008,384,308,346,501,345,1204,499,1008,855,462,462,462,734,385,968,239,383,383,500,500
1009,200,276,389,276,463,1046,1009,346,747,232,730,1166,1008,389,1001,844,1188,1008,384,308,346,501,345,1204,499,1008,855,462,462,462,734,385,968,239,383,383,500,500,500
200,276,389,276,463,1046,1009,346,747,232,730,1166,1008,389,1001,844,1188,1008,384,308,346,501,345,1204,499,1008,855,462,462,462,734,385,968,239,383,383,500,500,500,423
276,389,276,463,1046,1009,346,747,232,730,1166,1008,389,1001,844,1188,1008,384,308,346,501,345,1204,499,1008,855,462,462,462,734,385,968,239,383,383,500,500,500,423,1008
389,276,463,1046,1009,346,747,232,730,1166,1008,389,1001,844,1188,1008,384,308,346,501,345,1204,499,1008,855,462,462,462,734,385,968,239,383,383,500,500,500,423,1008,3
276,463,1046,1009,346,747,232,730,1166,1008,389,1001,844,1188,1008,384,308,346,501,345,1204,499,1008,855,462,462,462,734,385,968,239,383,383,500,500,500,423,1008,3,1008
463,1046,1009,346,747,232,730,1166,1008,389,1001,844,1188,1008,384,308,346,501,345,1204,499,1008,855,462,462,462,734,385,968,239,383,383,500,500,500,423,1008,3,1008,120
1046,1009,346,747,232,730,1166,1008,389,1001,844,1188,1008,384,308,346,501,345,1204,499,1008,855,462,462,462,734,385,968,239,383,383,500,500,500,423,1008,3,1008,120,276
1009,346,747,232,730,1166,1008,389,1001,844,1188,1008,384,308,346,501,345,1204,499,1008,855,462,462,462,734,385,968,239,383,383,500,500,500,423,1008,3,1008,120,276,462
346,747,232,730,1166,1008,389,1001,844,1188,1008,384,308,346,501,345,1204,499,1008,855,462,462,462,734,385,968,239,383,383,500,500,500,423,1008,3,1008,120,276,462,1008
747,232,730,1166,1008,389,1001,844,1188,1008,384,308,346,501,345,1204,499,1008,855,462,462,462,734,385,968,239,383,383,500,500,500,423,1008,3,1008,120,276,462,1008,1009
232,730,1166,1008,389,1001,844,1188,1008,384,308,346,501,345,1204,499,1008,855,462,462,462,734,385,968,239,383,383,500,500,500,423,1008,3,1008,120,276,462,1008,1009,422
730,1166,1008,389,1001,844,1188,1008,384,308,346,501,345,1204,499,1008,855,462,462,462,734,385,968,239,383,383,500,500,500,423,1008,3,1008,120,276,462,1008,1009,422,309
1166,1008,389,1001,844,1188,1008,384,308,346,501,345,1204,499,1008,855,462,462,462,734,385,968,239,383,383,500,500,500,423,1008,3,1008,120,276,462,1008,1009,422,309,309
1008,389,1001,844,1188,1008,384,308,346,501,345,1204,499,1008,855,462,462,462,734,385,968,239,383,383,500,500,500,423,1008,3,1008,120,276,462,1008,1009,422,309,309,884
389,1001,844,1188,1008,384,308,346,501,345,1204,499,1008,855,462,462,462,734,385,968,239,383,383,500,500,500,423,1008,3,1008,120,276,462,1008,1009,422,309,309,884,1008
1001,844,1188,1008,384,308,346,501,345,1204,499,1008,855,462,462,462,734,385,968,239,383,383,500,500,500,423,1008,3,1008,120,276,462,1008,1009,422,309,309,884,1008,50
844,1188,1008,384,308,346,501,345,1204,499,1008,855,462,462,462,734,385,968,239,383,383,500,500,500,423,1008,3,1008,120,276,462,1008,1009,422,309,309,884,1008,50,1165
1188,1008,384,308,346,501,345,1204,499,1008,855,462,462,462,734,385,968,239,383,383,500,500,500,423,1008,3,1008,120,276,462,1008,1009,422,309,309,884,1008,50,1165,461
1008,384,308,346,501,345,1204,499,1008,855,462,462,462,734,385,968,239,383,383,500,500,500,423,1008,3,1008,120,276,462,1008,1009,422,309,309,884,1008,50,1165,461,1008
384,308,346,501,345,1204,499,1008,855,462,462,462,734,385,968,239,383,383,500,500,500,423,1008,3,1008,120,276,462,1008,1009,422,309,309,884,1008,50,1165,461,1008,201
308,346,501,345,1204,499,1008,855,462,462,462,734,385,968,239,383,383,500,500,500,423,1008,3,1008,120,276,462,1008,1009,422,309,309,884,1008,50,1165,461,1008,201,422
346,501,345,1204,499,1008,855,462,462,462,734,385,968,239,383,383,500,500,500,423,1008,3,1008,120,276,462,1008,1009,422,309,309,884,1008,50,1165,461,1008,201,422,422
501,345,1204,499,1008,855,462,462,462,734,385,968,239,383,383,500,500,500,423,1008,3,1008,120,276,462,1008,1009,422,309,309,884,1008,50,1165,461,1008,201,422,422,461
345,1204,499,1008,855,462,462,462,734,385,968,239,383,383,500,500,500,423,1008,3,1008,120,276,462,1008,1009,422,309,309,884,1008,50,1165,461,1008,201,422,422,461,1008
1204,499,1008,855,462,462,462,734,385,968,239,383,383,500,500,500,423,1008,3,1008,120,276,462,1008,1009,422,309,309,884,1008,50,1165,461,1008,201,422,422,461,1008,1008
499,1008,855,462,462,462,734,385,968,239,383,383,500,500,500,423,1008,3,1008,120,276,462,1008,1009,422,309,309,884,1008,50,1165,461,1008,201,422,422,461,1008,1008,461
1008,855,462,462,462,734,385,968,239,383,383,500,500,500,423,1008,3,1008,120,276,462,1008,1009,422,309,309,884,1008,50,1165,461,1008,201,422,422,461,1008,1008,461,160
855,462,462,462,734,385,968,239,383,383,500,500,500,423,1008,3,1008,120,276,462,1008,1009,422,309,309,884,1008,50,1165,461,1008,201,422,422,461,1008,1008,461,160,1008
462,462,462,734,385,968,239,383,383,500,500,500,423,1008,3,1008,120,276,462,1008,1009,422,309,309,884,1008,50,1165,461,1008,201,422,422,461,1008,1008,461,160,1008,1008
462,462,734,385,968,239,383,383,500,500,500,423,1008,3,1008,120,276,462,1008,1009,422,309,309,884,1008,50,1165,461,1008,201,422,422,461,1008,1008,461,160,1008,1008,461
462,734,385,968,239,383,383,500,500,500,423,1008,3,1008,120,276,462,1008,1009,422,309,309,884,1008,50,1165,461,1008,201,422,422,461,1008,1008,461,160,1008,1008,461,462
734,385,968,239,383,383,500,500,500,423,1008,3,1008,120,276,462,1008,1009,422,309,309,884,1008,50,1165,461,1008,201,422,422,461,1008,1008,461,160,1008,1008,461,462,461
385,968,239,383,383,500,500,500,423,1008,3,1008,120,276,462,1008,1009,422,309,309,884,1008,50,1165,461,1008,201,422,422,461,1008,1008,461,160,1008,1008,461,462,461,461
968,239,383,383,500,500,500,423,1008,3,1008,120,276,462,1008,1009,422,309,309,884,1008,50,1165,461,1008,201,422,422,461,1008,1008,461,160,1008,1008,461,462,461,461,1008
239,383,383,500,500,500,423,1008,3,1008,120,276,462,1008,1009,422,309,309,884,1008,50,1165,461,1008,201,422,422,461,1008,1008,461,160,1008,1008,461,462,461,461,1008,460
383,383,500,500,500,423,1008,3,1008,120,276,462,1008,1009,422,309,309,884,1008,50,1165,461,1008,201,422,422,461,1008,1008,461,160,1008,1008,461,462,461,461,1008,460,1008
383,500,500,500,423,1008,3,1008,120,276,462,1008,1009,422,309,309,884,1008,50,1165,461,1008,201,422,422,461,1008,1008,461,160,1008,1008,461,462,461,461,1008,460,1008,423
500,500,500,423,1008,3,1008,120,276,462,1008,1009,422,309,309,884,1008,50,1165,461,1008,201,422,422,461,1008,1008,461,160,1008,1008,461,462,461,461,1008,460,1008,423,1009
500,500,423,1008,3,1008,120,276,462,1008,1009,422,309,309,884,1008,50,1165,461,1008,201,422,422,461,1008,1008,461,160,1008,1008,461,462,461,461,1008,460,1008,423,1009,1046
500,423,1008,3,1008,120,276,462,1008,1009,422,309,309,884,1008,50,1165,461,1008,201,422,422,461,1008,1008,461,160,1008,1008,461,462,461,461,1008,460,1008,423,1009,1046,383
423,1008,3,1008,120,276,462,1008,1009,422,309,309,884,1008,50,1165,461,1008,201,422,422,461,1008,1008,461,160,1008,1008,461,462,461,461,1008,460,1008,423,1009,1046,383,422
1008,3,1008,120,276,462,1008,1009,422,309,309,884,1008,50,1165,461,1008,201,422,422,461,1008,1008,461,160,1008,1008,461,462,461,461,1008,460,1008,423,1009,1046,383,422,307
3,1008,120,276,462,1008,1009,422,309,309,884,1008,50,1165,461,1008,201,422,422,461,1008,1008,461,160,1008,1008,461,462,461,461,1008,460,1008,423,1009,1046,383,422,307,269
1008,120,276,462,1008,1009,422,309,309,884,1008,50,1165,461,1008,201,422,422,461,1008,1008,461,160,1008,1008,461,462,461,461,1008,460,1008,423,1009,1046,383,422,307,269,423
120,276,462,1008,1009,422,309,309,884,1008,50,1165,461,1008,201,422,422,461,1008,1008,461,160,1008,1008,461,462,461,461,1008,460,1008,423,1009,1046,383,422,307,269,423,383
276,462,1008,1009,422,309,309,884,1008,50,1165,461,1008,201,422,422,461,1008,1008,461,160,1008,1008,461,462,461,461,1008,460,1008,423,1009,1046,383,422,307,269,423,383,971
462,1008,1009,422,309,309,884,1008,50,1165,461,1008,201,422,422,461,1008,1008,461,160,1008,1008,461,462,461,461,1008,460,1008,423,1009,1046,383,422,307,269,423,383,971,461
1008,1009,422,309,309,884,1008,50,1165,461,1008,201,422,422,461,1008,1008,461,160,1008,1008,461,462,461,461,1008,460,1008,423,1009,1046,383,422,307,269,423,383,971,461,269
1009,422,309,309,884,1008,50,1165,461,1008,201,422,422,461,1008,1008,461,160,1008,1008,461,462,461,461,1008,460,1008,423,1009,1046,383,422,307,269,423,383,971,461,269,355
