0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
383,922,461,1008,1009,156,13,616,615,237,544,1009,1009,1009,661,809,1483,500,500,500,500,500,499,1046,1009,462,462,500
922,461,1008,1009,156,13,616,615,237,544,1009,1009,1009,661,809,1483,500,500,500,500,500,499,1046,1009,462,462,500,1000
461,1008,1009,156,13,616,615,237,544,1009,1009,1009,661,809,1483,500,500,500,500,500,499,1046,1009,462,462,500,1000,702
1008,1009,156,13,616,615,237,544,1009,1009,1009,661,809,1483,500,500,500,500,500,499,1046,1009,462,462,500,1000,702,195
1009,156,13,616,615,237,544,1009,1009,1009,661,809,1483,500,500,500,500,500,499,1046,1009,462,462,500,1000,702,195,499
156,13,616,615,237,544,1009,1009,1009,661,809,1483,500,500,500,500,500,499,1046,1009,462,462,500,1000,702,195,499,1009
13,616,615,237,544,1009,1009,1009,661,809,1483,500,500,500,500,500,499,1046,1009,462,462,500,1000,702,195,499,1009,1009
616,615,237,544,1009,1009,1009,661,809,1483,500,500,500,500,500,499,1046,1009,462,462,500,1000,702,195,499,1009,1009,462
615,237,544,1009,1009,1009,661,809,1483,500,500,500,500,500,499,1046,1009,462,462,500,1000,702,195,499,1009,1009,462,461
237,544,1009,1009,1009,661,809,1483,500,500,500,500,500,499,1046,1009,462,462,500,1000,702,195,499,1009,1009,462,461,500
544,1009,1009,1009,661,809,1483,500,500,500,500,500,499,1046,1009,462,462,500,1000,702,195,499,1009,1009,462,461,500,1067
1009,1009,1009,661,809,1483,500,500,500,500,500,499,1046,1009,462,462,500,1000,702,195,499,1009,1009,462,461,500,1067,1009
1009,1009,661,809,1483,500,500,500,500,500,499,1046,1009,462,462,500,1000,702,195,499,1009,1009,462,461,500,1067,1009,809
1009,661,809,1483,500,500,500,500,500,499,1046,1009,462,462,500,1000,702,195,499,1009,1009,462,461,500,1067,1009,809,1188
661,809,1483,500,500,500,500,500,499,1046,1009,462,462,500,1000,702,195,499,1009,1009,462,461,500,1067,1009,809,1188,307
809,1483,500,500,500,500,500,499,1046,1009,462,462,500,1000,702,195,499,1009,1009,462,461,500,1067,1009,809,1188,307,971
1483,500,500,500,500,500,499,1046,1009,462,462,500,1000,702,195,499,1009,1009,462,461,500,1067,1009,809,1188,307,971,892
500,500,500,500,500,499,1046,1009,462,462,500,1000,702,195,499,1009,1009,462,461,500,1067,1009,809,1188,307,971,892,1235
500,500,500,500,499,1046,1009,462,462,500,1000,702,195,499,1009,1009,462,461,500,1067,1009,809,1188,307,971,892,1235,1046
500,500,500,499,1046,1009,462,462,500,1000,702,195,499,1009,1009,462,461,500,1067,1009,809,1188,307,971,892,1235,1046,233
500,500,499,1046,1009,462,462,500,1000,702,195,499,1009,1009,462,461,500,1067,1009,809,1188,307,971,892,1235,1046,233,237
500,499,1046,1009,462,462,500,1000,702,195,499,1009,1009,462,461,500,1067,1009,809,1188,307,971,892,1235,1046,233,237,1008
499,1046,1009,462,462,500,1000,702,195,499,1009,1009,462,461,500,1067,1009,809,1188,307,971,892,1235,1046,233,237,1008,1008
1046,1009,462,462,500,1000,702,195,499,1009,1009,462,461,500,1067,1009,809,1188,307,971,892,1235,1046,233,237,1008,1008,701
1009,462,462,500,1000,702,195,499,1009,1009,462,461,500,1067,1009,809,1188,307,971,892,1235,1046,233,237,1008,1008,701,701
462,462,500,1000,702,195,499,1009,1009,462,461,500,1067,1009,809,1188,307,971,892,1235,1046,233,237,1008,1008,701,701,1009
462,500,1000,702,195,499,1009,1009,462,461,500,1067,1009,809,1188,307,971,892,1235,1046,233,237,1008,1008,701,701,1009,971
500,1000,702,195,499,1009,1009,462,461,500,1067,1009,809,1188,307,971,892,1235,1046,233,237,1008,1008,701,701,1009,971,308
1000,702,195,499,1009,1009,462,461,500,1067,1009,809,1188,307,971,892,1235,1046,233,237,1008,1008,701,701,1009,971,308,1205
702,195,499,1009,1009,462,461,500,1067,1009,809,1188,307,971,892,1235,1046,233,237,1008,1008,701,701,1009,971,308,1205,652
195,499,1009,1009,462,461,500,1067,1009,809,1188,307,971,892,1235,1046,233,237,1008,1008,701,701,1009,971,308,1205,652,2
499,1009,1009,462,461,500,1067,1009,809,1188,307,971,892,1235,1046,233,237,1008,1008,701,701,1009,971,308,1205,652,2,1081
1009,1009,462,461,500,1067,1009,809,1188,307,971,892,1235,1046,233,237,1008,1008,701,701,1009,971,308,1205,652,2,1081,1353
1009,462,461,500,1067,1009,809,1188,307,971,892,1235,1046,233,237,1008,1008,701,701,1009,971,308,1205,652,2,1081,1353,275
462,461,500,1067,1009,809,1188,307,971,892,1235,1046,233,237,1008,1008,701,701,1009,971,308,1205,652,2,1081,1353,275,768
461,500,1067,1009,809,1188,307,971,892,1235,1046,233,237,1008,1008,701,701,1009,971,308,1205,652,2,1081,1353,275,768,654
500,1067,1009,809,1188,307,971,892,1235,1046,233,237,1008,1008,701,701,1009,971,308,1205,652,2,1081,1353,275,768,654,1035
1067,1009,809,1188,307,971,892,1235,1046,233,237,1008,1008,701,701,1009,971,308,1205,652,2,1081,1353,275,768,654,1035,88
1009,809,1188,307,971,892,1235,1046,233,237,1008,1008,701,701,1009,971,308,1205,652,2,1081,1353,275,768,654,1035,88,276
809,1188,307,971,892,1235,1046,233,237,1008,1008,701,701,1009,971,308,1205,652,2,1081,1353,275,768,654,1035,88,276,117
1188,307,971,892,1235,1046,233,237,1008,1008,701,701,1009,971,308,1205,652,2,1081,1353,275,768,654,1035,88,276,117,1009
307,971,892,1235,1046,233,237,1008,1008,701,701,1009,971,308,1205,652,2,1081,1353,275,768,654,1035,88,276,117,1009,1008
971,892,1235,1046,233,237,1008,1008,701,701,1009,971,308,1205,652,2,1081,1353,275,768,654,1035,88,276,117,1009,1008,195
892,1235,1046,233,237,1008,1008,701,701,1009,971,308,1205,652,2,1081,1353,275,768,654,1035,88,276,117,1009,1008,195,1080
1235,1046,233,237,1008,1008,701,701,1009,971,308,1205,652,2,1081,1353,275,768,654,1035,88,276,117,1009,1008,195,1080,1008
1046,233,237,1008,1008,701,701,1009,971,308,1205,652,2,1081,1353,275,768,654,1035,88,276,117,1009,1008,195,1080,1008,461
233,237,1008,1008,701,701,1009,971,308,1205,652,2,1081,1353,275,768,654,1035,88,276,117,1009,1008,195,1080,1008,461,1039
237,1008,1008,701,701,1009,971,308,1205,652,2,1081,1353,275,768,654,1035,88,276,117,1009,1008,195,1080,1008,461,1039,1039
1008,1008,701,701,1009,971,308,1205,652,2,1081,1353,275,768,654,1035,88,276,117,1009,1008,195,1080,1008,461,1039,1039,1039
1008,701,701,1009,971,308,1205,652,2,1081,1353,275,768,654,1035,88,276,117,1009,1008,195,1080,1008,461,1039,1039,1039,1039
701,701,1009,971,308,1205,652,2,1081,1353,275,768,654,1035,88,276,117,1009,1008,195,1080,1008,461,1039,1039,1039,1039,1040
701,1009,971,308,1205,652,2,1081,1353,275,768,654,1035,88,276,117,1009,1008,195,1080,1008,461,1039,1039,1039,1039,1040,1039
1009,971,308,1205,652,2,1081,1353,275,768,654,1035,88,276,117,1009,1008,195,1080,1008,461,1039,1039,1039,1039,1040,1039,1009
971,308,1205,652,2,1081,1353,275,768,654,1035,88,276,117,1009,1008,195,1080,1008,461,1039,1039,1039,1039,1040,1039,1009,200
308,1205,652,2,1081,1353,275,768,654,1035,88,276,117,1009,1008,195,1080,1008,461,1039,1039,1039,1039,1040,1039,1009,200,276
1205,652,2,1081,1353,275,768,654,1035,88,276,117,1009,1008,195,1080,1008,461,1039,1039,1039,1039,1040,1039,1009,200,276,389
652,2,1081,1353,275,768,654,1035,88,276,117,1009,1008,195,1080,1008,461,1039,1039,1039,1039,1040,1039,1009,200,276,389,276
2,1081,1353,275,768,654,1035,88,276,117,1009,1008,195,1080,1008,461,1039,1039,1039,1039,1040,1039,1009,200,276,389,276,463
1081,1353,275,768,654,1035,88,276,117,1009,1008,195,1080,1008,461,1039,1039,1039,1039,1040,1039,1009,200,276,389,276,463,1046
1353,275,768,654,1035,88,276,117,1009,1008,195,1080,1008,461,1039,1039,1039,1039,1040,1039,1009,200,276,389,276,463,1046,1009
275,768,654,1035,88,276,117,1009,1008,195,1080,1008,461,1039,1039,1039,1039,1040,1039,1009,200,276,389,276,463,1046,1009,346
768,654,1035,88,276,117,1009,1008,195,1080,1008,461,1039,1039,1039,1039,1040,1039,1009,200,276,389,276,463,1046,1009,346,747
654,1035,88,276,117,1009,1008,195,1080,1008,461,1039,1039,1039,1039,1040,1039,1009,200,276,389,276,463,1046,1009,346,747,232
1035,88,276,117,1009,1008,195,1080,1008,461,1039,1039,1039,1039,1040,1039,1009,200,276,389,276,463,1046,1009,346,747,232,730
88,276,117,1009,1008,195,1080,1008,461,1039,1039,1039,1039,1040,1039,1009,200,276,389,276,463,1046,1009,346,747,232,730,1166
276,117,1009,1008,195,1080,1008,461,1039,1039,1039,1039,1040,1039,1009,200,276,389,276,463,1046,1009,346,747,232,730,1166,1008
117,1009,1008,195,1080,1008,461,1039,1039,1039,1039,1040,1039,1009,200,276,389,276,463,1046,1009,346,747,232,730,1166,1008,389
1009,1008,195,1080,1008,461,1039,1039,1039,1039,1040,1039,1009,200,276,389,276,463,1046,1009,346,747,232,730,1166,1008,389,1001
1008,195,1080,1008,461,1039,1039,1039,1039,1040,1039,1009,200,276,389,276,463,1046,1009,346,747,232,730,1166,1008,389,1001,844
195,1080,1008,461,1039,1039,1039,1039,1040,1039,1009,200,276,389,276,463,1046,1009,346,747,232,730,1166,1008,389,1001,844,1188
1080,1008,461,1039,1039,1039,1039,1040,1039,1009,200,276,389,276,463,1046,1009,346,747,232,730,1166,1008,389,1001,844,1188,1008
1008,461,1039,1039,1039,1039,1040,1039,1009,200,276,389,276,463,1046,1009,346,747,232,730,1166,1008,389,1001,844,1188,1008,384
461,1039,1039,1039,1039,1040,1039,1009,200,276,389,276,463,1046,1009,346,747,232,730,1166,1008,389,1001,844,1188,1008,384,308
1039,1039,1039,1039,1040,1039,1009,200,276,389,276,463,1046,1009,346,747,232,730,1166,1008,389,1001,844,1188,1008,384,308,346
1039,1039,1039,1040,1039,1009,200,276,389,276,463,1046,1009,346,747,232,730,1166,1008,389,1001,844,1188,1008,384,308,346,501
1039,1039,1040,1039,1009,200,276,389,276,463,1046,1009,346,747,232,730,1166,1008,389,1001,844,1188,1008,384,308,346,501,345
1039,1040,1039,1009,200,276,389,276,463,1046,1009,346,747,232,730,1166,1008,389,1001,844,1188,1008,384,308,346,501,345,1204
1040,1039,1009,200,276,389,276,463,1046,1009,346,747,232,730,1166,1008,389,1001,844,1188,1008,384,308,346,501,345,1204,499
1039,1009,200,276,389,276,463,1046,1009,346,747,232,730,1166,1008,389,1001,844,1188,1008,384,308,346,501,345,1204,499,1008
1009,200,276,389,276,463,1046,1009,346,747,232,730,1166,1008,389,1001,844,1188,1008,384,308,346,501,345,1204,499,1008,855
200,276,389,276,463,1046,1009,346,747,232,730,1166,1008,389,1001,844,1188,1008,384,308,346,501,345,1204,499,1008,855,462
276,389,276,463,1046,1009,346,747,232,730,1166,1008,389,1001,844,1188,1008,384,308,346,501,345,1204,499,1008,855,462,462
389,276,463,1046,1009,346,747,232,730,1166,1008,389,1001,844,1188,1008,384,308,346,501,345,1204,499,1008,855,462,462,462
276,463,1046,1009,346,747,232,730,1166,1008,389,1001,844,1188,1008,384,308,346,501,345,1204,499,1008,855,462,462,462,734
463,1046,1009,346,747,232,730,1166,1008,389,1001,844,1188,1008,384,308,346,501,345,1204,499,1008,855,462,462,462,734,385
1046,1009,346,747,232,730,1166,1008,389,1001,844,1188,1008,384,308,346,501,345,1204,499,1008,855,462,462,462,734,385,968
1009,346,747,232,730,1166,1008,389,1001,844,1188,1008,384,308,346,501,345,1204,499,1008,855,462,462,462,734,385,968,239
346,747,232,730,1166,1008,389,1001,844,1188,1008,384,308,346,501,345,1204,499,1008,855,462,462,462,734,385,968,239,383
747,232,730,1166,1008,389,1001,844,1188,1008,384,308,346,501,345,1204,499,1008,855,462,462,462,734,385,968,239,383,383
232,730,1166,1008,389,1001,844,1188,1008,384,308,346,501,345,1204,499,1008,855,462,462,462,734,385,968,239,383,383,500
730,1166,1008,389,1001,844,1188,1008,384,308,346,501,345,1204,499,1008,855,462,462,462,734,385,968,239,383,383,500,500
1166,1008,389,1001,844,1188,1008,384,308,346,501,345,1204,499,1008,855,462,462,462,734,385,968,239,383,383,500,500,500
1008,389,1001,844,1188,1008,384,308,346,501,345,1204,499,1008,855,462,462,462,734,385,968,239,383,383,500,500,500,423
389,1001,844,1188,1008,384,308,346,501,345,1204,499,1008,855,462,462,462,734,385,968,239,383,383,500,500,500,423,1008
1001,844,1188,1008,384,308,346,501,345,1204,499,1008,855,462,462,462,734,385,968,239,383,383,500,500,500,423,1008,3
844,1188,1008,384,308,346,501,345,1204,499,1008,855,462,462,462,734,385,968,239,383,383,500,500,500,423,1008,3,1008
1188,1008,384,308,346,501,345,1204,499,1008,855,462,462,462,734,385,968,239,383,383,500,500,500,423,1008,3,1008,120
1008,384,308,346,501,345,1204,499,1008,855,462,462,462,734,385,968,239,383,383,500,500,500,423,1008,3,1008,120,276
384,308,346,501,345,1204,499,1008,855,462,462,462,734,385,968,239,383,383,500,500,500,423,1008,3,1008,120,276,462
308,346,501,345,1204,499,1008,855,462,462,462,734,385,968,239,383,383,500,500,500,423,1008,3,1008,120,276,462,1008
346,501,345,1204,499,1008,855,462,462,462,734,385,968,239,383,383,500,500,500,423,1008,3,1008,120,276,462,1008,1009
501,345,1204,499,1008,855,462,462,462,734,385,968,239,383,383,500,500,500,423,1008,3,1008,120,276,462,1008,1009,422
345,1204,499,1008,855,462,462,462,734,385,968,239,383,383,500,500,500,423,1008,3,1008,120,276,462,1008,1009,422,309
1204,499,1008,855,462,462,462,734,385,968,239,383,383,500,500,500,423,1008,3,1008,120,276,462,1008,1009,422,309,309
499,1008,855,462,462,462,734,385,968,239,383,383,500,500,500,423,1008,3,1008,120,276,462,1008,1009,422,309,309,884
1008,855,462,462,462,734,385,968,239,383,383,500,500,500,423,1008,3,1008,120,276,462,1008,1009,422,309,309,884,1008
855,462,462,462,734,385,968,239,383,383,500,500,500,423,1008,3,1008,120,276,462,1008,1009,422,309,309,884,1008,50
462,462,462,734,385,968,239,383,383,500,500,500,423,1008,3,1008,120,276,462,1008,1009,422,309,309,884,1008,50,1165
462,462,734,385,968,239,383,383,500,500,500,423,1008,3,1008,120,276,462,1008,1009,422,309,309,884,1008,50,1165,461
462,734,385,968,239,383,383,500,500,500,423,1008,3,1008,120,276,462,1008,1009,422,309,309,884,1008,50,1165,461,1008
734,385,968,239,383,383,500,500,500,423,1008,3,1008,120,276,462,1008,1009,422,309,309,884,1008,50,1165,461,1008,201
385,968,239,383,383,500,500,500,423,1008,3,1008,120,276,462,1008,1009,422,309,309,884,1008,50,1165,461,1008,201,422
968,239,383,383,500,500,500,423,1008,3,1008,120,276,462,1008,1009,422,309,309,884,1008,50,1165,461,1008,201,422,422
239,383,383,500,500,500,423,1008,3,1008,120,276,462,1008,1009,422,309,309,884,1008,50,1165,461,1008,201,422,422,461
383,383,500,500,500,423,1008,3,1008,120,276,462,1008,1009,422,309,309,884,1008,50,1165,461,1008,201,422,422,461,1008
383,500,500,500,423,1008,3,1008,120,276,462,1008,1009,422,309,309,884,1008,50,1165,461,1008,201,422,422,461,1008,1008
500,500,500,423,1008,3,1008,120,276,462,1008,1009,422,309,309,884,1008,50,1165,461,1008,201,422,422,461,1008,1008,461
500,500,423,1008,3,1008,120,276,462,1008,1009,422,309,309,884,1008,50,1165,461,1008,201,422,422,461,1008,1008,461,160
500,423,1008,3,1008,120,276,462,1008,1009,422,309,309,884,1008,50,1165,461,1008,201,422,422,461,1008,1008,461,160,1008
423,1008,3,1008,120,276,462,1008,1009,422,309,309,884,1008,50,1165,461,1008,201,422,422,461,1008,1008,461,160,1008,1008
1008,3,1008,120,276,462,1008,1009,422,309,309,884,1008,50,1165,461,1008,201,422,422,461,1008,1008,461,160,1008,1008,461
3,1008,120,276,462,1008,1009,422,309,309,884,1008,50,1165,461,1008,201,422,422,461,1008,1008,461,160,1008,1008,461,462
1008,120,276,462,1008,1009,422,309,309,884,1008,50,1165,461,1008,201,422,422,461,1008,1008,461,160,1008,1008,461,462,461
120,276,462,1008,1009,422,309,309,884,1008,50,1165,461,1008,201,422,422,461,1008,1008,461,160,1008,1008,461,462,461,461
276,462,1008,1009,422,309,309,884,1008,50,1165,461,1008,201,422,422,461,1008,1008,461,160,1008,1008,461,462,461,461,1008
462,1008,1009,422,309,309,884,1008,50,1165,461,1008,201,422,422,461,1008,1008,461,160,1008,1008,461,462,461,461,1008,460
1008,1009,422,309,309,884,1008,50,1165,461,1008,201,422,422,461,1008,1008,461,160,1008,1008,461,462,461,461,1008,460,1008
1009,422,309,309,884,1008,50,1165,461,1008,201,422,422,461,1008,1008,461,160,1008,1008,461,462,461,461,1008,460,1008,423
422,309,309,884,1008,50,1165,461,1008,201,422,422,461,1008,1008,461,160,1008,1008,461,462,461,461,1008,460,1008,423,1009
309,309,884,1008,50,1165,461,1008,201,422,422,461,1008,1008,461,160,1008,1008,461,462,461,461,1008,460,1008,423,1009,1046
309,884,1008,50,1165,461,1008,201,422,422,461,1008,1008,461,160,1008,1008,461,462,461,461,1008,460,1008,423,1009,1046,383
884,1008,50,1165,461,1008,201,422,422,461,1008,1008,461,160,1008,1008,461,462,461,461,1008,460,1008,423,1009,1046,383,422
1008,50,1165,461,1008,201,422,422,461,1008,1008,461,160,1008,1008,461,462,461,461,1008,460,1008,423,1009,1046,383,422,307
50,1165,461,1008,201,422,422,461,1008,1008,461,160,1008,1008,461,462,461,461,1008,460,1008,423,1009,1046,383,422,307,269
1165,461,1008,201,422,422,461,1008,1008,461,160,1008,1008,461,462,461,461,1008,460,1008,423,1009,1046,383,422,307,269,423
461,1008,201,422,422,461,1008,1008,461,160,1008,1008,461,462,461,461,1008,460,1008,423,1009,1046,383,422,307,269,423,383
1008,201,422,422,461,1008,1008,461,160,1008,1008,461,462,461,461,1008,460,1008,423,1009,1046,383,422,307,269,423,383,971
201,422,422,461,1008,1008,461,160,1008,1008,461,462,461,461,1008,460,1008,423,1009,1046,383,422,307,269,423,383,971,461
422,422,461,1008,1008,461,160,1008,1008,461,462,461,461,1008,460,1008,423,1009,1046,383,422,307,269,423,383,971,461,269
422,461,1008,1008,461,160,1008,1008,461,462,461,461,1008,460,1008,423,1009,1046,383,422,307,269,423,383,971,461,269,355
461,1008,1008,461,160,1008,1008,461,462,461,461,1008,460,1008,423,1009,1046,383,422,307,269,423,383,971,461,269,355,307
1008,1008,461,160,1008,1008,461,462,461,461,1008,460,1008,423,1009,1046,383,422,307,269,423,383,971,461,269,355,307,307
1008,461,160,1008,1008,461,462,461,461,1008,460,1008,423,1009,1046,383,422,307,269,423,383,971,461,269,355,307,307,422
461,160,1008,1008,461,462,461,461,1008,460,1008,423,1009,1046,383,422,307,269,423,383,971,461,269,355,307,307,422,345
160,1008,1008,461,462,461,461,1008,460,1008,423,1009,1046,383,422,307,269,423,383,971,461,269,355,307,307,422,345,383
1008,1008,461,462,461,461,1008,460,1008,423,1009,1046,383,422,307,269,423,383,971,461,269,355,307,307,422,345,383,422
1008,461,462,461,461,1008,460,1008,423,1009,1046,383,422,307,269,423,383,971,461,269,355,307,307,422,345,383,422,1164
461,462,461,461,1008,460,1008,423,1009,1046,383,422,307,269,423,383,971,461,269,355,307,307,422,345,383,422,1164,969
462,461,461,1008,460,1008,423,1009,1046,383,422,307,269,423,383,971,461,269,355,307,307,422,345,383,422,1164,969,307
461,461,1008,460,1008,423,1009,1046,383,422,307,269,423,383,971,461,269,355,307,307,422,345,383,422,1164,969,307,385
461,1008,460,1008,423,1009,1046,383,422,307,269,423,383,971,461,269,355,307,307,422,345,383,422,1164,969,307,385,10
1008,460,1008,423,1009,1046,383,422,307,269,423,383,971,461,269,355,307,307,422,345,383,422,1164,969,307,385,10,383
460,1008,423,1009,1046,383,422,307,269,423,383,971,461,269,355,307,307,422,345,383,422,1164,969,307,385,10,383,462
1008,423,1009,1046,383,422,307,269,423,383,971,461,269,355,307,307,422,345,383,422,1164,969,307,385,10,383,462,460
423,1009,1046,383,422,307,269,423,383,971,461,269,355,307,307,422,345,383,422,1164,969,307,385,10,383,462,460,460
1009,1046,383,422,307,269,423,383,971,461,269,355,307,307,422,345,383,422,1164,969,307,385,10,383,462,460,460,269
1046,383,422,307,269,423,383,971,461,269,355,307,307,422,345,383,422,1164,969,307,385,10,383,462,460,460,269,461
383,422,307,269,423,383,971,461,269,355,307,307,422,345,383,422,1164,969,307,385,10,383,462,460,460,269,461,383
422,307,269,423,383,971,461,269,355,307,307,422,345,383,422,1164,969,307,385,10,383,462,460,460,269,461,383,345
307,269,423,383,971,461,269,355,307,307,422,345,383,422,1164,969,307,385,10,383,462,460,460,269,461,383,345,422
269,423,383,971,461,269,355,307,307,422,345,383,422,1164,969,307,385,10,383,462,460,460,269,461,383,345,422,195
423,383,971,461,269,355,307,307,422,345,383,422,1164,969,307,385,10,383,462,460,460,269,461,383,345,422,195,383
383,971,461,269,355,307,307,422,345,383,422,1164,969,307,385,10,383,462,460,460,269,461,383,345,422,195,383,384
971,461,269,355,307,307,422,345,383,422,1164,969,307,385,10,383,462,460,460,269,461,383,345,422,195,383,384,384
461,269,355,307,307,422,345,383,422,1164,969,307,385,10,383,462,460,460,269,461,383,345,422,195,383,384,384,384
269,355,307,307,422,345,383,422,1164,969,307,385,10,383,462,460,460,269,461,383,345,422,195,383,384,384,384,346
355,307,307,422,345,383,422,1164,969,307,385,10,383,462,460,460,269,461,383,345,422,195,383,384,384,384,346,384
307,307,422,345,383,422,1164,969,307,385,10,383,462,460,460,269,461,383,345,422,195,383,384,384,384,346,384,384
307,422,345,383,422,1164,969,307,385,10,383,462,460,460,269,461,383,345,422,195,383,384,384,384,346,384,384,384
422,345,383,422,1164,969,307,385,10,383,462,460,460,269,461,383,345,422,195,383,384,384,384,346,384,384,384,384
345,383,422,1164,969,307,385,10,383,462,460,460,269,461,383,345,422,195,383,384,384,384,346,384,384,384,384,383
383,422,1164,969,307,385,10,383,462,460,460,269,461,383,345,422,195,383,384,384,384,346,384,384,384,384,383,461
422,1164,969,307,385,10,383,462,460,460,269,461,383,345,422,195,383,384,384,384,346,384,384,384,384,383,461,384
1164,969,307,385,10,383,462,460,460,269,461,383,345,422,195,383,384,384,384,346,384,384,384,384,383,461,384,460
969,307,385,10,383,462,460,460,269,461,383,345,422,195,383,384,384,384,346,384,384,384,384,383,461,384,460,461
307,385,10,383,462,460,460,269,461,383,345,422,195,383,384,384,384,346,384,384,384,384,383,461,384,460,461,384
385,10,383,462,460,460,269,461,383,345,422,195,383,384,384,384,346,384,384,384,384,383,461,384,460,461,384,423
10,383,462,460,460,269,461,383,345,422,195,383,384,384,384,346,384,384,384,384,383,461,384,460,461,384,423,461
383,462,460,460,269,461,383,345,422,195,383,384,384,384,346,384,384,384,384,383,461,384,460,461,384,423,461,461
462,460,460,269,461,383,345,422,195,383,384,384,384,346,384,384,384,384,383,461,384,460,461,384,423,461,461,461
460,460,269,461,383,345,422,195,383,384,384,384,346,384,384,384,384,383,461,384,460,461,384,423,461,461,461,460
460,269,461,383,345,422,195,383,384,384,384,346,384,384,384,384,383,461,384,460,461,384,423,461,461,461,460,460
269,461,383,345,422,195,383,384,384,384,346,384,384,384,384,383,461,384,460,461,384,423,461,461,461,460,460,1009
461,383,345,422,195,383,384,384,384,346,384,384,384,384,383,461,384,460,461,384,423,461,461,461,460,460,1009,461
383,345,422,195,383,384,384,384,346,384,384,384,384,383,461,384,460,461,384,423,461,461,461,460,460,1009,461,461
345,422,195,383,384,384,384,346,384,384,384,384,383,461,384,460,461,384,423,461,461,461,460,460,1009,461,461,461
422,195,383,384,384,384,346,384,384,384,384,383,461,384,460,461,384,423,461,461,461,460,460,1009,461,461,461,461
195,383,384,384,384,346,384,384,384,384,383,461,384,460,461,384,423,461,461,461,460,460,1009,461,461,461,461,461
383,384,384,384,346,384,384,384,384,383,461,384,460,461,384,423,461,461,461,460,460,1009,461,461,461,461,461,307
384,384,384,346,384,384,384,384,383,461,384,460,461,384,423,461,461,461,460,460,1009,461,461,461,461,461,307,422
384,384,346,384,384,384,384,383,461,384,460,461,384,423,461,461,461,460,460,1009,461,461,461,461,461,307,422,421
384,346,384,384,384,384,383,461,384,460,461,384,423,461,461,461,460,460,1009,461,461,461,461,461,307,422,421,383
346,384,384,384,384,383,461,384,460,461,384,423,461,461,461,460,460,1009,461,461,461,461,461,307,422,421,383,383
384,384,384,384,383,461,384,460,461,384,423,461,461,461,460,460,1009,461,461,461,461,461,307,422,421,383,383,383
384,384,384,383,461,384,460,461,384,423,461,461,461,460,460,1009,461,461,461,461,461,307,422,421,383,383,383,307
384,384,383,461,384,460,461,384,423,461,461,461,460,460,1009,461,461,461,461,461,307,422,421,383,383,383,307,307
384,383,461,384,460,461,384,423,461,461,461,460,460,1009,461,461,461,461,461,307,422,421,383,383,383,307,307,384
383,461,384,460,461,384,423,461,461,461,460,460,1009,461,461,461,461,461,307,422,421,383,383,383,307,307,384,384
461,384,460,461,384,423,461,461,461,460,460,1009,461,461,461,461,461,307,422,421,383,383,383,307,307,384,384,384
