0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
1483,500,500,500,500,500,499,1046,1009,462,462,500,1000,702,195,499,1009,1009,462,461,500,1067,1009,809,1188,307,971
500,500,500,500,500,499,1046,1009,462,462,500,1000,702,195,499,1009,1009,462,461,500,1067,1009,809,1188,307,971,892
500,500,500,500,499,1046,1009,462,462,500,1000,702,195,499,1009,1009,462,461,500,1067,1009,809,1188,307,971,892,1235
500,500,500,499,1046,1009,462,462,500,1000,702,195,499,1009,1009,462,461,500,1067,1009,809,1188,307,971,892,1235,1046
500,500,499,1046,1009,462,462,500,1000,702,195,499,1009,1009,462,461,500,1067,1009,809,1188,307,971,892,1235,1046,233
500,499,1046,1009,462,462,500,1000,702,195,499,1009,1009,462,461,500,1067,1009,809,1188,307,971,892,1235,1046,233,237
499,1046,1009,462,462,500,1000,702,195,499,1009,1009,462,461,500,1067,1009,809,1188,307,971,892,1235,1046,233,237,1008
1046,1009,462,462,500,1000,702,195,499,1009,1009,462,461,500,1067,1009,809,1188,307,971,892,1235,1046,233,237,1008,1008
1009,462,462,500,1000,702,195,499,1009,1009,462,461,500,1067,1009,809,1188,307,971,892,1235,1046,233,237,1008,1008,701
462,462,500,1000,702,195,499,1009,1009,462,461,500,1067,1009,809,1188,307,971,892,1235,1046,233,237,1008,1008,701,701
462,500,1000,702,195,499,1009,1009,462,461,500,1067,1009,809,1188,307,971,892,1235,1046,233,237,1008,1008,701,701,1009
500,1000,702,195,499,1009,1009,462,461,500,1067,1009,809,1188,307,971,892,1235,1046,233,237,1008,1008,701,701,1009,971
1000,702,195,499,1009,1009,462,461,500,1067,1009,809,1188,307,971,892,1235,1046,233,237,1008,1008,701,701,1009,971,308
702,195,499,1009,1009,462,461,500,1067,1009,809,1188,307,971,892,1235,1046,233,237,1008,1008,701,701,1009,971,308,1205
195,499,1009,1009,462,461,500,1067,1009,809,1188,307,971,892,1235,1046,233,237,1008,1008,701,701,1009,971,308,1205,652
499,1009,1009,462,461,500,1067,1009,809,1188,307,971,892,1235,1046,233,237,1008,1008,701,701,1009,971,308,1205,652,2
1009,1009,462,461,500,1067,1009,809,1188,307,971,892,1235,1046,233,237,1008,1008,701,701,1009,971,308,1205,652,2,1081
1009,462,461,500,1067,1009,809,1188,307,971,892,1235,1046,233,237,1008,1008,701,701,1009,971,308,1205,652,2,1081,1353
462,461,500,1067,1009,809,1188,307,971,892,1235,1046,233,237,1008,1008,701,701,1009,971,308,1205,652,2,1081,1353,275
461,500,1067,1009,809,1188,307,971,892,1235,1046,233,237,1008,1008,701,701,1009,971,308,1205,652,2,1081,1353,275,768
500,1067,1009,809,1188,307,971,892,1235,1046,233,237,1008,1008,701,701,1009,971,308,1205,652,2,1081,1353,275,768,654
1067,1009,809,1188,307,971,892,1235,1046,233,237,1008,1008,701,701,1009,971,308,1205,652,2,1081,1353,275,768,654,1035
1009,809,1188,307,971,892,1235,1046,233,237,1008,1008,701,701,1009,971,308,1205,652,2,1081,1353,275,768,654,1035,88
809,1188,307,971,892,1235,1046,233,237,1008,1008,701,701,1009,971,308,1205,652,2,1081,1353,275,768,654,1035,88,276
1188,307,971,892,1235,1046,233,237,1008,1008,701,701,1009,971,308,1205,652,2,1081,1353,275,768,654,1035,88,276,117
307,971,892,1235,1046,233,237,1008,1008,701,701,1009,971,308,1205,652,2,1081,1353,275,768,654,1035,88,276,117,1009
971,892,1235,1046,233,237,1008,1008,701,701,1009,971,308,1205,652,2,1081,1353,275,768,654,1035,88,276,117,1009,1008
892,1235,1046,233,237,1008,1008,701,701,1009,971,308,1205,652,2,1081,1353,275,768,654,1035,88,276,117,1009,1008,195
1235,1046,233,237,1008,1008,701,701,1009,971,308,1205,652,2,1081,1353,275,768,654,1035,88,276,117,1009,1008,195,1080
1046,233,237,1008,1008,701,701,1009,971,308,1205,652,2,1081,1353,275,768,654,1035,88,276,117,1009,1008,195,1080,1008
233,237,1008,1008,701,701,1009,971,308,1205,652,2,1081,1353,275,768,654,1035,88,276,117,1009,1008,195,1080,1008,461
237,1008,1008,701,701,1009,971,308,1205,652,2,1081,1353,275,768,654,1035,88,276,117,1009,1008,195,1080,1008,461,1039
1008,1008,701,701,1009,971,308,1205,652,2,1081,1353,275,768,654,1035,88,276,117,1009,1008,195,1080,1008,461,1039,1039
1008,701,701,1009,971,308,1205,652,2,1081,1353,275,768,654,1035,88,276,117,1009,1008,195,1080,1008,461,1039,1039,1039
701,701,1009,971,308,1205,652,2,1081,1353,275,768,654,1035,88,276,117,1009,1008,195,1080,1008,461,1039,1039,1039,1039
701,1009,971,308,1205,652,2,1081,1353,275,768,654,1035,88,276,117,1009,1008,195,1080,1008,461,1039,1039,1039,1039,1040
1009,971,308,1205,652,2,1081,1353,275,768,654,1035,88,276,117,1009,1008,195,1080,1008,461,1039,1039,1039,1039,1040,1039
971,308,1205,652,2,1081,1353,275,768,654,1035,88,276,117,1009,1008,195,1080,1008,461,1039,1039,1039,1039,1040,1039,1009
308,1205,652,2,1081,1353,275,768,654,1035,88,276,117,1009,1008,195,1080,1008,461,1039,1039,1039,1039,1040,1039,1009,200
1205,652,2,1081,1353,275,768,654,1035,88,276,117,1009,1008,195,1080,1008,461,1039,1039,1039,1039,1040,1039,1009,200,276
652,2,1081,1353,275,768,654,1035,88,276,117,1009,1008,195,1080,1008,461,1039,1039,1039,1039,1040,1039,1009,200,276,389
2,1081,1353,275,768,654,1035,88,276,117,1009,1008,195,1080,1008,461,1039,1039,1039,1039,1040,1039,1009,200,276,389,276
1081,1353,275,768,654,1035,88,276,117,1009,1008,195,1080,1008,461,1039,1039,1039,1039,1040,1039,1009,200,276,389,276,463
1353,275,768,654,1035,88,276,117,1009,1008,195,1080,1008,461,1039,1039,1039,1039,1040,1039,1009,200,276,389,276,463,1046
275,768,654,1035,88,276,117,1009,1008,195,1080,1008,461,1039,1039,1039,1039,1040,1039,1009,200,276,389,276,463,1046,1009
768,654,1035,88,276,117,1009,1008,195,1080,1008,461,1039,1039,1039,1039,1040,1039,1009,200,276,389,276,463,1046,1009,346
654,1035,88,276,117,1009,1008,195,1080,1008,461,1039,1039,1039,1039,1040,1039,1009,200,276,389,276,463,1046,1009,346,747
1035,88,276,117,1009,1008,195,1080,1008,461,1039,1039,1039,1039,1040,1039,1009,200,276,389,276,463,1046,1009,346,747,232
88,276,117,1009,1008,195,1080,1008,461,1039,1039,1039,1039,1040,1039,1009,200,276,389,276,463,1046,1009,346,747,232,730
276,117,1009,1008,195,1080,1008,461,1039,1039,1039,1039,1040,1039,1009,200,276,389,276,463,1046,1009,346,747,232,730,1166
117,1009,1008,195,1080,1008,461,1039,1039,1039,1039,1040,1039,1009,200,276,389,276,463,1046,1009,346,747,232,730,1166,1008
1009,1008,195,1080,1008,461,1039,1039,1039,1039,1040,1039,1009,200,276,389,276,463,1046,1009,346,747,232,730,1166,1008,389
1008,195,1080,1008,461,1039,1039,1039,1039,1040,1039,1009,200,276,389,276,463,1046,1009,346,747,232,730,1166,1008,389,1001
195,1080,1008,461,1039,1039,1039,1039,1040,1039,1009,200,276,389,276,463,1046,1009,346,747,232,730,1166,1008,389,1001,844
1080,1008,461,1039,1039,1039,1039,1040,1039,1009,200,276,389,276,463,1046,1009,346,747,232,730,1166,1008,389,1001,844,1188
1008,461,1039,1039,1039,1039,1040,1039,1009,200,276,389,276,463,1046,1009,346,747,232,730,1166,1008,389,1001,844,1188,1008
461,1039,1039,1039,1039,1040,1039,1009,200,276,389,276,463,1046,1009,346,747,232,730,1166,1008,389,1001,844,1188,1008,384
1039,1039,1039,1039,1040,1039,1009,200,276,389,276,463,1046,1009,346,747,232,730,1166,1008,389,1001,844,1188,1008,384,308
1039,1039,1039,1040,1039,1009,200,276,389,276,463,1046,1009,346,747,232,730,1166,1008,389,1001,844,1188,1008,384,308,346
1039,1039,1040,1039,1009,200,276,389,276,463,1046,1009,346,747,232,730,1166,1008,389,1001,844,1188,1008,384,308,346,501
1039,1040,1039,1009,200,276,389,276,463,1046,1009,346,747,232,730,1166,1008,389,1001,844,1188,1008,384,308,346,501,345
1040,1039,1009,200,276,389,276,463,1046,1009,346,747,232,730,1166,1008,389,1001,844,1188,1008,384,308,346,501,345,1204
1039,1009,200,276,389,276,463,1046,1009,346,747,232,730,1166,1008,389,1001,844,1188,1008,384,308,346,501,345,1204,499
1009,200,276,389,276,463,1046,1009,346,747,232,730,1166,1008,389,1001,844,1188,1008,384,308,346,501,345,1204,499,1008
200,276,389,276,463,1046,1009,346,747,232,730,1166,1008,389,1001,844,1188,1008,384,308,346,501,345,1204,499,1008,855
276,389,276,463,1046,1009,346,747,232,730,1166,1008,389,1001,844,1188,1008,384,308,346,501,345,1204,499,1008,855,462
389,276,463,1046,1009,346,747,232,730,1166,1008,389,1001,844,1188,1008,384,308,346,501,345,1204,499,1008,855,462,462
276,463,1046,1009,346,747,232,730,1166,1008,389,1001,844,1188,1008,384,308,346,501,345,1204,499,1008,855,462,462,462
463,1046,1009,346,747,232,730,1166,1008,389,1001,844,1188,1008,384,308,346,501,345,1204,499,1008,855,462,462,462,734
1046,1009,346,747,232,730,1166,1008,389,1001,844,1188,1008,384,308,346,501,345,1204,499,1008,855,462,462,462,734,385
1009,346,747,232,730,1166,1008,389,1001,844,1188,1008,384,308,346,501,345,1204,499,1008,855,462,462,462,734,385,968
346,747,232,730,1166,1008,389,1001,844,1188,1008,384,308,346,501,345,1204,499,1008,855,462,462,462,734,385,968,239
747,232,730,1166,1008,389,1001,844,1188,1008,384,308,346,501,345,1204,499,1008,855,462,462,462,734,385,968,239,383
232,730,1166,1008,389,1001,844,1188,1008,384,308,346,501,345,1204,499,1008,855,462,462,462,734,385,968,239,383,383
730,1166,1008,389,1001,844,1188,1008,384,308,346,501,345,1204,499,1008,855,462,462,462,734,385,968,239,383,383,500
1166,1008,389,1001,844,1188,1008,384,308,346,501,345,1204,499,1008,855,462,462,462,734,385,968,239,383,383,500,500
1008,389,1001,844,1188,1008,384,308,346,501,345,1204,499,1008,855,462,462,462,734,385,968,239,383,383,500,500,500
389,1001,844,1188,1008,384,308,346,501,345,1204,499,1008,855,462,462,462,734,385,968,239,383,383,500,500,500,423
1001,844,1188,1008,384,308,346,501,345,1204,499,1008,855,462,462,462,734,385,968,239,383,383,500,500,500,423,1008
844,1188,1008,384,308,346,501,345,1204,499,1008,855,462,462,462,734,385,968,239,383,383,500,500,500,423,1008,3
1188,1008,384,308,346,501,345,1204,499,1008,855,462,462,462,734,385,968,239,383,383,500,500,500,423,1008,3,1008
1008,384,308,346,501,345,1204,499,1008,855,462,462,462,734,385,968,239,383,383,500,500,500,423,1008,3,1008,120
384,308,346,501,345,1204,499,1008,855,462,462,462,734,385,968,239,383,383,500,500,500,423,1008,3,1008,120,276
308,346,501,345,1204,499,1008,855,462,462,462,734,385,968,239,383,383,500,500,500,423,1008,3,1008,120,276,462
346,501,345,1204,499,1008,855,462,462,462,734,385,968,239,383,383,500,500,500,423,1008,3,1008,120,276,462,1008
501,345,1204,499,1008,855,462,462,462,734,385,968,239,383,383,500,500,500,423,1008,3,1008,120,276,462,1008,1009
345,1204,499,1008,855,462,462,462,734,385,968,239,383,383,500,500,500,423,1008,3,1008,120,276,462,1008,1009,422
1204,499,1008,855,462,462,462,734,385,968,239,383,383,500,500,500,423,1008,3,1008,120,276,462,1008,1009,422,309
499,1008,855,462,462,462,734,385,968,239,383,383,500,500,500,423,1008,3,1008,120,276,462,1008,1009,422,309,309
1008,855,462,462,462,734,385,968,239,383,383,500,500,500,423,1008,3,1008,120,276,462,1008,1009,422,309,309,884
855,462,462,462,734,385,968,239,383,383,500,500,500,423,1008,3,1008,120,276,462,1008,1009,422,309,309,884,1008
462,462,462,734,385,968,239,383,383,500,500,500,423,1008,3,1008,120,276,462,1008,1009,422,309,309,884,1008,50
462,462,734,385,968,239,383,383,500,500,500,423,1008,3,1008,120,276,462,1008,1009,422,309,309,884,1008,50,1165
462,734,385,968,239,383,383,500,500,500,423,1008,3,1008,120,276,462,1008,1009,422,309,309,884,1008,50,1165,461
734,385,968,239,383,383,500,500,500,423,1008,3,1008,120,276,462,1008,1009,422,309,309,884,1008,50,1165,461,1008
385,968,239,383,383,500,500,500,423,1008,3,1008,120,276,462,1008,1009,422,309,309,884,1008,50,1165,461,1008,201
968,239,383,383,500,500,500,423,1008,3,1008,120,276,462,1008,1009,422,309,309,884,1008,50,1165,461,1008,201,422
239,383,383,500,500,500,423,1008,3,1008,120,276,462,1008,1009,422,309,309,884,1008,50,1165,461,1008,201,422,422
383,383,500,500,500,423,1008,3,1008,120,276,462,1008,1009,422,309,309,884,1008,50,1165,461,1008,201,422,422,461
383,500,500,500,423,1008,3,1008,120,276,462,1008,1009,422,309,309,884,1008,50,1165,461,1008,201,422,422,461,1008
500,500,500,423,1008,3,1008,120,276,462,1008,1009,422,309,309,884,1008,50,1165,461,1008,201,422,422,461,1008,1008
500,500,423,1008,3,1008,120,276,462,1008,1009,422,309,309,884,1008,50,1165,461,1008,201,422,422,461,1008,1008,461
500,423,1008,3,1008,120,276,462,1008,1009,422,309,309,884,1008,50,1165,461,1008,201,422,422,461,1008,1008,461,160
423,1008,3,1008,120,276,462,1008,1009,422,309,309,884,1008,50,1165,461,1008,201,422,422,461,1008,1008,461,160,1008
1008,3,1008,120,276,462,1008,1009,422,309,309,884,1008,50,1165,461,1008,201,422,422,461,1008,1008,461,160,1008,1008
3,1008,120,276,462,1008,1009,422,309,309,884,1008,50,1165,461,1008,201,422,422,461,1008,1008,461,160,1008,1008,461
1008,120,276,462,1008,1009,422,309,309,884,1008,50,1165,461,1008,201,422,422,461,1008,1008,461,160,1008,1008,461,462
120,276,462,1008,1009,422,309,309,884,1008,50,1165,461,1008,201,422,422,461,1008,1008,461,160,1008,1008,461,462,461
276,462,1008,1009,422,309,309,884,1008,50,1165,461,1008,201,422,422,461,1008,1008,461,160,1008,1008,461,462,461,461
462,1008,1009,422,309,309,884,1008,50,1165,461,1008,201,422,422,461,1008,1008,461,160,1008,1008,461,462,461,461,1008
1008,1009,422,309,309,884,1008,50,1165,461,1008,201,422,422,461,1008,1008,461,160,1008,1008,461,462,461,461,1008,460
1009,422,309,309,884,1008,50,1165,461,1008,201,422,422,461,1008,1008,461,160,1008,1008,461,462,461,461,1008,460,1008
422,309,309,884,1008,50,1165,461,1008,201,422,422,461,1008,1008,461,160,1008,1008,461,462,461,461,1008,460,1008,423
309,309,884,1008,50,1165,461,1008,201,422,422,461,1008,1008,461,160,1008,1008,461,462,461,461,1008,460,1008,423,1009
309,884,1008,50,1165,461,1008,201,422,422,461,1008,1008,461,160,1008,1008,461,462,461,461,1008,460,1008,423,1009,1046
884,1008,50,1165,461,1008,201,422,422,461,1008,1008,461,160,1008,1008,461,462,461,461,1008,460,1008,423,1009,1046,383
1008,50,1165,461,1008,201,422,422,461,1008,1008,461,160,1008,1008,461,462,461,461,1008,460,1008,423,1009,1046,383,422
50,1165,461,1008,201,422,422,461,1008,1008,461,160,1008,1008,461,462,461,461,1008,460,1008,423,1009,1046,383,422,307
1165,461,1008,201,422,422,461,1008,1008,461,160,1008,1008,461,462,461,461,1008,460,1008,423,1009,1046,383,422,307,269
461,1008,201,422,422,461,1008,1008,461,160,1008,1008,461,462,461,461,1008,460,1008,423,1009,1046,383,422,307,269,423
1008,201,422,422,461,1008,1008,461,160,1008,1008,461,462,461,461,1008,460,1008,423,1009,1046,383,422,307,269,423,383
201,422,422,461,1008,1008,461,160,1008,1008,461,462,461,461,1008,460,1008,423,1009,1046,383,422,307,269,423,383,971
422,422,461,1008,1008,461,160,1008,1008,461,462,461,461,1008,460,1008,423,1009,1046,383,422,307,269,423,383,971,461
422,461,1008,1008,461,160,1008,1008,461,462,461,461,1008,460,1008,423,1009,1046,383,422,307,269,423,383,971,461,269
461,1008,1008,461,160,1008,1008,461,462,461,461,1008,460,1008,423,1009,1046,383,422,307,269,423,383,971,461,269,355
1008,1008,461,160,1008,1008,461,462,461,461,1008,460,1008,423,1009,1046,383,422,307,269,423,383,971,461,269,355,307
1008,461,160,1008,1008,461,462,461,461,1008,460,1008,423,1009,1046,383,422,307,269,423,383,971,461,269,355,307,307
461,160,1008,1008,461,462,461,461,1008,460,1008,423,1009,1046,383,422,307,269,423,383,971,461,269,355,307,307,422
160,1008,1008,461,462,461,461,1008,460,1008,423,1009,1046,383,422,307,269,423,383,971,461,269,355,307,307,422,345
1008,1008,461,462,461,461,1008,460,1008,423,1009,1046,383,422,307,269,423,383,971,461,269,355,307,307,422,345,383
1008,461,462,461,461,1008,460,1008,423,1009,1046,383,422,307,269,423,383,971,461,269,355,307,307,422,345,383,422
461,462,461,461,1008,460,1008,423,1009,1046,383,422,307,269,423,383,971,461,269,355,307,307,422,345,383,422,1164
462,461,461,1008,460,1008,423,1009,1046,383,422,307,269,423,383,971,461,269,355,307,307,422,345,383,422,1164,969
461,461,1008,460,1008,423,1009,1046,383,422,307,269,423,383,971,461,269,355,307,307,422,345,383,422,1164,969,307
461,1008,460,1008,423,1009,1046,383,422,307,269,423,383,971,461,269,355,307,307,422,345,383,422,1164,969,307,385
1008,460,1008,423,1009,1046,383,422,307,269,423,383,971,461,269,355,307,307,422,345,383,422,1164,969,307,385,10
460,1008,423,1009,1046,383,422,307,269,423,383,971,461,269,355,307,307,422,345,383,422,1164,969,307,385,10,383
1008,423,1009,1046,383,422,307,269,423,383,971,461,269,355,307,307,422,345,383,422,1164,969,307,385,10,383,462
423,1009,1046,383,422,307,269,423,383,971,461,269,355,307,307,422,345,383,422,1164,969,307,385,10,383,462,460
1009,1046,383,422,307,269,423,383,971,461,269,355,307,307,422,345,383,422,1164,969,307,385,10,383,462,460,460
1046,383,422,307,269,423,383,971,461,269,355,307,307,422,345,383,422,1164,969,307,385,10,383,462,460,460,269
383,422,307,269,423,383,971,461,269,355,307,307,422,345,383,422,1164,969,307,385,10,383,462,460,460,269,461
422,307,269,423,383,971,461,269,355,307,307,422,345,383,422,1164,969,307,385,10,383,462,460,460,269,461,383
307,269,423,383,971,461,269,355,307,307,422,345,383,422,1164,969,307,385,10,383,462,460,460,269,461,383,345
269,423,383,971,461,269,355,307,307,422,345,383,422,1164,969,307,385,10,383,462,460,460,269,461,383,345,422
423,383,971,461,269,355,307,307,422,345,383,422,1164,969,307,385,10,383,462,460,460,269,461,383,345,422,195
383,971,461,269,355,307,307,422,345,383,422,1164,969,307,385,10,383,462,460,460,269,461,383,345,422,195,383
971,461,269,355,307,307,422,345,383,422,1164,969,307,385,10,383,462,460,460,269,461,383,345,422,195,383,384
461,269,355,307,307,422,345,383,422,1164,969,307,385,10,383,462,460,460,269,461,383,345,422,195,383,384,384
269,355,307,307,422,345,383,422,1164,969,307,385,10,383,462,460,460,269,461,383,345,422,195,383,384,384,384
355,307,307,422,345,383,422,1164,969,307,385,10,383,462,460,460,269,461,383,345,422,195,383,384,384,384,346
307,307,422,345,383,422,1164,969,307,385,10,383,462,460,460,269,461,383,345,422,195,383,384,384,384,346,384
307,422,345,383,422,1164,969,307,385,10,383,462,460,460,269,461,383,345,422,195,383,384,384,384,346,384,384
422,345,383,422,1164,969,307,385,10,383,462,460,460,269,461,383,345,422,195,383,384,384,384,346,384,384,384
345,383,422,1164,969,307,385,10,383,462,460,460,269,461,383,345,422,195,383,384,384,384,346,384,384,384,384
383,422,1164,969,307,385,10,383,462,460,460,269,461,383,345,422,195,383,384,384,384,346,384,384,384,384,383
422,1164,969,307,385,10,383,462,460,460,269,461,383,345,422,195,383,384,384,384,346,384,384,384,384,383,461
1164,969,307,385,10,383,462,460,460,269,461,383,345,422,195,383,384,384,384,346,384,384,384,384,383,461,384
969,307,385,10,383,462,460,460,269,461,383,345,422,195,383,384,384,384,346,384,384,384,384,383,461,384,460
307,385,10,383,462,460,460,269,461,383,345,422,195,383,384,384,384,346,384,384,384,384,383,461,384,460,461
385,10,383,462,460,460,269,461,383,345,422,195,383,384,384,384,346,384,384,384,384,383,461,384,460,461,384
10,383,462,460,460,269,461,383,345,422,195,383,384,384,384,346,384,384,384,384,383,461,384,460,461,384,423
383,462,460,460,269,461,383,345,422,195,383,384,384,384,346,384,384,384,384,383,461,384,460,461,384,423,461
462,460,460,269,461,383,345,422,195,383,384,384,384,346,384,384,384,384,383,461,384,460,461,384,423,461,461
460,460,269,461,383,345,422,195,383,384,384,384,346,384,384,384,384,383,461,384,460,461,384,423,461,461,461
460,269,461,383,345,422,195,383,384,384,384,346,384,384,384,384,383,461,384,460,461,384,423,461,461,461,460
269,461,383,345,422,195,383,384,384,384,346,384,384,384,384,383,461,384,460,461,384,423,461,461,461,460,460
461,383,345,422,195,383,384,384,384,346,384,384,384,384,383,461,384,460,461,384,423,461,461,461,460,460,1009
383,345,422,195,383,384,384,384,346,384,384,384,384,383,461,384,460,461,384,423,461,461,461,460,460,1009,461
345,422,195,383,384,384,384,346,384,384,384,384,383,461,384,460,461,384,423,461,461,461,460,460,1009,461,461
422,195,383,384,384,384,346,384,384,384,384,383,461,384,460,461,384,423,461,461,461,460,460,1009,461,461,461
195,383,384,384,384,346,384,384,384,384,383,461,384,460,461,384,423,461,461,461,460,460,1009,461,461,461,461
383,384,384,384,346,384,384,384,384,383,461,384,460,461,384,423,461,461,461,460,460,1009,461,461,461,461,461
384,384,384,346,384,384,384,384,383,461,384,460,461,384,423,461,461,461,460,460,1009,461,461,461,461,461,307
384,384,346,384,384,384,384,383,461,384,460,461,384,423,461,461,461,460,460,1009,461,461,461,461,461,307,422
384,346,384,384,384,384,383,461,384,460,461,384,423,461,461,461,460,460,1009,461,461,461,461,461,307,422,421
346,384,384,384,384,383,461,384,460,461,384,423,461,461,461,460,460,1009,461,461,461,461,461,307,422,421,383
384,384,384,384,383,461,384,460,461,384,423,461,461,461,460,460,1009,461,461,461,461,461,307,422,421,383,383
384,384,384,383,461,384,460,461,384,423,461,461,461,460,460,1009,461,461,461,461,461,307,422,421,383,383,383
384,384,383,461,384,460,461,384,423,461,461,461,460,460,1009,461,461,461,461,461,307,422,421,383,383,383,307
384,383,461,384,460,461,384,423,461,461,461,460,460,1009,461,461,461,461,461,307,422,421,383,383,383,307,307
383,461,384,460,461,384,423,461,461,461,460,460,1009,461,461,461,461,461,307,422,421,383,383,383,307,307,384
461,384,460,461,384,423,461,461,461,460,460,1009,461,461,461,461,461,307,422,421,383,383,383,307,307,384,384
384,460,461,384,423,461,461,461,460,460,1009,461,461,461,461,461,307,422,421,383,383,383,307,307,384,384,384
460,461,384,423,461,461,461,460,460,1009,461,461,461,461,461,307,422,421,383,383,383,307,307,384,384,384,385
461,384,423,461,461,461,460,460,1009,461,461,461,461,461,307,422,421,383,383,383,307,307,384,384,384,385,276
384,423,461,461,461,460,460,1009,461,461,461,461,461,307,422,421,383,383,383,307,307,384,384,384,385,276,461
423,461,461,461,460,460,1009,461,461,461,461,461,307,422,421,383,383,383,307,307,384,384,384,385,276,461,423
461,461,461,460,460,1009,461,461,461,461,461,307,422,421,383,383,383,307,307,384,384,384,385,276,461,423,308
461,461,460,460,1009,461,461,461,461,461,307,422,421,383,383,383,307,307,384,384,384,385,276,461,423,308,461
461,460,460,1009,461,461,461,461,461,307,422,421,383,383,383,307,307,384,384,384,385,276,461,423,308,461,1182
460,460,1009,461,461,461,461,461,307,422,421,383,383,383,307,307,384,384,384,385,276,461,423,308,461,1182,383
