0,1,2,3,4,5,6,7,8,9,10
1028,159,271,884,1008,1164,166,164,1008,970,784
159,271,884,1008,1164,166,164,1008,970,784,747
271,884,1008,1164,166,164,1008,970,784,747,1164
884,1008,1164,166,164,1008,970,784,747,1164,1164
1008,1164,166,164,1008,970,784,747,1164,1164,1164
1164,166,164,1008,970,784,747,1164,1164,1164,1126
166,164,1008,970,784,747,1164,1164,1164,1126,235
164,1008,970,784,747,1164,1164,1164,1126,235,1113
1008,970,784,747,1164,1164,1164,1126,235,1113,461
970,784,747,1164,1164,1164,1126,235,1113,461,1164
784,747,1164,1164,1164,1126,235,1113,461,1164,1164
747,1164,1164,1164,1126,235,1113,461,1164,1164,1164
1164,1164,1164,1126,235,1113,461,1164,1164,1164,1164
1164,1164,1126,235,1113,461,1164,1164,1164,1164,1126
1164,1126,235,1113,461,1164,1164,1164,1164,1126,1164
1126,235,1113,461,1164,1164,1164,1164,1126,1164,1126
235,1113,461,1164,1164,1164,1164,1126,1164,1126,1164
1113,461,1164,1164,1164,1164,1126,1164,1126,1164,1164
461,1164,1164,1164,1164,1126,1164,1126,1164,1164,1164
1164,1164,1164,1164,1126,1164,1126,1164,1164,1164,1164
1164,1164,1164,1126,1164,1126,1164,1164,1164,1164,1164
1164,1164,1126,1164,1126,1164,1164,1164,1164,1164,1126
1164,1126,1164,1126,1164,1164,1164,1164,1164,1126,1164
1126,1164,1126,1164,1164,1164,1164,1164,1126,1164,1126
1164,1126,1164,1164,1164,1164,1164,1126,1164,1126,1126
1126,1164,1164,1164,1164,1164,1126,1164,1126,1126,1164
1164,1164,1164,1164,1164,1126,1164,1126,1126,1164,1126
1164,1164,1164,1164,1126,1164,1126,1126,1164,1126,346
1164,1164,1164,1126,1164,1126,1126,1164,1126,346,232
1164,1164,1126,1164,1126,1126,1164,1126,346,232,1008
1164,1126,1164,1126,1126,1164,1126,346,232,1008,1030
1126,1164,1126,1126,1164,1126,346,232,1008,1030,1008
1164,1126,1126,1164,1126,346,232,1008,1030,1008,1008
1126,1126,1164,1126,346,232,1008,1030,1008,1008,1008
1126,1164,1126,346,232,1008,1030,1008,1008,1008,198
1164,1126,346,232,1008,1030,1008,1008,1008,198,1084
1126,346,232,1008,1030,1008,1008,1008,198,1084,1037
346,232,1008,1030,1008,1008,1008,198,1084,1037,196
232,1008,1030,1008,1008,1008,198,1084,1037,196,1008
1008,1030,1008,1008,1008,198,1084,1037,196,1008,81
1030,1008,1008,1008,198,1084,1037,196,1008,81,124
1008,1008,1008,198,1084,1037,196,1008,81,124,118
1008,1008,198,1084,1037,196,1008,81,124,118,969
1008,198,1084,1037,196,1008,81,124,118,969,1008
198,1084,1037,196,1008,81,124,118,969,1008,930
1084,1037,196,1008,81,124,118,969,1008,930,774
1037,196,1008,81,124,118,969,1008,930,774,1072
196,1008,81,124,118,969,1008,930,774,1072,1008
1008,81,124,118,969,1008,930,774,1072,1008,1008
81,124,118,969,1008,930,774,1072,1008,1008,1150
124,118,969,1008,930,774,1072,1008,1008,1150,735
118,969,1008,930,774,1072,1008,1008,1150,735,240
969,1008,930,774,1072,1008,1008,1150,735,240,1008
1008,930,774,1072,1008,1008,1150,735,240,1008,747
930,774,1072,1008,1008,1150,735,240,1008,747,1008
774,1072,1008,1008,1150,735,240,1008,747,1008,279
1072,1008,1008,1150,735,240,1008,747,1008,279,1008
1008,1008,1150,735,240,1008,747,1008,279,1008,746
1008,1150,735,240,1008,747,1008,279,1008,746,922
1150,735,240,1008,747,1008,279,1008,746,922,813
735,240,1008,747,1008,279,1008,746,922,813,308
240,1008,747,1008,279,1008,746,922,813,308,385
1008,747,1008,279,1008,746,922,813,308,385,308
747,1008,279,1008,746,922,813,308,385,308,1008
1008,279,1008,746,922,813,308,385,308,1008,1008
279,1008,746,922,813,308,385,308,1008,1008,857
1008,746,922,813,308,385,308,1008,1008,857,1352
746,922,813,308,385,308,1008,1008,857,1352,1008
922,813,308,385,308,1008,1008,857,1352,1008,1113
813,308,385,308,1008,1008,857,1352,1008,1113,1113
308,385,308,1008,1008,857,1352,1008,1113,1113,1008
385,308,1008,1008,857,1352,1008,1113,1113,1008,1008
308,1008,1008,857,1352,1008,1113,1113,1008,1008,653
1008,1008,857,1352,1008,1113,1113,1008,1008,653,994
1008,857,1352,1008,1113,1113,1008,1008,653,994,1008
857,1352,1008,1113,1113,1008,1008,653,994,1008,167
1352,1008,1113,1113,1008,1008,653,994,1008,167,80
1008,1113,1113,1008,1008,653,994,1008,167,80,197
1113,1113,1008,1008,653,994,1008,167,80,197,1035
1113,1008,1008,653,994,1008,167,80,197,1035,1008
1008,1008,653,994,1008,167,80,197,1035,1008,158
1008,653,994,1008,167,80,197,1035,1008,158,1008
653,994,1008,167,80,197,1035,1008,158,1008,1074
994,1008,167,80,197,1035,1008,158,1008,1074,1074
1008,167,80,197,1035,1008,158,1008,1074,1074,1008
167,80,197,1035,1008,158,1008,1074,1074,1008,1008
80,197,1035,1008,158,1008,1074,1074,1008,1008,1008
197,1035,1008,158,1008,1074,1074,1008,1008,1008,277
1035,1008,158,1008,1074,1074,1008,1008,1008,277,1312
1008,158,1008,1074,1074,1008,1008,1008,277,1312,1000
158,1008,1074,1074,1008,1008,1008,277,1312,1000,90
1008,1074,1074,1008,1008,1008,277,1312,1000,90,500
1074,1074,1008,1008,1008,277,1312,1000,90,500,238
1074,1008,1008,1008,277,1312,1000,90,500,238,156
1008,1008,1008,277,1312,1000,90,500,238,156,115
1008,1008,277,1312,1000,90,500,238,156,115,845
1008,277,1312,1000,90,500,238,156,115,845,269
277,1312,1000,90,500,238,156,115,845,269,162
1312,1000,90,500,238,156,115,845,269,162,895
1000,90,500,238,156,115,845,269,162,895,276
90,500,238,156,115,845,269,162,895,276,1390
500,238,156,115,845,269,162,895,276,1390,1008
238,156,115,845,269,162,895,276,1390,1008,1008
156,115,845,269,162,895,276,1390,1008,1008,1008
115,845,269,162,895,276,1390,1008,1008,1008,156
845,269,162,895,276,1390,1008,1008,1008,156,1223
269,162,895,276,1390,1008,1008,1008,156,1223,234
162,895,276,1390,1008,1008,1008,156,1223,234,1009
895,276,1390,1008,1008,1008,156,1223,234,1009,1009
276,1390,1008,1008,1008,156,1223,234,1009,1009,1011
1390,1008,1008,1008,156,1223,234,1009,1009,1011,970
1008,1008,1008,156,1223,234,1009,1009,1011,970,887
1008,1008,156,1223,234,1009,1009,1011,970,887,971
1008,156,1223,234,1009,1009,1011,970,887,971,276
156,1223,234,1009,1009,1011,970,887,971,276,314
1223,234,1009,1009,1011,970,887,971,276,314,1009
234,1009,1009,1011,970,887,971,276,314,1009,1008
1009,1009,1011,970,887,971,276,314,1009,1008,1065
1009,1011,970,887,971,276,314,1009,1008,1065,1008
1011,970,887,971,276,314,1009,1008,1065,1008,118
970,887,971,276,314,1009,1008,1065,1008,118,1087
887,971,276,314,1009,1008,1065,1008,118,1087,1008
971,276,314,1009,1008,1065,1008,118,1087,1008,1009
276,314,1009,1008,1065,1008,118,1087,1008,1009,1009
314,1009,1008,1065,1008,118,1087,1008,1009,1009,9
1009,1008,1065,1008,118,1087,1008,1009,1009,9,504
1008,1065,1008,118,1087,1008,1009,1009,9,504,1124
1065,1008,118,1087,1008,1009,1009,9,504,1124,1008
1008,118,1087,1008,1009,1009,9,504,1124,1008,845
118,1087,1008,1009,1009,9,504,1124,1008,845,659
1087,1008,1009,1009,9,504,1124,1008,845,659,811
1008,1009,1009,9,504,1124,1008,845,659,811,1009
1009,1009,9,504,1124,1008,845,659,811,1009,1008
1009,9,504,1124,1008,845,659,811,1009,1008,160
9,504,1124,1008,845,659,811,1009,1008,160,276
504,1124,1008,845,659,811,1009,1008,160,276,1008
1124,1008,845,659,811,1009,1008,160,276,1008,1027
1008,845,659,811,1009,1008,160,276,1008,1027,1065
845,659,811,1009,1008,160,276,1008,1027,1065,345
659,811,1009,1008,160,276,1008,1027,1065,345,970
811,1009,1008,160,276,1008,1027,1065,345,970,1186
1009,1008,160,276,1008,1027,1065,345,970,1186,845
1008,160,276,1008,1027,1065,345,970,1186,845,1124
160,276,1008,1027,1065,345,970,1186,845,1124,1124
276,1008,1027,1065,345,970,1186,845,1124,1124,1124
1008,1027,1065,345,970,1186,845,1124,1124,1124,88
1027,1065,345,970,1186,845,1124,1124,1124,88,1008
1065,345,970,1186,845,1124,1124,1124,88,1008,465
345,970,1186,845,1124,1124,1124,88,1008,465,119
970,1186,845,1124,1124,1124,88,1008,465,119,1009
1186,845,1124,1124,1124,88,1008,465,119,1009,1113
845,1124,1124,1124,88,1008,465,119,1009,1113,126
1124,1124,1124,88,1008,465,119,1009,1113,126,276
1124,1124,88,1008,465,119,1009,1113,126,276,158
1124,88,1008,465,119,1009,1113,126,276,158,465
88,1008,465,119,1009,1113,126,276,158,465,1009
1008,465,119,1009,1113,126,276,158,465,1009,922
465,119,1009,1113,126,276,158,465,1009,922,390
119,1009,1113,126,276,158,465,1009,922,390,893
1009,1113,126,276,158,465,1009,922,390,893,235
1113,126,276,158,465,1009,922,390,893,235,1276
126,276,158,465,1009,922,390,893,235,1276,315
276,158,465,1009,922,390,893,235,1276,315,971
158,465,1009,922,390,893,235,1276,315,971,240
465,1009,922,390,893,235,1276,315,971,240,784
1009,922,390,893,235,1276,315,971,240,784,79
922,390,893,235,1276,315,971,240,784,79,971
390,893,235,1276,315,971,240,784,79,971,276
893,235,1276,315,971,240,784,79,971,276,1151
235,1276,315,971,240,784,79,971,276,1151,87
1276,315,971,240,784,79,971,276,1151,87,1194
315,971,240,784,79,971,276,1151,87,1194,157
971,240,784,79,971,276,1151,87,1194,157,884
240,784,79,971,276,1151,87,1194,157,884,1009
784,79,971,276,1151,87,1194,157,884,1009,276
79,971,276,1151,87,1194,157,884,1009,276,1009
971,276,1151,87,1194,157,884,1009,276,1009,1283
276,1151,87,1194,157,884,1009,276,1009,1283,969
1151,87,1194,157,884,1009,276,1009,1283,969,1008
87,1194,157,884,1009,276,1009,1283,969,1008,275
1194,157,884,1009,276,1009,1283,969,1008,275,466
157,884,1009,276,1009,1283,969,1008,275,466,80
884,1009,276,1009,1283,969,1008,275,466,80,1503
1009,276,1009,1283,969,1008,275,466,80,1503,1008
276,1009,1283,969,1008,275,466,80,1503,1008,1009
1009,1283,969,1008,275,466,80,1503,1008,1009,811
1283,969,1008,275,466,80,1503,1008,1009,811,504
969,1008,275,466,80,1503,1008,1009,811,504,465
1008,275,466,80,1503,1008,1009,811,504,465,1046
275,466,80,1503,1008,1009,811,504,465,1046,465
466,80,1503,1008,1009,811,504,465,1046,465,466
80,1503,1008,1009,811,504,465,1046,465,466,465
1503,1008,1009,811,504,465,1046,465,466,465,466
1008,1009,811,504,465,1046,465,466,465,466,313
1009,811,504,465,1046,465,466,465,466,313,812
811,504,465,1046,465,466,465,466,313,812,971
504,465,1046,465,466,465,466,313,812,971,1008
465,1046,465,466,465,466,313,812,971,1008,235
1046,465,466,465,466,313,812,971,1008,235,846
465,466,465,466,313,812,971,1008,235,846,1509
466,465,466,313,812,971,1008,235,846,1509,538
465,466,313,812,971,1008,235,846,1509,538,971
466,313,812,971,1008,235,846,1509,538,971,1035
313,812,971,1008,235,846,1509,538,971,1035,1035
812,971,1008,235,846,1509,538,971,1035,1035,922
971,1008,235,846,1509,538,971,1035,1035,922,51
